Token,Lemma,POS
Felix,Felix,PROPN
Dahn,Dahn,X
Vom,von,ADP
Chiemgau,Chiemgau,PROPN
Historischer,Historischer,ADJ
Roman,Roman,NOUN
aus,aus,ADP
der,der,DET
Völkerwanderung,Völkerwanderung,NOUN
Titelblatt,Titelblatt,NOUN
*,*,NOUN
Die,der,DET
zweite,zweiter,ADJ
Serie,Serie,NOUN
dieser,dieser,DET
»,--,PUNCT
Neuen,neu,ADJ
wohlfeilen,wohlfeil,ADJ
Gesamtausgabe,Gesamtausgabe,NOUN
«,--,PUNCT
in,in,ADP
einer,ein,DET
Auflage,Auflage,NOUN
von,von,ADP
zwanzigtausend,zwanzigtausend,ADV
Exemplaren,Exemplar,NOUN
in,in,ADP
der,der,DET
Buchdruckerei,Buchdruckerei,NOUN
von,von,ADP
Ernst,Ernst,PROPN
Hedrich,Hedrich,PROPN
Nachfolger,Nachfolger,PROPN
in,in,ADP
Leipzig,Leipzig,PROPN
gedruckt,drucken,VERB
.,--,PUNCT
Den,der,DET
Einband,Einband,NOUN
und,und,CCONJ
die,der,DET
Innentitel,Innentitel,NOUN
zeichnete,zeichnen,VERB
Erich,Erich,PROPN
Gruner,Gruner,PROPN
in,in,ADP
Leipzig,Leipzig,PROPN
.,--,PUNCT
Die,der,DET
Buchbinderarbeiten,Buchbinderarbeit,NOUN
besorgte,besorgen,VERB
H.,H.,PROPN
Fikentscher,Fikentscher,PROPN
in,in,ADP
Leipzig,Leipzig,PROPN
.,--,PUNCT
(,--,PUNCT
a.,a.,ADP
596,596,NUM
n.,n.,X
Chr.,Chr.,PROPN
),--,PUNCT
.,--,PUNCT
*,*,NOUN
»,--,PUNCT
Peiere,Peiere,NOUN
vurin,Vurin,NOUN
ie,ie,PROPN
ci,ci,PROPN
wige,wig,ADJ
gerno,Gerno,VERB
«,--,PUNCT
(,--,PUNCT
Bayern,Bayern,PROPN
fuhren,fahren,VERB
stets,stets,ADV
zu,zu,ADP
Kampfe,Kampf,NOUN
gern,gern,ADV
),--,PUNCT
Annolied,Annolied,NOUN
