Token,Lemma,POS
Ferdinand,Ferdinand,NOUN
von,von,ADP
Saar,Saar,PROPN
Die,der,DET
Geigerin,Geigerin,NOUN
(,--,PUNCT
1875,1875,NUM
),--,PUNCT
Ich,ich,PRON
bin,sein,AUX
ein,ein,DET
Freund,Freund,NOUN
der,der,DET
Vergangenheit,Vergangenheit,NOUN
.,--,PUNCT
Nicht,nicht,PART
daß,daß,SCONJ
ich,ich,PRON
etwa,etwa,ADV
romantische,romantisch,ADJ
Neigungen,Neigung,NOUN
hätte,haben,AUX
und,und,CCONJ
für,für,ADP
das,der,DET
Ritter-,Ritter,X
und,und,CCONJ
Minnewesen,Minnewese,NOUN
schwärmte,schwärmen,ADJ
–,--,PUNCT
oder,oder,CCONJ
für,für,ADP
die,der,DET
sogenannte,sogenannter,ADJ
gute,gut,ADJ
alte,alt,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
die,der,PRON
es,es,PRON
niemals,niemals,ADV
gegeben,geben,VERB
hat,haben,AUX
",",--,PUNCT
nur,nur,ADV
jene,jener,DET
Vergangenheit,Vergangenheit,NOUN
will,wollen,AUX
ich,ich,PRON
gemeint,meinen,VERB
wissen,wissen,VERB
",",--,PUNCT
die,der,PRON
mit,mit,ADP
ihren,ihr,DET
Ausläufern,Ausläufer,NOUN
in,in,ADP
die,der,DET
Gegenwart,Gegenwart,NOUN
hineinreicht,hineinreichen,VERB
und,und,CCONJ
welcher,welcher,DET
ich,ich,PRON
",",--,PUNCT
da,da,SCONJ
der,der,DET
Mensch,Mensch,NOUN
nun,nun,ADV
einmal,einmal,ADV
seine,sein,DET
Jugendeindrücke,Jugendeindrück,NOUN
nicht,nicht,PART
loswerden,loswerden,VERB
kann,können,AUX
",",--,PUNCT
noch,noch,ADV
dem,der,DET
Herzen,Herz,NOUN
nach,nach,ADP
angehöre,angehören,VERB
.,--,PUNCT
So,so,ADV
fühl,fühl,ADV
',--,PUNCT
ich,ich,PRON
mich,sich,PRON
stets,stets,ADV
zu,zu,ADP
Leuten,Leute,NOUN
hingezogen,hingezogen,VERB
",",--,PUNCT
deren,der,DET
eigentliches,eigentlich,ADJ
Leben,Leben,NOUN
und,und,CCONJ
Wirken,wirken,NOUN
in,in,ADP
frühere,früh,ADJ
Tage,Tag,NOUN
fällt,fallen,VERB
und,und,CCONJ
die,der,DET
sich,sich,PRON
nicht,nicht,PART
mehr,mehr,ADV
in,in,ADP
neue,neu,ADJ
Verhältnisse,Verhältnis,NOUN
zu,zu,PART
schicken,schicken,VERB
wissen,wissen,VERB
.,--,PUNCT
Ich,ich,PRON
rede,reden,VERB
gern,gern,ADV
mit,mit,ADP
Handwerkern,Handwerker,NOUN
und,und,CCONJ
Kaufleuten,Kaufleute,NOUN
",",--,PUNCT
welche,welcher,PRON
der,der,DET
Gewerbefreiheit,Gewerbefreiheit,NOUN
und,und,CCONJ
dem,der,DET
hastenden,hastend,ADJ
Wettkampfe,Wettkampf,NOUN
der,der,DET
Industrie,Industrie,NOUN
zum,zu,ADP
Opfer,Opfer,NOUN
gefallen,fallen,VERB
;,--,PUNCT
mit,mit,ADP
Beamten,Beamter,NOUN
und,und,CCONJ
Militärs,Militär,NOUN
",",--,PUNCT
die,der,PRON
unter,unter,ADP
den,der,DET
Trümmern,Trümmer,NOUN
gestürzter,gestürzt,ADJ
Systeme,System,NOUN
begraben,begraben,VERB
wurden,werden,AUX
;,--,PUNCT
mit,mit,ADP
Aristokraten,Aristokrat,NOUN
",",--,PUNCT
welche,welcher,DET
",",--,PUNCT
kümmerlich,kümmerlich,ADV
genug,genug,ADV
",",--,PUNCT
von,von,ADP
dem,der,DET
letzten,letzter,ADJ
Schimmer,Schimmer,NOUN
eines,ein,DET
erlauchten,erlauchter,ADJ
Namens,Name,NOUN
zehren,zehren,VERB
:,--,PUNCT
lauter,lauter,DET
typische,typisch,ADJ
Persönlichkeiten,Persönlichkeit,NOUN
",",--,PUNCT
denen,der,PRON
ich,ich,PRON
eine,ein,DET
gewisse,gewiß,ADJ
Teilnahme,Teilnahme,NOUN
nicht,nicht,PART
versagen,versagen,VERB
kann,können,AUX
.,--,PUNCT
Denn,denn,CCONJ
alles,alle,PRON
das,der,PRON
",",--,PUNCT
was,wer,PRON
sie,sie,PRON
zurückwünschen,zurückwünschen,VERB
oder,oder,CCONJ
mühsam,mühsam,ADV
aufrechterhalten,aufrechterhalten,VERB
wollen,wollen,AUX
",",--,PUNCT
hat,haben,AUX
doch,doch,ADV
einmal,einmal,ADV
bestanden,bestehen,VERB
und,und,CCONJ
war,sein,AUX
eine,ein,DET
Macht,Macht,NOUN
des,der,DET
Lebens,leben,NOUN
",",--,PUNCT
wie,wie,ADP
so,so,ADV
manches,mancher,PRON
",",--,PUNCT
das,der,PRON
heutzutage,heutzutage,ADV
besteht,bestehen,VERB
",",--,PUNCT
wirkt,wirken,VERB
und,und,CCONJ
trägt,tragen,VERB
.,--,PUNCT
Daher,daher,ADV
habe,haben,AUX
ich,ich,PRON
auch,auch,ADV
eine,ein,DET
Vorliebe,Vorliebe,NOUN
für,für,ADP
die,der,DET
alten,alt,ADJ
Plätze,Platz,NOUN
",",--,PUNCT
die,der,DET
alten,alt,ADJ
Gassen,Gasse,NOUN
und,und,CCONJ
Häuser,Haus,NOUN
meiner,mein,DET
Vaterstadt,Vaterstadt,NOUN
und,und,CCONJ
bin,sein,AUX
noch,noch,ADV
zuweilen,zuweilen,ADV
in,in,ADP
jenen,jener,DET
öffentlichen,öffentlich,ADJ
Gärten,Garten,NOUN
zu,zu,PART
finden,finden,VERB
",",--,PUNCT
die,der,PRON
infolge,infolge,ADP
neuerer,neu,ADJ
Anlagen,Anlage,NOUN
ihr,ihr,DET
Publikum,Publikum,NOUN
verloren,verlieren,VERB
haben,haben,AUX
und,und,CCONJ
verblühten,verblühten,VERB
Gouvernanten,Gouvernant,NOUN
",",--,PUNCT
brotlosen,brotlos,ADJ
Schreibern,Schreiber,NOUN
oder,oder,CCONJ
ähnlichen,ähnlich,ADJ
Jammergestalten,Jammergestalte,NOUN
in,in,ADP
lichtscheuer,lichtscheu,ADJ
Kleidung,Kleidung,NOUN
tagsüber,tagsüber,ADV
gewissermaßen,gewissermaßen,ADV
als,als,ADP
Versteck,Versteck,NOUN
dienen,dienen,VERB
.,--,PUNCT
Selbst,selbst,ADV
mein,mein,DET
Mittagsmahl,Mittagsmahl,PROPN
pflege,pflegen,VERB
ich,ich,PRON
zumeist,zumeist,ADV
in,in,ADP
Speiselokalen,Speiselokal,NOUN
einzunehmen,einnehmen,VERB
",",--,PUNCT
die,der,PRON
sich,sich,PRON
einst,einst,ADV
eines,ein,DET
besonderen,besonderer,ADJ
Rufes,Ruf,NOUN
erfreuten,erfreuen,VERB
",",--,PUNCT
jetzt,jetzt,ADV
aber,aber,ADV
durch,durch,ADP
moderne,modern,ADJ
Restaurants,Restaurant,NOUN
in,in,ADP
den,der,DET
Schatten,Schatten,NOUN
gestellt,stellen,VERB
und,und,CCONJ
nur,nur,ADV
mehr,mehr,PRON
von,von,ADP
einer,ein,DET
kleinen,klein,ADJ
Schar,Schar,NOUN
treuer,treu,ADJ
Anhänger,Anhänger,NOUN
besucht,besuchen,VERB
wurden,werden,AUX
.,--,PUNCT
–,--,PUNCT
In,in,ADP
einem,ein,DET
solchen,solcher,DET
Speisehause,Speisehause,NOUN
der,der,DET
inneren,innerer,ADJ
Stadt,Stadt,NOUN
pflegte,pflegen,VERB
ich,ich,PRON
mich,sich,PRON
vor,vor,ADP
mehreren,mehrere,PRON
Jahren,Jahr,NOUN
regelmäßig,regelmäßig,ADV
",",--,PUNCT
und,und,CCONJ
zwar,zwar,ADV
ziemlich,ziemlich,ADV
spät,spät,ADV
einzufinden,einzufinden,VERB
.,--,PUNCT
Denn,denn,CCONJ
ich,ich,PRON
wollte,wollen,AUX
es,es,PRON
still,still,ADV
um,um,SCONJ
mich,mich,PRON
haben,haben,VERB
und,und,CCONJ
über,über,ADP
dem,der,DET
Essen,essen,NOUN
meinen,mein,DET
Gedanken,Gedanke,NOUN
nachhängen,nachhängen,VERB
.,--,PUNCT
Fast,fast,ADV
jedesmal,jedesmal,ADV
aber,aber,ADV
traf,treffen,VERB
ich,ich,PRON
mit,mit,ADP
einem,ein,DET
Gaste,Gaste,NOUN
zusammen,zusammen,ADV
",",--,PUNCT
der,der,PRON
ein,ein,DET
gleiches,gleich,ADJ
Bedürfnis,Bedürfnis,NOUN
zu,zu,PART
empfinden,empfinden,VERB
schien,scheinen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ein,ein,DET
Mann,Mann,NOUN
in,in,ADP
mittleren,mittlerer,ADJ
Jahren,Jahr,NOUN
und,und,CCONJ
von,von,ADP
stattlichem,stattlich,ADJ
Wuchse,Wuchse,NOUN
.,--,PUNCT
Leicht,leicht,ADV
zu,zu,ADP
körperlicher,körperlich,ADJ
Überfülle,Überfülle,NOUN
neigend,neigend,ADV
",",--,PUNCT
das,der,DET
Haar,Haar,NOUN
über,über,ADP
der,der,DET
hohen,hoch,ADJ
",",--,PUNCT
schimmernden,schimmernd,ADJ
Stirn,Stirn,NOUN
bereits,bereits,ADV
gelichtet,lichten,VERB
",",--,PUNCT
saß,sitzen,VERB
er,er,PRON
in,in,ADP
einer,ein,DET
Ecke,Ecke,NOUN
des,der,DET
Zimmers,Zimmer,NOUN
am,an,ADP
Tische,Tisch,NOUN
",",--,PUNCT
aß,aß,VERB
und,und,CCONJ
blickte,blicken,VERB
