Token,Lemma,POS
Ferdinand,Ferdinand,NOUN
von,von,ADP
Saar,Saar,PROPN
Die,der,DET
Steinklopfer,Steinklopfer,NOUN
Novelle,Novelle,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I,I,NUM
Wer,wer,PRON
in,in,ADP
früherer,früh,ADJ
Zeit,Zeit,NOUN
–,--,PUNCT
heutzutage,heutzutage,ADV
ist,sein,AUX
der,der,DET
Eindruck,Eindruck,NOUN
nicht,nicht,PART
mehr,mehr,ADV
so,so,ADV
gewaltig,gewaltig,ADV
–,--,PUNCT
die,der,PRON
Bahn,Bahn,NOUN
über,über,ADP
den,der,DET
Semmering,Semmering,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
längs,Läng,ADV
gähnender,gähnend,ADJ
Abgründe,Abgrund,NOUN
und,und,CCONJ
schroffer,schroff,ADJ
Felswände,Felswand,NOUN
emporwindet,emporwinden,VERB
",",--,PUNCT
zum,zu,ADP
ersten,erster,ADJ
Male,Mal,NOUN
befahren,befahren,VERB
hat,haben,AUX
",",--,PUNCT
der,der,PRON
wird,werden,AUX
",",--,PUNCT
wenn,wenn,SCONJ
der,der,DET
Zug,Zug,NOUN
über,über,ADP
schwindelerregende,schwindelerregend,ADJ
Viadukte,Viadukt,NOUN
donnerte,donnern,VERB
oder,oder,CCONJ
plötzlich,plötzlich,ADV
mit,mit,ADP
schrillem,schrill,ADJ
Pfeifen,pfeifen,NOUN
in,in,ADP
die,der,DET
Nacht,Nacht,NOUN
endlos,endlos,ADV
scheinender,scheinend,ADJ
Tunnels,Tunnel,NOUN
hineinbrauste,hineinbrausen,VERB
",",--,PUNCT
jene,jener,PRON
mit,mit,ADP
erhabenem,erhaben,ADJ
Grauen,Grauen,NOUN
gemischte,gemischt,ADJ
Bewunderung,Bewunderung,NOUN
empfunden,empfinden,VERB
haben,haben,AUX
",",--,PUNCT
die,der,PRON
uns,uns,PRON
stets,stets,ADV
überkommt,überkommen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
wir,wir,PRON
etwas,etwas,PRON
",",--,PUNCT
das,der,PRON
wir,wir,PRON
bisher,bisher,ADV
für,für,ADP
unmöglich,unmöglich,ADV
gehalten,halten,VERB
",",--,PUNCT
verwirklicht,verwirklichen,VERB
vor,vor,ADP
uns,uns,PRON
sehen,sehen,VERB
.,--,PUNCT
Und,und,CCONJ
wenn,wenn,SCONJ
dann,dann,ADV
die,der,DET
gekoppelte,gekoppelt,ADJ
Wagenreihe,Wagenreihe,NOUN
",",--,PUNCT
allmählich,allmählich,ADV
ebenen,eben,ADJ
Boden,Boden,NOUN
erreichend,erreichend,ADV
",",--,PUNCT
wieder,wieder,ADV
gefahrlos,gefahrlos,ADV
zwischen,zwischen,ADP
lachenden,lachend,ADJ
Triften,Trift,NOUN
forteilte,forteiln,VERB
",",--,PUNCT
dann,dann,ADV
wird,werden,AUX
er,er,PRON
sich,sich,PRON
voll,voll,ADP
Stolz,Stolz,NOUN
",",--,PUNCT
der,der,DET
Sohn,Sohn,NOUN
eines,ein,DET
Jahrhunderts,Jahrhundert,NOUN
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
das,der,PRON
solche,solcher,DET
Wunderwerke,Wunderwerk,NOUN
hervorbringt,hervorbringen,VERB
",",--,PUNCT
in,in,ADP
seinen,sein,DET
Sitz,Sitz,NOUN
zurückgelehnt,zurücklehnen,VERB
und,und,CCONJ
sich,sich,PRON
mit,mit,ADP
halbgeschlossenen,halbgeschlossen,ADJ
Augen,Auge,NOUN
hinübergeträumt,hinübergeträumen,VERB
haben,haben,AUX
in,in,ADP
die,der,DET
Errungenschaften,Errungenschaft,NOUN
der,der,DET
Zukunft,Zukunft,NOUN
",",--,PUNCT
welche,welcher,PRON
in,in,ADP
der,der,DET
Eröffnung,Eröffnung,NOUN
des,der,DET
Suezkanals,suezkanals,ADV
und,und,CCONJ
dem,der,DET
Durchstich,Durchstich,NOUN
des,der,DET
Mont,Mont,PROPN
Cenis,Cenis,PROPN
noch,noch,ADV
immer,immer,ADV
nicht,nicht,PART
ihre,ihr,DET
kühnste,Kühnste,NOUN
Betätigung,Betätigung,NOUN
gefunden,finden,VERB
.,--,PUNCT
An,an,ADP
eines,einer,PRON
aber,aber,ADV
",",--,PUNCT
das,der,PRON
kann,können,AUX
man,man,PRON
zuversichtlich,zuversichtlich,ADV
annehmen,annehmen,VERB
",",--,PUNCT
werden,werden,AUX
die,der,DET
wenigsten,wenigster,PRON
gedacht,denken,VERB
haben,haben,AUX
:,--,PUNCT
an,an,ADP
die,der,DET
Tausende,Tausend,NOUN
und,und,CCONJ
Abertausende,Abertausende,NOUN
von,von,ADP
Menschen,Mensch,NOUN
",",--,PUNCT
welche,welcher,PRON
im,in,ADP
Schweiße,Schweiße,NOUN
ihres,ihr,DET
Angesichtes,Angesicht,NOUN
",",--,PUNCT
allen,aller,DET
Fährlichkeiten,Fährlichkeit,NOUN
preisgegeben,preisgeben,VERB
",",--,PUNCT
Felsen,Fels,NOUN
gesprengt,sprengen,VERB
",",--,PUNCT
Steinblöcke,Steinblöck,NOUN
gewälzt,wälzen,VERB
",",--,PUNCT
Abgründe,Abgrund,NOUN
überbrückt,überbrücken,VERB
und,und,CCONJ
so,so,ADV
recht,recht,ADV
eigentlich,eigentlich,ADV
jene,jener,DET
Verkehrsstraße,Verkehrsstraße,NOUN
geschaffen,schaffen,VERB
",",--,PUNCT
auf,auf,ADP
welcher,welcher,PRON
man,man,PRON
",",--,PUNCT
fast,fast,ADV
so,so,ADV
rasch,rasch,ADV
wie,wie,ADP
der,der,DET
Gedanke,Gedanke,NOUN
",",--,PUNCT
aus,aus,ADP
der,der,DET
unruhvollen,unruhvoll,ADJ
",",--,PUNCT
staubdurchwirbelten,staubdurchwirbelt,ADJ
Hauptstadt,Hauptstadt,NOUN
am,an,ADP
Ufer,Ufer,NOUN
der,der,DET
Donau,Donau,PROPN
an,an,ADP
den,der,DET
Strand,Strand,NOUN
der,der,DET
blauen,blau,ADJ
Adria,Adria,NOUN
versetzt,versetzen,VERB
werden,werden,AUX
kann,können,AUX
.,--,PUNCT
Von,von,ADP
zweien,zweien,NOUN
solcher,solcher,DET
armen,arm,ADJ
Menschen,Mensch,NOUN
",",--,PUNCT
welche,welcher,PRON
seit,seit,ADP
jeher,jeher,ADV
",",--,PUNCT
ohne,ohne,ADP
daß,daß,SCONJ
ihnen,ihnen,PRON
selbst,selbst,ADV
bis,bis,ADP
jetzt,jetzt,ADV
die,der,DET
Segnungen,Segnung,NOUN
des,der,DET
Fortschritts,Fortschritt,NOUN
zuteil,zuteil,ADV
geworden,werden,AUX
wären,sein,AUX
",",--,PUNCT
treulich,treulich,ADV
mitgeholfen,mitgeholfen,VERB
bei,bei,ADP
der,der,DET
großen,groß,ADJ
Kulturarbeit,Kulturarbeit,NOUN
der,der,DET
Völker,Volk,NOUN
",",--,PUNCT
will,wollen,AUX
ich,ich,PRON
nun,nun,ADV
eine,ein,DET
kleine,klein,ADJ
Geschichte,Geschichte,NOUN
erzählen,erzählen,VERB
.,--,PUNCT
Nicht,nicht,PART
etwa,etwa,ADV
",",--,PUNCT
um,um,SCONJ
das,der,DET
harte,hart,ADJ
Los,Los,NOUN
dieser,dieser,DET
Parias,Paria,NOUN
der,der,DET
Gesellschaft,Gesellschaft,NOUN
",",--,PUNCT
die,der,PRON
unsere,unser,DET
Dome,Dome,NOUN
und,und,CCONJ
Paläste,Paläst,NOUN
",",--,PUNCT
unsere,unser,DET
Unterrichtsanstalten,Unterrichtsanstalte,NOUN
und,und,CCONJ
Kunstinstitute,Kunstinstitut,NOUN
bauen,bauen,VERB
",",--,PUNCT
in,in,ADP
grellen,grell,NOUN
Farben,Farbe,NOUN
zu,zu,PART
schildern,schildern,VERB
",",--,PUNCT
oder,oder,CCONJ
darzutun,darzutun,VERB
",",--,PUNCT
welche,welcher,DET
Rolle,Rolle,NOUN
der,der,DET
sogenannte,sogenannter,ADJ
fünfte,fünfter,ADJ
Stand,Stand,NOUN
dereinst,dereinst,ADV
noch,noch,ADV
im,in,ADP
Laufe,Lauf,NOUN
der,der,DET
Begebenheiten,Begebenheit,NOUN
zu,zu,PART
spielen,spielen,VERB
berufen,berufen,VERB
sein,sein,AUX
dürfte,dürfen,AUX
:,--,PUNCT
sondern,sondern,CCONJ
nur,nur,ADV
",",--,PUNCT
um,um,SCONJ
ein,ein,DET
