Token,Lemma,POS
Franz,Franz,PROPN
Grillparzer,Grillparzer,PROPN
Ein,ein,DET
Erlebnis,Erlebnis,NOUN
Aus,aus,ADP
dem,der,DET
Tagebuche,Tagebuch,NOUN
1822.,1822.,PROPN
(,--,PUNCT
Aus,aus,ADP
dem,der,DET
Tagebuche,Tagebuch,NOUN
.,--,PUNCT
),--,PUNCT
1822.,1822.,PUNCT
5.,5.,ADJ
Mai,Mai,NOUN
.,--,PUNCT
Gestern,gestern,ADV
begegnete,begegnen,VERB
mir,mir,PRON
einer,einer,PRON
der,der,DET
sonderbarsten,sonderbar,ADJ
Vorfälle,Vorfall,NOUN
in,in,ADP
meinem,mein,DET
Leben,Leben,NOUN
.,--,PUNCT
Frau,Frau,NOUN
v.,v.,ADP
P.,P.,PROPN
",",--,PUNCT
deren,der,DET
Tochter,Tochter,NOUN
",",--,PUNCT
die,der,PRON
ich,ich,PRON
gekannt,kennen,VERB
",",--,PUNCT
vor,vor,ADP
einiger,einiger,DET
Zeit,Zeit,NOUN
gestorben,sterben,VERB
ist,sein,AUX
",",--,PUNCT
läßt,lassen,VERB
mich,mich,PRON
bitten,bitten,VERB
",",--,PUNCT
sie,sie,PRON
zu,zu,PART
besuchen,besuchen,VERB
.,--,PUNCT
Beinahe,beinahe,ADV
ein,ein,DET
volles,voll,ADJ
Jahr,Jahr,NOUN
vor,vor,ADP
dem,der,DET
Tode,Tod,NOUN
ihrer,ihr,DET
Tochter,Tochter,NOUN
war,sein,AUX
ich,ich,PRON
aus,aus,ADP
ihrem,ihr,DET
Hause,Haus,NOUN
weggeblieben,weggeblieben,VERB
",",--,PUNCT
teils,teils,ADV
weil,weil,SCONJ
ich,ich,PRON
in,in,ADP
dem,der,DET
dort,dort,ADV
herrschenden,herrschend,ADJ
Tone,Ton,NOUN
etwas,etwas,DET
Gesuchtes,gesuchte,NOUN
zu,zu,PART
bemerken,bemerken,VERB
glaubte,glauben,VERB
",",--,PUNCT
teils,teils,ADV
weil,weil,SCONJ
ich,ich,PRON
fürchtete,fürchten,VERB
",",--,PUNCT
es,es,PRON
könne,können,AUX
durch,durch,ADP
Zeit,Zeit,NOUN
",",--,PUNCT
Gewohnheit,Gewohnheit,NOUN
und,und,CCONJ
Gerede,Gerede,NOUN
der,der,DET
Leute,Leute,NOUN
ein,ein,DET
näheres,näh,ADJ
Verhältnis,Verhältnis,NOUN
zwischen,zwischen,ADP
mir,mir,PRON
und,und,CCONJ
der,der,DET
Tochter,Tochter,NOUN
vom,von,ADP
Hause,Haus,NOUN
",",--,PUNCT
einem,ein,DET
übrigens,übrigens,ADV
höchst,höchst,ADV
geistreichen,geistreichen,ADJ
",",--,PUNCT
gebildeten,gebildet,ADJ
",",--,PUNCT
guten,gut,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
entstehen,entstehen,VERB
",",--,PUNCT
das,der,PRON
",",--,PUNCT
wenn,wenn,SCONJ
auch,auch,ADV
nicht,nicht,PART
gerade,gerade,ADV
schön,schön,ADV
",",--,PUNCT
doch,doch,CCONJ
besonders,besonders,ADV
durch,durch,ADP
ihren,ihr,DET
über,über,ADP
allen,aller,DET
Ausdruck,Ausdruck,NOUN
schönen,schön,ADJ
Wuchs,Wuch,NOUN
auch,auch,ADV
äußerliche,äußerlich,ADJ
Vorzüge,Vorzug,NOUN
genug,genug,ADV
besaß,besitzen,VERB
",",--,PUNCT
um,um,SCONJ
eine,ein,DET
solche,solcher,DET
Furcht,Furcht,NOUN
nicht,nicht,PART
ungegründet,ungegründen,VERB
zu,zu,ADP
machen,machen,VERB
.,--,PUNCT
Zu,zu,ADP
all,all,DET
dem,der,DET
gesellte,geselln,VERB
sich,sich,PRON
noch,noch,ADV
meine,mein,DET
alte,alt,ADJ
Menschen-,Mensche,X
oder,oder,CCONJ
vielmehr,vielmehr,ADV
Gesellschaftsscheu,Gesellschaftsscheu,NOUN
",",--,PUNCT
und,und,CCONJ
kurz,kurz,ADV
",",--,PUNCT
ich,ich,PRON
blieb,bleiben,VERB
weg,weg,ADV
.,--,PUNCT
Nach,nach,ADP
einigen,einige,DET
nur,nur,ADV
schwachen,schwachen,ADJ
und,und,CCONJ
bald,bald,ADV
ganz,ganz,ADV
aufgegebenen,aufgegeben,ADJ
Versuchen,Versuch,NOUN
",",--,PUNCT
mich,mich,PRON
wieder,wieder,ADV
in,in,ADP
ihren,ihr,DET
Kreis,Kreis,NOUN
zu,zu,PART
ziehen,ziehen,VERB
",",--,PUNCT
stellte,stellen,VERB
sich,sich,PRON
auch,auch,ADV
die,der,DET
P.sche,p.sch,ADJ
Familie,Familie,NOUN
darüber,darüber,ADV
zufrieden,zufrieden,ADV
",",--,PUNCT
und,und,CCONJ
ich,ich,PRON
hatte,haben,VERB
alle,aller,DET
Ursache,Ursache,NOUN
zu,zu,ADP
glauben,glauben,VERB
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
",",--,PUNCT
mutatis,Mutati,PROPN
mutandis,Mutandis,PROPN
",",--,PUNCT
ebensowenig,ebensowenig,ADV
mehr,mehr,ADV
an,an,ADP
mich,mich,PRON
dächten,dächten,VERB
",",--,PUNCT
als,als,SCONJ
ich,ich,PRON
an,an,ADP
sie,sie,PRON
.,--,PUNCT
Verflossenen,Verflossen,ADJ
Winter,Winter,NOUN
höre,hören,VERB
ich,ich,PRON
plötzlich,plötzlich,ADV
",",--,PUNCT
Marie,Marie,NOUN
P.,P.,PROPN
sei,sein,AUX
schwer,schwer,ADV
krank,krank,ADV
.,--,PUNCT
Sie,sie,PRON
war,sein,AUX
mit,mit,ADP
ihrem,ihr,DET
Bruder,Bruder,NOUN
bei,bei,ADP
meinem,mein,DET
Onkel,Onkel,NOUN
S.,S.,NOUN
auf,auf,ADP
dem,der,DET
Balle,Balle,NOUN
gewesen,sein,AUX
",",--,PUNCT
hatte,haben,AUX
stark,stark,ADV
getanzt,tanzen,VERB
",",--,PUNCT
während,während,SCONJ
ihr,ihr,DET
Bruder,Bruder,NOUN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
unwohl,unwohl,ADV
befand,befinden,VERB
",",--,PUNCT
unmäßig,unmäßig,ADV
Thee,Thee,NOUN
trank,trinken,VERB
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
von,von,ADP
dem,der,DET
starken,stark,ADJ
Grimmen,Grimmen,NOUN
",",--,PUNCT
das,der,PRON
ihn,ihn,PRON
plagte,plagen,VERB
",",--,PUNCT
zu,zu,PART
befreien,befreien,VERB
",",--,PUNCT
dadurch,dadurch,ADV
aber,aber,ADV
nur,nur,ADV
das,der,DET
Uebel,Uebel,ADV
stärker,stark,ADV
machte,machen,VERB
und,und,CCONJ
vor,vor,ADP
Schluß,Schluß,NOUN
des,der,DET
Balles,Ball,NOUN
mit,mit,ADP
seiner,sein,DET
Schwester,Schwester,NOUN
nach,nach,ADP
Hause,Haus,NOUN
fahren,fahren,VERB
mußte,müssen,AUX
.,--,PUNCT
Zu,zu,ADP
Hause,Haus,NOUN
angekommen,ankommen,VERB
",",--,PUNCT
nimmt,nehmen,VERB
der,der,DET
Schmerz,Schmerz,NOUN
zu,zu,ADP
;,--,PUNCT
das,der,DET
Mädchen,Mädchen,NOUN
in,in,ADP
ihrer,ihr,DET
Gutmütigkeit,Gutmütigkeit,ADV
will,wollen,AUX
niemand,niemand,PRON
wecken,wecken,VERB
",",--,PUNCT
läuft,laufen,VERB
selbst,selbst,ADV
",",--,PUNCT
noch,noch,ADV
vom,von,ADP
Tanzen,tanzen,NOUN
erhitzt,erhitzen,VERB
",",--,PUNCT
in,in,ADP
die,der,PRON
Küche,Küche,NOUN
",",--,PUNCT
macht,machen,VERB
Thee,Thee,PROPN
",",--,PUNCT
wärmt,wärmen,VERB
Tücher,Tücher,NOUN
",",--,PUNCT
besorgt,besorgen,VERB
den,der,DET
Bruder,Bruder,NOUN
.,--,PUNCT
Des,der,DET
andern,anderer,ADJ
Morgens,Morgen,NOUN
findet,finden,VERB
man,man,PRON
sie,sie,PRON
in,in,ADP
heftigem,heftig,ADJ
Fieber,Fieber,NOUN
",",--,PUNCT
sie,sie,PRON
hat,haben,AUX
sich,sich,PRON
erkältet,erkälten,VERB
und,und,CCONJ
ist,sein,AUX
nun,nun,ADV
selbst,selbst,ADV
sehr,sehr,ADV
krank,krank,ADV
.,--,PUNCT
Die,der,DET
Krankheit,Krankheit,NOUN
nimmt,nehmen,VERB
zu,zu,ADP
",",--,PUNCT
greift,greifen,VERB
besonders,besonders,ADV
auf,auf,ADP
die,der,DET
Nerven,Nerv,NOUN
",",--,PUNCT
weicht,weichen,VERB
aber,aber,ADV
doch,doch,CCONJ
endlich,endlich,ADV
der,der,DET
vereinten,vereint,ADJ
Bemühung,Bemühung,NOUN
geschickter,geschickt,ADJ
Aerzte,Aerzte,NOUN
",",--,PUNCT
und,und,CCONJ
das,der,DET
Mädchen,Mädchen,NOUN
naht,nahen,VERB
der,der,DET
Genesung,Genesung,NOUN
.,--,PUNCT
Beinahe,beinahe,ADV
erst,erst,ADV
in,in,ADP
diesem,dieser,DET
letzten,letzter,ADJ
Zeitraume,Zeitraume,NOUN
erfahre,erfahren,VERB
ich,ich,PRON
etwas,etwas,PRON
von,von,ADP
der,der,DET
ganzen,ganz,ADJ
Sache,Sache,NOUN
.,--,PUNCT
In,in,ADP
Zweifel,Zweifel,NOUN
",",--,PUNCT
ob,ob,SCONJ
ich,ich,PRON
hingehen,hingehen,VERB
soll,sollen,AUX
oder,oder,CCONJ
nicht,nicht,PART
",",--,PUNCT
entscheidet,entscheiden,VERB
sich,sich,PRON
meine,mein,DET
Trägheit,Trägheit,NOUN
",",--,PUNCT
wie,wie,ADV
gewöhnlich,gewöhnlich,ADV
",",--,PUNCT
für,für,ADP
das,der,DET
letztere,letzterer,PRON
",",--,PUNCT
und,und,CCONJ
ich,ich,PRON
ging,gehen,VERB
nicht,nicht,PART
.,--,PUNCT
Kurz,kurz,ADV
darauf,darauf,ADV
höre,hören,VERB
ich,ich,PRON
",",--,PUNCT
das,der,DET
Mädchen,Mädchen,NOUN
sei,sein,AUX
von,von,ADP
neuem,neu,ADJ
in,in,ADP
die,der,DET
Krankheit,Krankheit,NOUN
zurückgefallen,zurückfallen,VERB
",",--,PUNCT
die,der,PRON
nun,nun,ADV
ganz,ganz,ADV
einen,ein,DET
nervösen,nervös,ADJ
Charakter,Charakter,NOUN
angenommen,annehmen,VERB
habe,haben,AUX
",",--,PUNCT
und,und,CCONJ
als,als,SCONJ
ich,ich,PRON
eben,eben,ADV
bei,bei,ADP
meiner,mein,DET
Tante,Tante,ADJ
S.,S.,NOUN
bin,sein,AUX
",",--,PUNCT
fragt,fragen,VERB
mich,mich,PRON
diese,dieser,PRON
",",--,PUNCT
wie,wie,SCONJ
um,um,ADP
etwas,etwas,DET
ganz,ganz,ADV
Bekanntes,bekannte,NOUN
:,--,PUNCT
Du,du,PRON
weißt,weißen,VERB
ja,ja,ADV
doch,doch,ADV
",",--,PUNCT
daß,daß,SCONJ
Marie,Marie,NOUN
P.,P.,PROPN
gestorben,sterben,VERB
ist,sein,AUX
?,--,PUNCT
Ich,ich,PRON
war,sein,AUX
heftig,heftig,ADV
erschüttert,erschüttern,VERB
;,--,PUNCT
obgleich,obgleich,SCONJ
mehr,mehr,ADV
über,über,ADP
das,der,PRON
Unerwartete,unerwartete,VERB
",",--,PUNCT
als,als,SCONJ
über,über,ADP
die,der,DET
Sache,Sache,NOUN
selbst,selbst,ADV
",",--,PUNCT
obschon,obschon,SCONJ
ich,ich,PRON
das,der,DET
Mädchen,Mädchen,NOUN
wahrhaft,wahrhaft,ADV
geschätzt,schätzen,VERB
hatte,haben,AUX
und,und,CCONJ
ihren,ihr,DET
Umgang,Umgang,NOUN
gewiß,gewiß,ADV
gesucht,suchen,VERB
haben,haben,AUX
würde,werden,AUX
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
überhaupt,überhaupt,ADV
Umgang,Umgang,NOUN
suchte,suchen,VERB
und,und,CCONJ
der,der,DET
etwas,etwas,ADV
gezierte,geziert,ADJ
Ton,Ton,NOUN
ihrer,ihr,DET
Verwandten,verwandte,NOUN
nicht,nicht,PART
ein,ein,ADV
unangenehmes,unangenehm,ADJ
Licht,Licht,NOUN
auf,auf,ADP
sie,sie,PRON
selbst,selbst,ADV
geworfen,werfen,VERB
hätte,haben,AUX
.,--,PUNCT
In,in,ADP
ein,ein,DET
paar,paar,DET
Tagen,Tag,NOUN
darauf,darauf,ADV
war,sein,AUX
das,der,DET
Leichenbegängnis,Leichenbegängnis,NOUN
.,--,PUNCT
Ich,ich,PRON
ging,gehen,VERB
an,an,ADP
der,der,DET
Stephanskirche,Stephanskirche,NOUN
vorüber,vorüber,ADP
",",--,PUNCT
als,als,SCONJ
man,man,PRON
eben,eben,ADV
die,der,DET
Anstalten,Anstalt,NOUN
dazu,dazu,ADV
machte,machen,VERB
",",--,PUNCT
und,und,CCONJ
ward,werden,VERB
innerlich,innerlich,ADV
ergrimmt,ergrimmen,VERB
über,über,ADP
mich,mich,PRON
",",--,PUNCT
daß,daß,SCONJ
mich,mich,PRON
der,der,DET
traurige,traurig,ADJ
Fall,Fall,NOUN
so,so,ADV
gleichgültig,gleichgültig,ADV
lasse,lassen,VERB
.,--,PUNCT
Ich,ich,PRON
nahm,nehmen,VERB
es,es,PRON
als,als,ADP
einen,ein,DET
neuen,neu,ADJ
Beweis,Beweis,NOUN
einer,ein,DET
seit,seit,ADP
einiger,einiger,DET
Zeit,Zeit,NOUN
nur,nur,ADV
zu,zu,ADP
deutlich,deutlich,ADV
empfundenen,empfunden,ADJ
allmählichen,allmählich,ADJ
Verhärtung,Verhärtung,NOUN
des,der,DET
Herzens,Herzens,X
",",--,PUNCT
das,der,PRON
mich,mich,PRON
zuletzt,zuletzt,ADV
noch,noch,ADV
zu,zu,ADP
einem,ein,DET
Ideenegoisten,Ideenegoist,NOUN
machen,machen,VERB
wird,werden,AUX
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
Egoisten,Egoist,NOUN
des,der,DET
Vorteils,Vorteil,NOUN
gibt,geben,VERB
.,--,PUNCT
Wie,wie,SCONJ
gesagt,sagen,VERB
",",--,PUNCT
ich,ich,PRON
ärgerte,ärgern,VERB
mich,sich,PRON
über,über,ADP
meine,mein,DET
Gefühllosigkeit,Gefühllosigkeit,NOUN
und,und,CCONJ
ging,gehen,VERB
in,in,ADP
die,der,DET
Kirche,Kirche,NOUN
",",--,PUNCT
um,um,SCONJ
mich,mich,PRON
auf,auf,ADP
die,der,DET
Probe,Probe,NOUN
zu,zu,PART
stellen,stellen,VERB
",",--,PUNCT
wie,wie,SCONJ
weit,weit,ADV
das,der,PRON
ginge,gehen,VERB
.,--,PUNCT
Der,der,DET
Leichenzug,Leichenzug,NOUN
kam,kommen,VERB
",",--,PUNCT
die,der,PRON
Bahre,Bahr,NOUN
mit,mit,ADP
dem,der,DET
Jungfrauenkranz,Jungfrauenkranz,NOUN
geziert,ziern,VERB
",",--,PUNCT
hinterher,hinterher,ADV
der,der,DET
alte,alt,ADJ
",",--,PUNCT
grämliche,grämlich,ADJ
Bediente,Bedient,NOUN
",",--,PUNCT
der,der,PRON
mir,mir,PRON
oft,oft,ADV
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
neben,neben,ADP
