Token,Lemma,POS
Lustiges,Lustiges,PROPN
Komödienbüchlein,Komödienbüchlein,PROPN
von,von,ADP
Franz,Franz,PROPN
Pocci,Pocci,PROPN
Zweites,Zweites,ADJ
Bändchen,Bändch,NOUN
München,München,PROPN
",",--,PUNCT
1861.,1861.,PUNCT
Verlag,Verlag,NOUN
der,der,DET
J.,J.,PROPN
J.,J.,PROPN
Kentner'schen,Kentner'schen,DET
Buchhandlung,Buchhandlung,NOUN
.,--,PUNCT
(,--,PUNCT
E.,E.,PROPN
Stahl,Stahl,PROPN
),--,PUNCT
Als,als,ADP
Manuscript,Manuscript,NOUN
gedruckt,drucken,VERB
.,--,PUNCT
Druck,Druck,NOUN
von,von,ADP
E.,E.,PROPN
Stahl,Stahl,PROPN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Prolog,Prolog,NOUN
.,--,PUNCT
Das,der,DET
goldene,golden,ADJ
Ei,Ei,NOUN
.,--,PUNCT
Doctor,Doctor,NOUN
Sassafras,Sassafras,PROPN
Der,der,DET
Weihnachts-Brief,Weihnachts-Brief,NOUN
.,--,PUNCT
Die,der,DET
drei,drei,NUM
Wünsche,Wunsch,NOUN
.,--,PUNCT
Die,der,DET
Taube,Taube,NOUN
Muzl,Muzl,PROPN
",",--,PUNCT
der,der,DET
gestiefelte,gestiefelt,ADJ
Kater,Kater,NOUN
.,--,PUNCT
Herbed,Herbed,PROPN
",",--,PUNCT
der,der,DET
vertriebene,vertrieben,ADJ
Prinz,Prinz,NOUN
.,--,PUNCT
Casperl,Casperl,NOUN
als,als,ADP
Garibaldi,Garibaldi,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Prolog,Prolog,NOUN
.,--,PUNCT
Das,der,DET
goldene,golden,ADJ
Ei,Ei,NOUN
.,--,PUNCT
Personen,Person,NOUN
.,--,PUNCT
Negrocephalus,Negrocephalus,PROPN
",",--,PUNCT
Zauberer,Zauberer,NOUN
.,--,PUNCT
Putzlmaier,Putzlmaier,NOUN
.,--,PUNCT
dessen,der,PRON
Famulus,Famulus,NOUN
.,--,PUNCT
Der,der,DET
Gockelhahn,Gockelhahn,NOUN
.,--,PUNCT
Eine,ein,DET
verhüllte,verhüllt,ADJ
Geistererscheinung,Geistererscheinung,NOUN
.,--,PUNCT
Blitz,Blitz,NOUN
und,und,CCONJ
Donner,Donner,NOUN
.,--,PUNCT
Felsenhöhle,Felsenhöhl,NOUN
mit,mit,ADP
Zauberapparaten,Zauberapparat,NOUN
.,--,PUNCT
Auf,auf,ADP
einem,ein,DET
Felsblock,Felsblock,NOUN
liegt,liegen,VERB
ein,ein,DET
großes,groß,ADJ
Buch,Buch,NOUN
aufgeschlagen,aufschlagen,VERB
.,--,PUNCT
Rechts,Rechts,ADV
ein,ein,DET
Todtenkopf,Todtenkopf,NOUN
",",--,PUNCT
links,links,ADV
ein,ein,DET
Eselskopf,Eselskopf,NOUN
",",--,PUNCT
in,in,ADP
der,der,DET
Mitte,Mitte,NOUN
eine,ein,DET
Sanduhr,Sanduhr,NOUN
;,--,PUNCT
ein,ein,DET
großer,groß,ADJ
Barometer,Barometer,NOUN
hängt,hängen,VERB
an,an,ADP
der,der,DET
Felsenwand,Felsenwand,NOUN
.,--,PUNCT
Negrocephalus,Negrocephalus,PROPN
(,--,PUNCT
steht,stehen,VERB
vor,vor,ADP
dem,der,DET
Buche,Buch,NOUN
und,und,CCONJ
blättert,blättern,VERB
darin,darin,ADV
),--,PUNCT
.,--,PUNCT
Beim,bei,ADP
großen,groß,ADJ
Salamo,Salamo,PROPN
!,--,PUNCT
heut,heut,ADV
geht,gehen,VERB
mir,mir,PRON
nichts,nichts,PRON
zusammen,zusammen,ADV
mit,mit,ADP
meiner,mein,DET
Zauberei,Zauberei,NOUN
.,--,PUNCT
Jetzt,jetzt,ADV
laborir,laborir,VERB
ich,ich,PRON
schon,schon,ADV
den,der,DET
ganzen,ganz,ADJ
Vormittag,Vormittag,NOUN
und,und,CCONJ
kann,können,AUX
keinen,kein,DET
Geist,Geist,NOUN
citiren,citiren,VERB
.,--,PUNCT
Vielleicht,vielleicht,ADV
hab,hab,AUX
ich,ich,PRON
nicht,nicht,PART
das,der,PRON
richtige,richtig,ADJ
Blattl,Blattl,NOUN
in,in,ADP
mei'm,mei'm,ADJ
Zauberbuch,Zauberbuch,NOUN
erwischt,erwischen,VERB
oder,oder,CCONJ
ist,sein,AUX
mein,mein,DET
Zauberstaberl,Zauberstaberl,NOUN
vom,von,ADP
feuchten,feucht,ADJ
Wetter,Wetter,NOUN
etwas,etwas,ADV
verbogen,verbogen,VERB
–,--,PUNCT
kurz,kurz,ADV
!,--,PUNCT
es,es,PRON
ist,sein,AUX
eine,ein,DET
wahre,wahr,ADJ
Schand,Schand,NOUN
für,für,ADP
einen,ein,DET
Zauberer,Zauberer,NOUN
von,von,ADP
meiner,mein,DET
Qualifikation,Qualifikation,NOUN
!,--,PUNCT
Auch,auch,ADV
dieser,dieser,DET
ausgestopfte,ausgestopft,ADJ
Kopf,Kopf,NOUN
des,der,DET
klugen,klug,ADJ
Bienam-Esels,Bienam-Esel,PROPN
schweigt,schweigen,VERB
heute,heute,ADV
",",--,PUNCT
der,der,PRON
mir,mir,PRON
doch,doch,ADV
sonst,sonst,ADV
die,der,DET
besten,gut,ADJ
Andeutungen,Andeutung,NOUN
gibt,geben,VERB
.,--,PUNCT
(,--,PUNCT
gibt,geben,VERB
ihm,ihm,PRON
einen,ein,DET
Schlag,Schlag,NOUN
mit,mit,ADP
dem,der,DET
Zauberstäbchen,Zauberstäbchen,NOUN
.,--,PUNCT
),--,PUNCT
Na,na,INTJ
!,--,PUNCT
–,--,PUNCT
gar,gar,ADV
nichts,nichts,PRON
heut,heuen,VERB
?,--,PUNCT
Was,was,PRON
ist's,ist's,NOUN
?,--,PUNCT
Kein,kein,DET
Zeichen,Zeichen,NOUN
?,--,PUNCT
(,--,PUNCT
Der,der,DET
Eselskopf,Eselskopf,NOUN
bewegt,bewegen,VERB
die,der,DET
Ohren,Ohr,NOUN
und,und,CCONJ
schreit,schreien,VERB
»,--,PUNCT
Ya,Ya,X
Ya,Ya,X
!,--,PUNCT
«,--,PUNCT
),--,PUNCT
Endlich,endlich,ADV
!,--,PUNCT
–,--,PUNCT
Aber,aber,CCONJ
jetzt,jetzt,ADV
fallt,fallt,VERB
mir,mir,PRON
was,was,PRON
ein,ein,ADV
!,--,PUNCT
Vielleicht,vielleicht,ADV
hat,haben,AUX
mir,mir,PRON
gar,gar,ADV
mein,mein,DET
Famulus,Famulus,NOUN
Putzlmaier,Putzlmaier,NOUN
das,der,DET
Zauberbuch,Zauberbuch,NOUN
verblättelt,verblätteln,VERB
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Seiten,Seite,NOUN
nicht,nicht,PART
mehr,mehr,ADV
mit,mit,ADP
dem,der,DET
Kalender,Kalender,NOUN
zusammengehn,zusammengehn,NUM
;,--,PUNCT
denn,denn,CCONJ
der,der,PRON
mischt,mischen,VERB
sich,sich,PRON
in,in,ADP
gar,gar,ADV
Alles,alle,PRON
und,und,CCONJ
will,wollen,AUX
alleweil,Alleweil,NOUN
gscheider,Gscheider,NOUN
sein,sein,AUX
als,als,ADP
ich,ich,PRON
.,--,PUNCT
Putzlmaier,Putzlmaier,NOUN
!,--,PUNCT
Putzlmaier,Putzlmaier,NOUN
!,--,PUNCT
Putzlmaier,Putzlmaier,NOUN
(,--,PUNCT
von,von,ADP
Außen,außen,NOUN
.,--,PUNCT
),--,PUNCT
Was,was,PRON
gibt's,gibt's,VERB
schon,schon,ADV
wieder,wieder,ADV
?,--,PUNCT
Negrocephalus,Negrocephalus,PROPN
.,--,PUNCT
Herein,Herein,NOUN
da,da,ADV
!,--,PUNCT
Wo,wo,ADV
steckt,stecken,VERB
er,er,PRON
?,--,PUNCT
Putzlmaier,Putzlmaier,NOUN
(,--,PUNCT
tritt,treten,VERB
ein,ein,ADV
),--,PUNCT
.,--,PUNCT
Was,was,PRON
wolln's,wolln's,PROPN
denn,denn,ADV
in,in,ADP
aller,aller,DET
Fruh,Fruh,NOUN
z,z,PROPN
',--,PUNCT
Mittags,Mittags,ADV
?,--,PUNCT
Jetzt,jetzt,ADV
hab,hab,PROPN
ich,ich,PRON
grad,Grad,VERB
mein,mein,DET
',--,PUNCT
Caffee,Caffee,NOUN
trinken,trinken,VERB
wollen,wollen,AUX
.,--,PUNCT
Negrocephalus,Negrocephalus,PROPN
.,--,PUNCT
Was,was,PRON
hat,haben,AUX
er,er,PRON
wieder,wieder,ADV
getrieben,treiben,VERB
beim,bei,ADP
Abstauben,Abstaube,NOUN
heut,heuen,VERB
in,in,ADP
der,der,DET
Früh,Früh,NOUN
?,--,PUNCT
Gelt,Gelt,NOUN
?,--,PUNCT
's,'s,PRON
Buch,Buch,NOUN
verblattelt,verblatteln,VERB
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
mich,sich,PRON
nimmer,nimmer,ADV
auskenn,auskenn,ADV
!,--,PUNCT
Putzlmaier,Putzlmaier,NOUN
Das,der,PRON
kann,können,AUX
die,der,DET
Zugluft,Zugluft,NOUN
auch,auch,ADV
gethan,Gethan,PROPN
haben,haben,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
ich,ich,PRON
abstauben,abstauben,VERB
und,und,CCONJ
aufräumen,aufräumen,VERB
soll,sollen,AUX
",",--,PUNCT
so,so,ADV
muß,müssen,AUX
ich,ich,PRON
auch,auch,ADV
was,was,PRON
anrühren,anrühren,VERB
.,--,PUNCT
Negrocephalus,Negrocephalus,PROPN
.,--,PUNCT
Nur,nur,ADV
nicht,nicht,PART
naseweis,naseweis,VERB
",",--,PUNCT
Monsieur,Monsieur,PROPN
Putzlmaier,Putzlmaier,PROPN
!,--,PUNCT
–,--,PUNCT
