Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Der,der,DET
erkaufte,erkauft,ADJ
Henker,Henker,NOUN
Eben,eben,ADV
verkündete,verkünden,VERB
im,in,ADP
fernen,fern,ADJ
Osten,Osten,NOUN
ein,ein,DET
blasser,blass,ADJ
Streifen,Streifen,NOUN
am,an,ADP
bewölkten,bewölkt,ADJ
Firmamente,Firmament,NOUN
den,der,DET
nahenden,nahend,ADJ
Tag,Tag,NOUN
",",--,PUNCT
als,als,SCONJ
ein,ein,DET
einzelner,einzeln,ADJ
Reiter,Reiter,NOUN
auf,auf,ADP
schäumendem,schäumend,ADJ
Rosse,Rosse,NOUN
an,an,ADP
der,der,DET
Gartenthür,Gartenthür,NOUN
des,der,DET
Ferry-Hotels,Ferry-Hotel,NOUN
im,in,ADP
Pointe-Coupé,Pointe-Coupé,NOUN
in,in,ADP
Louisiana,Louisiana,PROPN
hielt,halten,VERB
und,und,CCONJ
mit,mit,ADP
donnerndem,donnerndem,PROPN
Klopfen,Klopfe,NOUN
und,und,CCONJ
lautem,laut,ADJ
Ruf,Ruf,NOUN
die,der,DET
schläfrigen,schläfrig,ADJ
Bewohner,Bewohner,NOUN
zu,zu,PART
wecken,wecken,VERB
versuchte,versuchen,VERB
.,--,PUNCT
–,--,PUNCT
Endlich,endlich,ADV
öffnete,öffnen,VERB
sich,sich,PRON
die,der,DET
grüne,grün,ADJ
",",--,PUNCT
auf,auf,ADP
die,der,DET
Gallerie,Gallerie,NOUN
führende,führend,ADJ
Thür,Thür,NOUN
des,der,DET
Hauses,Haus,NOUN
und,und,CCONJ
der,der,DET
Wirt,Wirt,NOUN
steckte,stecken,VERB
den,der,DET
Kopf,Kopf,NOUN
heraus,heraus,ADV
.,--,PUNCT
»,--,PUNCT
Wer,wer,PRON
lärmt,lärmen,VERB
denn,denn,ADV
da,da,ADV
vorn,vorn,ADV
",",--,PUNCT
als,als,SCONJ
ob,ob,SCONJ
es,es,PRON
heller,hell,ADJ
Mittag,Mittag,NOUN
wäre,sein,AUX
?,--,PUNCT
«,--,PUNCT
rief,rufen,VERB
er,er,PRON
;,--,PUNCT
»,--,PUNCT
glaubt,glauben,VERB
Ihr,ihr,PRON
",",--,PUNCT
daß,daß,SCONJ
Leute,Leute,NOUN
",",--,PUNCT
die,der,PRON
um,um,ADP
zwei,zwei,NUM
Uhr,Uhr,NOUN
zu,zu,ADP
Bett,Bett,NOUN
gehen,gehen,VERB
",",--,PUNCT
auch,auch,ADV
um,um,ADP
vier,vier,NUM
Uhr,Uhr,NOUN
gewöhnlich,gewöhnlich,ADV
wieder,wieder,ADV
aufstehen,aufstehen,VERB
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Seid,Seid,AUX
Ihr,ihr,PRON
es,es,PRON
",",--,PUNCT
Röttken,Röttke,NOUN
?,--,PUNCT
«,--,PUNCT
frug,frug,VERB
der,der,DET
Reiter,Reiter,NOUN
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
sich,sich,PRON
aus,aus,ADP
dem,der,DET
Sattel,Sattel,NOUN
schwang,schwingen,VERB
und,und,CCONJ
den,der,DET
Zügel,Zügel,NOUN
seines,sein,DET
schnaubenden,schnaubend,ADJ
Thieres,Thiere,NOUN
an,an,ADP
einen,ein,DET
durch,durch,ADP
die,der,DET
Latten,Latte,NOUN
ragenden,ragenden,VERB
kleinen,klein,ADJ
Zweig,Zweig,NOUN
befestigte,befestigen,VERB
.,--,PUNCT
»,--,PUNCT
Macht,Macht,NOUN
auf,auf,ADP
",",--,PUNCT
schnell,schnell,ADV
–,--,PUNCT
ich,ich,PRON
habe,haben,AUX
Eile,Eile,NOUN
und,und,CCONJ
muß,müssen,AUX
gleich,gleich,ADV
wieder,wieder,ADV
fort,fort,ADV
