Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Die,der,DET
Flucht,Flucht,NOUN
über,über,ADP
die,der,DET
Kordilleren,Kordillere,NOUN
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I,I,NUM
Es,es,PRON
war,sein,AUX
im,in,ADP
September,September,NOUN
1845,1845,NUM
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
vereinigten,vereinigt,ADJ
Geschwader,Geschwader,NOUN
von,von,ADP
England,England,PROPN
und,und,CCONJ
Frankreich,Frankreich,PROPN
die,der,DET
argentinische,argentinisch,ADJ
Flotte,Flotte,NOUN
auf,auf,ADP
dem,der,DET
La,La,PROPN
Plata,Plata,PROPN
",",--,PUNCT
von,von,ADP
Admiral,Admiral,PROPN
Brown,Brown,PROPN
",",--,PUNCT
einem,ein,DET
Irländer,irländer,NOUN
",",--,PUNCT
kommandiert,kommandieren,VERB
",",--,PUNCT
wegnahmen,wegnahmen,VERB
und,und,CCONJ
den,der,DET
Hafen,Hafen,NOUN
von,von,ADP
Buenos,Buenos,PROPN
Aires,Aires,PROPN
blockierten,blockieren,VERB
.,--,PUNCT
Ja,ja,PART
sie,sie,PRON
landeten,landen,VERB
sogar,sogar,ADV
Truppen,Truppe,NOUN
",",--,PUNCT
eroberten,erobern,VERB
die,der,DET
von,von,ADP
dem,der,DET
argentinischen,argentinisch,ADJ
General,General,NOUN
besetzten,besetzt,ADJ
kleinen,klein,ADJ
Häfen,Hafen,NOUN
",",--,PUNCT
wie,wie,ADP
die,der,DET
für,für,ADP
die,der,DET
Schiffahrt,Schiffahrt,NOUN
der,der,DET
argentinischen,argentinisch,ADJ
Binnenwasser,Binnenwasser,NOUN
so,so,ADV
wichtige,wichtig,ADJ
kleine,klein,ADJ
Insel,Insel,NOUN
Martin,Martin,PROPN
Garcia,Garcia,PROPN
und,und,CCONJ
setzten,setzen,VERB
damit,damit,ADV
dem,der,PRON
Einfluß,Einfluß,NOUN
des,der,DET
Diktators,Diktator,NOUN
Rosas,Rosas,PROPN
",",--,PUNCT
wenn,wenn,SCONJ
auch,auch,ADV
nur,nur,ADV
für,für,ADP
kurze,kurz,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
einen,ein,DET
entschiedenen,entschieden,ADJ
Damm,Damm,NOUN
entgegen,entgegen,ADP
.,--,PUNCT
Rosas,Rosas,PROPN
wütete,wüten,VERB
und,und,CCONJ
drohte,drohen,VERB
gleich,gleich,ADV
darauf,darauf,ADV
durch,durch,ADP
ein,ein,DET
Dekret,Dekret,NOUN
",",--,PUNCT
seine,sein,DET
Gegner,Gegner,NOUN
als,als,ADP
Seeräuber,Seeräuber,NOUN
