Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Die,der,DET
Flußpiraten,Flußpirat,NOUN
des,der,DET
Mississippi,Mississippi,PROPN
[,[,ADJ
pic1,pic1,NOUN
],],NOUN
Vorwort,Vorwort,NOUN
Schon,schon,ADV
in,in,ADP
früheren,früh,ADJ
Zeiten,Zeit,NOUN
",",--,PUNCT
als,als,SCONJ
die,der,DET
westlichen,westlich,ADJ
Staaten,Staat,NOUN
noch,noch,ADV
als,als,ADP
Territorium,Territorium,NOUN
der,der,DET
Union,Union,NOUN
galten,gelten,VERB
",",--,PUNCT
Dampfboote,Dampfboote,NOUN
die,der,DET
Wasser,Wasser,NOUN
jener,jener,DET
mächtigen,mächtig,ADJ
Ströme,Strom,NOUN
noch,noch,ADV
nicht,nicht,PART
aufwühlten,aufwühlt,VERB
und,und,CCONJ
nur,nur,ADV
unbehilfliche,unbehilflich,ADJ
Kiel-,Kiel,X
und,und,CCONJ
Flatboote,Flatboot,NOUN
–,--,PUNCT
oft,oft,ADV
auch,auch,ADV
sehr,sehr,ADV
passend,passend,ADV
Archen,Archen,NOUN
genannt,nennen,VERB
–,--,PUNCT
die,der,DET
Handelsverbindung,Handelsverbindung,NOUN
im,in,ADP
Innern,innere,NOUN
unterhielten,unterhalten,VERB
",",--,PUNCT
hatte,haben,AUX
sich,sich,PRON
auf,auf,ADP
einer,einer,PRON
der,der,DET
zahlreichen,zahlreich,ADJ
Inseln,Insel,NOUN
dieses,dieser,DET
Stromes,Strom,NOUN
",",--,PUNCT
Stack,Stack,NOUN
oder,oder,CCONJ
Crowsnest,Crowsnest,PROPN
Island,Island,PROPN
",",--,PUNCT
oder,oder,CCONJ
Nr.,Nr.,NOUN
Vierundneunzig,Vierundneunzig,NUM
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
jetzt,jetzt,ADV
genannt,nennen,VERB
wird,werden,AUX
",",--,PUNCT
eine,ein,DET
Raubbande,Raubbande,NOUN
organisiert,organisieren,VERB
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
allein,allein,ADV
mordete,morden,ADJ
und,und,CCONJ
plünderte,plünderen,VERB
",",--,PUNCT
was,was,PRON
in,in,ADP
ihren,ihr,DET
Bereich,Bereich,NOUN
kam,kommen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
auch,auch,ADV
in,in,ADP
ihrem,ihr,DET
Versteck,Versteck,NOUN
eine,ein,DET
Falschmünzerei,Falschmünzerei,NOUN
unterhielt,unterhalten,VERB
",",--,PUNCT
von,von,ADP
wo,wo,ADV
aus,aus,ADP
sie,sie,PRON
mit,mit,ADP
ihren,ihr,DET
Banknoten,Banknot,NOUN
das,der,DET
ganze,ganz,ADJ
westliche,westlich,ADJ
Land,Land,NOUN
überschwemmte,überschwemmen,VERB
.,--,PUNCT
Die,der,DET
Gesetze,Gesetz,NOUN
waren,sein,AUX
nicht,nicht,PART
hinreichend,hinreichend,ADV
",",--,PUNCT
die,der,DET
Bewohner,Bewohner,NOUN
der,der,DET
Union,Union,NOUN
zu,zu,PART
schützen,schützen,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Backwoodsmen,Backwoodsma,NOUN
mußten,müssen,AUX
sich,sich,PRON
deshalb,deshalb,ADV
selbst,selbst,ADV
helfen,helfen,VERB
.,--,PUNCT
Der,der,DET
damalige,damalig,ADJ
›Navigator‹,›Navigator‹,PROPN
",",--,PUNCT
oder,oder,CCONJ
das,der,DET
Lotsenbuch,Lotsenbuch,NOUN
der,der,DET
westlichen,westlich,ADJ
Ströme,Strom,NOUN
",",--,PUNCT
sagt,sagen,VERB
folgendes,folgender,PROPN
über,über,ADP
diese,dieser,DET
Bande,Bande,NOUN
:,--,PUNCT
»,--,PUNCT
Stack,Stack,PROPN
