Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Die,der,DET
Vertreibung,Vertreibung,NOUN
der,der,DET
Mormonen,Mormon,NOUN
aus,aus,ADP
Missouri,Missouri,PROPN
Vor,vor,ADP
der,der,DET
Thür,Thür,NOUN
eines,ein,DET
kleinen,klein,ADJ
Blockhauses,Blockhauses,NOUN
",",--,PUNCT
dessen,der,DET
Inneres,Innere,NOUN
zu,zu,ADP
einem,ein,DET
Waarenlager,Waarenlager,NOUN
und,und,CCONJ
Laden,laden,NOUN
eingerichtet,einrichten,VERB
war,sein,AUX
",",--,PUNCT
hatte,haben,AUX
sich,sich,PRON
ein,ein,DET
halbes,halb,ADJ
Dutzend,Dutzend,NOUN
Männer,Mann,NOUN
",",--,PUNCT
Jäger,Jäger,NOUN
und,und,CCONJ
Landleute,Landleute,PROPN
",",--,PUNCT
versammelt,versammeln,VERB
",",--,PUNCT
und,und,CCONJ
schien,scheinen,VERB
in,in,ADP
einem,ein,DET
sehr,sehr,ADV
hitzigen,hitzig,ADJ
Streit,Streit,NOUN
über,über,ADP
Kirche,Kirche,NOUN
und,und,CCONJ
Politik,Politik,NOUN
",",--,PUNCT
den,der,PRON
besonders,besonders,ADV
Zwei,zwei,NUM
von,von,ADP
ihnen,ihnen,PRON
mit,mit,ADP
besonderem,besonder,ADJ
Eifer,Eifer,NOUN
fortführten,fortführten,VERB
",",--,PUNCT
begriffen,begreifen,VERB
.,--,PUNCT
Keiner,keiner,PRON
von,von,ADP
diesen,dieser,PRON
wollte,wollen,AUX
nachgeben,nachgeben,VERB
",",--,PUNCT
und,und,CCONJ
drohende,drohend,ADJ
Worte,Wort,NOUN
waren,sein,AUX
schon,schon,ADV
Beiden,Beide,NOUN
entflohen,entfliehen,VERB
",",--,PUNCT
als,als,SCONJ
ein,ein,DET
alter,alt,ADJ
grauhaariger,grauhaarig,ADJ
Mann,Mann,NOUN
zwischen,zwischen,ADP
sie,sie,PRON
trat,treten,VERB
und,und,CCONJ
den,der,DET
jüngeren,jung,VERB
",",--,PUNCT
während,während,SCONJ
er,er,PRON
ihm,ihm,PRON
freundlich,freundlich,ADV
die,der,DET
Hand,Hand,NOUN
auf,auf,ADP
die,der,DET
Achsel,Achsel,NOUN
legte,legen,VERB
",",--,PUNCT
mit,mit,ADP
sich,sich,PRON
hinwegzuführen,hinwegzuführen,VERB
versuchte,versuchen,VERB
.,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Kommt,kommen,VERB
",",--,PUNCT
Greenford,Greenford,PROPN
",",--,PUNCT
«,--,PUNCT
sprach,sprechen,VERB
er,er,PRON
leise,leise,ADV
",",--,PUNCT
»,--,PUNCT
laßt,lassen,VERB
den,der,DET
Zank,Zank,NOUN
sein,sein,AUX
",",--,PUNCT
Ihr,ihr,PRON
erntet,ernten,VERB
keine,kein,DET
Ehre,Ehre,NOUN
dabei,dabei,ADV
ein,ein,ADV
",",--,PUNCT
und,und,CCONJ
überdies,überdies,ADV
hat,haben,AUX
ja,ja,ADV
Jeder,jeder,PRON
seine,sein,PRON
besonderen,besonderer,ADJ
Meinungen,Meinung,NOUN
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Ich,ich,PRON
bin,sein,AUX
nicht,nicht,PART
streitsüchtig,streitsüchtig,ADV
",",--,PUNCT
«,--,PUNCT
entgegnete,entgegnen,VERB
der,der,DET
junge,jung,ADJ
Mann,Mann,NOUN
leicht,leicht,ADV
besänftigt,besänftigen,VERB
–,--,PUNCT
»,--,PUNCT
möchte,möchten,AUX
auch,auch,ADV
Keinem,Keinem,PRON
wehe,wehe,ADV
thun,Thun,VERB
–,--,PUNCT
es,es,PRON
ist,sein,AUX
aber,aber,ADV
verdammt,verdammen,VERB
hart,hart,ADV
",",--,PUNCT
