Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Die,der,DET
Wolfsglocke,Wolfsglocke,NOUN
In,in,ADP
den,der,DET
Washita-Bergen,Washita-Berg,NOUN
Nordamerikas,Nordamerika,PROPN
liegt,liegen,VERB
der,der,DET
Schauplatz,Schauplatz,NOUN
",",--,PUNCT
auf,auf,ADP
den,der,PRON
ich,ich,PRON
den,der,DET
Leser,Leser,NOUN
führen,führen,VERB
will,wollen,AUX
.,--,PUNCT
Dort,dort,ADV
in,in,ADP
den,der,DET
wilden,wild,ADJ
Tälern,Täler,NOUN
jener,jener,DET
reizenden,reizend,ADJ
Hügelketten,Hügelkett,NOUN
existiert,existieren,VERB
noch,noch,CCONJ
der,der,DET
richtige,richtig,ADJ
Backwoodsman,Backwoodsman,NOUN
;,--,PUNCT
schlicht,schlicht,ADV
und,und,CCONJ
ehrlich,ehrlich,ADV
",",--,PUNCT
rauh,Rauh,PROPN
und,und,CCONJ
derb,Derb,ADV
",",--,PUNCT
aufopfernd,aufopfernd,ADV
in,in,ADP
seiner,sein,DET
Freundschaft,Freundschaft,NOUN
",",--,PUNCT
aber,aber,CCONJ
gefährlich,gefährlich,ADV
in,in,ADP
seinem,sein,DET
Haß,Haß,NOUN
",",--,PUNCT
und,und,CCONJ
sein,sein,DET
Leben,Leben,NOUN
großenteils,Großenteil,ADV
von,von,ADP
der,der,DET
Jagd,Jagd,NOUN
",",--,PUNCT
etwas,etwas,PRON
vom,von,ADP
Ackerbau,Ackerbau,NOUN
und,und,CCONJ
meist,meist,ADV
von,von,ADP
der,der,DET
Viehzucht,Viehzucht,NOUN
abhängig,abhängig,ADV
machend,machend,ADV
.,--,PUNCT
Die,der,DET
letztere,letzterer,PRON
wird,werden,AUX
ihm,ihm,PRON
besonders,besonders,ADV
durch,durch,ADP
das,der,DET
milde,mild,ADJ
Klima,Klima,NOUN
jener,jener,DET
Gegend,Gegend,NOUN
",",--,PUNCT
durch,durch,ADP
die,der,PRON
grasreichen,grasreich,ADJ
Hügel,Hügel,NOUN
",",--,PUNCT
durch,durch,ADP
die,der,PRON
noch,noch,ADV
hier,hier,ADV
und,und,CCONJ
da,da,ADV
mit,mit,ADP
dichten,dicht,ADJ
Schilfbrüchen,Schilfbrüche,NOUN
gefüllten,gefüllt,ADJ
Täler,Täler,NOUN
erleichtert,erleichtern,VERB
",",--,PUNCT
und,und,CCONJ
wenig,wenig,DET
Mühe,Mühe,NOUN
ist,sein,AUX
es,es,PRON
",",--,PUNCT
die,der,PRON
ihn,ihn,PRON
die,der,DET
Zucht,Zucht,NOUN
einer,ein,DET
oft,oft,ADV
nicht,nicht,PART
unbeträchtlichen,unbeträchtlich,ADJ
Herde,Herde,NOUN
kostet,kosten,VERB
.,--,PUNCT
Dann,dann,ADV
und,und,CCONJ
wann,wann,ADV
eine,ein,DET
Handvoll,Handvoll,NOUN
Salz,Salz,NOUN
nahe,nahe,ADP
bei,bei,ADP
seiner,sein,DET
Hütte,Hütte,NOUN
hingeworfen,hinwerfen,VERB
",",--,PUNCT
eine,ein,DET
häufige,häufig,ADJ
und,und,CCONJ
regelmäßige,regelmäßig,ADJ
Wanderung,Wanderung,NOUN
von,von,ADP
einem,einer,PRON
der,der,DET
kleinen,klein,ADJ
zerstreuten,zerstreut,ADJ
Trupps,Trupp,NOUN
zum,zu,ADP
anderen,anderer,PRON
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
den,der,DET
Anblick,Anblick,NOUN
des,der,DET
Menschen,Mensch,NOUN
gewohnt,wohnen,ADV
blieben,bleiben,VERB
und,und,CCONJ
nicht,nicht,PART
wild,wild,ADV
wurden,werden,AUX
–,--,PUNCT
und,und,CCONJ
der,der,DET
Sorgfalt,Sorgfalt,NOUN
",",--,PUNCT
