Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Im,in,ADP
Busch,Busch,NOUN
(,--,PUNCT
1864,1864,NUM
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
1.,1.,ADV
Der,der,DET
Überfall,Überfall,NOUN
2.,2.,ADV
Das,der,DET
Lager,Lager,NOUN
im,in,ADP
Busch,Busch,NOUN
3.,3.,ADV
Das,der,DET
erste,erster,ADJ
Gold,Gold,NOUN
4.,4.,ADV
Die,der,DET
Familie,Familie,NOUN
Pitt,Pitt,PROPN
5.,5.,ADV
In,in,ADP
die,der,DET
Minen,Mine,NOUN
6.,6.,NUM
Die,der,DET
Familie,Familie,NOUN
Sutton,Sutton,PROPN
7.,7.,ADV
Die,der,DET
Werbung,Werbung,NOUN
8.,8.,ADV
In,in,ADP
den,der,DET
Bergen,Berg,NOUN
9.,9.,ADV
Die,der,DET
»,--,PUNCT
English,English,X
Bottom«-Station,Bottom«-Station,PROPN
10.,10.,ADJ
Jack,Jack,NOUN
11.,11.,ADJ
Der,der,DET
Weg,Weg,NOUN
zum,zu,ADP
Goldsee,Goldsee,PROPN
12.,12.,ADV
Die,der,DET
Entdeckung,Entdeckung,NOUN
13.,13.,ADJ
Kapitän,Kapitän,NOUN
Becker,Becker,PROPN
in,in,ADP
den,der,DET
Minen,Mine,NOUN
14.,14.,ADV
Die,der,DET
Schiffsmannschaft,Schiffsmannschaft,NOUN
15.,15.,ADJ
Kapitän,Kapitän,NOUN
Beckers,Becker,PROPN
Abenteuer,Abenteuer,NOUN
16.,16.,ADV
Der,der,DET
Schwarze,schwarze,NOUN
17.,17.,ADV
Die,der,DET
Goldeskorte,Goldeskort,NOUN
18.,18.,ADJ
Gertrud,Gertrud,NOUN
19.,19.,ADJ
In,in,ADP
Paramatta,Paramatta,PROPN
20.,20.,ADJ
Die,der,DET
Hochzeit,Hochzeit,NOUN
21.,21.,ADJ
In,in,ADP
Sydney,Sydney,PROPN
22.,22.,ADJ
Auf,auf,ADP
dem,der,DET
Ball,Ball,NOUN
23.,23.,PROPN
An,an,ADP
Bord,Bord,NOUN
24.,24.,ADJ
Schluß,Schluß,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
