Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
John,John,PROPN
Wells,Wells,PROPN
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I,I,NUM
Am,an,ADP
Fourche,Fourche,NOUN
la,--,X
fave,fave,X
",",--,PUNCT
einem,ein,DET
kleinen,klein,ADJ
",",--,PUNCT
klaren,klar,ADJ
Fluß,Fluß,NOUN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
",",--,PUNCT
von,von,ADP
Nordwesten,Nordweste,NOUN
herunterkommend,Herunterkommend,ADV
",",--,PUNCT
in,in,ADP
den,der,DET
Arkansas,Arkansa,NOUN
ergießt,ergießen,VERB
",",--,PUNCT
lag,liegen,VERB
ein,ein,DET
geräumiges,geräumig,ADJ
",",--,PUNCT
gut,gut,ADV
behauenes,behauen,ADJ
Blockhaus,Blockhaus,PROPN
",",--,PUNCT
das,der,PRON
von,von,ADP
einem,ein,DET
Amerikaner,Amerikaner,NOUN
mit,mit,ADP
seiner,sein,DET
Frau,Frau,NOUN
und,und,CCONJ
zwei,zwei,NUM
Knaben,Knabe,NOUN
",",--,PUNCT
der,der,PRON
eine,einer,PRON
sieben,sieben,NUM
",",--,PUNCT
der,der,DET
andere,anderer,ADJ
neun,neun,NUM
Jahre,Jahr,NOUN
alt,alt,ADV
",",--,PUNCT
bewohnt,bewohnen,VERB
wurde,werden,AUX
.,--,PUNCT
Der,der,DET
Mann,Mann,NOUN
hieß,heißen,VERB
John,John,PROPN
Wells,Wells,PROPN
und,und,CCONJ
wurde,werden,AUX
in,in,ADP
einem,ein,DET
Lande,Land,NOUN
",",--,PUNCT
wo,wo,SCONJ
jeder,jeder,DET
Ansiedler,Ansiedler,NOUN
sich,sich,PRON
mit,mit,ADP
der,der,DET
Jagd,Jagd,NOUN
beschäftigt,beschäftigen,VERB
",",--,PUNCT
ja,ja,ADV
der,der,DET
dritte,dritter,ADJ
Teil,Teil,NOUN
der,der,DET
Bewohner,Bewohner,NOUN
in,in,ADP
jener,jener,DET
Zeit,Zeit,NOUN
fast,fast,ADV
nichts,nichts,PRON
tat,tun,VERB
",",--,PUNCT
als,als,SCONJ
mit,mit,ADP
der,der,DET
Büchse,Büchse,NOUN
auf,auf,ADP
der,der,DET
Schulter,Schulter,NOUN
im,in,ADP
Wald,Wald,NOUN
umherzuziehen,umherzuziehen,VERB
",",--,PUNCT
nichtsdestoweniger,nichtsdestowenig,ADV
mit,mit,ADP
besonderer,besonderer,ADJ
Auszeichnung,Auszeichnung,NOUN
»,--,PUNCT
der,der,DET
Jäger,Jäger,NOUN
«,--,PUNCT
genannt,nennen,VERB
;,--,PUNCT
und,und,CCONJ
wenn,wenn,SCONJ
