Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Tahiti,Tahiti,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
1.,1.,ADV
Der,der,DET
Walfischfänger,Walfischfänger,NOUN
2.,2.,ADV
Die,der,DET
Flucht,Flucht,NOUN
und,und,CCONJ
welchen,welcher,DET
Dolmetscher,Dolmetscher,NOUN
René,René,PROPN
fand,finden,VERB
3.,3.,ADV
Das,der,DET
Mädchen,Mädchen,NOUN
von,von,ADP
Atiu,Atiu,PROPN
4.,4.,ADV
Der,der,DET
Mi-to-na-re,Mi-to-na-re,PROPN
5.,5.,ADV
Das,der,DET
Geständnis,Geständnis,NOUN
6.,6.,NUM
Was,was,PRON
der,der,DET
ehrwürdige,ehrwürdig,ADJ
Mr.,Mr.,NOUN
Rowe,Rowe,PROPN
dazu,dazu,ADV
sagt,sagen,VERB
7.,7.,ADV
Der,der,DET
Verrat,Verrat,NOUN
und,und,CCONJ
wie,wie,ADV
sich,sich,PRON
beide,beide,DET
Teile,Teil,NOUN
dabei,dabei,ADV
irrten,irren,VERB
8.,8.,ADJ
Tahiti,Tahiti,NOUN
9.,9.,ADV
Die,der,DET
vier,vier,NUM
Häuptlinge,Häuptling,NOUN
10.,10.,ADJ
Die,der,DET
Versammlung,Versammlung,NOUN
11.,11.,ADJ
Die,der,DET
Mädchen,Mädchen,NOUN
von,von,ADP
Tahiti,Tahiti,PROPN
12.,12.,ADJ
Sadie,Sadie,NOUN
und,und,CCONJ
René,René,PROPN
13.,13.,ADV
Der,der,DET
Besuch,Besuch,NOUN
–,--,PUNCT
Aumama,Aumama,NOUN
14.,14.,ADV
Die,der,DET
Missionare,Missionar,NOUN
15.,15.,ADV
Die,der,DET
Königin,Königin,NOUN
Pomare,Pomare,PROPN
16.,16.,ADV
Ein,ein,DET
Ball,Ball,NOUN
in,in,ADP
Papeete,Papeete,NOUN
17.,17.,ADJ
Unterwegs,unterwegs,ADV
18.,18.,ADJ
Mütterchen,Mütterchen,NOUN
Tots,Tot,PROPN
Hotel,Hotel,NOUN
19.,19.,ADJ
Alte,alt,ADJ
Erinnerungen,Erinnerung,NOUN
und,und,CCONJ
neue,neu,ADJ
Schmerzen,Schmerz,NOUN
20.,20.,ADJ
Pomare,Pomare,NOUN
und,und,CCONJ
Du,Du,PRON
Petit,Petit,PROPN
Thouars,Thouar,PROPN
21.,21.,ADV
Die,der,DET
tahitische,tahitisch,ADJ
Flagge,Flagge,NOUN
22.,22.,ADJ
Susanne,Susanne,PROPN
23.,23.,ADJ
Jim,Jim,PROPN
O'Flannagan,O'Flannagan,PROPN
in,in,ADP
