Token,Lemma,POS
Friedrich,Friedrich,PROPN
Hebbel,Hebbel,PROPN
Barbier,Barbier,NOUN
Zitterlein,Zitterlein,PROPN
Novelle,Novelle,NOUN
(,--,PUNCT
1836,1836,NUM
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
Es,es,PRON
war,sein,AUX
Abend,Abend,NOUN
",",--,PUNCT
und,und,CCONJ
der,der,DET
Barbier,Barbier,NOUN
Zitterlein,Zitterlein,PROPN
saß,sitzen,VERB
an,an,ADP
seinem,sein,DET
Tisch,Tisch,NOUN
.,--,PUNCT
Eine,ein,DET
helle,hell,ADJ
Lampe,Lampe,NOUN
brannte,brennen,VERB
auf,auf,ADP
demselben,derselbe,DET
und,und,CCONJ
beleuchtete,beleuchten,VERB
das,der,DET
Gesicht,Gesicht,NOUN
des,der,DET
langen,lang,ADJ
",",--,PUNCT
dünnen,dünn,ADJ
Mannes,Mann,NOUN
",",--,PUNCT
der,der,DET
sich,sich,PRON
um,um,ADP
das,der,DET
Abendbrot,Abendbrot,NOUN
",",--,PUNCT
welches,welcher,PRON
seine,sein,DET
Tochter,Tochter,NOUN
Agathe,Agathe,PROPN
auftrug,auftragen,VERB
",",--,PUNCT
wenig,wenig,PRON
bekümmerte,bekümmern,VERB
.,--,PUNCT
Die,der,DET
Tochter,Tochter,NOUN
setzte,setzen,VERB
sich,sich,PRON
an,an,ADP
den,der,DET
Tisch,Tisch,NOUN
und,und,CCONJ
klimperte,klimperen,VERB
",",--,PUNCT
um,um,SCONJ
den,der,DET
Vater,Vater,NOUN
aus,aus,ADP
seinen,sein,DET
Gedanken,Gedanke,NOUN
zu,zu,PART
wecken,wecken,VERB
",",--,PUNCT
mit,mit,ADP
den,der,DET
zinnernen,zinnern,ADJ
Löffeln,Löffel,NOUN
;,--,PUNCT
