Token,Lemma,POS
Friedrich,Friedrich,PROPN
Rochlitz,Rochlitz,PROPN
Amtsbericht,Amtsbericht,NOUN
des,der,DET
Pfarrers,Pfarrer,NOUN
zu,zu,ADP
Eichengrün,Eichengrün,PROPN
Vor,vor,ADP
mehreren,mehrere,DET
Jahren,Jahr,NOUN
",",--,PUNCT
erzählte,erzählen,VERB
mir,mir,PRON
ein,ein,DET
Freund,Freund,NOUN
",",--,PUNCT
reisete,reisen,VERB
ich,ich,PRON
durch,durch,ADP
Thüringen,Thüringen,PROPN
.,--,PUNCT
Ein,ein,DET
Ungewitter,ungewitter,ADV
",",--,PUNCT
das,der,PRON
mich,mich,PRON
eines,ein,DET
Abends,Abend,NOUN
überfiel,überfiel,VERB
",",--,PUNCT
machte,machen,VERB
es,es,PRON
mir,mir,PRON
unmöglich,unmöglich,ADV
",",--,PUNCT
das,der,PRON
Städtchen,städtchen,NOUN
zu,zu,PART
erreichen,erreichen,VERB
",",--,PUNCT
wo,wo,SCONJ
ich,ich,PRON
zu,zu,PART
übernachten,übernachten,VERB
gedachte,gedachen,VERB
.,--,PUNCT
Ich,ich,PRON
kam,kommen,VERB
in,in,ADP
das,der,DET
kleine,klein,ADJ
Dorf,Dorf,PROPN
Eichengrün,Eichengrün,PROPN
.,--,PUNCT
Der,der,DET
Gasthof,Gasthof,NOUN
war,sein,AUX
so,so,ADV
unsauber,unsauber,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
darin,darin,ADV
nicht,nicht,PART
bleiben,bleiben,VERB
konnte,können,AUX
.,--,PUNCT
Ich,ich,PRON
fragte,fragen,VERB
nach,nach,ADP
dem,der,DET
Besitzer,Besitzer,NOUN
des,der,DET
Dorfs,Dorf,NOUN
;,--,PUNCT
er,er,PRON
war,sein,AUX
abwesend,abwesend,ADV
.,--,PUNCT
Ich,ich,PRON
ging,gehen,VERB
ins,in,ADP
Pfarrhaus,Pfarrhaus,NOUN
.,--,PUNCT
Ein,ein,DET
etwa,etwa,ADV
fünfzigjähriger,fünfzigjährig,ADJ
Mann,Mann,NOUN
trat,treten,VERB
mir,mir,PRON
",",--,PUNCT
blaß,Blaß,NOUN
und,und,CCONJ
kränklich,kränklich,ADV
",",--,PUNCT
aber,aber,CCONJ
mit,mit,ADP
Wohlwollen,Wohlwollen,NOUN
und,und,CCONJ
Freundlichkeit,Freundlichkeit,NOUN
",",--,PUNCT
entgegen,entgegen,ADP
.,--,PUNCT
Ich,ich,PRON
klagte,klagen,VERB
ihm,ihm,PRON
meine,mein,DET
Verlegenheit,Verlegenheit,NOUN
",",--,PUNCT
und,und,CCONJ
er,er,PRON
nahm,nehmen,VERB
mich,mich,PRON
