Token,Lemma,POS
Friedrich,Friedrich,PROPN
Rückert,Rückert,PROPN
Die,der,DET
Makamen,Makame,NOUN
des,der,DET
Hariri,Hariri,NOUN
Friedrich,Friedrich,PROPN
Rückert,Rückert,PROPN
:,--,PUNCT
Die,der,DET
Makamen,Makame,NOUN
des,der,DET
Hariri,Hariri,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
An,an,ADP
die,der,DET
Leser,Leser,NOUN
Hariris,Hariris,PROPN
Vorwort,Vorwort,PROPN
1.,1.,ADV
Die,der,DET
Bibliothek,Bibliothek,NOUN
von,von,ADP
Basra,Basra,PROPN
2.,2.,ADV
Die,der,DET
beiden,beide,DET
Gulden,Gulden,NOUN
3.,3.,ADV
Die,der,DET
Bittschrift,Bittschrift,NOUN
4.,4.,ADJ
Zahnstocher,Zahnstocher,NOUN
und,und,CCONJ
Seife,Seif,NOUN
5.,5.,ADJ
Nadel,Nadel,NOUN
und,und,CCONJ
Kamm,Kamm,NOUN
6.,6.,NUM
Das,der,DET
Eidformular,Eidformular,PROPN
7.,7.,ADV
Die,der,DET
Grabrede,Grabrede,NOUN
8.,8.,ADV
Das,der,DET
alte,alt,ADJ
Weib,Weib,NOUN
9.,9.,ADV
Die,der,DET
Pilger,Pilger,NOUN
10.,10.,ADJ
Dattel,Dattel,NOUN
und,und,CCONJ
Rahm,Rahm,PROPN
",",--,PUNCT
oder,oder,CCONJ
:,--,PUNCT
der,der,DET
Erbfall,Erbfall,NOUN
11.,11.,ADJ
Die,der,DET
Vase,Vase,NOUN
12.,12.,ADV
Das,der,DET
gestohlene,gestohlen,ADJ
Gedicht,Gedicht,NOUN
13.,13.,ADV
Das,der,DET
Frühlingsgelage,Frühlingsgelage,NOUN
14.,14.,ADV
Der,der,DET
Deckmantel,Deckmantel,NOUN
15.,15.,ADV
Der,der,DET
Bettelbrief,Bettelbrief,NOUN
16.,16.,ADV
Die,der,DET
Hochzeit,Hochzeit,NOUN
im,in,ADP
Wirtshaus,Wirtshaus,NOUN
17.,17.,ADV
Die,der,DET
Bettlerhochzeit,Bettlerhochzeit,NOUN
18.,18.,ADV
Die,der,DET
Gesetzfrage,Gesetzfrage,NOUN
19.,19.,ADV
Der,der,DET
verkaufte,verkauft,ADJ
Joseph,Joseph,NOUN
20.,20.,ADJ
Die,der,DET
Nonne,Nonne,NOUN
21.,21.,ADV
Die,der,DET
zehn,zehn,NUM
Reisenden,reisend,NOUN
22.,22.,ADJ
Der,der,DET
Kadi,Kadi,NOUN
von,von,ADP
Saade,Saade,NOUN
23.,23.,PROPN
Der,der,DET
großmütige,großmütig,ADJ
Wali,Wali,NOUN
24.,24.,ADV
Das,der,DET
beschworene,beschworen,ADJ
Kind,Kind,NOUN
25.,25.,ADJ
Die,der,DET
Ehescheidung,Ehescheidung,NOUN
26.,26.,ADV
Die,der,DET
Rätsel,Rätsel,NOUN
27.,27.,ADJ
Jungfrau,Jungfrau,NOUN
und,und,CCONJ
junge,jung,ADJ
Frau,Frau,NOUN
28.,28.,ADV
Der,der,DET
gastfreie,gastfrei,ADJ
Wirt,Wirt,NOUN
29.,29.,ADV
Der,der,DET
Perlensticker,Perlensticker,NOUN
30.,30.,ADV
Der,der,DET
Schulmeister,Schulmeister,NOUN
von,von,ADP
Hims,Hims,PROPN
31.,31.,ADJ
Das,der,DET
Lösegeld,Lösegeld,NOUN
32.,32.,ADV
Das,der,DET
Testament,Testament,NOUN
33.,33.,ADJ
Basras,Basra,NOUN
Ruhm,ruhm,NOUN
Anhang,Anhang,NOUN
:,--,PUNCT
Der,der,DET
Rätselmann,Rätselmann,NOUN
.,--,PUNCT
Abfälle,Abfall,NOUN
von,von,ADP
Hariris,Hariris,PROPN
Rätselmakamen,Rätselmakamen,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Die,der,DET
Makamen,Makame,NOUN
des,der,DET
Hariri,Hariri,NOUN
(,--,PUNCT
Die,der,DET
Verwandlungen,Verwandlung,NOUN
des,der,DET
Abu,Abu,NOUN
Seid,Seid,NOUN
von,von,ADP
Serug,Serug,NOUN
),--,PUNCT
.,--,PUNCT
An,an,ADP
die,der,DET
Leser,Leser,NOUN
.,--,PUNCT
Der,der,DET
Gesetzgeber,Gesetzgeber,NOUN
der,der,DET
arabischen,arabisch,ADJ
Sprachlehre,Sprachlehr,NOUN
",",--,PUNCT
Baron,Baron,PROPN
Silvestre,Silvestre,PROPN
de,de,PROPN
Sacy,Sacy,PROPN
",",--,PUNCT
hat,haben,AUX
im,in,ADP
Jahr,Jahr,NOUN
1822,1822,NUM
ein,ein,DET
in,in,ADP
der,der,DET
orientalischen,orientalisch,ADJ
Litteratur,Litteratur,NOUN
Europas,Europa,PROPN
Epoche,Epoche,NOUN
machendes,machend,ADJ
Buch,Buch,NOUN
herausgegeben,herausgeben,VERB
",",--,PUNCT
das,der,PRON
",",--,PUNCT
außer,außer,ADP
einer,ein,DET
französischen,französisch,ADJ
Zugabe,Zugabe,NOUN
von,von,ADP
19,19,NUM
Seiten,Seite,NOUN
",",--,PUNCT
auf,auf,ADP
660,660,NUM
Folioseiten,Folioseit,NOUN
keinen,kein,DET
anderen,anderer,ADJ
als,als,ADP
arabischen,arabisch,ADJ
Buchstaben,Buchstabe,NOUN
enthält,enthalten,VERB
.,--,PUNCT
Es,es,PRON
sind,sein,AUX
die,der,DET
Makamen,Makame,NOUN
des,der,DET
Hariri,Hariri,NOUN
.,--,PUNCT
Makame,Makame,PROPN
bedeutet,bedeuten,VERB
einen,ein,DET
Ort,Ort,NOUN
",",--,PUNCT
wo,wo,SCONJ
man,man,PRON
sich,sich,PRON
aufhält,aufhalten,VERB
und,und,CCONJ
sich,sich,PRON
unterhält,unterhalten,VERB
",",--,PUNCT
dann,dann,ADV
eine,ein,DET
Unterhaltung,Unterhaltung,NOUN
selbst,selbst,ADV
",",--,PUNCT
einen,ein,DET
unterhaltenden,unterhaltend,ADJ
Vortrag,Vortrag,NOUN
oder,oder,CCONJ
Aufsatz,Aufsatz,NOUN
",",--,PUNCT
nach,nach,ADP
unserer,unser,DET
Art,Art,NOUN
eine,ein,DET
Erzählung,Erzählung,NOUN
oder,oder,CCONJ
Novelle,Novelle,NOUN
.,--,PUNCT
Mehrere,mehrere,DET
dergleichen,dergleichen,VERB
",",--,PUNCT
über,über,ADP
einen,ein,DET
gemeinsamen,gemeinsam,ADJ
Gegenstand,Gegenstand,NOUN
und,und,CCONJ
locker,locker,ADV
zu,zu,ADP
einem,ein,DET
Ganzen,ganze,NOUN
zusammengereiht,zusammengereihen,VERB
",",--,PUNCT
bilden,bilden,VERB
alsdann,Alsdann,NOUN
",",--,PUNCT
was,was,PRON
wir,wir,PRON
einen,ein,DET
Roman,Roman,NOUN
nennen,nennen,VERB
könnten,können,AUX
",",--,PUNCT
wie,wie,ADV
eben,eben,ADV
das,der,DET
genannte,genannt,ADJ
Werk,Werk,NOUN
einer,einer,PRON
ist,sein,AUX
.,--,PUNCT
Dessen,der,PRON
Verfasser,Verfasser,NOUN
",",--,PUNCT
Hariri,Hariri,PROPN
",",--,PUNCT
ein,ein,DET
Gelehrter,gelehrter,NOUN
aus,aus,ADP
Basra,Basra,PROPN
",",--,PUNCT
ist,sein,AUX
geboren,gebären,VERB
446,446,NUM
und,und,CCONJ
gestorben,sterben,VERB
515,515,NUM
oder,oder,CCONJ
516,516,NUM
der,der,DET
mohammedanischen,mohammedanisch,ADJ
Zeitrechnung,Zeitrechnung,NOUN
.,--,PUNCT
Seine,sein,DET
Lebensumstände,Lebensumständ,NOUN
sind,sein,AUX
unbedeutend,unbedeutend,ADV
",",--,PUNCT
sein,sein,DET
Werk,Werk,NOUN
aber,aber,ADV
im,in,ADP
ganzen,ganz,ADJ
Orient,Orient,NOUN
höchst,höchst,ADV
berühmt,berühmt,ADV
",",--,PUNCT
seiner,sein,DET
Schwierigkeit,Schwierigkeit,NOUN
wegen,wegen,ADP
von,von,ADP
vielen,viele,PRON
glossiert,glossieren,VERB
und,und,CCONJ
kommentiert,kommentieren,VERB
.,--,PUNCT
.,--,PUNCT
.,--,PUNCT
Meine,mein,DET
Arbeit,Arbeit,NOUN
giebt,gieben,VERB
sich,sich,PRON
für,für,ADP
keine,kein,DET
Übersetzung,Übersetzung,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
für,für,ADP
eine,ein,DET
Nachbildung,Nachbildung,NOUN
.,--,PUNCT
Die,der,DET
Grundsätze,Grundsatz,NOUN
",",--,PUNCT
nach,nach,ADP
denen,der,PRON
man,man,PRON
Homer,Homer,NOUN
und,und,CCONJ
Shakespeare,Shakespeare,PROPN
verdeutscht,verdeutschen,VERB
",",--,PUNCT
sind,sein,AUX
",",--,PUNCT
wie,wie,ADP
jetzt,jetzt,ADV
noch,noch,ADV
die,der,DET
Sachen,Sache,NOUN
stehen,stehen,VERB
",",--,PUNCT
auf,auf,ADP
einen,ein,DET
arabischen,arabisch,ADJ
Dichter,Dichter,NOUN
