Token,Lemma,POS
Friedrich,friedrich,PROPN
Spielhagen,Spielhag,NOUN
Noblesse,Nobless,NOUN
oblige,oblig,ADJ
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Die,der,DET
Tür,Tür,NOUN
hatte,haben,AUX
geknarrt,knarren,VERB
;,--,PUNCT
Warburg,Warburg,PROPN
wandte,wenden,VERB
sich,sich,PRON
in,in,ADP
seinem,sein,DET
Sessel,Sessel,NOUN
.,--,PUNCT
Was,was,PRON
gibt's,gibt's,VERB
?,--,PUNCT
Ich,ich,PRON
bin's,bin's,VERB
",",--,PUNCT
Herr,Herr,NOUN
Senator,Senator,PROPN
",",--,PUNCT
erwiderte,erwidern,VERB
Christiansen,Christiansen,PROPN
",",--,PUNCT
nun,nun,ADV
in,in,ADP
die,der,DET
völlig,völlig,ADV
geöffnete,geöffnet,ADJ
Tür,Tür,NOUN
tretend,tretend,ADV
.,--,PUNCT
Was,was,PRON
gibt's,gibt's,VERB
?,--,PUNCT
wiederholte,wiederholt,ADJ
Warburg,Warburg,PROPN
ungeduldig,ungeduldig,ADV
.,--,PUNCT
Nichts,nichts,PRON
Besonderes,besondere,NOUN
",",--,PUNCT
Herr,Herr,NOUN
Senator,Senator,PROPN
.,--,PUNCT
Ich,ich,PRON
hatte,haben,AUX
Fräulein,Fräulein,NOUN
Minna,Minna,PROPN
gesagt,sagen,VERB
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Herr,Herr,NOUN
Senator,Senator,NOUN
auf,auf,ADP
die,der,DET
Post,Post,NOUN
gegangen,gehen,VERB
wären,sein,AUX
",",--,PUNCT
und,und,CCONJ
da,da,ADV
schickt,schicken,VERB
sie,sie,PRON
mich,mich,PRON
nun,nun,ADV
",",--,PUNCT
zu,zu,PART
fragen,fragen,VERB
",",--,PUNCT
ob,ob,SCONJ
nicht,nicht,PART
doch,doch,ADV
vielleicht,vielleicht,ADV
–,--,PUNCT
Nein,nein,PART
!,--,PUNCT
Es,es,PRON
war,sein,AUX
sehr,sehr,ADV
heftig,heftig,ADV
und,und,CCONJ
trotzdem,trotzdem,ADV
mit,mit,ADP
einem,ein,DET
unsicheren,unsicher,ADJ
und,und,CCONJ
gepreßten,gepreßt,ADJ
Tone,Ton,NOUN
herausgekommen,herausgekommen,VERB
",",--,PUNCT
der,der,PRON
dem,der,DET
alten,alt,ADJ
Diener,Diener,ADJ
auffiel,Auffiel,NOUN
",",--,PUNCT
ebenso,ebenso,ADV
wie,wie,ADP
der,der,DET
Umstand,Umstand,NOUN
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Herr,Herr,NOUN
Senator,Senator,NOUN
noch,noch,ADV
im,in,ADP
Hut,Hut,NOUN
und,und,CCONJ
Ausgehrock,Ausgehrock,NOUN
an,an,ADP
dem,der,DET
Pulte,Pulte,NOUN
saß,sitzen,VERB
",",--,PUNCT
als,als,SCONJ
hätte,haben,AUX
er,er,PRON
es,es,PRON
sehr,sehr,ADV
eilig,eilig,ADV
gehabt,haben,VERB
",",--,PUNCT
an,an,ADP
die,der,DET
Lesung,Lesung,NOUN
seiner,sein,DET
Korrespondenz,Korrespondenz,NOUN
zu,zu,PART
gelangen,gelangen,VERB
.,--,PUNCT
Nur,nur,ADV
daß,daß,SCONJ
keine,kein,DET
Korrespondenz,Korrespondenz,NOUN
eingelaufen,eingelaufen,VERB
war,sein,AUX
–,--,PUNCT
heute,heute,ADV
so,so,ADV
wenig,wenig,PRON
wie,wie,ADP
gestern,gestern,ADV
und,und,CCONJ
wie,wie,ADP
seit,seit,ADP
so,so,ADV
manchem,mancher,DET
",",--,PUNCT
manchem,mancher,DET
Tage,Tag,NOUN
!,--,PUNCT
Es,es,PRON
lag,liegen,VERB
ja,ja,ADV
kein,kein,DET
Schnippelchen,schnippelch,ADJ
Papier,Papier,NOUN
auf,auf,ADP
dem,der,DET
Pulte,Pulte,NOUN
",",--,PUNCT
auf,auf,ADP
welchem,welcher,DET
um,um,ADP
diese,dieser,DET
Abendstunde,Abendstunde,NOUN
sonst,sonst,ADV
Berge,Berg,NOUN
von,von,ADP
Briefen,Brief,NOUN
sich,sich,PRON
aufgetürmt,auftürmen,VERB
hatten,haben,AUX
!,--,PUNCT
Da,da,SCONJ
mußte,müssen,AUX
denn,denn,ADV
wohl,wohl,ADV
das,der,DET
arme,arm,ADJ
Fräulein,Fräulein,NOUN
Minna,Minna,PROPN
sich,sich,PRON
trösten,trösten,VERB
",",--,PUNCT
daß,daß,SCONJ
auch,auch,ADV
sie,sie,PRON
wieder,wieder,ADV
einmal,einmal,ADV
leer,leer,ADV
ausgegangen,ausgehen,VERB
war,sein,AUX
!,--,PUNCT
Nichts,nichts,PRON
für,für,ADP
ungut,ungut,ADV
",",--,PUNCT
Herr,Herr,NOUN
Senator,Senator,NOUN
!,--,PUNCT
murmelte,murmelt,VERB
Christiansen,Christiansen,NOUN
",",--,PUNCT
die,der,DET
schickliche,schicklich,ADJ
Reverenz,Reverenz,NOUN
machend,machend,ADV
",",--,PUNCT
trotzdem,trotzdem,ADV
ihm,ihm,PRON
der,der,DET
Herr,Herr,NOUN
bereits,bereits,ADV
wieder,wieder,ADV
den,der,DET
Rücken,Rücken,NOUN
zukehrte,zukehren,VERB
.,--,PUNCT
Dann,dann,ADV
schloß,schließen,VERB
er,er,PRON
die,der,DET
Tür,Tür,NOUN
.,--,PUNCT
Warburg,Warburg,PROPN
blieb,bleiben,VERB
an,an,ADP
dem,der,DET
Pulte,Pulte,NOUN
sitzen,sitzen,VERB
",",--,PUNCT
bis,bis,SCONJ
der,der,DET
schwere,schwer,ADJ
Schritt,Schritt,NOUN
des,der,DET
Alten,alte,NOUN
auf,auf,ADP
dem,der,DET
Korridor,Korridor,PROPN
nach,nach,ADP
dem,der,DET
Zimmer,Zimmer,NOUN
der,der,DET
Töchter,Tochter,NOUN
im,in,ADP
Hinterhause,Hinterhause,NOUN
verhallt,verhallen,VERB
war,sein,AUX
.,--,PUNCT
Nun,nun,ADV
erhob,erheben,VERB
er,er,PRON
sich,sich,PRON
",",--,PUNCT
ging,gehen,VERB
eilig,eilig,ADV
nach,nach,ADP
der,der,DET
Tür,Tür,NOUN
",",--,PUNCT
schob,schieben,VERB
den,der,DET
Riegel,Riegel,NOUN
vor,vor,ADP
",",--,PUNCT
kehrte,kehren,VERB
nach,nach,ADP
dem,der,DET
Pulte,Pulte,NOUN
zurück,zurück,ADV
und,und,CCONJ
starrte,starrn,VERB
auf,auf,ADP
den,der,DET
Brief,Brief,NOUN
",",--,PUNCT
der,der,PRON
da,da,ADV
lag,liegen,VERB
.,--,PUNCT
Nein,nein,PART
!,--,PUNCT
der,der,DET
Christiansen,Christiansen,NOUN
hatte,haben,AUX
den,der,DET
Brief,Brief,NOUN
nicht,nicht,PART
sehen,sehen,VERB
können,können,AUX
;,--,PUNCT
er,er,PRON
hatte,haben,AUX
ja,ja,ADV
mit,mit,ADP
seiner,sein,DET
ganzen,ganz,ADJ
Breite,Breite,NOUN
davor,davor,ADV
gesessen,sitzen,VERB
und,und,CCONJ
",",--,PUNCT
als,als,SCONJ
er,er,PRON
das,der,DET
Knarren,Knarren,NOUN
der,der,DET
Tür,Tür,NOUN
hörte,hören,VERB
",",--,PUNCT
die,der,PRON
linke,linker,ADJ
Hand,Hand,NOUN
darauf,darauf,ADV
gelegt,legen,VERB
:,--,PUNCT
es,es,PRON
hatte,haben,AUX
nur,nur,ADV
eben,eben,ADV
noch,noch,ADV
ein,ein,DET
Eckchen,Eckchen,NOUN
hervorgeguckt,hervorgegucken,VERB
.,--,PUNCT
Ein,ein,DET
Glück,Glück,NOUN
freilich,freilich,ADV
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Christiansen,Christiansen,NOUN
nicht,nicht,PART
noch,noch,ADV
weiter,weiter,ADV
in,in,ADP
das,der,DET
Zimmer,Zimmer,NOUN
gekommen,kommen,VERB
war,sein,AUX
",",--,PUNCT
oder,oder,CCONJ
eine,ein,DET
Minute,Minute,NOUN
später,spät,ADV
!,--,PUNCT
Wie,wie,ADV
kann,können,AUX
man,man,PRON
aber,aber,ADV
auch,auch,ADV
nicht,nicht,PART
abriegeln,abriegeln,VERB
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
dergleichen,dergleichen,PRON
vorhat,vorhat,VERB
!,--,PUNCT
Er,er,PRON
warf,werfen,VERB
einen,ein,DET
scheuen,scheu,ADJ
Blick,Blick,NOUN
auf,auf,ADP
den,der,DET
unglückseligen,unglückselig,ADJ
Brief,Brief,NOUN
",",--,PUNCT
trat,treten,VERB
in,in,ADP
das,der,DET
Nischenfenster,Nischenfenster,NOUN
und,und,CCONJ
starrte,starrn,VERB
auf,auf,ADP
die,der,DET
Alster,Alster,NOUN
.,--,PUNCT
Die,der,DET
stille,still,ADJ
Fläche,Fläche,NOUN
glänzte,glänzen,VERB
im,in,ADP
letzten,letzter,ADJ
Abendscheine,Abendscheine,NOUN
",",--,PUNCT
ohne,ohne,SCONJ
auch,auch,ADV
nur,nur,ADV
von,von,ADP
einem,ein,DET
einzigen,einzig,ADJ
Boote,Boot,NOUN
durchfurcht,durchfurcht,ADV
zu,zu,PART
werden,werden,AUX
;,--,PUNCT
auf,auf,ADP
der,der,DET
breiten,breit,ADJ
Gasse,Gasse,NOUN
zwischen,zwischen,ADP
seinem,sein,DET
Hause,Haus,NOUN
und,und,CCONJ
dem,der,DET
Wasser,Wasser,NOUN
",",--,PUNCT
wo,wo,SCONJ
es,es,PRON
um,um,ADP
diese,dieser,DET
Stunde,Stunde,NOUN
sonst,sonst,ADV
von,von,ADP
Promenierenden,Promenierende,NOUN
wimmelte,wimmelen,VERB
",",--,PUNCT
gab,geben,VERB
es,es,PRON
heute,heute,ADV
niemand,niemand,PRON
zu,zu,PART
sehen,sehen,VERB
und,und,CCONJ
zu,zu,PART
hören,hören,VERB
",",--,PUNCT
als,als,SCONJ
wäre,sein,AUX
Hamburg,Hamburg,PROPN
ausgestorben,ausgestorben,VERB
und,und,CCONJ
er,er,PRON
ganz,ganz,ADV
allein,allein,ADV
da,da,ADV
zurückgeblieben,zurückbleiben,VERB
mit,mit,ADP
seinem,sein,DET
verdüsterten,verdüstert,ADJ
Gemüt,Gemüt,NOUN
.,--,PUNCT
Ja,ja,PART
",",--,PUNCT
ja,ja,PART
",",--,PUNCT
seine,sein,DET
Sonne,Sonne,NOUN
war,sein,AUX
im,in,ADP
Untergehen,untergehe,NOUN
",",--,PUNCT
wie,wie,SCONJ
die,der,PRON
da,da,ADV
draußen,draußen,ADV
!,--,PUNCT
Nur,nur,ADV
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
morgen,morgen,ADV
sich,sich,PRON
nicht,nicht,PART
wieder,wieder,ADV
heben,heben,VERB
würde,werden,AUX
",",--,PUNCT
wie,wie,SCONJ
die,der,PRON
da,da,ADV
draußen,draußen,ADV
–,--,PUNCT
nicht,nicht,PART
morgen,morgen,ADV
und,und,CCONJ
niemals,niemals,ADV
wieder,wieder,ADV
.,--,PUNCT
Es,es,PRON
wäre,sein,AUX
denn,denn,ADV
",",--,PUNCT
daß,daß,SCONJ
Minna,Minna,PROPN
die,der,DET
unsinnige,unsinnig,ADJ
Liebe,Liebe,NOUN
zu,zu,ADP
