Token,Lemma,POS
Friedrich,friedrich,PROPN
Spielhagen,Spielhag,NOUN
Sturmflut,Sturmflut,NOUN
Erstes,erster,ADJ
Buch,Buch,NOUN
Das,der,DET
Wetter,Wetter,NOUN
war,sein,AUX
gegen,gegen,ADP
Abend,Abend,NOUN
unfreundlicher,unfreundlich,ADV
geworden,werden,AUX
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Vorderdeck,Vorderdeck,NOUN
hatten,haben,VERB
sich,sich,PRON
die,der,DET
Gruppen,Gruppe,NOUN
der,der,DET
Erdarbeiter,Erdarbeiter,NOUN
",",--,PUNCT
die,der,PRON
nach,nach,ADP
Sundin,Sundin,NOUN
an,an,ADP
die,der,DET
neue,neu,ADJ
Eisenbahn,Eisenbahn,NOUN
wollten,wollen,AUX
",",--,PUNCT
enger,eng,ADV
zwischen,zwischen,ADP
den,der,DET
hochgestapelten,hochgestapelt,ADJ
Fässern,Fässer,NOUN
",",--,PUNCT
Kisten,Kiste,NOUN
und,und,CCONJ
Kasten,Kasten,NOUN
zusammengekauert,zusammengekauert,VERB
",",--,PUNCT
von,von,ADP
dem,der,DET
Hinterdeck,Hinterdeck,NOUN
waren,sein,AUX
die,der,DET
Passagiere,Passagier,NOUN
bis,bis,ADP
auf,auf,ADP
wenige,weniger,PRON
verschwunden,verschwinden,VERB
.,--,PUNCT
Zwei,zwei,NUM
ältere,alt,ADJ
Herren,Herr,NOUN
",",--,PUNCT
die,der,PRON
während,während,ADP
der,der,DET
Reise,Reise,NOUN
viel,viel,ADV
zusammen,zusammen,ADV
geplaudert,plauderen,VERB
",",--,PUNCT
standen,stehen,VERB
auf,auf,ADP
der,der,DET
Steuerbordseite,Steuerbordseite,NOUN
und,und,CCONJ
blickten,blicken,VERB
und,und,CCONJ
deuteten,deuten,VERB
nach,nach,ADP
der,der,DET
Insel,Insel,NOUN
",",--,PUNCT
die,der,PRON
der,der,DET
Dampfer,Dampfer,NOUN
nach,nach,ADP
Südwest,Südwest,NOUN
zu,zu,PART
umfahren,umfahren,VERB
hatte,haben,AUX
und,und,CCONJ
deren,der,PRON
flache,flach,ADJ
",",--,PUNCT
in,in,ADP
gewaltigem,gewaltig,ADJ
Bogen,Bogen,NOUN
bis,bis,ADP
zu,zu,ADP
dem,der,DET
Vorgebirge,Vorgebirge,NOUN
sich,sich,PRON
herumschwingende,herumschwingend,ADJ
Küste,Küste,NOUN
mit,mit,ADP
jedem,jeder,PRON
Moment,Moment,NOUN
bestimmter,bestimmt,ADJ
heraustrat,Heraustrat,NOUN
.,--,PUNCT
Das,der,PRON
ist,sein,AUX
also,also,ADV
Warnow,Warnow,PROPN
?,--,PUNCT
Verzeihung,Verzeihung,NOUN
",",--,PUNCT
Herr,Herr,NOUN
Präsident,Präsident,NOUN
",",--,PUNCT
–,--,PUNCT
Ahlbeck,Ahlbeck,PROPN
",",--,PUNCT
ein,ein,DET
Fischerdorf,Fischerdorf,NOUN
",",--,PUNCT
allerdings,allerdings,ADV
auch,auch,ADV
Warnowscher,Warnowscher,ADJ
Grund,Grund,NOUN
.,--,PUNCT
Warnow,Warnow,PROPN
selbst,selbst,ADV
liegt,liegen,VERB
weiter,weiter,ADV
landeinwärts,landeinwärts,ADV
.,--,PUNCT
Der,der,DET
Turm,Turm,NOUN
der,der,DET
Kirche,Kirche,NOUN
blickt,blicken,VERB
noch,noch,ADV
eben,eben,ADV
über,über,ADP
den,der,DET
Dünenrand,Dünenrand,NOUN
.,--,PUNCT
Der,der,DET
Präsident,Präsident,NOUN
lächelte,lächelen,VERB
:,--,PUNCT
Ja,ja,PART
",",--,PUNCT
ja,ja,PART
",",--,PUNCT
es,es,PRON
ist,sein,AUX
klassischer,klassisch,ADJ
Boden,Boden,NOUN
",",--,PUNCT
sagte,sagen,VERB
er,er,PRON
",",--,PUNCT
es,es,PRON
ist,sein,AUX
viel,viel,PRON
um,um,SCONJ
ihn,ihn,PRON
gestritten,streiten,VERB
worden,werden,AUX
;,--,PUNCT
viel,viel,PRON
und,und,CCONJ
–,--,PUNCT
vergeblich,vergeblich,ADV
!,--,PUNCT
Und,und,CCONJ
ich,ich,PRON
bin,sein,AUX
überzeugt,überzeugen,VERB
",",--,PUNCT
es,es,PRON
war,sein,AUX
gut,gut,ADV
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Streit,Streit,NOUN
vergeblich,vergeblich,ADV
geblieben,bleiben,VERB
",",--,PUNCT
zum,zu,ADP
wenigsten,wenigster,VERB
nur,nur,ADV
ein,ein,DET
negatives,negativ,ADJ
Resultat,Resultat,NOUN
gehabt,haben,VERB
hat,haben,AUX
",",--,PUNCT
sagte,sagen,VERB
der,der,DET
General,General,NOUN
.,--,PUNCT
Ich,ich,PRON
bin,sein,AUX
nicht,nicht,PART
sicher,sicher,ADV
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
nicht,nicht,PART
wieder,wieder,ADV
aufgenommen,aufnehmen,VERB
wird,werden,AUX
",",--,PUNCT
erwiderte,erwidern,VERB
der,der,DET
Präsident,Präsident,NOUN
.,--,PUNCT
–,--,PUNCT
Graf,Graf,NOUN
Golm,Golm,PROPN
und,und,CCONJ
Genossen,Genosse,NOUN
machen,machen,VERB
neuerdings,neuerdings,ADV
die,der,DET
größten,groß,ADJ
Anstrengungen,Anstrengung,NOUN
.,--,PUNCT
Nachdem,nachdem,SCONJ
Sie,sie,PRON
die,der,DET
Unrentabilität,Unrentabilität,NOUN
der,der,DET
Bahn,Bahn,NOUN
so,so,ADV
schlagend,schlagend,ADV
nachgewiesen,nachweisen,VERB
?,--,PUNCT
Wie,wie,SCONJ
Sie,sie,PRON
die,der,DET
Unzweckmäßigkeit,Unzweckmäßigkeit,NOUN
des,der,DET
Kriegshafens,Kriegshafen,NOUN
!,--,PUNCT
Verzeihung,Verzeihung,NOUN
",",--,PUNCT
Herr,Herr,NOUN
Präsident,Präsident,NOUN
",",--,PUNCT
ich,ich,PRON
hatte,haben,AUX
nicht,nicht,PART
das,der,DET
Dezernat,Dezernat,NOUN
",",--,PUNCT
oder,oder,CCONJ
genauer,genau,ADV
:,--,PUNCT
Ich,ich,PRON
hatte,haben,AUX
es,es,PRON
abgelehnt,ablehnen,VERB
.,--,PUNCT
Der,der,DET
einzige,einzig,ADJ
einigermaßen,einigermaßen,ADV
zweckmäßige,zweckmäßig,ADJ
Platz,Platz,NOUN
für,für,ADP
den,der,DET
Hafen,Hafen,NOUN
wäre,sein,AUX
eben,eben,ADV
dort,dort,ADV
",",--,PUNCT
in,in,ADP
der,der,DET
südlichsten,südlich,ADJ
Ecke,Ecke,NOUN
der,der,DET
Bucht,Bucht,PROPN
",",--,PUNCT
im,in,ADP
Schutz,Schutz,NOUN
des,der,DET
Wissower,Wissower,NOUN
Hakens,Hake,PROPN
",",--,PUNCT
das,der,PRON
heißt,heißen,VERB
",",--,PUNCT
auf,auf,ADP
Warnowschem,Warnowschem,ADJ
Terrain,Terrain,NOUN
gewesen,sein,AUX
.,--,PUNCT
Ich,ich,PRON
habe,haben,AUX
freilich,freilich,ADV
nur,nur,ADV
die,der,DET
Kuratel,Kuratel,NOUN
über,über,ADP
das,der,DET
Vermögen,Vermögen,NOUN
meiner,mein,DET
Schwester,Schwester,NOUN
–,--,PUNCT
Ich,ich,PRON
weiß,wissen,VERB
",",--,PUNCT
ich,ich,PRON
weiß,wissen,VERB
",",--,PUNCT
unterbrach,unterbrechen,VERB
ihn,ihn,PRON
der,der,DET
Präsident,Präsident,NOUN
",",--,PUNCT
alte,alt,ADJ
preußische,preußisch,ADJ
Ehrenhaftigkeit,Ehrenhaftigkeit,NOUN
",",--,PUNCT
die,der,PRON
bis,bis,ADP
zur,zu,ADP
Skrupulosität,Skrupulosität,NOUN
geht,gehen,VERB
.,--,PUNCT
Graf,Graf,NOUN
Golm,Golm,PROPN
und,und,CCONJ
Genossen,Genosse,NOUN
sind,sein,AUX
weniger,weniger,ADV
skrupulös,skrupulös,VERB
.,--,PUNCT
Um,um,SCONJ
so,so,ADV
schlimmer,schlimm,ADV
für,für,ADP
sie,sie,PRON
",",--,PUNCT
sagte,sagen,VERB
der,der,DET
General,General,NOUN
.,--,PUNCT
Die,der,DET
Herren,Herr,NOUN
wandten,wandn,VERB
sich,sich,PRON
und,und,CCONJ
traten,treten,VERB
an,an,ADP
ein,ein,DET
junges,jung,ADJ
Mädchen,Mädchen,NOUN
heran,heran,ADV
",",--,PUNCT
das,der,PRON
",",--,PUNCT
auf,auf,ADP
einer,ein,DET
geschützten,geschützt,ADJ
Stelle,Stelle,NOUN
an,an,ADP
der,der,DET
Kajütenwand,Kajütenwand,NOUN
sitzend,sitzend,ADV
",",--,PUNCT
sich,sich,PRON
die,der,DET
Zeit,Zeit,NOUN
",",--,PUNCT
so,so,ADV
gut,gut,ADV
es,es,PRON
gehen,gehen,VERB
wollte,wollen,AUX
",",--,PUNCT
bald,bald,ADV
mit,mit,ADP
Lesen,Lese,NOUN
",",--,PUNCT
bald,bald,ADV
mit,mit,ADP
Zeichnen,Zeichn,NOUN
in,in,ADP
einem,ein,DET
kleinen,klein,ADJ
Album,Album,NOUN
vertrieb,vertreiben,VERB
.,--,PUNCT
Du,du,PRON
möchtest,möchteen,VERB
gewiß,gewiß,ADV
oben,oben,ADV
bleiben,bleiben,VERB
",",--,PUNCT
Else,Else,PROPN
?,--,PUNCT
sagte,sagen,VERB
der,der,DET
General,General,NOUN
.,--,PUNCT
Wollen,Wollen,AUX
die,der,DET
Herren,Herr,NOUN
in,in,ADP
die,der,DET
Kajüte,Kajüte,NOUN
?,--,PUNCT
antwortete,antworten,VERB
das,der,DET
junge,jung,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
von,von,ADP
ihrem,ihr,DET
Buch,Buch,NOUN
aufblickend,aufblickend,ADV
",",--,PUNCT
ich,ich,PRON
finde,finden,VERB
es,es,PRON
unten,unten,ADV
schrecklich,schrecklich,ADV
",",--,PUNCT
aber,aber,CCONJ
freilich,freilich,ADV
",",--,PUNCT
es,es,PRON
ist,sein,AUX
Ihnen,ihnen,PRON
gewiß,gewiß,ADV
zu,zu,PART
rauh,Rauh,PROPN
",",--,PUNCT
Herr,Herr,NOUN
Präsident,Präsident,NOUN
!,--,PUNCT
Es,es,PRON
ist,sein,AUX
in,in,ADP
der,der,DET
Tat,Tat,NOUN
auffallend,auffallend,ADV
rauh,rauh,ADV
",",--,PUNCT
erwiderte,erwidern,VERB
der,der,DET
Präsident,Präsident,NOUN
",",--,PUNCT
den,der,DET
Kragen,Kragen,NOUN
seines,sein,DET
Überrocks,Überrock,NOUN
in,in,ADP
die,der,DET
Höhe,Höhe,NOUN
schlagend,schlagend,ADV
und,und,CCONJ
einen,ein,DET
Blick,Blick,NOUN
nach,nach,ADP
dem,der,DET
Himmel,Himmel,NOUN
werfend,werfend,ADV
.,--,PUNCT
Ich,ich,PRON
glaube,glauben,VERB
",",--,PUNCT
wir,wir,PRON
haben,haben,VERB
noch,noch,ADV
vor,vor,ADP
Sonnenuntergang,Sonnenuntergang,NOUN
Regen,Regen,NOUN
.,--,PUNCT
Sie,sie,PRON
sollten,sollen,AUX
wirklich,wirklich,ADV
mit,mit,ADP
uns,uns,PRON
kommen,kommen,VERB
",",--,PUNCT
gnädiges,gnädig,ADJ
Fräulein,Fräulein,NOUN
!,--,PUNCT
Meinen,meinen,VERB
Sie,sie,PRON
nicht,nicht,PART
",",--,PUNCT
Herr,Herr,NOUN
General,General,NOUN
?,--,PUNCT
Else,elser,ADV
ist,sein,AUX
wetterfest,wetterfest,ADV
",",--,PUNCT
erwiderte,erwidern,VERB
der,der,DET
General,General,NOUN
lächelnd,lächelnd,ADV
;,--,PUNCT
–,--,PUNCT
aber,aber,CCONJ
einen,ein,DET
Schal,Schal,NOUN
oder,oder,CCONJ
dergleichen,dergleich,DET
könntest,Könntest,VERB
du,du,PRON
doch,doch,ADV
umnehmen,umnehmen,VERB
.,--,PUNCT
Darf,dürfen,AUX
ich,ich,PRON
dir,dir,PRON
etwas,etwas,PRON
holen,holen,VERB
?,--,PUNCT
Danke,Danke,NOUN
",",--,PUNCT
Papa,Papa,NOUN
!,--,PUNCT
Ich,ich,PRON
habe,haben,AUX
hier,hier,ADV
noch,noch,ADV
alles,aller,DET
Mögliche,Mögliche,NOUN
",",--,PUNCT
sagte,sagen,VERB
Else,Else,PROPN
",",--,PUNCT
auf,auf,ADP
ihre,ihr,DET
zusammengerollten,zusammengerollt,ADJ
