Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Friedrich,Friedrich,PROPN,pnc,5,Fouqué
1,Baron,Baron,PROPN,pnc,5,Fouqué
2,de,de,PROPN,pnc,4,Motte
3,la,la,PROPN,pnc,4,Motte
4,Motte,Motte,PROPN,pnc,5,Fouqué
5,Fouqué,Fouqué,NOUN,ROOT,5,Fouqué
6,Die,der,DET,nk,8,Begebenheiten
7,wunderbaren,wunderbar,ADJ,nk,8,Begebenheiten
8,Begebenheiten,Begebenheit,NOUN,ROOT,8,Begebenheiten
9,des,der,DET,nk,10,Grafen
10,Grafen,Graf,NOUN,ROOT,10,Grafen
11,Alethes,Alethes,NOUN,ROOT,11,Alethes
12,von,von,ADP,pg,11,Alethes
13,Lindenstein,Lindenstein,NOUN,nk,12,von
14,━,━,DET,nk,15,━
15,━,━,PROPN,nk,92,━
16,━,━,PROPN,cj,15,━
17,━,━,DET,app,15,━
18,━,━,DET,app,15,━
19,━,━,DET,app,15,━
20,━,━,DET,app,15,━
21,━,━,DET,app,15,━
22,━,━,DET,app,15,━
23,━,━,DET,app,15,━
24,━,━,DET,app,15,━
25,━,━,DET,app,15,━
26,━,━,DET,app,15,━
27,━,━,DET,app,15,━
28,━,━,DET,app,15,━
29,━,━,DET,app,15,━
30,━,━,DET,app,15,━
31,━,━,DET,app,15,━
32,━,━,DET,app,15,━
33,━,━,DET,app,15,━
34,━,━,DET,app,15,━
35,━,━,DET,app,15,━
36,━,━,DET,app,15,━
37,━,━,DET,app,15,━
38,━,━,DET,app,15,━
39,━,━,DET,app,15,━
40,━,━,DET,app,15,━
41,━,━,DET,app,15,━
42,━,━,DET,app,15,━
43,━,━,DET,app,15,━
44,━,━,DET,app,15,━
45,━,━,DET,app,15,━
46,━,━,DET,app,15,━
47,━,━,DET,app,15,━
48,━,━,DET,app,15,━
49,━,━,DET,app,15,━
50,━,━,DET,app,15,━
51,━,━,DET,app,15,━
52,━,━,DET,app,15,━
53,━,━,DET,app,15,━
54,━,━,DET,app,15,━
