Token,Lemma,POS
Friedrich,Friedrich,PROPN
von,von,ADP
Sallet,Sallet,PROPN
Kontraste,Kontrast,NOUN
und,und,CCONJ
Paradoxen,Paradoxe,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Kapitel,Kapitel,NOUN
I,I,NUM
Es,es,PRON
war,sein,AUX
einmal,einmal,ADV
in,in,ADP
einer,ein,DET
großen,groß,ADJ
Stadt,Stadt,NOUN
ein,ein,DET
sehr,sehr,ADV
reicher,reich,ADJ
Bankherr,Bankherr,NOUN
",",--,PUNCT
der,der,PRON
hieß,heißen,VERB
Herr,Herr,NOUN
Habichs,Habichs,PROPN
",",--,PUNCT
und,und,CCONJ
weil,weil,SCONJ
er,er,PRON
so,so,ADV
reich,reich,ADV
war,sein,AUX
und,und,CCONJ
noch,noch,ADV
alle,aller,DET
Tage,Tag,NOUN
reicher,reich,ADV
wurde,werden,AUX
",",--,PUNCT
so,so,ADV
hielt,halten,VERB
er,er,PRON
sich,sich,PRON
zwölf,zwölf,NUM
Schreiber,Schreiber,PROPN
",",--,PUNCT
die,der,DET
immerfort,Immerfort,NOUN
rechnen,rechnen,VERB
und,und,CCONJ
ihm,ihm,PRON
seine,sein,DET
Bücher,Buch,NOUN
