Token,Lemma,POS
Fritz,Fritz,PROPN
Reuter,Reuter,PROPN
Dörchläuchting,Dörchläuchting,X
Damit,damit,SCONJ
er,er,PRON
sich,sich,PRON
daran,daran,ADV
etwas,etwas,PRON
verlustiren,verlustiren,VERB
und,und,CCONJ
vermüntern,vermüntern,VERB
möge,mögen,AUX
",",--,PUNCT
habe,haben,AUX
ich,ich,PRON
diese,dieser,PRON
heitere,heitere,ADJ
Geschichte,Geschichte,NOUN
meinem,mein,DET
lieben,lieb,ADJ
Freunde,Freund,NOUN
",",--,PUNCT
dem,der,PRON
Dr.,Dr.,NOUN
Julian,Julian,PROPN
Schmidt,Schmidt,PROPN
",",--,PUNCT
in,in,ADP
herzlicher,herzlich,ADJ
Liebe,Liebe,NOUN
und,und,CCONJ
unwandelbarer,unwandelbar,ADJ
Freundschaft,Freundschaft,NOUN
gewidmet,widmen,VERB
.,--,PUNCT
Fritz,Fritz,PROPN
Reuter,Reuter,PROPN
.,--,PUNCT
',--,PUNCT
Ne,Ne,X
Vörred,Vörred,X
',--,PUNCT
",",--,PUNCT
dormit,dormit,NOUN
dat,dat,DET
mi,mi,NOUN
nahsten,nahsen,VERB
kein,kein,DET
Nahred,Nahred,NOUN
',--,PUNCT
dröppt,dröppen,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
ick,ick,PROPN
mi,mi,PROPN
vermeten,vermeten,ADJ
dauh,dauh,VERB
",",--,PUNCT
in,in,ADP
dit,dit,PROPN
Bauk,Bauk,X
ut,ut,X
de,de,X
kümmerlichen,kümmerlich,ADJ
Tiden,Tiden,NOUN
nah,nah,ADV
den,der,DET
säbenjöhrigen,Säbenjöhrige,NOUN
Krig,Krig,X
'ne,'ne,DET
Geschicht,Geschicht,X
ut,ut,X
de,de,X
gaude,gaude,ADJ
Vörderstadt,Vörderstadt,NOUN
Nigen-Bramborg,Nigen-Bramborg,PROPN
tau,tau,ADP
vertellen,vertellen,VERB
",",--,PUNCT
so,so,ADV
darw,darw,ADV
Keiner,keiner,PRON
sick,Sick,ADV
inbilden,inbilden,VERB
",",--,PUNCT
dat,dat,NOUN
ick,ick,PROPN
mi,mi,X
vel,vel,ADP
mit,mit,ADP
vörnehme,vörnehme,ADJ
Lüd,Lüd,NOUN
',--,PUNCT
",",--,PUNCT
mit,mit,ADP
Grawen,Grawe,NOUN
un,un,PROPN
Gräwinnen,Gräwinn,NOUN
bemengen,bemengen,VERB
ward,werden,VERB
–,--,PUNCT
natürlich,natürlich,ADV
",",--,PUNCT
as,as,ADP
dat,dat,ADV
all,all,X
de,de,PROPN
Titel,Titel,PROPN
beseggt,beseggt,ADV
",",--,PUNCT
Dörchläuchten,Dörchläucht,NOUN
utbenamen,utbenamen,VERB
–,--,PUNCT
oder,oder,CCONJ
dat,dat,DET
ick,ick,PRON
mit,mit,ADP
Gold,Gold,NOUN
un,un,X
Gesmeid,Gesmeid,X
',--,PUNCT
un,UN,X
sidene,siden,ADJ
Kleder,Kled,NOUN
',',PUNCT
rümmer,Rümmer,NOUN
spillunken,spillunken,VERB
ward,werden,AUX
–,--,PUNCT
natürlich,natürlich,ADV
ok,ok,PROPN
hir,hir,ADV
wedder,wedder,ADV
Dörchläuchten,Dörchläucht,NOUN
utbenamen,utbenamen,VERB
–,--,PUNCT
oder,oder,CCONJ
dat,dat,DET
ick,ick,PRON
vele,vel,VERB
klauke,Klauke,PROPN
un,un,PROPN
gelihrte,gelihrt,ADJ
Lüd,Lüd,NOUN
',--,PUNCT
up,up,X
en,--,X
Band,Band,X
trecken,trecken,VERB
un,UN,PROPN
sei,sein,AUX
vör,vör,PROPN
de,de,PROPN
Ogen,Ogen,PROPN
von,von,ADP
mine,min,PROPN
Lesers,Leser,X
up,up,X
un,UN,X
dal,dal,ADV
danzen,danzen,VERB
laten,laten,VERB
