Token,Lemma,POS
Georg,Georg,PROPN
Ebers,Eber,PROPN
Per,per,ADP
aspera,aspera,PROPN
Georg,Georg,PROPN
Ebers,Eber,PROPN
:,--,PUNCT
Per,per,ADP
aspera,aspera,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Conrad,Conrad,PROPN
Ferdinand,Ferdinand,PROPN
Meyer,Meyer,PROPN
",",--,PUNCT
dem,der,DET
Menschen,Mensch,NOUN
und,und,CCONJ
Dichter,Dichter,NOUN
",",--,PUNCT
in,in,ADP
Freundschaft,Freundschaft,NOUN
und,und,CCONJ
Bewunderung,Bewunderung,NOUN
dargebracht,dargebrachen,VERB
vom,von,ADP
Verfasser,Verfasser,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Der,der,DET
grüne,grün,ADJ
Vorhang,Vorhang,NOUN
hob,heben,VERB
sich,sich,PRON
allmälich,allmälich,ADV
und,und,CCONJ
bedeckte,bedecken,VERB
den,der,DET
untern,unter,ADJ
Teil,Teil,NOUN
des,der,DET
breiten,breit,ADJ
Fensters,Fenster,NOUN
in,in,ADP
der,der,DET
Werkstätte,Werkstätte,NOUN
des,der,DET
Steinschneiders,Steinschneider,NOUN
Heron,Heron,PROPN
.,--,PUNCT
Melissa,Melissa,PROPN
",",--,PUNCT
die,der,DET
Tochter,Tochter,NOUN
des,der,DET
Künstlers,Künstler,NOUN
",",--,PUNCT
war,sein,AUX
es,es,PRON
",",--,PUNCT
die,der,PRON
ihn,ihn,PRON
mit,mit,ADP
gebogenen,gebogen,ADJ
Knieen,Kniee,NOUN
und,und,CCONJ
hochgestreckten,hochgestreckt,ADJ
Armen,Arm,NOUN
tief,tief,ADV
atmend,atmend,ADV
hinaufzog,hinaufziehen,VERB
.,--,PUNCT
»,--,PUNCT
Genug,Genug,ADV
so,so,ADV
!,--,PUNCT
«,--,PUNCT
rief,rufen,VERB
die,der,DET
tiefe,tief,ADJ
Stimme,Stimme,NOUN
des,der,DET
Vaters,Vater,NOUN
ihr,ihr,DET
ungeduldig,ungeduldig,ADV
zu,zu,ADP
.,--,PUNCT
Dann,dann,ADV
warf,werfen,VERB
er,er,PRON
einen,ein,DET
kurzen,kurz,ADJ
Blick,Blick,NOUN
auf,auf,ADP
die,der,DET
