Token,Lemma,POS
Georg,Georg,PROPN
Engel,Engel,PROPN
Die,der,DET
Last,Last,NOUN
1910,1910,NUM
Motto,Motto,NOUN
:,--,PUNCT
Nicht,nicht,PART
an,an,ADP
einer,ein,DET
Person,Person,NOUN
hängen,hängen,VERB
bleiben,bleiben,VERB
:,--,PUNCT
und,und,CCONJ
sei,sein,AUX
sie,sie,PRON
die,der,DET
geliebteste,geliebte,ADJ
–,--,PUNCT
jede,jeder,DET
Person,Person,NOUN
ist,sein,AUX
ein,ein,DET
Gefängnis,Gefängnis,NOUN
",",--,PUNCT
auch,auch,ADV
ein,ein,DET
Winkel,Winkel,NOUN
.,--,PUNCT
–,--,PUNCT
–,--,PUNCT
Nicht,nicht,PART
an,an,ADP
einem,ein,DET
Mitleiden,Mitleide,NOUN
hängen,hängen,VERB
bleiben,bleiben,VERB
:,--,PUNCT
und,und,CCONJ
gälte,gälen,VERB
es,es,PRON
höheren,hoch,ADJ
Menschen,Mensch,NOUN
",",--,PUNCT
in,in,ADP
deren,der,PRON
seltne,seltne,ADV
Marter,Marter,NOUN
und,und,CCONJ
Hilflosigkeit,Hilflosigkeit,NOUN
uns,uns,PRON
ein,ein,DET
Zufall,Zufall,NOUN
hat,haben,AUX
blicken,blicken,VERB
lassen,lassen,VERB
.,--,PUNCT
Friedr,Friedr,NOUN
.,--,PUNCT
Nietzsche,Nietzsche,PROPN
Erstes,erster,ADJ
Buch,Buch,NOUN
.,--,PUNCT
I.,I.,NOUN
Es,es,PRON
war,sein,AUX
Tag,Tag,NOUN
geworden,werden,AUX
.,--,PUNCT
Noch,noch,ADV
immer,immer,ADV
rieselte,rieselen,VERB
der,der,DET
Regen,Regen,NOUN
und,und,CCONJ
troff,Troff,NOUN
an,an,ADP
den,der,DET
kleinen,klein,ADJ
Fenstern,Fenster,NOUN
der,der,DET
Krankenstube,Krankenstube,NOUN
herunter,herunter,ADV
.,--,PUNCT
Bleigraues,Bleigraues,PROPN
Licht,Licht,NOUN
stahl,stahl,VERB
sich,sich,PRON
zögernd,zögernd,ADV
durch,durch,ADP
die,der,DET
Gardinen,Gardin,NOUN
und,und,CCONJ
mischte,mischen,VERB
sich,sich,PRON
mit,mit,ADP
dem,der,DET
Schein,Schein,NOUN
der,der,DET
Lampe,Lampe,NOUN
",",--,PUNCT
die,der,PRON
auch,auch,ADV
jetzt,jetzt,ADV
noch,noch,ADV
vor,vor,ADP
dem,der,DET
Bette,Bette,NOUN
