Token,Lemma,POS
Gottfried,Gottfried,PROPN
Keller,Keller,PROPN
Das,der,DET
Sinngedicht,Sinngedicht,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Ein,ein,DET
Naturforscher,Naturforscher,NOUN
entdeckt,entdecken,VERB
ein,ein,DET
Verfahren,Verfahren,NOUN
und,und,CCONJ
reitet,reiteen,VERB
über,über,ADP
Land,Land,NOUN
",",--,PUNCT
dasselbe,dasselbe,PRON
zu,zu,ADP
prüfen,prüfen,VERB
Vor,vor,ADP
etwa,etwa,ADV
fünfundzwanzig,fünfundzwanzig,ADV
Jahren,Jahr,NOUN
",",--,PUNCT
als,als,SCONJ
die,der,DET
Naturwissenschaften,Naturwissenschaft,NOUN
eben,eben,ADV
wieder,wieder,ADV
auf,auf,ADP
einem,ein,DET
höchsten,hoch,ADJ
Gipfel,Gipfel,NOUN
standen,stehen,VERB
",",--,PUNCT
obgleich,obgleich,SCONJ
das,der,DET
Gesetz,Gesetz,NOUN
der,der,DET
natürlichen,natürlich,ADJ
Zuchtwahl,Zuchtwahl,NOUN
noch,noch,ADV
nicht,nicht,PART
bekannt,bekannt,ADV
war,sein,AUX
",",--,PUNCT
öffnete,öffnen,ADJ
Herr,Herr,NOUN
Reinhard,Reinhard,PROPN
eines,ein,DET
Tages,Tag,NOUN
seine,sein,DET
Fensterläden,Fensterladen,NOUN
und,und,CCONJ
liess,lassen,VERB
den,der,DET
Morgenglanz,Morgenglanz,NOUN
",",--,PUNCT
der,der,PRON
hinter,hinter,ADP
den,der,DET
Bergen,Berg,NOUN
hervorkam,hervorkommen,VERB
",",--,PUNCT
in,in,ADP
sein,sein,AUX
Arbeitsgemach,Arbeitsgemach,PROPN
",",--,PUNCT
und,und,CCONJ
mit,mit,ADP
dem,der,DET
Frühgolde,Frühgolde,NOUN
wehte,wehen,VERB
eine,ein,DET
frische,frisch,ADJ
Sommermorgenluft,Sommermorgenluft,NOUN
daher,daher,ADV
und,und,CCONJ
bewegte,bewegen,VERB
kräftig,kräftig,ADV
die,der,DET
schweren,schwer,ADJ
Vorhänge,Vorhang,NOUN
und,und,CCONJ
die,der,DET
schattigen,schattig,ADJ
Haare,Haar,NOUN
des,der,DET
Mannes,Mann,NOUN
.,--,PUNCT
Der,der,DET
junge,jung,ADJ
Tagesschein,Tagesschein,NOUN
erleuchtete,erleuchten,VERB
die,der,DET
Studierstube,Studierstube,NOUN
eine,ein,DET
Doktor,Doktor,NOUN
Faustus,Faustus,PROPN
",",--,PUNCT
aber,aber,CCONJ
durchaus,durchaus,ADV
ins,in,ADP
Moderne,Moderne,NOUN
",",--,PUNCT
Bequeme,Bequem,NOUN
und,und,CCONJ
Zierliche,Zierliche,NOUN
übersetzt,übersetzen,VERB
.,--,PUNCT
Statt,statt,ADP
der,der,DET
malerischen,malerisch,ADJ
Esse,Es,VERB
",",--,PUNCT
der,der,DET
ungeheuerlichen,ungeheuerlich,ADJ
Kolben,Kolbe,NOUN
und,und,CCONJ
Kessel,Kessel,NOUN
gab,geben,VERB
es,es,PRON
da,da,ADV
nur,nur,ADV
feine,fein,ADJ
Spirituslampen,Spirituslampe,NOUN
und,und,CCONJ
leichte,leicht,ADJ
Glasröhren,Glasröhre,NOUN
",",--,PUNCT
Porzellanschalen,Porzellanschal,NOUN
und,und,CCONJ
Fläschchen,Fläschche,NOUN
mit,mit,ADP
geschliffenem,geschliffen,ADJ
Verschlusse,Verschlus,NOUN
",",--,PUNCT
angefüllt,anfüllen,VERB
mit,mit,ADP
Trockenem,Trockenem,PROPN
und,und,CCONJ
Flüssigem,Flüssigem,NOUN
aller,aller,DET
Art,Art,NOUN
",",--,PUNCT
mit,mit,ADP
Säuren,Säur,NOUN
",",--,PUNCT
Salzen,Salz,NOUN
und,und,CCONJ
Kristallen,Kristall,NOUN
.,--,PUNCT
Die,der,DET
Tische,Tisch,NOUN
waren,sein,AUX
bedeckt,bedeckt,ADV
mit,mit,ADP
geognostischen,geognostisch,ADJ
Karten,Karte,NOUN
",",--,PUNCT
Mineralien,Mineralie,NOUN
und,und,CCONJ
hölzernen,hölzern,ADJ
Feldspatmodellen,Feldspatmodelle,NOUN
;,--,PUNCT
Schichten,Schicht,NOUN
gelehrter,gelehrt,ADJ
Jahrbücher,Jahrbüch,NOUN
in,in,ADP
allen,aller,DET
Sprachen,Sprache,NOUN
belasteten,belastet,VERB
Stühle,Stuhl,NOUN
und,und,CCONJ
Diwans,Diwan,PROPN
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
den,der,DET
Spiegeltischchen,spiegeltischch,NOUN
glänzten,glänzt,ADJ
physikalische,physikalisch,ADJ
Instrumente,Instrument,NOUN
in,in,ADP
blankem,blankem,ADJ
Messing,Messing,NOUN
.,--,PUNCT
Kein,kein,DET
ausgestopftes,ausgestopft,ADJ
Monstrum,Monstrum,ADV
hing,hing,VERB
an,an,ADP
räucherigem,räucherig,ADJ
Gewölbe,Gewölbe,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
bescheiden,bescheiden,ADV
hockte,hocken,VERB
ein,ein,DET
lebendiger,lebendig,ADJ
Frosch,Frosch,NOUN
in,in,ADP
einem,ein,DET
Glase,Glase,NOUN
und,und,CCONJ
harrte,harrn,VERB
seines,sein,DET
Stündleins,Stündlein,NOUN
",",--,PUNCT
und,und,CCONJ
selbst,selbst,ADV
das,der,DET
übliche,üblich,ADJ
Menschengerippe,Menschengerippe,NOUN
in,in,ADP
der,der,DET
dunklen,dunkel,ADJ
Ecke,Ecke,NOUN
fehlte,fehlen,VERB
",",--,PUNCT
wogegen,wogegen,SCONJ
eine,ein,DET
Reihe,Reihe,NOUN
von,von,ADP
Menschen-,Menschen,X
und,und,CCONJ
Tierschädeln,Tierschädel,NOUN
so,so,ADV
weiss,weiss,X
und,und,CCONJ
appetitilich,appetitilich,ADV
aussah,aussehen,VERB
",",--,PUNCT
dass,dass,SCONJ
sie,sie,PRON
eher,eher,ADV
den,der,DET
Nippsachen,Nippsachen,NOUN
eines,ein,DET
Stutzers,Stutzer,NOUN
glichen,gleichen,VERB
als,als,ADP
dem,der,DET
unheimlichen,unheimlich,ADJ
Hokuspokus,Hokuspokus,NOUN
eines,ein,DET
alten,alt,ADJ
Laboranten,Laborante,NOUN
.,--,PUNCT
Statt,statt,ADP
bestaubter,bestaubt,ADJ
Herbarien,Herbarien,NOUN
sah,sehen,VERB
man,man,PRON
einige,einiger,DET
feine,fein,ADJ
Bogen,Bogen,NOUN
mit,mit,ADP
Zeichnungen,Zeichnung,NOUN
von,von,ADP
Pflanzengeweben,Pflanzengeweben,PROPN
",",--,PUNCT
statt,statt,ADP
schweinslederner,schweinsledern,ADJ
Folianten,Folianten,NOUN
englische,englisch,ADJ
Prachtwerke,Prachtwerk,NOUN
in,in,ADP
gepresster,gepresst,ADJ
Leinwand,Leinwand,NOUN
.,--,PUNCT
Wo,wo,SCONJ
man,man,PRON
ein,ein,DET
Buch,Buch,NOUN
oder,oder,CCONJ
Heft,Heft,NOUN
aufschlug,aufschlagen,VERB
",",--,PUNCT
erblickte,erblicken,VERB
man,man,PRON
nur,nur,ADV
den,der,DET
lateinischen,lateinisch,ADJ
Gelehrtendruck,Gelehrtendruck,NOUN
",",--,PUNCT
Zahlensäulen,Zahlensäule,NOUN
und,und,CCONJ
Logarithmen,Logarithme,NOUN
.,--,PUNCT
Kein,kein,DET
einziges,einzig,ADJ
Buch,Buch,NOUN
handelte,handeln,VERB
von,von,ADP
menschlichen,menschlich,ADJ
oder,oder,CCONJ
moralischen,moralisch,ADJ
Dingen,Ding,NOUN
",",--,PUNCT
oder,oder,CCONJ
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
vor,vor,ADP
hundert,hundert,NUM
Jahren,Jahr,NOUN
gesagt,sagen,VERB
haben,haben,AUX
würde,werden,AUX
",",--,PUNCT
von,von,ADP
Sachen,Sache,NOUN
des,der,DET
Herzens,Herzens,NOUN
und,und,CCONJ
des,der,DET
schönen,schön,ADJ
Geschmackes,Geschmack,NOUN
.,--,PUNCT
So,so,ADV
wollte,wollen,AUX
also,also,ADV
Reinhard,Reinhard,PROPN
sich,sich,PRON
wieder,wieder,ADV
an,an,ADP
eine,ein,DET
stille,still,ADJ
",",--,PUNCT
subtile,subtil,ADJ
Arbeit,Arbeit,NOUN
begeben,begeben,VERB
",",--,PUNCT
die,der,PRON
er,er,PRON
schon,schon,ADV
seit,seit,ADP
Wochen,Woche,NOUN
betrieb,betreiben,VERB
.,--,PUNCT
In,in,ADP
der,der,DET
Mitte,Mitte,NOUN
des,der,DET
Zimmers,Zimmer,NOUN
stand,stehen,VERB
ein,ein,DET
sinnreicher,sinnreich,ADJ
Apparat,Apparat,NOUN
",",--,PUNCT
allwo,allwo,VERB
ein,ein,DET
Sonnenstrahl,Sonnenstrahl,NOUN
eingefangen,eingefangen,VERB
und,und,CCONJ
durch,durch,ADP
einen,ein,DET
Kristallkörper,Kristallkörper,NOUN
geleitet,leiten,VERB
wurde,werden,AUX
",",--,PUNCT
um,um,SCONJ
sein,sein,DET
Verhalten,verhalten,NOUN
in,in,ADP
demselben,derselbe,PRON
zu,zu,PART
zeigen,zeigen,VERB
und,und,CCONJ
womöglich,womöglich,ADV
das,der,DET
innerste,innerste,ADJ
Geheimnis,Geheimnis,NOUN
solcher,solcher,DET
durchsichtigen,durchsichtig,ADJ
Bauwerke,Bauwerk,NOUN
zu,zu,PART
beleuchten,beleuchten,VERB
.,--,PUNCT
Schon,schon,ADV
viele,vieler,PRON
Tage,Tag,NOUN
stand,stehen,VERB
Reinhard,Reinhard,PROPN
vor,vor,ADP
der,der,DET
Maschine,Maschine,NOUN
",",--,PUNCT
guckte,gucken,VERB
durch,durch,ADP
eine,ein,DET
Röhre,Röhre,NOUN
",",--,PUNCT
den,der,DET
Rechenstift,Rechenstift,NOUN
in,in,ADP
der,der,DET
Hand,Hand,NOUN
",",--,PUNCT
und,und,CCONJ
schrieb,schreiben,VERB
Zahlen,Zahl,NOUN
auf,auf,ADP
Zahlen,Zahl,NOUN
.,--,PUNCT
Als,als,SCONJ
die,der,DET
Sonne,Sonne,NOUN
einige,einiger,DET
Spannen,Spann,NOUN
hochgestiegen,hochgestiegen,VERB
",",--,PUNCT
verschloss,verschloss,VERB
er,er,PRON
wieder,wieder,ADV
die,der,DET
Fenster,Fenster,NOUN
vor,vor,ADP
der,der,DET
schönen,schön,ADJ
Welt,Welt,NOUN
mit,mit,ADP
allem,alle,PRON
",",--,PUNCT
was,wer,PRON
draussen,draussen,VERB
lebte,leben,VERB
und,und,CCONJ
webte,weben,VERB
",",--,PUNCT
und,und,CCONJ
liess,lassen,VERB
nur,nur,ADV
einen,ein,DET
einzigen,einzig,ADJ
