Token,Lemma,POS
Gottfried,Gottfried,PROPN
Keller,Keller,PROPN
Das,der,DET
verlorene,verloren,ADJ
Lachen,lachen,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Drei,drei,NUM
Ellen,Ellen,NOUN
gute,gut,ADJ
Bannerseide,Bannerseide,NOUN
",",--,PUNCT
Ein,ein,DET
Häuflein,Häuflein,NOUN
Volkes,Volk,NOUN
",",--,PUNCT
ehrenwert,ehrenwert,ADV
",",--,PUNCT
Mit,mit,ADP
klarem,klar,ADJ
Aug,Aug,PROPN
",",--,PUNCT
im,in,ADP
Sonntagskleide,Sonntagskleide,NOUN
",",--,PUNCT
Ist,sein,AUX
alles,alle,PRON
",",--,PUNCT
was,wer,PRON
mein,mein,DET
Herz,Herz,NOUN
begehrt,begehren,VERB
!,--,PUNCT
So,so,ADV
end,end,SCONJ
ich,ich,PRON
mit,mit,ADP
der,der,DET
Morgenhelle,Morgenhelle,NOUN
Der,der,DET
Sommernacht,Sommernacht,NOUN
beschränkte,beschränken,VERB
Ruh,Ruh,PROPN
Und,und,CCONJ
wandre,wandre,PROPN
rasch,rasch,ADV
dem,der,DET
frischen,frisch,ADJ
Quelle,Quelle,NOUN
Der,der,DET
vaterländschen,vaterländsch,ADJ
Freuden,Freude,NOUN
zu,zu,ADP
.,--,PUNCT
Die,der,DET
Schiffe,Schiff,NOUN
fahren,fahren,VERB
und,und,CCONJ
die,der,DET
Wagen,Wagen,NOUN
",",--,PUNCT
Bekränzt,Bekränzt,PROPN
",",--,PUNCT
auf,auf,ADP
allen,aller,DET
Pfaden,Pfad,NOUN
her,her,ADV
;,--,PUNCT
Die,der,DET
luftge,luftg,ADJ
Halle,Halle,PROPN
seh,seh,X
ich,ich,PRON
ragen,ragen,VERB
",",--,PUNCT
Von,von,ADP
Steinen,Stein,NOUN
nicht,nicht,PART
noch,noch,ADV
Sorgen,Sorge,NOUN
schwer,schwer,ADV
;,--,PUNCT
Vom,von,ADP
Rednersimse,Rednersimse,PROPN
schimmert,schimmern,VERB
lieblich,lieblich,ADV
Des,der,DET
Festpokales,Festpokales,PROPN
Silberhort,Silberhort,PROPN
:,--,PUNCT
Heil,Heil,NOUN
uns,uns,PRON
",",--,PUNCT
noch,noch,CCONJ
ist,sein,AUX
bei,bei,ADP
Freien,Freie,NOUN
üblich,üblich,ADV
Ein,ein,DET
leidenschaftlich,leidenschaftlich,ADV
freies,frei,ADJ
Wort,Wort,NOUN
!,--,PUNCT
Und,und,CCONJ
Wort,Wort,NOUN
und,und,CCONJ
Lied,Lied,NOUN
",",--,PUNCT
von,von,ADP
Mund,Mund,NOUN
zu,zu,ADP
Munde,Mund,NOUN
",",--,PUNCT
Von,von,ADP
Herz,Herz,NOUN
zu,zu,ADP
Herzen,Herz,NOUN
hallt,hallen,VERB
es,es,PRON
hin,hin,ADV
;,--,PUNCT
So,so,ADV
blüht,blühen,VERB
des,der,DET
Festes,Fest,NOUN
Rosenstunde,rosenstund,NOUN
Und,und,CCONJ
muß,müssen,AUX
mit,mit,ADP
goldner,goldn,ADJ
Wende,Wende,NOUN
fliehn,fliehn,NUM
!,--,PUNCT
Und,und,CCONJ
jede,jeder,DET
Pflicht,Pflicht,NOUN
hat,haben,AUX
sie,sie,PRON
erneuet,erneuet,X
",",--,PUNCT
Und,und,CCONJ
jede,jeder,DET
Kraft,Kraft,NOUN
hat,haben,AUX
sie,sie,PRON
gestählt,stählen,VERB
Und,und,CCONJ
eine,ein,DET
Körnersaat,Körnersaat,NOUN
gestreuet,gestreuetn,VERB
",",--,PUNCT
Die,der,DET
niemals,niemals,ADV
ihre,ihr,DET
Frucht,Frucht,NOUN
verfehlte,verfehlen,VERB
Drum,Drum,ADV
weilet,weilet,X
",",--,PUNCT
wo,wo,SCONJ
im,in,ADP
Feierkleide,Feierkleide,NOUN
Ein,ein,DET
rüstig,rüstig,ADV
Volk,Volk,NOUN
zum,zu,ADP
Feste,Feste,NOUN
geht,gehen,VERB
Und,und,CCONJ
leis,leis,VERB
die,der,DET
feine,fein,ADJ
Bannerseide,Bannerseide,NOUN
Hoch,hoch,ADV
über,über,ADP
ihm,ihm,PRON
zum,zu,ADP
Himmel,Himmel,NOUN
weht,wehen,VERB
!,--,PUNCT
In,in,ADP
Vaterlandes,Vaterlande,PROPN
Saus,Saus,NOUN
und,und,CCONJ
Brause,Brause,PROPN
",",--,PUNCT
Da,da,ADV
ist,sein,AUX
die,der,DET
Freude,Freude,NOUN
sündenrein,sündenrein,ADV
",",--,PUNCT
Und,und,CCONJ
kehr,kehr,ADV
nicht,nicht,PART
besser,gut,ADV
ich,ich,PRON
nach,nach,ADP
Hause,Haus,NOUN
",",--,PUNCT
So,so,ADV
werd,werden,VERB
ich,ich,PRON
auch,auch,ADV
nicht,nicht,PART
schlechter,schlecht,ADV
sein,sein,AUX
!,--,PUNCT
Dieses,dieser,DET
Lied,Lied,NOUN
sang,singen,VERB
der,der,DET
Fahnenträger,Fahnenträger,NOUN
des,der,DET
Seldwyler,Seldwyler,ADJ
Männerchores,Männerchor,NOUN
",",--,PUNCT
welcher,welcher,PRON
an,an,ADP
einem,ein,DET
prachtvollen,prachtvoll,ADJ
Sommermorgen,Sommermorg,NOUN
zum,zu,ADP
Sängerfeste,Sängerfeste,NOUN
wanderte,wanderen,VERB
.,--,PUNCT
Nachdem,nachdem,SCONJ
die,der,DET
Herren,Herr,NOUN
am,an,ADP
Abend,Abend,NOUN
vorher,vorher,ADV
aufgebrochen,aufbrechen,VERB
und,und,CCONJ
einen,ein,DET
Teil,Teil,NOUN
des,der,DET
Weges,Weg,NOUN
auf,auf,ADP
der,der,DET
Schienenbahn,Schienenbahn,PROPN
befördert,befördern,VERB
worden,werden,AUX
waren,sein,AUX
",",--,PUNCT
hatten,haben,AUX
sie,sie,PRON
beschlossen,beschließen,VERB
",",--,PUNCT
den,der,DET
Rest,Rest,NOUN
in,in,ADP
der,der,DET
Morgenkühle,Morgenkühle,NOUN
zu,zu,ADP
Fuß,Fuß,NOUN
zu,zu,ADP
machen,machen,VERB
",",--,PUNCT
da,da,SCONJ
es,es,PRON
nur,nur,ADV
noch,noch,ADV
durch,durch,ADP
schöne,schön,ADJ
Waldungen,Waldung,NOUN
ging,gehen,VERB
.,--,PUNCT
Schon,schon,ADV
breitete,breiten,VERB
sich,sich,PRON
der,der,DET
glänzende,glänzend,ADJ
See,See,NOUN
vor,vor,ADP
ihnen,ihnen,PRON
aus,aus,ADP
mit,mit,ADP
der,der,DET
bunt,bunt,ADV
beflaggten,beflaggt,ADJ
Stadt,Stadt,NOUN
am,an,ADP
Ufer,Ufer,NOUN
",",--,PUNCT
als,als,SCONJ
die,der,DET
sechzig,sechzig,NUM
bis,bis,CCONJ
siebzig,siebzig,NUM
jüngeren,jung,ADJ
und,und,CCONJ
älteren,alt,ADJ
Männer,Mann,NOUN
des,der,DET
Vereines,Vereine,NOUN
in,in,ADP
zerstreuten,zerstreut,ADJ
Gruppen,Gruppe,NOUN
durch,durch,ADP
einen,ein,DET
herrlichen,herrlich,ADJ
Buchenwald,Buchenwald,NOUN
hinabstiegen,hinabstiegen,VERB
und,und,CCONJ
das,der,PRON
hinter,hinter,ADP
den,der,DET
großen,groß,ADJ
Stämmen,Stämmen,NOUN
wohnende,wohnend,ADJ
Echo,Echo,NOUN
mit,mit,ADP
Jauchzen,Jauchze,NOUN
und,und,CCONJ
einzelnen,einzeln,PRON
Liederstrophen,liederstrophen,NOUN
widerhallen,widerhallen,VERB
ließen,lassen,VERB
",",--,PUNCT
auch,auch,ADV
etwa,etwa,ADV
einem,ein,DET
weiterhin,weiterhin,ADV
niedersteigenden,niedersteigend,VERB
Fähnlein,Fähnlein,NOUN
antworteten,antworteten,VERB
.,--,PUNCT
Nur,nur,ADV
der,der,DET
allen,aller,DET
vorausziehende,vorausziehend,ADJ
Fahnenträger,Fahnenträger,NOUN
",",--,PUNCT
ein,ein,DET
schlank,schlank,PROPN
gewachsener,Gewachsener,ADJ
junger,jung,ADJ
Mann,Mann,NOUN
mit,mit,ADP
bildschönem,bildschön,ADJ
Antlitz,Antlitz,NOUN
",",--,PUNCT
sang,singen,VERB
sein,sein,DET
Lied,Lied,NOUN
vollständig,vollständig,ADV
durch,durch,ADP
mit,mit,ADP
freudeheller,Freudeheller,PROPN
und,und,CCONJ
doch,doch,CCONJ
gemäßigter,gemäßigt,ADJ
Baritonstimme,Baritonstimme,NOUN
.,--,PUNCT
Geschmückt,schmücken,VERB
mit,mit,ADP
breiter,breit,ADJ
reich,reich,ADV
gestickter,gestickt,ADJ
Schärpe,Schärpe,NOUN
und,und,CCONJ
stattlichem,stattlich,ADJ
Federhut,Federhut,NOUN
",",--,PUNCT
trug,tragen,VERB
er,er,PRON
die,der,DET
ebenso,ebenso,ADV
reiche,reich,ADJ
",",--,PUNCT
schwere,schwer,ADJ
Seidenfahne,Seidenfahne,NOUN
",",--,PUNCT
halb,halb,ADV
zusammengefaltet,zusammengefalten,VERB
",",--,PUNCT
über,über,ADP
die,der,DET
Schulter,Schulter,NOUN
gelegt,legen,VERB
",",--,PUNCT
und,und,CCONJ
deren,der,PRON
goldene,golden,ADJ
Spitze,Spitze,NOUN
funkelte,funkelen,VERB
hin,hin,ADV
und,und,CCONJ
wieder,wieder,ADV
im,in,ADP
grünen,grün,ADJ
Schatten,Schatten,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Strahlen,Strahl,NOUN
der,der,DET
Morgensonne,Morgensonne,NOUN
durch,durch,ADP
die,der,DET
Laubgewölbe,Laubgewölbe,PROPN
drangen,dringen,VERB
.,--,PUNCT
