Token,Lemma,POS
Gottfried,Gottfried,PROPN
Keller,Keller,PROPN
Der,der,DET
Landvogt,Landvogt,PROPN
von,von,ADP
Greifensee,Greifensee,PROPN
Am,an,ADP
13.,13.,ADJ
Heumonat,Heumonat,NOUN
1783,1783,NUM
",",--,PUNCT
als,als,SCONJ
an,an,ADP
Kaiser,Kaiser,NOUN
Heinrichs,Heinrichs,PROPN
Tag,Tag,NOUN
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
noch,noch,ADV
heute,heute,ADV
rot,rot,ADV
im,in,ADP
Züricher,Züricher,NOUN
Kalender,Kalender,NOUN
steht,stehen,VERB
",",--,PUNCT
spazierte,spazieren,VERB
ein,ein,DET
zahlreiches,zahlreich,ADJ
Publikum,Publikum,NOUN
aus,aus,ADP
Stadt,Stadt,NOUN
und,und,CCONJ
Landschaft,Landschaft,NOUN
nach,nach,ADP
dem,der,DET
Dorfe,Dorfen,AUX
Kloten,Klot,NOUN
an,an,ADP
der,der,DET
Schaffhauser,Schaffhauser,ADJ
Straße,Straße,NOUN
",",--,PUNCT
zu,zu,ADP
Wagen,Wagen,NOUN
",",--,PUNCT
zu,zu,ADP
Pferde,Pferd,NOUN
und,und,CCONJ
zu,zu,ADP
Fuß,Fuß,NOUN
.,--,PUNCT
Denn,denn,CCONJ
auf,auf,ADP
den,der,DET
gelinden,gelind,ADJ
Anhöhen,Anhöhe,NOUN
jener,jener,DET
Gegend,Gegend,NOUN
wollte,wollen,AUX
der,der,DET
Obrist,Obrist,NOUN
Salomon,Salomon,PROPN
Landolt,Landolt,PROPN
",",--,PUNCT
damals,damals,ADV
Landvogt,Landvogt,PROPN
der,der,DET
Herrschaft,Herrschaft,NOUN
Greifensee,Greifensee,PROPN
",",--,PUNCT
das,der,PRON
von,von,ADP
ihm,ihm,PRON
gegründete,gegründet,ADJ
Korps,Korps,NOUN
der,der,DET
züricherschen,zürichersch,ADJ
Scharfschützen,Scharfschütze,NOUN
mustern,mustern,VERB
",",--,PUNCT
üben,üben,VERB
und,und,CCONJ
den,der,DET
Herren,Herr,NOUN
des,der,DET
Kriegsrates,Kriegsrat,NOUN
vorführen,vorführen,VERB
.,--,PUNCT
Den,der,DET
Heinrichstag,Heinrichstag,NOUN
aber,aber,ADV
hatte,haben,AUX
er,er,PRON
gewählt,wählen,VERB
",",--,PUNCT
weil,weil,SCONJ
ja,ja,ADV
doch,doch,CCONJ
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
sagte,sagen,VERB
",",--,PUNCT
die,der,DET
Hälfte,Hälfte,NOUN
der,der,DET
Milizpflichtigen,Milizpflichtig,NOUN
des,der,DET
löblichen,löblich,ADJ
Standes,Stand,NOUN
Zürich,Zürich,PROPN
stets,stets,ADV
Heinrich,Heinrich,PROPN
heiße,heißen,VERB
und,und,CCONJ
das,der,DET
populäre,populär,ADJ
Namensfest,Namensfest,NOUN
mit,mit,ADP
Zechen,Zeche,NOUN
und,und,CCONJ
Nichtstun,Nichtstun,NOUN
zu,zu,PART
feiern,feiern,VERB
pflege,pflegen,NOUN
",",--,PUNCT
also,also,ADV
durch,durch,ADP
eine,ein,DET
Musterung,Musterung,NOUN
nicht,nicht,PART
viel,viel,DET
Schaden,Schaden,NOUN
angerichtet,anrichten,VERB
werde,werden,AUX
.,--,PUNCT
Die,der,DET
Zuschauer,Zuschauer,NOUN
erfreuten,erfreuen,VERB
sich,sich,PRON
des,der,DET
ungewohnten,ungewohnt,ADJ
Anblickes,Anblick,NOUN
der,der,DET
neuen,neu,ADJ
",",--,PUNCT
bisher,bisher,ADV
unbekannten,unbekannt,ADJ
Truppe,Truppe,NOUN
",",--,PUNCT
welche,welcher,PRON
aus,aus,ADP
freiwilligen,freiwillig,ADJ
blühenden,blühend,ADJ
Jünglingen,Jüngling,NOUN
in,in,ADP
schlichter,Schlichter,PROPN
grüner,grün,ADJ
Tracht,Tracht,NOUN
bestand,bestehen,VERB
",",--,PUNCT
ihrer,ihr,DET
raschen,rasch,ADJ
Bewegung,Bewegung,NOUN
in,in,ADP
aufgelöster,aufgelöst,ADJ
Ordnung,Ordnung,NOUN
",",--,PUNCT
des,der,DET
selbständigen,selbständig,ADJ
Vorgehens,vorgehen,NOUN
des,der,DET
einzelnen,einzeln,ADJ
Mannes,Mann,NOUN
mit,mit,ADP
seiner,sein,DET
gezogenen,gezogen,ADJ
",",--,PUNCT
sicher,sicher,ADV
treffenden,treffend,ADJ
Büchse,Büchse,NOUN
",",--,PUNCT
und,und,CCONJ
vor,vor,ADP
allem,alle,PRON
des,der,DET
väterlichen,väterlich,ADJ
Verhältnisses,Verhältnis,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
der,der,DET
Erfinder,Erfinder,NOUN
und,und,CCONJ
Leiter,Leiter,NOUN
des,der,DET
ganzen,ganz,ADJ
Wesens,Wesen,NOUN
zu,zu,ADP
den,der,DET
fröhlichen,fröhlich,ADJ
Gesellen,Geselle,NOUN
stand,stehen,VERB
.,--,PUNCT
Bald,bald,ADV
sah,sehen,VERB
man,man,PRON
sie,sie,PRON
weit,weit,ADV
zerstreut,zerstreuen,VERB
am,an,ADP
Rande,Rand,NOUN
der,der,DET
Gehölze,Gehölze,NOUN
verschwinden,verschwinden,VERB
",",--,PUNCT
bald,bald,ADV
auf,auf,ADP
seinen,sein,DET
Ruf,Ruf,NOUN
",",--,PUNCT
während,während,SCONJ
er,er,PRON
auf,auf,ADP
rot,rot,ADV
glänzender,glänzend,ADJ
Fuchsstute,Fuchsstute,NOUN
über,über,ADP
die,der,DET
Höhen,Höhe,NOUN
flog,fliegen,VERB
",",--,PUNCT
in,in,ADP
dunkler,dunkler,ADJ
Kolonne,Kolonne,NOUN
an,an,ADP
entferntem,entfernt,ADJ
Orte,Ort,NOUN
erscheinen,erscheinen,VERB
",",--,PUNCT
bald,bald,ADV
in,in,ADP
unmittelbarer,unmittelbar,ADJ
Nähe,Nähe,NOUN
mit,mit,ADP
lustigem,lustig,ADJ
Gesange,Gesange,NOUN
vorüberziehen,vorüberziehen,VERB
",",--,PUNCT
um,um,SCONJ
alsbald,alsbald,ADV
wieder,wieder,ADV
an,an,ADP
einem,ein,DET
Tannenhügel,Tannenhügel,NOUN
aufzutauchen,aufzutauchen,VERB
",",--,PUNCT
von,von,ADP
dessen,der,DET
Farbe,Farbe,NOUN
sie,sie,PRON
nicht,nicht,PART
mehr,mehr,ADV
zu,zu,PART
unterscheiden,unterscheiden,VERB
waren,sein,AUX
.,--,PUNCT
Alles,alle,PRON
ging,gehen,VERB
so,so,ADV
rasch,rasch,ADV
und,und,CCONJ
freudig,freudig,ADV
vonstatten,vonstatn,VERB
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Unkundige,Unkundig,NOUN
keine,kein,DET
Vorstellung,Vorstellung,NOUN
besaß,besitzen,VERB
von,von,ADP
der,der,DET
Arbeit,Arbeit,NOUN
und,und,CCONJ
Mühe,Mühe,NOUN
",",--,PUNCT
welche,welcher,PRON
der,der,DET
treffliche,trefflich,ADJ
Mann,Mann,NOUN
sich,sich,PRON
hatte,haben,AUX
kosten,kosten,VERB
lassen,lassen,VERB
",",--,PUNCT
als,als,SCONJ
er,er,PRON
seinem,sein,DET
Vaterlande,Vaterlande,NOUN
diese,dieser,DET
seine,sein,DET
eigenste,eigen,ADJ
Gabe,Gabe,NOUN
vorbereitete,vorbereiten,VERB
.,--,PUNCT
Wie,wie,SCONJ
er,er,PRON
nun,nun,ADV
schließlich,schließlich,ADV
",",--,PUNCT
beim,bei,ADP
Klange,Klang,NOUN
der,der,DET
Waldhörner,Waldhörner,NOUN
",",--,PUNCT
die,der,DET
Jägerschar,Jägerschar,PROPN
",",--,PUNCT
die,der,PRON
fünfhundert,fünfhundert,ADV
Mann,Mann,NOUN
betragen,betragen,VERB
mochte,mögen,VERB
",",--,PUNCT
schnellen,schnell,ADJ
Schrittes,Schritt,NOUN
dicht,dicht,ADV
heranführte,heranführen,VERB
und,und,CCONJ
blitzrasch,blitzrasch,ADV
zur,zu,ADP
Erholung,Erholung,NOUN
und,und,CCONJ
Heimkehr,Heimkehr,NOUN
auseinandergehen,auseinandergehen,VERB
ließ,lassen,VERB
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
sich,sich,PRON
selbst,selbst,ADV
vom,von,ADP
Pferde,Pferd,NOUN
schwang,schwingen,VERB
",",--,PUNCT
ebensowenig,ebensowenig,ADV
Ermüdung,Ermüdung,NOUN
zeigend,zeigend,ADV
",",--,PUNCT
als,als,SCONJ
die,der,DET
Jünglinge,Jünglinge,NOUN
",",--,PUNCT
da,da,SCONJ
war,sein,AUX
jeder,jeder,DET
Mund,Mund,NOUN
seines,sein,DET
Lobes,Lob,NOUN
voll,voll,ADV
.,--,PUNCT
Anwesende,anwesend,ADJ
Offiziere,Offizier,NOUN
der,der,DET
in,in,ADP
Frankreich,Frankreich,PROPN
und,und,CCONJ
den,der,DET
Niederlanden,Niederlanden,PROPN
stehenden,stehend,ADJ
Schweizerregimenter,Schweizerregimenter,NOUN
besprachen,besprachen,VERB
die,der,DET
wichtige,wichtig,ADJ
Zukunft,Zukunft,NOUN
der,der,DET
neuen,neu,ADJ
Waffe,Waffe,NOUN
und,und,CCONJ
freuten,freuen,VERB
sich,sich,PRON
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Heimat,Heimat,NOUN
dergleichen,dergleichen,ADV
selbständig,selbständig,ADV
und,und,CCONJ
für,für,ADP
sich,sich,PRON
hervorbringe,hervorbringe,ADV
;,--,PUNCT
auch,auch,ADV
erinnerte,erinnern,VERB
man,man,PRON
sich,sich,PRON
mit,mit,ADP
Wohlgefallen,Wohlgefall,NOUN
",",--,PUNCT
wie,wie,ADP
sogar,sogar,ADV
Friedrich,Friedrich,PROPN
der,der,DET
Große,Große,NOUN
",",--,PUNCT
als,als,SCONJ
Landolt,Landolt,PROPN
einst,einst,ADV
den,der,DET
Manövern,Manöver,NOUN
bei,bei,ADP
Potsdam,Potsdam,PROPN
beigewohnt,beigewohnen,VERB
",",--,PUNCT
den,der,PRON
einsam,einsam,ADV
und,und,CCONJ
unermüdlich,unermüdlich,ADV
sich,sich,PRON
herumbewegenden,herumbewegend,ADJ
Mann,Mann,NOUN
ins,in,ADP
Auge,Auge,NOUN
gefaßt,fassen,VERB
und,und,CCONJ
zu,zu,ADP
sich,sich,PRON
beschieden,bescheiden,VERB
",",--,PUNCT
auch,auch,ADV
in,in,ADP
wiederholten,wiederholt,ADJ
Unterhandlungen,Unterhandlung,NOUN
versucht,versuchen,VERB
habe,haben,AUX
",",--,PUNCT
denselben,derselbe,PRON
für,für,ADP
seine,sein,DET
Armee,Armee,NOUN
zu,zu,PART
gewinnen,gewinnen,VERB
.,--,PUNCT
