Token,Lemma,POS
Gottfried,Gottfried,PROPN
Keller,Keller,PROPN
Kleider,Kleid,NOUN
machen,machen,VERB
Leute,Leute,NOUN
An,an,ADP
einem,ein,DET
unfreundlichen,unfreundlich,ADJ
Novembertage,Novembertage,NOUN
wanderte,wanderen,VERB
ein,ein,DET
armes,arm,ADJ
Schneiderlein,Schneiderlein,NOUN
auf,auf,ADP
der,der,DET
Landstraße,Landstraße,NOUN
nach,nach,ADP
Goldach,Goldach,PROPN
",",--,PUNCT
einer,ein,DET
kleinen,klein,ADJ
reichen,reich,ADJ
Stadt,Stadt,NOUN
",",--,PUNCT
die,der,PRON
nur,nur,ADV
wenige,weniger,DET
Stunden,Stunde,NOUN
von,von,ADP
Seldwyla,Seldwyla,PROPN
entfernt,entfernt,ADV
ist,sein,AUX
.,--,PUNCT
Der,der,DET
Schneider,Schneider,NOUN
trug,tragen,VERB
in,in,ADP
seiner,sein,DET
Tasche,Tasche,NOUN
nichts,nichts,PRON
als,als,ADP
einen,ein,PRON
Fingerhut,Fingerhut,NOUN
",",--,PUNCT
welchen,welcher,DET
er,er,PRON
",",--,PUNCT
in,in,ADP
Ermangelung,Ermangelung,NOUN
irgendeiner,irgendeiner,DET
Münze,Münze,NOUN
",",--,PUNCT
unablässig,unablässig,ADV
zwischen,zwischen,ADP
den,der,DET
Fingern,Finger,NOUN
drehte,drehen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
der,der,DET
Kälte,Kälte,NOUN
wegen,wegen,ADP
die,der,DET
Hände,Hand,NOUN
in,in,ADP
die,der,DET
Hosen,Hose,NOUN
steckte,stecken,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Finger,Finger,NOUN
schmerzten,schmerzen,VERB
ihm,ihm,PRON
ordentlich,ordentlich,ADV
von,von,ADP
diesem,dieser,DET
Drehen,drehen,NOUN
und,und,CCONJ
Reiben,Reiben,NOUN
.,--,PUNCT
Denn,denn,CCONJ
er,er,PRON
hatte,haben,AUX
wegen,wegen,ADP
des,der,DET
Fallimentes,Falliment,NOUN
irgendeines,irgendein,DET
Seldwyler,Seldwyler,PROPN
Schneidermeisters,Schneidermeister,NOUN
seinen,sein,DET
Arbeitslohn,Arbeitslohn,NOUN
mit,mit,ADP
der,der,DET
Arbeit,Arbeit,NOUN
zugleich,zugleich,ADV
verlieren,verlieren,VERB
und,und,CCONJ
auswandern,auswandern,VERB
müssen,müssen,AUX
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
noch,noch,ADV
nichts,nichts,PRON
gefrühstückt,frühstücken,VERB
als,als,ADP
einige,einiger,DET
Schneeflocken,Schneeflocke,NOUN
",",--,PUNCT
die,der,PRON
ihm,ihm,PRON
in,in,ADP
den,der,DET
Mund,Mund,NOUN
geflogen,fliegen,VERB
",",--,PUNCT
und,und,CCONJ
er,er,PRON
sah,sehen,VERB
noch,noch,ADV
weniger,weniger,PRON
ab,ab,ADP
",",--,PUNCT
wo,wo,SCONJ
das,der,DET
geringste,gering,ADJ
Mittagbrot,Mittagbrot,NOUN
herwachsen,herwachsen,VERB
sollte,sollen,AUX
.,--,PUNCT
Das,der,DET
Fechten,Fechten,NOUN
fiel,fallen,VERB
ihm,ihm,PRON
äußerst,äußerst,ADV
schwer,schwer,ADV
",",--,PUNCT
ja,ja,ADV
schien,scheinen,VERB
ihm,ihm,PRON
gänzlich,gänzlich,ADV
unmöglich,unmöglich,ADV
",",--,PUNCT
weil,weil,SCONJ
er,er,PRON
über,über,ADP
seinem,sein,DET
schwarzen,schwarz,ADJ
Sonntagskleide,Sonntagskleide,NOUN
",",--,PUNCT
welches,welcher,PRON
sein,sein,DET
einziges,einzig,ADJ
war,sein,AUX
",",--,PUNCT
einen,ein,DET
weiten,weit,VERB
dunkelgrauen,dunkelgrau,ADJ
Radmantel,Radmantel,NOUN
trug,tragen,VERB
",",--,PUNCT
mit,mit,ADP
schwarzem,schwarz,ADJ
Sammet,Sammet,NOUN
ausgeschlagen,ausschlagen,VERB
",",--,PUNCT
der,der,PRON
seinem,sein,DET
Träger,Träger,NOUN
ein,ein,DET
edles,edl,ADJ
und,und,CCONJ
romantisches,romantisch,ADJ
Aussehen,Aussehen,NOUN
verlieh,verlieh,VERB
",",--,PUNCT
zumal,zumal,SCONJ
dessen,der,PRON
lange,lange,ADV
schwarze,schwarz,ADJ
Haare,Haar,NOUN
und,und,CCONJ
Schnurrbärtchen,Schnurrbärtche,NOUN
sorgfältig,sorgfältig,ADV
gepflegt,pflegen,VERB
waren,sein,AUX
und,und,CCONJ
er,er,PRON
sich,sich,PRON
blasser,blasser,NOUN
",",--,PUNCT
aber,aber,CCONJ
regelmäßiger,regelmäßig,ADJ
Gesichtszüge,Gesichtszug,NOUN
erfreute,erfreun,VERB
.,--,PUNCT
Solcher,Solcher,DET
Habitus,Habitus,PROPN
war,sein,AUX
ihm,ihm,PRON
zum,zu,ADP
Bedürfnis,Bedürfnis,NOUN
geworden,werden,AUX
",",--,PUNCT
ohne,ohne,ADP
daß,daß,SCONJ
er,er,PRON
etwas,etwas,DET
Schlimmes,Schlimmes,PROPN
oder,oder,CCONJ
Betrügerisches,Betrügerisch,NOUN
dabei,dabei,ADV
im,in,ADP
Schilde,Schild,NOUN
führte,führen,VERB
;,--,PUNCT
vielmehr,vielmehr,ADV
war,sein,AUX
er,er,PRON
zufrieden,zufrieden,ADV
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
ihn,ihn,PRON
nur,nur,ADV
gewähren,gewähren,VERB
und,und,CCONJ
im,in,ADP
stillen,still,ADJ
seine,sein,DET
Arbeit,Arbeit,NOUN
verrichten,verrichten,VERB
ließ,lassen,VERB
;,--,PUNCT
aber,aber,CCONJ
lieber,lieber,ADV
wäre,sein,AUX
er,er,PRON
verhungert,verhungern,VERB
",",--,PUNCT
als,als,SCONJ
daß,daß,SCONJ
er,er,PRON
sich,sich,PRON
von,von,ADP
seinem,sein,DET
Radmantel,Radmantel,NOUN
und,und,CCONJ
von,von,ADP
seiner,sein,DET
polnischen,polnisch,ADJ
Pelzmütze,Pelzmütze,NOUN
getrennt,trennen,VERB
hätte,haben,AUX
",",--,PUNCT
die,der,PRON
er,er,PRON
ebenfalls,ebenfalls,ADV
mit,mit,ADP
großem,groß,ADJ
Anstand,Anstand,NOUN
zu,zu,ADP
tragen,tragen,VERB
wußte,wissen,VERB
.,--,PUNCT
Er,er,PRON
konnte,können,AUX
deshalb,deshalb,ADV
nur,nur,ADV
in,in,ADP
größeren,groß,ADJ
Städten,Stadt,NOUN
arbeiten,arbeiten,VERB
",",--,PUNCT
wo,wo,SCONJ
solches,solcher,PRON
nicht,nicht,PART
zu,zu,PART
sehr,sehr,ADV
auffiel,Auffiel,NOUN
;,--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
wanderte,wanderen,VERB
und,und,CCONJ
keine,kein,DET
Ersparnisse,Ersparnis,NOUN
mitführte,mitführen,VERB
",",--,PUNCT
geriet,geraten,VERB
er,er,PRON
in,in,ADP
die,der,DET
größte,groß,ADJ
Not,Not,NOUN
.,--,PUNCT
Näherte,Näherte,VERB
er,er,PRON
sich,sich,PRON
einem,ein,DET
Hause,Haus,NOUN
",",--,PUNCT
so,so,ADV
betrachteten,betrachten,VERB
ihn,ihn,PRON
die,der,DET
Leute,Leute,NOUN
mit,mit,ADP
Verwunderung,Verwunderung,NOUN
und,und,CCONJ
Neugierde,Neugierde,NOUN
und,und,CCONJ
erwarteten,erwarten,VERB
eher,eher,ADV
alles,aller,DET
andere,anderer,PRON
",",--,PUNCT
als,als,SCONJ
daß,daß,SCONJ
er,er,PRON
betteln,betteln,VERB
würde,werden,AUX
;,--,PUNCT
so,so,ADV
erstarben,erstarben,VERB
ihm,ihm,PRON
",",--,PUNCT
da,da,SCONJ
er,er,PRON
überdies,überdies,ADV
nicht,nicht,PART
beredt,beredt,ADV
war,sein,AUX
",",--,PUNCT
die,der,DET
Worte,Wort,NOUN
im,in,ADP
Munde,Mund,NOUN
",",--,PUNCT
also,also,ADV
daß,daß,SCONJ
er,er,PRON
der,der,DET
Märtyrer,Märtyrer,NOUN
seines,sein,DET
Mantels,Mantel,NOUN
war,sein,AUX
und,und,CCONJ
Hunger,Hunger,NOUN
litt,leiten,VERB
",",--,PUNCT
so,so,ADV
schwarz,schwarz,ADV
wie,wie,ADP
des,der,DET
letzteren,letzter,ADJ
Sammetfutter,Sammetfutter,NOUN
.,--,PUNCT
Als,als,SCONJ
er,er,PRON
bekümmert,bekümmeren,VERB
und,und,CCONJ
geschwächt,schwächen,ADV
eine,ein,DET
Anhöhe,Anhöhe,NOUN
hinaufging,hinaufgehen,VERB
",",--,PUNCT
stieß,stoßen,VERB
er,er,PRON
auf,auf,ADP
einen,ein,DET
neuen,neu,ADJ
und,und,CCONJ
bequemen,bequem,ADJ
Reisewagen,Reisewag,NOUN
",",--,PUNCT
welchen,welcher,DET
ein,ein,DET
herrschaftlicher,herrschaftlich,ADJ
Kutscher,Kutscher,NOUN
in,in,ADP
Basel,Basel,PROPN
abgeholt,abholen,VERB
hatte,haben,AUX
und,und,CCONJ
seinem,sein,DET
Herrn,Herr,NOUN
überbrachte,überbrachten,VERB
",",--,PUNCT
einem,ein,DET
fremden,fremd,ADJ
Grafen,Graf,NOUN
",",--,PUNCT
der,der,PRON
irgendwo,irgendwo,ADV
in,in,ADP
der,der,DET
Ostschweiz,Ostschweiz,NOUN
auf,auf,ADP
einem,ein,DET
gemieteten,gemietet,ADJ
oder,oder,CCONJ
angekauften,angekauft,NOUN
alten,alt,ADJ
Schlosse,Schloß,NOUN
saß,sitzen,VERB
.,--,PUNCT
Der,der,DET
Wagen,Wagen,NOUN
war,sein,AUX
mit,mit,ADP
allerlei,allerlei,DET
Vorrichtungen,Vorrichtunge,NOUN
zur,zu,ADP
Aufnahme,Aufnahme,NOUN
des,der,DET
Gepäckes,Gepäck,NOUN
versehen,versehen,VERB
und,und,CCONJ
schien,scheinen,VERB
deswegen,deswegen,ADV
schwer,schwer,ADV
bepackt,bepacken,VERB
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
obgleich,obgleich,SCONJ
alles,alle,PRON
leer,leer,ADV
war,sein,AUX
.,--,PUNCT
Der,der,DET
Kutscher,Kutscher,NOUN
ging,gehen,VERB
wegen,wegen,ADP
des,der,DET
steilen,steil,ADJ
Weges,Weg,NOUN
neben,neben,ADP
den,der,DET
Pferden,Pferd,NOUN
",",--,PUNCT
und,und,CCONJ
als,als,SCONJ
er,er,PRON
",",--,PUNCT
oben,oben,ADV
angekommen,ankommen,VERB
",",--,PUNCT
den,der,DET
Bock,Bock,NOUN
wieder,wieder,ADV
bestieg,bestieg,VERB
",",--,PUNCT
fragte,fragen,VERB
er,er,PRON
