Token,Lemma,POS
Gottfried,Gottfried,PROPN
Keller,Keller,PROPN
Martin,Martin,PROPN
Salander,Salander,PROPN
Roman,Roman,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1,1,NUM
Ein,ein,DET
noch,noch,ADV
nicht,nicht,PART
bejahrter,bejahrt,ADJ
Mann,Mann,NOUN
",",--,PUNCT
wohlgekleidet,wohlgekleiden,VERB
und,und,CCONJ
eine,ein,DET
Reisetasche,Reisetasche,NOUN
von,von,ADP
englischer,englisch,ADJ
Lederarbeit,Lederarbeit,NOUN
umgehängt,umgehängen,VERB
",",--,PUNCT
ging,gehen,VERB
von,von,ADP
einem,ein,DET
Bahnhofe,Bahnhofe,NOUN
der,der,DET
helvetischen,helvetisch,ADJ
Stadt,Stadt,NOUN
Münsterburg,Münsterburg,PROPN
weg,weg,ADV
",",--,PUNCT
auf,auf,ADP
neuen,neu,ADJ
Straßen,Straße,NOUN
",",--,PUNCT
nicht,nicht,PART
in,in,ADP
die,der,DET
Stadt,Stadt,NOUN
hinein,hinein,ADV
",",--,PUNCT
sondern,sondern,CCONJ
sofort,sofort,ADV
in,in,ADP
einer,ein,DET
bestimmten,bestimmt,ADJ
Richtung,Richtung,NOUN
nach,nach,ADP
einem,ein,DET
Punkte,Punkt,NOUN
der,der,DET
Umgegend,Umgegend,NOUN
",",--,PUNCT
gleich,gleich,ADV
einem,einer,PRON
",",--,PUNCT
der,der,PRON
am,an,ADP
Orte,Ort,NOUN
bekannt,bekannt,ADV
und,und,CCONJ
seiner,sein,DET
Sache,Sache,NOUN
sicher,sicher,ADV
ist,sein,AUX
.,--,PUNCT
Dennoch,dennoch,ADV
mußte,müssen,AUX
er,er,PRON
bald,bald,ADV
anhalten,anhalten,VERB
",",--,PUNCT
sich,sich,PRON
besser,gut,ADV
umzusehen,umzusehen,VERB
",",--,PUNCT
da,da,SCONJ
diese,dieser,DET
Straßenanlagen,Straßenanlag,NOUN
schon,schon,ADV
nicht,nicht,PART
mehr,mehr,ADV
die,der,DET
früheren,früh,ADJ
neuen,neu,ADJ
Straßen,Straße,NOUN
waren,sein,AUX
",",--,PUNCT
die,der,PRON
er,er,PRON
einst,einst,ADV
gegangen,gehen,VERB
;,--,PUNCT
und,und,CCONJ
als,als,SCONJ
er,er,PRON
jetzt,jetzt,ADV
rückwärts,rückwärts,ADV
schaute,Schaute,VERB
",",--,PUNCT
bemerkte,bemerken,VERB
er,er,PRON
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
auch,auch,ADV
nicht,nicht,PART
aus,aus,ADP
dem,der,DET
Bahnhofe,Bahnhofe,NOUN
herausgekommen,herausgekommen,VERB
",",--,PUNCT
von,von,ADP
welchem,welcher,PRON
er,er,PRON
vor,vor,ADP
Jahren,Jahr,NOUN
abgefahren,abfahren,VERB
",",--,PUNCT
vielmehr,vielmehr,ADV
am,an,ADP
alten,alt,ADJ
Ort,Ort,NOUN
ein,ein,DET
weit,weit,ADV
größeres,größeres,ADJ
Gebäude,Gebäude,NOUN
stand,stehen,VERB
.,--,PUNCT
Die,der,DET
reichgegliederte,reichgegliedert,ADJ
",",--,PUNCT
kaum,kaum,ADV
zu,zu,PART
übersehende,übersehend,ADJ
Steinmasse,Steinmasse,NOUN
leuchtete,leuchten,VERB
auch,auch,ADV
so,so,ADV
still,still,ADV
prächtig,prächtig,ADV
in,in,ADP
der,der,DET
Nachmittagssonne,Nachmittagssonne,NOUN
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Mann,Mann,NOUN
wie,wie,ADV
verzückt,verzücken,VERB
hinsah,hinsehen,VERB
",",--,PUNCT
bis,bis,SCONJ
er,er,PRON
von,von,ADP
dem,der,DET
Verkehrstrubel,Verkehrstrubel,NOUN
unsanft,unsanft,ADV
gestört,stören,VERB
wurde,werden,AUX
und,und,CCONJ
das,der,DET
Feld,Feld,NOUN
räumte,räumen,VERB
.,--,PUNCT
Aber,aber,CCONJ
der,der,DET
erhobene,erhoben,ADJ
Kopf,Kopf,NOUN
",",--,PUNCT
die,der,PRON
an,an,ADP
der,der,DET
Hüfte,Hüfte,NOUN
gelind,gelind,VERB
sich,sich,PRON
hin,hin,ADV
und,und,CCONJ
herwiegende,herwiegend,ADJ
Reisetasche,Reisetasch,NOUN
ließen,lassen,VERB
erkennen,erkennen,VERB
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
vom,von,ADP
Schwunge,Schwunge,NOUN
der,der,DET
Gedanken,Gedanke,NOUN
bewegt,bewegen,VERB
",",--,PUNCT
von,von,ADP
Genugtuung,Genugtuung,NOUN
erfüllt,erfüllen,VERB
dahinschritt,Dahinschritt,VERB
",",--,PUNCT
um,um,SCONJ
Weib,Weib,NOUN
und,und,CCONJ
Kinder,Kind,NOUN
aufzusuchen,aufsuchen,VERB
",",--,PUNCT
wo,wo,SCONJ
er,er,PRON
sie,sie,PRON
vor,vor,ADP
Jahren,Jahr,NOUN
gelassen,lassen,VERB
.,--,PUNCT
Jedoch,jedoch,ADV
vergeblich,vergeblich,ADV
forschte,forschen,VERB
er,er,PRON
zwischen,zwischen,ADP
der,der,DET
rastlosen,rastlos,ADJ
Überbauung,Überbauung,NOUN
des,der,DET
Bodens,Boden,NOUN
nach,nach,ADP
Spuren,Spur,NOUN
früherer,früh,ADJ
Pfade,Pfad,NOUN
",",--,PUNCT
die,der,PRON
sonst,sonst,ADV
zwischen,zwischen,ADP
Wiesen,Wiese,NOUN
und,und,CCONJ
Gärten,Garten,NOUN
schattig,schattig,ADV
und,und,CCONJ
freundlich,freundlich,ADV
hügelan,hügelan,NOUN
geleitet,leiten,VERB
hatten,haben,AUX
.,--,PUNCT
Denn,denn,CCONJ
diese,dieser,DET
Pfade,Pfad,NOUN
lagen,liegen,VERB
auch,auch,ADV
weiterhin,weiterhin,ADV
unter,unter,ADP
staubigen,Staubig,NOUN
oder,oder,CCONJ
mit,mit,ADP
hartem,hart,ADJ
Kies,Kies,NOUN
beschotterten,beschottert,ADJ
Fahrstraßen,Fahrstraße,NOUN
begraben,begraben,VERB
.,--,PUNCT
Obgleich,obgleich,SCONJ
das,der,PRON
alles,alle,PRON
seine,sein,DET
Bewunderung,Bewunderung,NOUN
stetig,stetig,ADV
erhöhte,erhöhen,VERB
",",--,PUNCT
war,sein,AUX
er,er,PRON
endlich,endlich,ADV
doch,doch,ADV
angenehm,angenehm,ADV
überrascht,überraschen,VERB
",",--,PUNCT
als,als,SCONJ
er,er,PRON
unvermerkt,unvermerken,ADV
",",--,PUNCT
um,um,SCONJ
eine,ein,DET
Ecke,Ecke,NOUN
biegend,biegend,ADV
",",--,PUNCT
sich,sich,PRON
in,in,ADP
einen,ein,DET
Häuserwinkel,Häuserwinkel,NOUN
versetzt,versetzen,VERB
fand,finden,VERB
",",--,PUNCT
den,der,PRON
er,er,PRON
augenblicklich,augenblicklich,ADV
an,an,ADP
seiner,sein,DET
verjährten,verjährt,ADJ
ländlichen,ländlich,ADJ
Bauart,Bauart,NOUN
wiedererkannte,wiedererkannten,VERB
.,--,PUNCT
Die,der,DET
vorspringenden,vorspringend,ADJ
Dächer,Dach,NOUN
",",--,PUNCT
das,der,DET
rote,rot,ADJ
Balkenwerk,Balkenwerk,NOUN
",",--,PUNCT
die,der,DET
kleinen,klein,ADJ
Vorgärtchen,Vorgärtche,NOUN
waren,sein,AUX
die,der,DET
nämlichen,nämlich,NOUN
",",--,PUNCT
wie,wie,ADV
seit,seit,ADP
Menschengedenken,Menschengedenken,NOUN
.,--,PUNCT
»,--,PUNCT
Da,da,ADV
ist,sein,AUX
ja,ja,ADV
der,der,DET
Zeisig,Zeisig,NOUN
!,--,PUNCT
«,--,PUNCT
rief,rufen,VERB
der,der,DET
Wandersmann,Wandersmann,NOUN
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
stillstand,stillstehen,VERB
und,und,CCONJ
mit,mit,ADP
warmem,warm,ADJ
Heimatgefühl,Heimatgefühl,NOUN
die,der,DET
alte,alt,ADJ
Lokalität,Lokalität,NOUN
betrachtete,betrachten,VERB
",",--,PUNCT
»,--,PUNCT
wahrhaftig,wahrhaftig,ADV
der,der,DET
Zeisig,Zeisig,NOUN
!,--,PUNCT
Im,in,ADP
Zeisig,Zeisig,ADV
",",--,PUNCT
heißt,heißen,VERB
es,es,PRON
hier,hier,ADV
!,--,PUNCT
Wer,wer,PRON
kann,können,AUX
sagen,sagen,VERB
",",--,PUNCT
warum,warum,SCONJ
einem,ein,PRON
eine,ein,DET
solche,solcher,DET
Sache,Sache,NOUN
und,und,CCONJ
ein,ein,DET
solches,solcher,DET
Wort,Wort,NOUN
während,während,ADP
sieben,sieben,NUM
Jahren,Jahr,NOUN
nicht,nicht,PART
ein,ein,DET
einziges,einzig,ADJ
Mal,Mal,NOUN
eingefallen,einfallen,VERB
ist,sein,AUX
",",--,PUNCT
und,und,CCONJ
haben,haben,AUX
wir,wir,PRON
doch,doch,ADV
als,als,ADP
Schüler,Schüler,NOUN
hier,hier,ADV
so,so,ADV
schönen,schön,ADJ
Apfelmost,Apfelmost,NOUN
getrunken,getrunken,VERB
",",--,PUNCT
wenn,wenn,SCONJ
wir,wir,PRON
einen,ein,DET
Batzen,Batze,NOUN
besaßen,besitzen,VERB
!,--,PUNCT
Und,und,CCONJ
der,der,DET
alte,alt,ADJ
Brunnen,Brunnen,NOUN
steht,stehen,VERB
auch,auch,ADV
noch,noch,ADV
",",--,PUNCT
mit,mit,ADP
welchem,welcher,PRON
man,man,PRON
den,der,PRON
Zeisigbauer,Zeisigbauer,PROPN
aufzog,aufziehen,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
Most,Most,NOUN
und,und,CCONJ
