Token,Lemma,POS
H.,H.,PROPN
Clauren,Claur,NOUN
Das,der,DET
Dijon-Röschen,dijon-Röschen,NOUN
[,[,PROPN
dijonros,dijonros,NOUN
],],NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
H.,H.,PROPN
Clauren,Clauren,PROPN
:,--,PUNCT
Das,der,DET
Dijon-Röschen,dijon-Röschen,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
Lichte,Lichte,ADJ
Wolkenschleier,Wolkenschleier,PROPN
",",--,PUNCT
von,von,ADP
Nachtlüftchen,Nachtlüftch,NOUN
leise,leise,ADV
getrieben,treiben,VERB
",",--,PUNCT
zogen,ziehen,VERB
vor,vor,ADP
dem,der,DET
Monde,Monde,NOUN
vorüber,vorüber,ADV
.,--,PUNCT
Er,er,PRON
schien,scheinen,VERB
voll,voll,ADV
und,und,CCONJ
freundlich,freundlich,ADV
auf,auf,ADP
mein,mein,DET
Lager,Lager,NOUN
",",--,PUNCT
auf,auf,ADP
dem,der,PRON
ich,ich,PRON
",",--,PUNCT
ohne,ohne,SCONJ
Schlaf,Schlaf,NOUN
und,und,CCONJ
Ruhe,Ruhe,NOUN
zu,zu,PART
finden,finden,VERB
",",--,PUNCT
mich,mich,PRON
ausgestreckt,ausstrecken,VERB
hatte,haben,AUX
",",--,PUNCT
und,und,CCONJ
mit,mit,ADP
meinem,mein,DET
tückischen,tückisch,ADJ
Geschicke,Geschick,NOUN
bitter,bitter,ADV
schmollte,schmollen,VERB
.,--,PUNCT
2.,2.,ADV
Mein,mein,DET
ganzes,ganz,ADJ
Jugendleben,Jugendleben,NOUN
hindurch,hindurch,ADV
hatte,haben,AUX
ich,ich,PRON
mit,mit,ADP
Armuth,Armuth,PROPN
und,und,CCONJ
Entsagungen,Entsagung,NOUN
aller,aller,DET
Art,Art,NOUN
gekämpft,kämpfen,VERB
.,--,PUNCT
Auf,auf,ADP
der,der,DET
Schule,Schule,NOUN
verdiente,verdienen,VERB
ich,ich,PRON
durch,durch,ADP
Unterricht,Unterricht,NOUN
in,in,ADP
der,der,DET
Musik,Musik,NOUN
",",--,PUNCT
und,und,CCONJ
durch,durch,ADP
das,der,PRON
",",--,PUNCT
aller,aller,DET
Verwünschung,Verwünschung,NOUN
werthe,werthe,ADV
Singen,Sing,NOUN
im,in,ADP
Chor,Chor,NOUN
auf,auf,ADP
den,der,DET
Straßen,Straße,NOUN
",",--,PUNCT
meinen,meinen,VERB
knappen,Knappe,NOUN
Unterhalt,Unterhalt,NOUN
;,--,PUNCT
durch,durch,ADP
einige,einiger,DET
kärgliche,kärglich,ADJ
Stipendien,Stipendi,NOUN
aber,aber,ADV
ward,werden,VERB
es,es,PRON
mir,mir,PRON
möglich,möglich,ADV
",",--,PUNCT
nach,nach,ADP
dem,der,PRON
Tode,Tod,NOUN
der,der,DET
Eltern,Eltern,NOUN
",",--,PUNCT
auf,auf,ADP
der,der,DET
Akademie,Akademie,NOUN
die,der,DET
Rechts-,Recht,X
und,und,CCONJ
Kameralwissenschaft,Kameralwissenschaft,NOUN
zu,zu,ADP
studiren,studiren,VERB
.,--,PUNCT
Die,der,DET
Collatoren,Collator,NOUN
dieser,dieser,DET
beiden,beide,DET
Stiftungen,Stiftung,NOUN
ließen,lassen,VERB
mich,mich,PRON
auf,auf,ADP
tausendfache,tausendfach,ADJ
Weise,Weise,NOUN
die,der,DET
Wohlthat,Wohlthat,NOUN
dieser,dieser,DET
Unterstützungen,Unterstützung,NOUN
weit,weit,ADV
über,über,ADP
ihren,ihr,DET
Werth,Werth,NOUN
fühlen,fühlen,VERB
",",--,PUNCT
und,und,CCONJ
suchten,suchen,VERB
alles,alle,PRON
hervor,hervor,ADV
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
in,in,ADP
meinen,mein,DET
Augen,Auge,NOUN
wichtig,wichtig,ADV
zu,zu,PART
machen,machen,VERB
.,--,PUNCT
Diesem,dieser,PRON
ging,gehen,VERB
ich,ich,PRON
zu,zu,PART
geputzt,putzen,VERB
",",--,PUNCT
Jenem,Jenem,ADV
verwendete,verwenden,VERB
ich,ich,PRON
zu,zu,PART
wenig,wenig,DET
Aufmerksamkeit,Aufmerksamkeit,NOUN
auf,auf,ADP
mein,mein,DET
Äußeres,Äußer,NOUN
;,--,PUNCT
der,der,DET
eine,ein,PRON
klagte,klagen,VERB
über,über,ADP
meinen,mein,DET
Mangel,Mangel,NOUN
an,an,ADP
Sitzfleisch,Sitzfleisch,NOUN
",",--,PUNCT
während,während,SCONJ
der,der,DET
andere,anderer,PRON
mich,mich,PRON
einen,ein,DET
Stubenhocker,Stubenhocker,NOUN
nannte,nennen,VERB
.,--,PUNCT
So,so,ADV
machte,machen,VERB
ich,ich,PRON
es,es,PRON
keinem,kein,DET
recht,Recht,NOUN
",",--,PUNCT
und,und,CCONJ
jeder,jeder,PRON
hielt,halten,VERB
mich,mich,PRON
in,in,ADP
drückender,drückend,ADJ
Abhängigkeit,Abhängigkeit,NOUN
",",--,PUNCT
die,der,PRON
ich,ich,PRON
",",--,PUNCT
aller,aller,DET
anderen,anderer,ADJ
Hilfmittel,Hilfmittel,NOUN
und,und,CCONJ
Aussichten,Aussicht,NOUN
beraubt,berauben,VERB
",",--,PUNCT
geduldig,geduldig,ADV
ertrug,ertrug,VERB
;,--,PUNCT
und,und,CCONJ
ich,ich,PRON
bückte,bücken,VERB
mich,sich,PRON
vor,vor,ADP
meinen,mein,DET
sogenannten,sogenannter,ADJ
Wohlthätern,Wohlthäter,NOUN
",",--,PUNCT
als,als,SCONJ
wären,sein,AUX
sie,sie,PRON
die,der,DET
alleinigen,alleinig,ADJ
Götter,Götter,NOUN
meines,mein,DET
Glücks,Glück,NOUN
.,--,PUNCT
3.,3.,ADV
Meine,mein,DET
akademische,akademisch,ADJ
Laufbahn,Laufbahn,NOUN
war,sein,AUX
beendigt,beendigen,VERB
.,--,PUNCT
In,in,ADP
der,der,DET
ganzen,ganz,ADJ
Welt,Welt,NOUN
keinen,kein,DET
Freund,Freund,NOUN
",",--,PUNCT
stand,stehen,VERB
ich,ich,PRON
allein,allein,ADV
",",--,PUNCT
ohne,ohne,ADP
Hoffnung,Hoffnung,NOUN
",",--,PUNCT
ohne,ohne,ADP
Muth,Muth,PROPN
.,--,PUNCT
Nicht,nicht,PART
das,der,DET
Entbehren,Entbehren,NOUN
–,--,PUNCT
denn,denn,CCONJ
oft,oft,ADV
schmeckte,schmecken,VERB
mir,mir,PRON
auf,auf,ADP
dem,der,DET
einsamen,einsam,ADJ
Spaziergange,Spaziergang,NOUN
ein,ein,DET
Trunk,Trunk,NOUN
Quellwasser,Quellwasser,PROPN
erquicklicher,erquicklich,ADV
",",--,PUNCT
als,als,SCONJ
meinen,mein,DET
reicheren,reich,ADJ
Universitätsgenossen,universitätsgenossen,NOUN
ihr,ihr,DET
",",--,PUNCT
durch,durch,ADP
das,der,DET
Gift,Gift,NOUN
des,der,DET
Bleizuckers,Bleizucker,NOUN
",",--,PUNCT
zum,zu,ADP
Nierensteiner,Nierensteiner,NOUN
erhobener,erhoben,ADJ
Landwein,Landwein,NOUN
bei,bei,ADP
ihren,ihr,DET
schwelgerischen,Schwelgerische,NOUN
Trinkgelagen,Trinkgelag,NOUN
",",--,PUNCT
–,--,PUNCT
nicht,nicht,PART
das,der,DET
Entbehren,Entbehren,NOUN
",",--,PUNCT
aber,aber,CCONJ
die,der,DET
Unzartheit,Unzartheit,NOUN
der,der,DET
Menschen,Mensch,NOUN
gegen,gegen,ADP
die,der,DET
Mittellosen,Mittellose,NOUN
",",--,PUNCT
ihre,ihr,DET
schamlose,schamlos,ADJ
Dreistigkeit,Dreistigkeit,NOUN
",",--,PUNCT
sich,sich,PRON
gegen,gegen,ADP
diese,dieser,DET
