Token,Lemma,POS
Hanns,Hann,PROPN
von,von,ADP
Gumppenberg,Gumppenberg,PROPN
Vom,von,ADP
Fenster,Fenster,NOUN
aus,aus,ADP
Er,er,PRON
hatte,haben,AUX
den,der,DET
weichgepolsterten,weichgepolstert,ADJ
Lehnstuhl,Lehnstuhl,NOUN
",",--,PUNCT
in,in,ADP
dem,der,PRON
er,er,PRON
saß,sitzen,VERB
",",--,PUNCT
an,an,ADP
das,der,DET
offene,offen,ADJ
Fenster,Fenster,NOUN
vorgerückt,vorrücken,VERB
",",--,PUNCT
links,links,ADV
und,und,CCONJ
rechts,rechts,ADV
mühsam,mühsam,ADV
nachhelfend,nachhelfend,ADV
.,--,PUNCT
Marie,Marie,NOUN
",",--,PUNCT
die,der,DET
Wärterin,Wärterin,NOUN
",",--,PUNCT
war,sein,AUX
auf,auf,ADP
ein,ein,DET
Stündchen,Stündchen,NOUN
fortgegangen,fortgegangen,NOUN
",",--,PUNCT
Einkäufe,Einkauf,NOUN
für,für,ADP
ihn,ihn,PRON
zu,zu,PART
machen,machen,VERB
.,--,PUNCT
Bis,bis,SCONJ
sie,sie,PRON
wiederkam,wiederkam,VERB
",",--,PUNCT
mußte,müssen,AUX
er,er,PRON
sich,sich,PRON
Alles,alle,PRON
allein,allein,ADV
besorgen,besorgen,VERB
.,--,PUNCT
Aber,aber,CCONJ
die,der,DET
Maisonne,Maisonn,NOUN
schien,scheinen,VERB
gar,gar,ADV
zu,zu,PART
lockend,lockend,ADV
dort,dort,ADV
vorne,vorne,ADV
herein,herein,ADV
",",--,PUNCT
und,und,CCONJ
ein,ein,DET
leiser,leis,ADJ
Lufthauch,Lufthauch,NOUN
brachte,bringen,VERB
den,der,DET
eigentümlich,eigentümlich,ADV
kräftigen,kräftig,ADJ
Geruch,Geruch,ADV
frischer,frisch,ADJ
Blüten,Blüte,NOUN
–,--,PUNCT
er,er,PRON
wollte,wollen,AUX
wissen,wissen,VERB
",",--,PUNCT
woher,woher,SCONJ
der,der,PRON
stamme,stammen,VERB
.,--,PUNCT
Da,da,ADV
saß,sitzen,VERB
er,er,PRON
",",--,PUNCT
und,und,CCONJ
sah,sehen,VERB
auf,auf,ADP
die,der,DET
Straße,Straße,NOUN
hinaus,hinaus,ADV
.,--,PUNCT
Richtig,richtig,ADV
!,--,PUNCT
Von,von,ADP
den,der,DET
Kastanienbäumen,Kastanienbäum,NOUN
!,--,PUNCT
In,in,ADP
voller,voll,ADJ
Purpurpracht,Purpurpracht,NOUN
schmückten,schmückten,VERB
sie,sie,PRON
schon,schon,ADV
die,der,DET
Promenade,Promenade,NOUN
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
sie,sie,PRON
nicht,nicht,PART
mehr,mehr,ADV
gesehen,sehen,VERB
",",--,PUNCT
seit,seit,SCONJ
sie,sie,PRON
die,der,DET
ersten,erster,ADJ
braunharzigen,braunharzig,ADJ
Blattknospen,Blattknospe,NOUN
trieben,treiben,VERB
:,--,PUNCT
es,es,PRON
war,sein,AUX
ja,ja,ADV
wieder,wieder,ADV
so,so,ADV
schlecht,schlecht,ADV
mit,mit,ADP
ihm,ihm,PRON
gegangen,gehen,VERB
.,--,PUNCT
Und,und,CCONJ
nun,nun,ADV
war,sein,AUX
es,es,PRON
beinahe,beinahe,ADV
wieder,wieder,ADV
Sommer,Sommer,NOUN
geworden,werden,AUX
.,--,PUNCT
Und,und,CCONJ
dann,dann,ADV
würde,werden,AUX
es,es,PRON
wieder,wieder,ADV
Winter,Winter,NOUN
werden,werden,AUX
",",--,PUNCT
und,und,CCONJ
wieder,wieder,ADV
Frühling,Frühling,NOUN
–,--,PUNCT
wie,wie,ADV
lange,lange,ADV
noch,noch,ADV
?,--,PUNCT
Vielleicht,vielleicht,ADV
noch,noch,ADV
lange,lange,ADV
–,--,PUNCT
hatte,haben,AUX
er,er,PRON
doch,doch,ADV
von,von,ADP
seinem,sein,DET
Vater,Vater,NOUN
außer,außer,ADP
dem,der,DET
Krankheitskeim,Krankheitskeim,PROPN
auch,auch,ADV
die,der,DET
Lebensfähigkeit,Lebensfähigkeit,NOUN
geerbt,erben,VERB
und,und,CCONJ
die,der,DET
Geldmittel,Geldmittel,NOUN
obendrein,obendrein,ADV
",",--,PUNCT
seine,sein,DET
Misere,Misere,NOUN
so,so,ADV
lange,lange,ADV
hinauszudehnen,hinauszudehnen,VERB
",",--,PUNCT
als,als,SCONJ
es,es,PRON
möglich,möglich,ADV
war,sein,AUX
.,--,PUNCT
Sogar,sogar,ADV
eine,ein,DET
Reise,Reise,NOUN
nach,nach,ADP
dem,der,DET
Süden,Süden,NOUN
hätte,haben,AUX
er,er,PRON
sich,sich,PRON
noch,noch,ADV
erlauben,erlauben,VERB
können,können,AUX
!,--,PUNCT
Aber,aber,CCONJ
der,der,DET
Arzt,Arzt,NOUN
hatte,haben,AUX
ja,ja,ADV
die,der,DET
Achseln,Achsel,NOUN
gezuckt,zucken,VERB
–,--,PUNCT
er,er,PRON
könne,können,AUX
nicht,nicht,PART
gutstehen,gutsteh,VERB
",",--,PUNCT
ob,ob,SCONJ
sein,sein,DET
Patient,Patient,NOUN
die,der,DET
Anstrengung,Anstrengung,NOUN
und,und,CCONJ
Aufregung,Aufregung,NOUN
der,der,DET
Übersiedelung,Übersiedelung,NOUN
aushielte,aushielen,VERB
:,--,PUNCT
und,und,CCONJ
da,da,ADV
war,sein,AUX
er,er,PRON
geblieben,bleiben,VERB
.,--,PUNCT
Warum,warum,ADV
?,--,PUNCT
Er,er,PRON
mußte,müssen,AUX
lachen,lachen,VERB
",",--,PUNCT
und,und,CCONJ
sein,sein,DET
Lachen,lachen,NOUN
ging,gehen,VERB
in,in,ADP
den,der,DET
bösen,böse,NOUN
",",--,PUNCT
atemraubenden,atemraubend,ADJ
Husten,Hust,NOUN
über,über,ADP
.,--,PUNCT
Woher,woher,ADV
all,all,ADV
',--,PUNCT
diese,dieser,PRON
Ungereimtheit,Ungereimtheit,NOUN
?,--,PUNCT
Leben,Leben,VERB
zu,zu,PART
wollen,wollen,AUX
",",--,PUNCT
möglichst,möglichst,ADV
lange,lange,ADV
",",--,PUNCT
ohne,ohne,SCONJ
leben,Leben,NOUN
zu,zu,PART
können,können,AUX
?,--,PUNCT
War,sein,AUX
er,er,PRON
denn,denn,CCONJ
nicht,nicht,PART
der,der,DET
Krüppel,Krüppel,NOUN
",",--,PUNCT
der,der,DET
Ausgeschlossene,Ausgeschlossene,NOUN
?,--,PUNCT
Ausgeschlossen,Ausgeschloß,NOUN
",",--,PUNCT
ja,ja,PART
",",--,PUNCT
und,und,CCONJ
nicht,nicht,PART
bloß,bloß,ADV
durch,durch,ADP
sein,sein,DET
körperliches,körperlich,ADJ
Leiden,leiden,NOUN
.,--,PUNCT
Das,der,PRON
war,sein,AUX
vielleicht,vielleicht,ADV
gar,gar,ADV
nicht,nicht,PART
das,der,DET
Schlimmste,schlimme,NOUN
.,--,PUNCT
Aber,aber,CCONJ
er,er,PRON
hatte,haben,VERB
zu,zu,ADP
allem,alle,PRON
Unglück,Unglück,NOUN
noch,noch,ADV
einen,ein,DET
scharfen,scharfen,VERB
",",--,PUNCT
zersetzenden,zersetzend,ADJ
Verstand,Verstand,NOUN
mitbekommen,mitbekommen,VERB
",",--,PUNCT
der,der,PRON
Alles,alle,PRON
in,in,ADP
Nichtigkeit,Nichtigkeit,NOUN
auflöste,auflö,ADJ
und,und,CCONJ
ihn,ihn,PRON
von,von,ADP
Kindheit,Kindheit,NOUN
an,an,ADP
",",--,PUNCT
auch,auch,ADV
als,als,ADP
sein,sein,DET
Leiden,leiden,NOUN
noch,noch,ADV
schlummerte,schlummern,VERB
",",--,PUNCT
zu,zu,ADP
keiner,keiner,PRON
unbefangenen,unbefangen,ADJ
Freude,Freude,NOUN
kommen,kommen,VERB
ließ,lassen,VERB
.,--,PUNCT
Wäre,sein,AUX
er,er,PRON
auch,auch,ADV
gesund,gesund,ADV
gewesen,sein,AUX
",",--,PUNCT
glücklich,glücklich,ADV
wäre,sein,AUX
er,er,PRON
doch,doch,ADV
nie,nie,ADV
geworden,werden,AUX
",",--,PUNCT
das,der,PRON
wußte,wissen,VERB
er,er,PRON
",",--,PUNCT
das,der,PRON
hatte,haben,AUX
er,er,PRON
immer,immer,ADV
deutlicher,deutlich,ADV
erkannt,erkennen,VERB
",",--,PUNCT
je,je,ADV
mehr,mehr,ADV
Nahrung,Nahrung,NOUN
sein,sein,DET
Geist,Geist,NOUN
aus,aus,ADP
einer,ein,DET
reichen,reich,ADJ
wissenschaftlichen,wissenschaftlich,ADJ
Bildung,Bildung,NOUN
sog.,sog.,ADJ
Wozu,Wozu,NOUN
also,also,ADV
sollte,sollen,AUX
und,und,CCONJ
wollte,wollen,AUX
er,er,PRON
leben,leben,VERB
?,--,PUNCT
Sonderbar,Sonderbar,ADV
!,--,PUNCT
Gerade,gerade,ADV
jetzt,jetzt,ADV
",",--,PUNCT
durch,durch,ADP
diese,dieser,DET
bitteren,bitter,ADJ
Gedanken,Gedanke,NOUN
hindurch,hindurch,ADV
",",--,PUNCT
fühlte,fühlen,VERB
er,er,PRON
sie,sie,PRON
ganz,ganz,ADV
deutlich,deutlich,ADV
",",--,PUNCT
jene,jener,PRON
