Token,Lemma,POS
Das,der,DET
Gymnasium,Gymnasium,NOUN
zu,zu,ADP
Stolpenburg,Stolpenburg,PROPN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Novellen,Novelle,NOUN
von,von,ADP
Hans,Hans,PROPN
Hoffmann,Hoffmann,PROPN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Zweite,zweiter,ADJ
Auflage,Auflage,NOUN
.,--,PUNCT
Berlin,Berlin,PROPN
.,--,PUNCT
Verlag,Verlag,NOUN
von,von,ADP
Gebrüder,Gebrüder,NOUN
Paetel,Paetel,PROPN
.,--,PUNCT
1893.,1893.,X
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Moritz,Moritz,PROPN
Necker,Necker,PROPN
zugeeignet,zugeeignen,VERB
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhaltsverzeichniß,Inhaltsverzeichniß,NOUN
.,--,PUNCT
Die,der,DET
Handschrift,Handschrift,NOUN
A.,A.,PROPN
Publius,Publius,NOUN
.,--,PUNCT
Die,der,DET
Reise,Reise,NOUN
nach,nach,ADP
Athen,Athen,PROPN
Munks,Munk,PROPN
Madonna,Madonna,PROPN
Erfüllter,Erfüllter,NOUN
Beruf,Beruf,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Die,der,DET
Handschrift,Handschrift,NOUN
A.,A.,PROPN
Denkwürdig,denkwürdig,ADV
war,sein,AUX
immerhin,immerhin,ADV
schon,schon,ADV
die,der,DET
Art,Art,NOUN
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
seine,sein,DET
Liebeserklärung,Liebeserklärung,NOUN
endlich,endlich,ADV
ablegte,ablegen,VERB
:,--,PUNCT
er,er,PRON
ging,gehen,VERB
aus,aus,ADP
von,von,ADP
der,der,DET
Nibelungenfrage,Nibelungenfrage,NOUN
.,--,PUNCT
Für,für,ADP
einen,ein,DET
Eingeweihten,Eingeweihten,NOUN
lag,liegen,VERB
eigentlich,eigentlich,ADV
nichts,nichts,PRON
besonders,besonders,ADV
Auffallendes,Auffallende,NOUN
darin,darin,ADV
",",--,PUNCT
und,und,CCONJ
Fräulein,Fräulein,NOUN
Anna,Anna,PROPN
war,sein,AUX
eingeweiht,einweihen,VERB
;,--,PUNCT
sie,sie,PRON
kannte,kennen,VERB
den,der,DET
Feuereifer,Feuereifer,NOUN
",",--,PUNCT
mit,mit,ADP
dem,der,PRON
er,er,PRON
seine,sein,DET
germanistischen,germanistisch,ADJ
Studien,Studie,NOUN
betrieb,betreiben,VERB
",",--,PUNCT
und,und,CCONJ
hatte,haben,VERB
auch,auch,ADV
",",--,PUNCT
wenn,wenn,SCONJ
nicht,nicht,PART
einen,ein,DET
Begriff,Begriff,NOUN
",",--,PUNCT
so,so,ADV
doch,doch,CCONJ
eine,ein,DET
Ahnung,Ahnung,NOUN
von,von,ADP
der,der,DET
Wichtigkeit,Wichtigkeit,NOUN
derselben,derselbe,PRON
im,in,ADP
Haushalt,Haushalt,NOUN
der,der,DET
Wissenschaft,Wissenschaft,NOUN
;,--,PUNCT
darum,darum,ADV
vermochte,vermögen,VERB
sie,sie,PRON
es,es,PRON
auch,auch,ADV
über,über,ADP
sich,sich,PRON
",",--,PUNCT
geduldig,geduldig,ADV
zuzuhören,zuzuhören,VERB
und,und,CCONJ
auszuharren,auszuharren,VERB
