Token,Lemma,POS
Heinrich,Heinrich,PROPN
Heine,Heine,PROPN
Der,der,DET
Rabbi,Rabbi,NOUN
von,von,ADP
Bacherach,Bacherach,PROPN
(,--,PUNCT
1840,1840,NUM
),--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Unterhalb,unterhalb,ADP
des,der,DET
Rheingaus,Rheingau,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Ufer,Ufer,NOUN
des,der,DET
Stromes,Strome,NOUN
ihre,ihr,DET
lachende,lachend,ADJ
Miene,Miene,NOUN
verlieren,verlieren,VERB
",",--,PUNCT
Berg,Berg,PROPN
und,und,CCONJ
Felsen,Fels,NOUN
",",--,PUNCT
mit,mit,ADP
ihren,ihr,DET
abenteuerlichen,abenteuerlich,ADJ
Burgruinen,Burgruine,NOUN
",",--,PUNCT
sich,sich,PRON
trotziger,trotzig,ADV
gebärden,gebärden,VERB
",",--,PUNCT
und,und,CCONJ
eine,ein,DET
wildere,wild,ADJ
",",--,PUNCT
ernstere,ernst,ADJ
Herrlichkeit,Herrlichkeit,NOUN
emporsteigt,emporsteigen,VERB
",",--,PUNCT
dort,dort,ADV
liegt,liegen,VERB
",",--,PUNCT
wie,wie,ADP
eine,ein,DET
schaurige,schaurig,ADJ
Sage,Sage,NOUN
der,der,DET
Vorzeit,Vorzeit,NOUN
",",--,PUNCT
die,der,PRON
finstre,finstre,PROPN
",",--,PUNCT
uralte,uralt,ADJ
Stadt,Stadt,NOUN
Bacherach,Bacherach,PROPN
.,--,PUNCT
Nicht,nicht,PART
immer,immer,ADV
waren,sein,AUX
so,so,ADV
morsch,morsch,ADV
und,und,CCONJ
verfallen,verfallen,VERB
diese,dieser,DET
Mauern,Mauer,NOUN
mit,mit,ADP
ihren,ihr,DET
zahnlosen,zahnlos,ADJ
Zinnen,Zinne,NOUN
und,und,CCONJ
blinden,blind,ADJ
Warttürmchen,Warttürmchen,NOUN
",",--,PUNCT
in,in,ADP
deren,der,DET
Luken,Luk,NOUN
der,der,DET
Wind,Wind,NOUN
pfeift,pfeifen,VERB
und,und,CCONJ
die,der,DET
Spatzen,Spatz,NOUN
nisten,nisen,VERB
;,--,PUNCT
in,in,ADP
diesen,dieser,DET
armselig,armselig,ADV
häßlichen,häßlich,ADJ
Lehmgassen,Lehmgasse,NOUN
",",--,PUNCT
die,der,PRON
man,man,PRON
durch,durch,ADP
das,der,DET
zerrissene,zerrissen,ADJ
Tor,Tor,NOUN
erblickt,erblicken,VERB
",",--,PUNCT
herrschte,herrschen,VERB
nicht,nicht,PART
immer,immer,ADV
jene,jener,DET
öde,öde,ADJ
Stille,Stille,NOUN
",",--,PUNCT
die,der,PRON
nur,nur,ADV
dann,dann,ADV
und,und,CCONJ
wann,wann,ADV
unterbrochen,unterbrechen,VERB
wird,werden,AUX
von,von,ADP
schreienden,schreiend,ADJ
Kindern,Kind,NOUN
",",--,PUNCT
keifenden,keifend,ADJ
Weibern,Weiber,NOUN
und,und,CCONJ
brüllenden,brüllend,ADJ
Kühen,Küh,NOUN
.,--,PUNCT
Diese,dieser,DET
Mauern,Mauer,NOUN
waren,sein,AUX
einst,einst,ADV
stolz,stolz,ADV
und,und,CCONJ
stark,stark,ADV
",",--,PUNCT
und,und,CCONJ
in,in,ADP
diesen,dieser,DET
Gassen,Gasse,NOUN
bewegte,bewegen,VERB
sich,sich,PRON
frisches,frisch,ADJ
",",--,PUNCT
freies,frei,ADJ
Leben,Leben,NOUN
",",--,PUNCT
Macht,Macht,NOUN
und,und,CCONJ
Pracht,Pracht,NOUN
",",--,PUNCT
Lust,Lust,NOUN
und,und,CCONJ
Leid,Leid,NOUN
",",--,PUNCT
viel,viel,DET
Liebe,Liebe,NOUN
und,und,CCONJ
viel,viel,DET
Haß,Haß,NOUN
.,--,PUNCT
Bacherach,Bacherach,ADV
gehörte,gehören,VERB
einst,einst,ADV
zu,zu,ADP
jenen,jener,DET
Munizipien,Munizipie,NOUN
",",--,PUNCT
welche,welcher,PRON
von,von,ADP
den,der,DET
Römern,Römer,NOUN
während,während,ADP
ihrer,ihr,DET
Herrschaft,Herrschaft,NOUN
am,an,ADP
Rhein,Rhein,PROPN
gegründet,gründen,VERB
worden,werden,AUX
",",--,PUNCT
und,und,CCONJ
die,der,DET
Einwohner,Einwohner,NOUN
",",--,PUNCT
obgleich,obgleich,SCONJ
die,der,DET
folgenden,folgend,ADJ
Zeiten,Zeit,NOUN
sehr,sehr,ADV
stürmisch,stürmisch,ADV
und,und,CCONJ
obgleich,obgleich,SCONJ
sie,sie,PRON
späterhin,späterhin,ADV
unter,unter,ADP
Hohenstaufischer,Hohenstaufischer,NOUN
",",--,PUNCT
und,und,CCONJ
zuletzt,zuletzt,ADV
unter,unter,ADP
Wittelsbacher,Wittelsbacher,ADJ
Oberherrschaft,Oberherrschaft,NOUN
gerieten,geraten,VERB
",",--,PUNCT
wußten,wissen,VERB
dennoch,dennoch,ADV
",",--,PUNCT
nach,nach,ADP
dem,der,DET
Beispiel,Beispiel,NOUN
andrer,andr,ADJ
rheinischen,rheinisch,ADJ
Städte,Stadt,NOUN
",",--,PUNCT
ein,ein,DET
ziemlich,ziemlich,ADV
freies,frei,ADJ
Gemeinwesen,Gemeinwesen,NOUN
zu,zu,PART
erhalten,erhalten,VERB
.,--,PUNCT
Dieses,dieser,PRON
bestand,bestehen,VERB
aus,aus,ADP
einer,ein,DET
Verbindung,Verbindung,NOUN
einzelner,einzeln,PRON
Körperschaften,Körperschaft,NOUN
",",--,PUNCT
wovon,wovon,SCONJ
die,der,PRON
der,der,DET
patrizischen,patrizisch,ADJ
Altbürger,Altbürger,NOUN
und,und,CCONJ
die,der,PRON
der,der,DET
Zünfte,Zünft,NOUN
",",--,PUNCT
welche,welcher,PRON
sich,sich,PRON
wieder,wieder,ADV
nach,nach,ADP
ihren,ihr,DET
verschiedenen,verschieden,ADJ
Gewerken,Gewerk,NOUN
unterabteilten,unterabteilen,VERB
",",--,PUNCT
beiderseitig,beiderseitig,ADV
nach,nach,ADP
der,der,DET
Alleinmacht,Alleinmacht,NOUN
rangen,rangen,VERB
:,--,PUNCT
so,so,ADV
daß,daß,SCONJ
sie,sie,PRON
