Token,Lemma,POS
Heinrich,Heinrich,PROPN
Heine,Heine,PROPN
Reisebilder,Reisebild,ADV
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
•,•,PROPN
Erster,erst,ADJ
Teil,Teil,NOUN
□,□,ADV
Die,der,DET
Harzreise,Harzreise,NOUN
•,•,ADV
Zweiter,zweiter,ADJ
Teil,Teil,NOUN
□,□,ADJ
Vorwort,Vorwort,NOUN
□,□,ADV
Die,der,DET
Nordsee,Nordsee,PROPN
.,--,PUNCT
Dritte,dritter,ADJ
Abteilung,Abteilung,NOUN
□,□,ADJ
Ideen,Idee,NOUN
.,--,PUNCT
Das,der,DET
Buch,Buch,NOUN
Le,Le,PROPN
Grand,Grand,PROPN
•,•,ADV
Dritter,dritter,ADJ
Teil,Teil,NOUN
□,□,ADJ
Italien,Italien,PROPN
I.,I.,NOUN
–,--,PUNCT
Reise,Reise,NOUN
von,von,ADP
München,München,PROPN
nach,nach,ADP
Genua,Genua,PROPN
□,□,ADJ
Italien,Italien,PROPN
II.,II.,NUM
–,--,PUNCT
Die,der,DET
Bäder,Bäder,NOUN
von,von,ADP
Lucca,Lucca,PROPN
•,•,ADV
Vierter,vierte,NOUN
Teil,Teil,NOUN
□,□,ADJ
Vorwort,Vorwort,NOUN
□,□,ADJ
Italien,Italien,PROPN
III.,III.,PROPN
–,--,PUNCT
Die,der,DET
Stadt,Stadt,NOUN
Lucca,Lucca,PROPN
□,□,ADJ
Englische,Englische,ADJ
Fragmente,Fragment,NOUN
•,•,ADV
Nachlese,Nachlese,NOUN
□,□,ADJ
Briefe,Brief,NOUN
aus,aus,ADP
Berlin,Berlin,PROPN
□,□,NOUN
Über,über,ADP
Polen,Polen,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erster,erst,ADJ
Teil,Teil,NOUN
Die,der,DET
Harzreise,Harzreise,NOUN
(,--,PUNCT
1824,1824,NUM
),--,PUNCT
Nichts,nichts,PRON
ist,sein,AUX
dauernd,dauernd,ADV
",",--,PUNCT
als,als,SCONJ
der,der,DET
Wechsel,Wechsel,NOUN
;,--,PUNCT
nichts,nichts,PRON
beständig,beständig,ADV
",",--,PUNCT
als,als,SCONJ
der,der,DET
Tod,Tod,NOUN
.,--,PUNCT
Jeder,jeder,PRON
Schlag,Schlag,NOUN
des,der,DET
Herzens,Herzen,NOUN
schlägt,schlagen,VERB
uns,uns,PRON
eine,ein,DET
Wunde,Wunde,NOUN
",",--,PUNCT
und,und,CCONJ
das,der,DET
Leben,Leben,NOUN
wäre,sein,AUX
ein,ein,DET
ewiges,ewig,ADJ
Verbluten,verbluter,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
nicht,nicht,PART
die,der,DET
Dichtkunst,Dichtkunst,NOUN
wäre,sein,AUX
.,--,PUNCT
Sie,sie,PRON
gewährt,gewähren,VERB
uns,uns,PRON
",",--,PUNCT
was,wer,PRON
uns,uns,PRON
die,der,DET
Natur,Natur,NOUN
versagt,versagen,VERB
:,--,PUNCT
eine,ein,DET
goldene,golden,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
rostet,rosten,VERB
",",--,PUNCT
einen,ein,DET
Frühling,Frühling,PROPN
",",--,PUNCT
der,der,PRON
nicht,nicht,PART
abblüht,abblüht,VERB
",",--,PUNCT
wolkenloses,wolkenloses,ADJ
Glück,Glück,NOUN
und,und,CCONJ
ewige,ewig,ADJ
Jugend,Jugend,NOUN
.,--,PUNCT
Börne,Börn,NOUN
.,--,PUNCT
Schwarze,schwarz,ADJ
Röcke,Röck,NOUN
",",--,PUNCT
seidne,Seidne,PROPN
Strümpfe,Strümpfe,PROPN
",",--,PUNCT
Weiße,weiße,NOUN
",",--,PUNCT
höfliche,höflich,ADJ
Manschetten,Manschett,NOUN
",",--,PUNCT
Sanfte,sanft,ADJ
Reden,Rede,NOUN
",",--,PUNCT
Embrassieren,Embrassier,NOUN
–,--,PUNCT
Ach,ach,INTJ
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
