Token,Lemma,POS
Heinrich,Heinrich,PROPN
Laube,Laube,PROPN
Das,der,DET
Schloß,Schloß,NOUN
in,in,ADP
Franken,Franken,PROPN
(,--,PUNCT
aus,aus,ADP
dem,der,DET
II.,II.,PROPN
Band,Band,NOUN
der,der,DET
»,--,PUNCT
Neuen,neu,ADJ
Reisenovellen,Reisenovelle,NOUN
«,--,PUNCT
),--,PUNCT
Auf,auf,ADP
einem,ein,DET
Hügel,Hügel,NOUN
",",--,PUNCT
welcher,welcher,PRON
sich,sich,PRON
nach,nach,ADP
dem,der,DET
Maine,Maine,NOUN
hinabsenkt,hinabsenkt,VERB
",",--,PUNCT
liegt,liegen,VERB
ein,ein,DET
stolzes,stolz,ADJ
Schloß,Schloß,NOUN
",",--,PUNCT
hoch,hoch,ADV
beschattet,beschatten,VERB
von,von,ADP
Ulmen,Ulme,NOUN
und,und,CCONJ
Linden,Linden,PROPN
.,--,PUNCT
Eine,ein,DET
prächtige,prächtig,ADJ
Treppe,Treppe,NOUN
führt,führen,VERB
hinauf,hinauf,ADV
in,in,ADP
der,der,DET
Breite,Breite,NOUN
des,der,DET
ganzen,ganz,ADJ
Hauses,Haus,NOUN
",",--,PUNCT
schöne,schön,ADJ
Säulen,Säule,NOUN
bilden,bilden,VERB
eine,ein,DET
Vorhalle,Vorhalle,NOUN
",",--,PUNCT
die,der,PRON
mit,mit,ADP
südlichen,südlich,ADJ
Bäumen,Baum,NOUN
angefüllt,anfüllen,VERB
ist,sein,AUX
",",--,PUNCT
und,und,CCONJ
von,von,ADP
wo,wo,SCONJ
man,man,PRON
einen,ein,DET
großen,groß,ADJ
Theil,Theil,NOUN
dieses,dieser,DET
blühenden,blühend,ADJ
Landes,Land,NOUN
übersieht,übersehen,VERB
.,--,PUNCT
Terassen,Terasse,NOUN
steigen,steigen,VERB
zum,zu,ADP
Maine,Maine,NOUN
hinab,hinab,ADV
",",--,PUNCT
Gras,Gras,NOUN
",",--,PUNCT
Sträucher,Sträucher,NOUN
und,und,CCONJ
Bäume,Baum,NOUN
wuchern,wuchern,VERB
und,und,CCONJ
flüstern,flüstern,NOUN
links,links,ADV
und,und,CCONJ
rechts,rechts,ADV
",",--,PUNCT
ohne,ohne,SCONJ
die,der,DET
Aussicht,Aussicht,NOUN
