Token,Lemma,POS
Heinrich,Heinrich,PROPN
Laube,Laube,PROPN
Die,der,DET
Karlisten,Karlist,NOUN
.,--,PUNCT
(,--,PUNCT
aus,aus,ADP
dem,der,DET
II.,II.,PROPN
Band,Band,NOUN
der,der,DET
»,--,PUNCT
Reisenovellen,Reisenovelle,NOUN
«,--,PUNCT
),--,PUNCT
Die,der,DET
Herzogin,Herzogin,NOUN
von,von,ADP
Angoulême,Angoulême,PROPN
hatte,haben,AUX
sich,sich,PRON
eines,ein,DET
jungen,jung,ADJ
Mädchens,Mädchen,NOUN
angenommen,annehmen,VERB
",",--,PUNCT
welches,welcher,PRON
aus,aus,ADP
einer,ein,DET
alten,alt,ADJ
",",--,PUNCT
aber,aber,CCONJ
verarmten,verarmt,ADJ
adeligen,adelig,ADJ
Familie,Familie,NOUN
war,sein,AUX
.,--,PUNCT
Die,der,DET
Eltern,Eltern,NOUN
des,der,DET
Mädchens,Mädchen,NOUN
waren,sein,AUX
gestorben,sterben,VERB
",",--,PUNCT
und,und,CCONJ
hatten,haben,AUX
sich,sich,PRON
sammt,sammen,VERB
ihren,ihr,DET
Vorfahren,Vorfahr,NOUN
durch,durch,ADP
treue,treu,ADJ
Dienste,Dienst,NOUN
ausgezeichnet,auszeichnen,VERB
:,--,PUNCT
einer,einer,PRON
der,der,DET
letzteren,letzterer,NOUN
war,sein,AUX
sogar,sogar,ADV
einmal,einmal,ADV
Ceremonienmeister,Ceremonienmeister,NOUN
in,in,ADP
den,der,DET
Tuilerien,Tuilerie,NOUN
gewesen,sein,AUX
.,--,PUNCT
Das,der,DET
Mädchen,Mädchen,NOUN
hieß,heißen,VERB
Angelique,Angelique,PROPN
und,und,CCONJ
war,sein,AUX
sehr,sehr,ADV
hübsch,hübsch,ADV
.,--,PUNCT
Es,es,PRON
war,sein,AUX
indeß,indeß,VERB
nicht,nicht,PART
eine,ein,DET
hervorstechende,hervorstechend,ADJ
Schönheit,Schönheit,NOUN
",",--,PUNCT
welche,welcher,PRON
sie,sie,PRON
auszeichnete,auszeichnen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
mehr,mehr,ADV
ein,ein,ADV
unbefangenes,unbefangen,DET
einnehmendes,einnehmend,ADJ
Wesen,Wesen,NOUN
.,--,PUNCT
