Token,Lemma,POS
Heinrich,Heinrich,PROPN
Laube,Laube,PROPN
Die,der,DET
Novelle,Novelle,NOUN
in,in,ADP
der,der,DET
Theaterloge,Theaterloge,NOUN
.,--,PUNCT
(,--,PUNCT
aus,aus,ADP
dem,der,DET
I.,I.,ADJ
Band,Band,NOUN
der,der,DET
»,--,PUNCT
Neuen,neu,ADJ
Reisenovellen,Reisenovelle,NOUN
«,--,PUNCT
),--,PUNCT
Das,der,DET
Theater,Theater,NOUN
",",--,PUNCT
unser,unser,DET
Theater,Theater,NOUN
",",--,PUNCT
unsre,unsr,ADJ
Schauspieler,Schauspieler,NOUN
",",--,PUNCT
unser,unser,DET
Bader,Bader,NOUN
",",--,PUNCT
unsre,unsr,ADJ
Seidler,Seidler,PROPN
",",--,PUNCT
daß,daß,SCONJ
ist,sein,AUX
in,in,ADP
Berlin,Berlin,PROPN
Frühstück,Frühstück,NOUN
und,und,CCONJ
Abendbrod,Abendbrod,PROPN
",",--,PUNCT
ganz,ganz,ADV
Deutschland,Deutschland,PROPN
bringt,bringen,VERB
nicht,nicht,PART
so,so,ADV
viel,viel,DET
Rekruten,Rekrut,NOUN
zur,zu,ADP
Bühne,Bühne,NOUN
als,als,ADP
Berlin,Berlin,PROPN
",",--,PUNCT
mehr,mehr,PRON
als,als,ADP
die,der,DET
Hälfte,Hälfte,NOUN
aller,aller,DET
deutschen,deutsch,ADJ
Schauspieler,Schauspieler,NOUN
ist,sein,AUX
aus,aus,ADP
Berlin,Berlin,PROPN
.,--,PUNCT
Alles,alle,PRON
urtheilt,urtheilen,VERB
über,über,ADP
das,der,DET
Theater,Theater,NOUN
",",--,PUNCT
Alles,alle,PRON
bespricht,besprechen,VERB
das,der,DET
Theater,Theater,NOUN
.,--,PUNCT
In,in,ADP
Wien,Wien,PROPN
sind,sein,AUX
die,der,DET
Theater,Theater,NOUN
die,der,DET
Hauptsache,Hauptsache,NOUN
",",--,PUNCT
in,in,ADP
Berlin,Berlin,PROPN
ist's,ist'sn,VERB
das,der,DET
Theater,Theater,NOUN
.,--,PUNCT
Ueber,Ueber,NOUN
das,der,DET
Schauspielhaus,Schauspielhaus,NOUN
am,an,ADP
Gensdarmenmarkte,Gensdarmenmarkt,NOUN
ist,sein,AUX
man,man,PRON
