Token,Lemma,POS
Heinrich,Heinrich,PROPN
Laube,Laube,PROPN
Johanna,Johanna,PROPN
(,--,PUNCT
aus,aus,ADP
dem,der,DET
III.,III.,PROPN
Band,Band,NOUN
der,der,DET
»,--,PUNCT
Reisenovellen,Reisenovelle,NOUN
«,--,PUNCT
),--,PUNCT
Es,es,PRON
war,sein,AUX
eine,ein,DET
so,so,ADV
verlockend,verlockend,ADV
milde,mild,ADJ
Luft,Luft,NOUN
",",--,PUNCT
daß,daß,SCONJ
wir,wir,PRON
uns,sich,PRON
nicht,nicht,PART
entschließen,entschließen,VERB
mochten,mochten,AUX
",",--,PUNCT
nach,nach,ADP
Hause,Haus,NOUN
zu,zu,PART
gehen,gehen,VERB
.,--,PUNCT
Die,der,DET
Sterne,Stern,NOUN
glänzten,glänzten,VERB
wie,wie,ADP
Liebesaugen,Liebesaug,NOUN
einer,ein,DET
fernen,fern,ADJ
Welt,Welt,NOUN
;,--,PUNCT
Nachtwinde,Nachtwind,NOUN
",",--,PUNCT
weich,weich,ADV
wie,wie,ADP
Sammt,Sammt,NOUN
",",--,PUNCT
spielten,spielen,VERB
in,in,ADP
den,der,DET
Lüften,Lüft,NOUN
",",--,PUNCT
üppiges,üppig,ADJ
",",--,PUNCT
verführerisches,verführerisch,NOUN
Schweigen,schweigen,NOUN
lag,liegen,VERB
wie,wie,ADP
ein,ein,DET
Seidenmantel,Seidenmantel,NOUN
über,über,ADP
der,der,DET
Erde,Erde,NOUN
.,--,PUNCT
Johanna,Johanna,PROPN
",",--,PUNCT
bis,bis,ADP
zum,zu,ADP
Abende,Abend,NOUN
ernst,ernst,ADV
und,und,CCONJ
zurückhaltend,zurückhaltend,ADV
",",--,PUNCT
war,sein,AUX
bei'm,bei'm,ADV
Sperl,Sperl,NOUN
munter,munter,ADV
geworden,werden,AUX
",",--,PUNCT
jetzt,jetzt,ADV
sang,singen,VERB
sie,sie,PRON
ein,ein,DET
ungarisches,ungarisch,ADJ
Liedchen,Liedchen,NOUN
in,in,ADP
die,der,DET
Luft,Luft,NOUN
hinaus,hinaus,ADV
:,--,PUNCT
Lüftchen,lüftchen,NOUN
kommst,kommsen,VERB
Du,du,PRON
aus,aus,ADP
dem,der,DET
Morgen,Morgen,NOUN
",",--,PUNCT
