Token,Lemma,POS
Heinrich,Heinrich,PROPN
Seidel,Seidel,PROPN
Das,der,DET
alte,alt,ADJ
Haus,Haus,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I.,I.,NOUN
Mitten,mitten,ADV
in,in,ADP
einem,ein,DET
behaglichen,behaglich,ADJ
Sommeraufenthalt,Sommeraufenthalt,NOUN
auf,auf,ADP
dem,der,DET
Lande,Land,NOUN
traf,treffen,VERB
mich,mich,PRON
plötzlich,plötzlich,ADV
die,der,DET
Nachricht,Nachricht,NOUN
",",--,PUNCT
daß,daß,SCONJ
meine,mein,DET
Tante,Tante,NOUN
Dorothea,Dorothea,PROPN
gestorben,sterben,VERB
sei,sein,AUX
und,und,CCONJ
wider,wider,ADP
alles,aller,DET
Erwarten,erwarten,NOUN
nicht,nicht,PART
anderweitig,anderweitig,ADV
über,über,ADP
ihr,ihr,DET
sehr,sehr,ADV
bedeutendes,bedeutend,ADJ
Vermögen,Vermögen,NOUN
verfügt,verfügen,VERB
habe,haben,AUX
.,--,PUNCT
Das,der,DET
Haus,Haus,NOUN
",",--,PUNCT
das,der,PRON
meiner,mein,DET
Tante,Tante,NOUN
gehörte,gehören,VERB
",",--,PUNCT
