Token,Lemma,POS
Ein,ein,DET
Skizzenbuch,Skizzenbuch,NOUN
.,--,PUNCT
Neue,neu,ADJ
Geschichten,Geschichte,NOUN
von,von,ADP
Heinrich,Heinrich,PROPN
Seidel,Seidel,PROPN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Leipzig,Leipzig,PROPN
A.,a.,ADP
G.,G.,PROPN
Liebeskind,Liebeskind,PROPN
.,--,PUNCT
1889.,1889.,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
V,V,X
Meinem,Meinem,DET
Bruder,Bruder,NOUN
Hermann,Hermann,PROPN
zugeeignet,zugeeignen,VERB
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
VI,VI,PROPN
Waldesrauschen,Waldesrauschen,NOUN
",",--,PUNCT
wunderbar,wunderbar,ADV
Hast,Hast,AUX
du,du,PRON
mir,mir,PRON
das,der,DET
Herz,Herz,NOUN
getroffen,treffen,VERB
.,--,PUNCT
Lenau,Lenau,PROPN
.,--,PUNCT
Tief,Tief,ADV
die,der,DET
Welt,Welt,NOUN
verworren,verworren,VERB
schallt,schallen,VERB
",",--,PUNCT
Oben,Oben,ADV
einsam,einsam,ADV
Rehe,Rehe,NOUN
grasen,grasen,VERB
.,--,PUNCT
Eichendorff,Eichendorff,PROPN
.,--,PUNCT
Waldeinsamkeit,Waldeinsamkeit,NOUN
",",--,PUNCT
Die,der,DET
mich,mich,PRON
erfreut,erfreuen,VERB
.,--,PUNCT
Tieck,Tieck,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
VII,VII,PROPN
An,an,ADP
Hermann,Hermann,PROPN
.,--,PUNCT
Der,der,DET
Geist,Geist,NOUN
des,der,DET
Waldes,Wald,NOUN
spricht,sprechen,VERB
:,--,PUNCT
»,--,PUNCT
Kennst,Kennst,VERB
du,du,PRON
mich,mich,PRON
noch,noch,ADV
?,--,PUNCT
Ich,ich,PRON
bin,sein,AUX
der,der,DET
Geist,Geist,NOUN
des,der,DET
Waldes,Wald,NOUN
",",--,PUNCT
Des,der,DET
Heimathwaldes,Heimathwald,PROPN
",",--,PUNCT
der,der,PRON
dich,dich,PRON
einst,einst,ADV
umrauschte,umrauschen,VERB
.,--,PUNCT
Von,von,ADP
meines,mein,DET
Sees,See,NOUN
vielgeliebter,vielgeliebt,ADJ
Fluth,Fluth,NOUN
",",--,PUNCT
Von,von,ADP
meinen,mein,DET
Buchen,Buche,NOUN
",",--,PUNCT
meinem,mein,DET
Tannengrün,Tannengrün,NOUN
Macht,Macht,NOUN
',--,PUNCT
