Token,Lemma,POS
Seemanns-Sagen,Seemanns-Sag,NOUN
und,und,CCONJ
Schiffer-Märchen,Schiffer-Märchen,NOUN
Gesammelt,Gesammelt,NOUN
von,von,ADP
Heinrich,Heinrich,PROPN
Smidt,Smidt,PROPN
Der,der,DET
fliegende,fliegend,ADJ
Holländer,Holländer,NOUN
Hoch,hoch,ADV
auf,auf,ADP
den,der,DET
Wellen,Welle,NOUN
bewegte,bewegen,VERB
sich,sich,PRON
still,still,ADV
und,und,CCONJ
unheimlich,unheimlich,ADV
der,der,DET
mächtige,mächtig,ADJ
Rumpf,Rumpf,NOUN
eines,ein,DET
Ostindien-Fahrers,Ostindien-Fahrer,NOUN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
der,der,DET
Tafelbai,Tafelbai,NOUN
Hafenbucht,Hafenbucht,NOUN
von,von,ADP
Kapstadt,Kapstadt,PROPN
an,an,ADP
der,der,DET
Südspitze,Südspitze,NOUN
Afrikas,Afrika,PROPN
.,--,PUNCT
gegenüber,gegenüber,ADP
befand,befinden,VERB
.,--,PUNCT
Seit,seit,ADP
drei,drei,NUM
Tagen,Tag,NOUN
kämpfte,kämpfen,VERB
er,er,PRON
vergebens,vergebens,ADV
mit,mit,ADP
einer,ein,DET
Windstille,Windstille,NOUN
.,--,PUNCT
Die,der,DET
kaum,kaum,ADV
gefüllten,gefüllt,ADJ
Obersegel,Obersegel,NOUN
brachten,bringen,VERB
ihn,ihn,PRON
nur,nur,ADV
wenig,wenig,PRON
von,von,ADP
der,der,DET
Stelle,Stelle,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
heftige,heftig,ADJ
Strömung,Strömung,NOUN
des,der,DET
Meeres,Meeres,NOUN
trieb,treiben,VERB
ihn,ihn,PRON
unwiderstehlich,unwiderstehlich,ADV
seitwärts,seitwärts,ADV
.,--,PUNCT
Hundert,hundert,NUM
Augen,Auge,NOUN
hingen,hingen,VERB
an,an,ADP
der,der,DET
blauen,blau,ADJ
Himmelsdecke,Himmelsdecke,NOUN
",",--,PUNCT
ob,ob,SCONJ
nicht,nicht,PART
irgendwo,irgendwo,ADV
ein,ein,DET
Wölkchen,Wölkchen,NOUN
zu,zu,PART
erspähen,erspähen,VERB
sei,sein,AUX
",",--,PUNCT
von,von,ADP
dem,der,PRON
man,man,PRON
die,der,DET
Rettung,Rettung,NOUN
aus,aus,ADP
der,der,DET
stets,stets,ADV
wachsenden,wachsend,ADJ
Gefahr,Gefahr,NOUN
erhoffen,erhoffen,VERB
könne,können,AUX
;,--,PUNCT
aber,aber,CCONJ
die,der,PRON
war,sein,AUX
klar,klar,ADV
und,und,CCONJ
durchsichtig,durchsichtig,ADV
und,und,CCONJ
spiegelte,spiegeln,VERB
sich,sich,PRON
in,in,ADP
dem,der,DET
glatten,glatt,ADJ
Meer,Meer,NOUN
wider,wider,ADV
.,--,PUNCT
Ein,ein,DET
trüber,trüb,ADJ
Geist,Geist,NOUN
des,der,DET
Unmuts,Unmut,NOUN
",",--,PUNCT
der,der,PRON
noch,noch,ADV
eine,ein,DET
verborgenere,verborgen,ADJ
Ursache,Ursache,NOUN
als,als,ADP
den,der,PRON
der,der,DET
Windstille,Windstille,NOUN
hatte,haben,VERB
",",--,PUNCT
beherrschte,beherrschen,VERB
das,der,DET
Schiff,Schiff,NOUN
",",--,PUNCT
das,der,PRON
den,der,DET
stolzen,stolz,ADJ
Namen,Name,NOUN
›Gelderland‹,›Gelderland‹,PROPN
führte,führen,VERB
und,und,CCONJ
der,der,DET
Stolz,Stolz,NOUN
der,der,DET
holländisch-ostindischen,holländisch-ostindisch,ADJ
Handelsflotte,Handelsflotte,NOUN
Die,der,DET
»,--,PUNCT
Niederländisch-Ostindische,niederländisch-Ostindisch,ADJ
Kompagnie,Kompagnie,NOUN
«,--,PUNCT
wurde,werden,AUX
1602,1602,NUM
mit,mit,ADP
einem,ein,DET
Aktienkapital,Aktienkapital,NOUN
von,von,ADP
6,6,NUM
500,500,NUM
000,000,NUM
Gulden,Gulden,NOUN
in,in,ADP
Batavia,Batavia,PROPN
(,--,PUNCT
heute,heute,ADV
Djakarta,Djakarta,PROPN
),--,PUNCT
zur,zu,ADP
Ausbeutung,Ausbeutung,NOUN
der,der,DET
neuen,neu,ADJ
Kolonien,Kolonie,NOUN
gegründet,gründen,VERB
