Token,Lemma,POS
Heinrich,Heinrich,PROPN
Zschokke,Zschokke,PROPN
Das,der,DET
blaue,blau,ADJ
Wunder,Wunder,NOUN
Eine,ein,DET
Heirat,Heirat,NOUN
auf,auf,ADP
Kredit,Kredit,NOUN
Der,der,DET
junge,jung,ADJ
Doktor,Doktor,NOUN
Falk,Falk,PROPN
sah,sehen,VERB
hin,hin,ADV
",",--,PUNCT
das,der,PRON
niedliche,niedlich,ADJ
Suschen,Suschen,NOUN
sah,sehen,VERB
her,her,ADV
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
denn,denn,ADV
seit,seit,ADP
ziemlich,ziemlich,ADV
alten,alt,ADJ
Zeiten,Zeit,NOUN
unter,unter,ADP
jungen,jung,ADJ
Leuten,Leute,NOUN
Sitte,Sitte,NOUN
geworden,werden,AUX
ist,sein,AUX
.,--,PUNCT
Der,der,DET
Doktor,Doktor,NOUN
war,sein,AUX
ein,ein,DET
artiger,artig,ADJ
Mann,Mann,NOUN
",",--,PUNCT
hatte,haben,AUX
zwei,zwei,NUM
Universitäten,Universität,NOUN
besucht,besuchen,VERB
",",--,PUNCT
dann,dann,ADV
die,der,DET
Spitäler,Spitäler,NOUN
von,von,ADP
Wien,Wien,PROPN
",",--,PUNCT
Mailand,Mailand,PROPN
und,und,CCONJ
Pavia,Pavia,PROPN
",",--,PUNCT
und,und,CCONJ
so,so,ADV
viel,viel,ADV
gelernt,lernen,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
",",--,PUNCT
so,so,ADV
gut,gut,ADV
wie,wie,ADP
irgend,irgend,ADV
einer,einer,PRON
seiner,sein,DET
Zunft,Zunft,NOUN
",",--,PUNCT
die,der,DET
Kranken,kranke,NOUN
nach,nach,ADP
dem,der,DET
neuesten,neu,ADJ
medizinischen,medizinisch,ADJ
System,System,NOUN
ins,in,ADP
bessere,gut,ADJ
Leben,Leben,NOUN
befördern,befördern,VERB
konnte,können,AUX
.,--,PUNCT
Aber,aber,CCONJ
solche,solcher,DET
Geschicklichkeit,Geschicklichkeit,NOUN
erwirbt,erwerben,VERB
man,man,PRON
nicht,nicht,PART
umsonst,umsonst,ADV
;,--,PUNCT
Doktor,Doktor,NOUN
Falk,Falk,PROPN
hatte,haben,AUX
beinahe,beinahe,ADV
seine,sein,DET
ganze,ganz,ADJ
väterliche,väterlich,ADJ
Erbschaft,Erbschaft,NOUN
daran,daran,ADV
geopfert,opfern,VERB
.,--,PUNCT
«,--,PUNCT
Hm,Hm,PROPN
",",--,PUNCT
»,--,PUNCT
dachte,denken,VERB
er,er,PRON
:,--,PUNCT
«,--,PUNCT
komm,kommen,X
',--,PUNCT
ich,ich,PRON
nach,nach,ADP
Haus,Haus,NOUN
",",--,PUNCT
so,so,ADV
heirat,heirieten,VERB
ich,ich,PRON
ein,ein,DET
reiches,reich,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
das,der,PRON
gern,gern,ADV
Frau,Frau,NOUN
Doktorin,Doktorin,NOUN
wird,werden,AUX
",",--,PUNCT
und,und,CCONJ
es,es,PRON
ist,sein,AUX
uns,uns,PRON
beiden,beide,PRON
geholfen,helfen,VERB
!,--,PUNCT
»,--,PUNCT
Allein,allein,ADV
",",--,PUNCT
der,der,DET
Kopf,Kopf,NOUN
denkt,denken,VERB
",",--,PUNCT
das,der,DET
Herz,Herz,NOUN
lenkt,lenken,VERB
!,--,PUNCT
Das,der,DET
hübsche,hübsch,ADJ
Suschen,Suschen,NOUN
hatte,haben,VERB
den,der,DET
vollkommensten,vollkommenst,ADJ
Beruf,Beruf,NOUN
",",--,PUNCT
Frau,Frau,NOUN
Doktorin,Doktorin,NOUN
zu,zu,PART
werden,werden,AUX
.,--,PUNCT
Nur,nur,ADV
–,--,PUNCT
das,der,DET
Geld,Geld,NOUN
ging,gehen,VERB
ihr,ihr,PRON
ab,ab,ADP
.,--,PUNCT
«,--,PUNCT
Das,der,PRON
wird,werden,AUX
sich,sich,PRON
auch,auch,ADV
endlich,endlich,ADV
finden,finden,VERB
",",--,PUNCT
liebes,lieb,ADJ
Suschen,Susche,NOUN
!,--,PUNCT
»,--,PUNCT
sagte,sagen,VERB
der,der,DET
Doktor,Doktor,NOUN
",",--,PUNCT
und,und,CCONJ
drückte,drücken,VERB
dem,der,DET
weinenden,weinend,ADJ
Mädchen,Mädchen,NOUN
einen,ein,DET
Kuß,Kuß,NOUN
auf,auf,ADP
die,der,DET
Lippen,Lippe,NOUN
:,--,PUNCT
«,--,PUNCT
Siehst,Siehst,VERB
du,du,PRON
",",--,PUNCT
ein,ein,DET
Doktor,Doktor,NOUN
muß,müssen,AUX
heiraten,heiraten,VERB
",",--,PUNCT
sonst,sonst,ADV
hat,haben,AUX
man,man,PRON
zu,zu,ADP
ihm,ihm,PRON
kein,kein,DET
Vertrauen,vertrauen,NOUN
.,--,PUNCT
Du,du,PRON
bringst,bringstn,VERB
mir,mir,PRON
also,also,ADV
Kredit,Kredit,NOUN
",",--,PUNCT
und,und,CCONJ
durch,durch,ADP
den,der,DET
Kredit,Kredit,NOUN
Patienten,Patient,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
Patienten,Patient,NOUN
bringen,bringen,VERB
Geld,Geld,NOUN
",",--,PUNCT
und,und,CCONJ
