Token,Lemma,POS
Heinrich,Heinrich,PROPN
Zschokke,Zschokke,PROPN
.,--,PUNCT
Die,der,DET
Branntweinpest,Branntweinpest,PROPN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
Der,der,DET
Reisegefährte,Reisegefährte,NOUN
.,--,PUNCT
Auf,auf,ADP
meiner,mein,DET
Reise,Reise,NOUN
von,von,ADP
England,England,PROPN
machte,machen,VERB
ich,ich,PRON
eines,ein,DET
Tages,Tag,NOUN
angenehme,angenehm,ADJ
Bekanntschaft,Bekanntschaft,NOUN
",",--,PUNCT
in,in,ADP
einem,ein,DET
Gasthof,Gasthof,NOUN
",",--,PUNCT
mit,mit,ADP
einem,ein,DET
liebenswürdigen,liebenswürdig,ADJ
jungen,jung,ADJ
Herrn,Herr,NOUN
.,--,PUNCT
Er,er,PRON
fiel,fallen,VERB
mir,mir,PRON
eben,eben,ADV
so,so,ADV
sehr,sehr,ADV
auf,auf,ADP
durch,durch,ADP
seine,sein,DET
männliche,männlich,ADJ
Schönheit,Schönheit,NOUN
und,und,CCONJ
durch,durch,ADP
Anmuth,Anmuth,PROPN
seines,sein,DET
Betragens,Betragen,NOUN
",",--,PUNCT
als,als,ADP
durch,durch,ADP
sein,sein,DET
niedergeschlagenes,niedergeschlagen,ADJ
Wesen,Wesen,NOUN
.,--,PUNCT
Er,er,PRON
sprach,sprechen,VERB
wenig,wenig,PRON
.,--,PUNCT
Als,als,SCONJ
er,er,PRON
aber,aber,ADV
zufällig,zufällig,ADV
hörte,hören,VERB
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
ein,ein,DET
Schweizer,Schweizer,NOUN
sei,sein,AUX
",",--,PUNCT
reichte,reichen,VERB
er,er,PRON
mir,mir,PRON
mit,mit,ADP
traurigem,traurig,ADJ
Lächeln,lächeln,NOUN
die,der,DET
Hand,Hand,NOUN
",",--,PUNCT
nannte,nennen,VERB
mich,mich,PRON
Landsmann,Landsmann,PROPN
",",--,PUNCT
und,und,CCONJ
lud,laden,VERB
mich,mich,PRON
zuletzt,zuletzt,ADV
sogar,sogar,ADV
ein,ein,ADV
",",--,PUNCT
ihm,ihm,PRON
bis,bis,ADP
in,in,ADP
die,der,DET
Schweiz,Schweiz,PROPN
Gesellschaft,Gesellschaft,NOUN
",",--,PUNCT
in,in,ADP
seinem,sein,DET
bequemen,bequem,ADJ
Reisewagen,Reisewag,NOUN
",",--,PUNCT
zu,zu,PART
leisten,leisten,VERB
.,--,PUNCT
Ich,ich,PRON
nahm,nehmen,VERB
es,es,PRON
mit,mit,ADP
Vergnügen,Vergnüg,NOUN
an,an,ADP
.,--,PUNCT
Unterwegs,unterwegs,ADV
erfuhr,erfahren,VERB
ich,ich,PRON
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
Fridolin,Fridolin,PROPN
Walter,Walter,PROPN
heiße,heißen,VERB
",",--,PUNCT
und,und,CCONJ
Arzt,Arzt,NOUN
sei,sein,AUX
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
einen,ein,DET
reichen,reich,ADJ
Lord,Lord,NOUN
und,und,CCONJ
dessen,der,PRON
Familie,Familie,NOUN
vier,vier,NUM
Jahre,Jahr,NOUN
lang,lang,ADV
auf,auf,ADP
Reisen,Reise,NOUN
durch,durch,ADP
Europa,Europa,PROPN
begleitet,begleiten,VERB
",",--,PUNCT
und,und,CCONJ
war,sein,AUX
durch,durch,ADP
dessen,der,PRON
Dankbarkeit,Dankbarkeit,NOUN
und,und,CCONJ
Freundschaft,Freundschaft,NOUN
nicht,nicht,PART
nur,nur,ADV
im,in,ADP
Besitz,Besitz,NOUN
eines,ein,DET
unabhängigen,unabhängig,ADJ
Vermögens,Vermögen,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
auch,auch,ADV
eines,ein,DET
lebenslänglichen,lebenslänglich,ADJ
Jahrgehaltes,Jahrgehaltes,X
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
dem,der,DET
Lord,Lord,NOUN
und,und,CCONJ
einer,ein,DET
Tochter,Tochter,NOUN
desselben,derselbe,PRON
",",--,PUNCT
durch,durch,ADP
seine,sein,DET
Kunst,Kunst,NOUN
