Token,Lemma,POS
Heinrich,Heinrich,PROPN
Zschokke,Zschokke,PROPN
Jonathan,Jonathan,PROPN
Frock,Frock,PROPN
In,in,ADP
der,der,DET
Hauptstadt,Hauptstadt,NOUN
des,der,DET
Königreichs,Königreich,NOUN
",",--,PUNCT
und,und,CCONJ
vielleicht,vielleicht,ADV
im,in,ADP
ganzen,ganz,ADJ
Königreiche,Königreiche,NOUN
",",--,PUNCT
war,sein,AUX
geraume,geraume,ADJ
Zeit,Zeit,NOUN
lang,lang,ADV
kein,kein,DET
gepriesenerer,gepriesen,ADJ
Mann,Mann,NOUN
",",--,PUNCT
als,als,SCONJ
der,der,PRON
auch,auch,ADV
durch,durch,ADP
einige,einiger,DET
Schriften,Schrift,NOUN
dem,der,DET
Ausland,Ausland,NOUN
schätzbar,schätzbar,ADV
gewordene,geworden,ADJ
Oberkriminalrat,Oberkriminalrat,NOUN
von,von,ADP
Schwarz,Schwarz,PROPN
.,--,PUNCT
Das,der,DET
Glück,Glück,NOUN
schien,scheinen,VERB
sich,sich,PRON
an,an,ADP
ihm,ihm,PRON
mit,mit,ADP
Gunstbezeugungen,Gunstbezeugunge,NOUN
erschöpfen,erschöpfen,VERB
zu,zu,PART
wollen,wollen,AUX
.,--,PUNCT
Sohn,Sohn,NOUN
eines,ein,DET
armen,arm,ADJ
Leinwebers,Leinweber,PROPN
",",--,PUNCT
hatte,haben,AUX
er,er,PRON
mit,mit,ADP
Hilfe,Hilfe,NOUN
einiger,einiger,DET
Stipendien,Stipendium,NOUN
",",--,PUNCT
die,der,PRON
ihm,ihm,PRON
als,als,ADP
Jüngling,Jüngling,NOUN
von,von,ADP
trefflichen,trefflich,ADJ
Anlagen,Anlage,NOUN
gegeben,geben,VERB
worden,werden,AUX
waren,sein,AUX
",",--,PUNCT
die,der,DET
hohe,hoch,ADJ
Schule,Schule,NOUN
besuchen,besuchen,VERB
können,können,AUX
und,und,CCONJ
die,der,DET
Rechtswissenschaft,Rechtswissenschaft,NOUN
gelernt,lernen,VERB
.,--,PUNCT
Fast,fast,ADV
ohne,ohne,ADP
einen,ein,DET
Heller,Heller,NOUN
Geld,Geld,NOUN
war,sein,AUX
er,er,PRON
in,in,ADP
die,der,DET
Hauptstadt,Hauptstadt,NOUN
gekommen,kommen,VERB
",",--,PUNCT
als,als,ADP
Sachwalter,Sachwalter,NOUN
sein,sein,DET
Brot,Brot,NOUN
zu,zu,PART
verdienen,verdienen,VERB
;,--,PUNCT
er,er,PRON
übernahm,übernehmen,VERB
da,da,ADV
einen,ein,DET
schwierigen,schwierig,ADJ
Rechtshandel,Rechtshandel,NOUN
",",--,PUNCT
den,der,PRON
man,man,PRON
schon,schon,ADV
verloren,verlieren,VERB
gegeben,geben,VERB
;,--,PUNCT
siegte,siegen,VERB
vor,vor,ADP
den,der,DET
Gerichtshöfen,Gerichtshöfe,NOUN
;,--,PUNCT
erwarb,erwerben,VERB
sich,sich,PRON
Ruf,Ruf,PROPN
",",--,PUNCT
und,und,CCONJ
ward,weher,VERB
binnen,binnen,ADP
Jahr,Jahr,NOUN
und,und,CCONJ
Tag,Tag,NOUN
einer,einer,PRON
der,der,DET
beliebtesten,beliebtesten,VERB
und,und,CCONJ
beschäftigtsten,beschäftigtst,ADJ
Anwälte,Anwalt,NOUN
.,--,PUNCT
Durch,durch,ADP
Übung,Übung,NOUN
und,und,CCONJ
fortgesetzten,fortgesetzt,ADJ
Fleiß,Fleiß,NOUN
gewann,gewinnen,VERB
er,er,PRON
einen,ein,DET
seltenen,selten,ADJ
Grad,Grad,NOUN
der,der,DET
Vollkommenheit,Vollkommenheit,NOUN
seines,sein,DET
Berufs,Beruf,NOUN
.,--,PUNCT
Überall,überall,ADV
vorgezogen,vorziehen,VERB
",",--,PUNCT
mit,mit,ADP
Belohnungen,Belohnung,NOUN
",",--,PUNCT
Geschenken,Geschenk,NOUN
",",--,PUNCT
Ehrenbezeugungen,Ehrenbezeugung,NOUN
und,und,CCONJ
Schmeicheleien,Schmeicheleie,NOUN
überhäuft,überhäufen,VERB
",",--,PUNCT
wurde,werden,AUX
er,er,PRON
in,in,ADP
die,der,DET
Kreise,Kreis,NOUN
der,der,DET
angesehensten,angesehen,ADJ
Männer,Mann,NOUN
eingeführt,einführen,VERB
;,--,PUNCT
in,in,ADP
den,der,DET
besten,gut,ADJ
Häusern,Haus,NOUN
vertrauter,vertraut,ADJ
Freund,Freund,NOUN
.,--,PUNCT
Er,er,PRON
heiratete,heiraten,VERB
eins,einer,PRON
der,der,DET
schönsten,schön,ADJ
und,und,CCONJ
reichsten,reichsen,VERB
Mädchen,Mädchen,NOUN
der,der,DET
Hauptstadt,Hauptstadt,NOUN
;,--,PUNCT
ward,werden,VERB
von,von,ADP
den,der,DET
Ministern,Minister,NOUN
angestellt,anstellen,VERB
;,--,PUNCT
von,von,ADP
Amt,Amt,NOUN
zu,zu,ADP
Amt,Amt,NOUN
befördert,befördern,VERB
",",--,PUNCT
vom,von,ADP
König,König,NOUN
selbst,selbst,ADV
geadelt,adeln,VERB
;,--,PUNCT
empfing,empfangen,VERB
dessen,der,PRON
Orden,Orden,NOUN
;,--,PUNCT
bald,bald,ADV
auch,auch,ADV
",",--,PUNCT
wegen,wegen,ADP
geleisteter,geleistet,ADJ
