Token,Lemma,POS
Helene,Helene,PROPN
Böhlau,Böhlau,PROPN
(,--,PUNCT
Frau,Frau,NOUN
al,al,PROPN
Raschid,Raschid,PROPN
Bey,Bey,PROPN
),--,PUNCT
Der,der,DET
schöne,schön,ADJ
Valentin,Valentin,NOUN
In,in,ADP
einem,ein,DET
vom,von,ADP
Verkehre,Verkehre,NOUN
abgelegenen,abgelegen,ADJ
Platze,Platz,NOUN
des,der,DET
winkeligen,winkelig,ADJ
Städtchens,Städtchen,NOUN
lag,liegen,VERB
ein,ein,DET
altes,alt,ADJ
",",--,PUNCT
wunderliches,wunderlicher,ADJ
Häusergehocke,Häusergehocke,NOUN
.,--,PUNCT
Vor,vor,ADP
Zeiten,Zeit,NOUN
war,sein,AUX
dieser,dieser,DET
Platz,Platz,NOUN
ein,ein,DET
Teich,Teich,NOUN
gewesen,sein,AUX
",",--,PUNCT
und,und,CCONJ
die,der,DET
erwähnten,erwähnt,ADJ
Häuser,Haus,NOUN
lagen,liegen,VERB
auf,auf,ADP
einer,ein,DET
Art,Art,NOUN
Damm,Damm,NOUN
",",--,PUNCT
der,der,PRON
einst,einst,ADV
dem,der,DET
Wasser,Wasser,NOUN
Schranken,Schranke,NOUN
gesetzt,setzen,VERB
hatte,haben,AUX
und,und,CCONJ
sich,sich,PRON
jetzt,jetzt,ADV
über,über,ADP
das,der,DET
Niveau,Niveau,NOUN
der,der,DET
Straße,Straße,NOUN
einige,einiger,PRON
Fuß,Fuß,NOUN
erhob,erheben,VERB
.,--,PUNCT
Sie,sie,PRON
hatten,haben,AUX
es,es,PRON
sich,sich,PRON
auf,auf,ADP
dem,der,DET
fest,fest,ADV
ummauerten,ummauert,ADJ
Unterbau,Unterbau,NOUN
recht,recht,ADV
bequem,bequem,ADV
gemacht,machen,VERB
und,und,CCONJ
waren,sein,AUX
ansehnlich,ansehnlich,ADV
alt,alt,ADV
geworden,werden,AUX
.,--,PUNCT
Zur,zu,ADP
großen,groß,ADJ
Annehmlichkeit,Annehmlichkeit,NOUN
war,sein,AUX
der,der,DET
Damm,Damm,NOUN
breiter,breit,ADV
als,als,ADP
die,der,PRON
auf,auf,ADP
ihm,ihm,PRON
angesessenen,angesessen,ADJ
Gebäude,Gebäude,NOUN
",",--,PUNCT
so,so,ADV
daß,daß,SCONJ
die,der,DET
Leutchen,Leutche,NOUN
in,in,ADP
den,der,DET
erhöhten,erhöht,ADJ
Häusern,Haus,NOUN
über,über,ADP
den,der,DET
Häuptern,Häupter,NOUN
der,der,DET
Vorübergehenden,vorübergehende,NOUN
auf-,auf,X
und,und,CCONJ
niederwandeln,niederwandeln,VERB
und,und,CCONJ
vor,vor,ADP
den,der,DET
Türen,Tür,NOUN
sitzen,sitzen,VERB
konnten,können,AUX
.,--,PUNCT
Eine,ein,DET
schmale,schmal,ADJ
",",--,PUNCT
steinerne,steinern,ADJ
Treppe,Treppe,NOUN
führte,führen,VERB
von,von,ADP
da,da,ADV
aus,aus,ADP
erst,erst,ADV
zur,zu,ADP
eigentlichen,eigentlich,ADJ
Straße,Straße,NOUN
hinab,hinab,ADV
.,--,PUNCT
Der,der,DET
Volksmund,Volksmund,NOUN
hatte,haben,AUX
vor,vor,ADP
Jahrhunderten,Jahrhundert,NOUN
diese,dieser,DET
eigentümliche,eigentümlich,ADJ
Baulichkeit,Baulichkeit,NOUN
»,--,PUNCT
das,der,DET
Kannerückchen,Kannerückchen,NOUN
«,--,PUNCT
getauft,taufen,VERB
",",--,PUNCT
und,und,CCONJ
von,von,ADP
Kind,Kind,NOUN
auf,auf,ADP
Kindeskind,Kindeskind,NOUN
hatte,haben,AUX
sich,sich,PRON
die,der,DET
Benennung,Benennung,NOUN
fortgeerbt,fortgeerben,VERB
.,--,PUNCT
Der,der,DET
Platz,Platz,NOUN
",",--,PUNCT
an,an,ADP
dem,der,PRON
das,der,DET
Kannerückchen,Kannerückchen,NOUN
lag,liegen,VERB
",",--,PUNCT
war,sein,AUX
von,von,ADP
ärmlichen,ärmlich,ADJ
Wohnungen,Wohnung,NOUN
umgeben,umgeben,VERB
und,und,CCONJ
mit,mit,ADP
einer,ein,DET
Eichenpflanzung,Eichenpflanzung,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
im,in,ADP
besten,gut,ADJ
Gedeihen,gedeihen,NOUN
stand,stehen,VERB
",",--,PUNCT
bedacht,bedenken,VERB
worden,werden,AUX
.,--,PUNCT
Ein,ein,DET
einziger,einzig,ADJ
Baum,Baum,NOUN
hatte,haben,AUX
sich,sich,PRON
vor,vor,ADP
den,der,DET
anderen,anderer,PRON
kräftig,kräftig,ADV
entwickelt,entwickeln,VERB
und,und,CCONJ
machte,machen,VERB
durch,durch,ADP
sein,sein,DET
gesundes,gesund,ADJ
Verbreiten,verbreiten,NOUN
und,und,CCONJ
sein,sein,DET
schönes,schön,ADJ
Emporstreben,Emporstreben,NOUN
die,der,DET
Armseligkeit,Armseligkeit,NOUN
seiner,sein,DET
Genossen,Genosse,NOUN
noch,noch,ADV
augenscheinlicher,augenscheinlich,ADV
.,--,PUNCT
Seine,sein,DET
jungen,jung,ADJ
",",--,PUNCT
kräftigen,kräftig,ADJ
Triebe,Trieb,NOUN
glänzten,glänzten,VERB
noch,noch,ADV
purpurn,Purpurn,ADV
in,in,ADP
der,der,DET
Sonne,Sonne,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
Blätter,Blatt,NOUN
der,der,DET
übrigen,übrig,ADJ
schon,schon,ADV
fahl,fahl,ADV
und,und,CCONJ
lebensmüde,lebensmüde,ADV
an,an,ADP
den,der,DET
Zweigen,Zweig,NOUN
hingen,hingen,VERB
",",--,PUNCT
und,und,CCONJ
im,in,ADP
Winter,Winter,NOUN
stand,stehen,VERB
der,der,DET
Baum,Baum,NOUN
in,in,ADP
dichtes,dicht,ADJ
",",--,PUNCT
braunes,braun,ADJ
Laub,Laub,NOUN
eingemummt,eingemummen,VERB
",",--,PUNCT
und,und,CCONJ
mochte,mögen,VERB
der,der,DET
Sturm,Sturm,NOUN
noch,noch,ADV
so,so,ADV
hart,hart,ADV
um,um,ADP
die,der,DET
alten,alt,ADJ
Giebel,Giebel,NOUN
und,und,CCONJ
Wipfel,Wipfel,NOUN
toben,toben,VERB
",",--,PUNCT
der,der,DET
Baum,Baum,NOUN
überließ,überlassen,VERB
ihm,ihm,PRON
nicht,nicht,PART
ein,ein,DET
Blättchen,Blättchen,NOUN
",",--,PUNCT
hielt,halten,VERB
alle,alle,PRON
fest,fest,ADV
",",--,PUNCT
auch,auch,ADV
wenn,wenn,SCONJ
das,der,DET
tolle,toll,ADJ
Wetter,Wetter,NOUN
zwischen,zwischen,ADP
seinen,sein,DET
Zweigen,Zweig,NOUN
herumwirtschaftete,herumwirtschaften,VERB
",",--,PUNCT
daß,daß,SCONJ
sich,sich,PRON
ihm,ihm,PRON
der,der,DET
braune,braun,ADJ
Pelz,Pelz,NOUN
aufsträubte,aufsträuben,VERB
.,--,PUNCT
Um,um,SCONJ
die,der,DET
armen,arm,ADJ
Genossen,Genosse,NOUN
sah,sehen,VERB
es,es,PRON
auch,auch,ADV
da,da,ADV
übler,übler,ADV
aus,aus,ADP
;,--,PUNCT
die,der,PRON
reckten,recken,VERB
die,der,DET
dürftigen,dürftig,ADJ
Äste,Äste,NOUN
kahl,kahln,VERB
gen,gen,ADP
Himmel,Himmel,NOUN
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
dem,der,DET
Boden,Boden,NOUN
wirbelte,wirbeln,VERB
ihr,ihr,DET
Hab,Hab,NOUN
und,und,CCONJ
Gut,Gut,NOUN
im,in,ADP
Winde,Winde,NOUN
.,--,PUNCT
Auf,auf,ADP
diesem,dieser,DET
alten,alt,ADJ
Platze,Platz,NOUN
trieben,treiben,VERB
die,der,DET
Schuljungen,Schuljung,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
aus,aus,ADP
Gassen,Gasse,NOUN
und,und,CCONJ
Gäßchen,Gäßche,NOUN
hier,hier,ADV
zusammenfanden,zusammenfanden,VERB
",",--,PUNCT
ihr,ihr,DET
Wesen,Wesen,NOUN
",",--,PUNCT
und,und,CCONJ
an,an,ADP
feuchten,feucht,ADJ
",",--,PUNCT
geheimnisvollen,geheimnisvoll,ADJ
Herbstabenden,Herbstabende,NOUN
klang,klingen,VERB
dort,dort,ADV
ihr,ihr,DET
schrilles,schrill,ADJ
",",--,PUNCT
langgezogenes,langgezogen,ADJ
Schreien,schreien,NOUN
so,so,ADV
eigen,eigen,ADV
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
nur,nur,ADV
an,an,ADP
Herbstabenden,Herbstabende,NOUN
klingen,klingen,VERB
kann,können,AUX
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
Töne,Ton,NOUN
in,in,ADP
der,der,DET
bewegten,bewegt,ADJ
",",--,PUNCT
neblig,neblig,ADV
dämmerigen,dämmerig,ADJ
Luft,Luft,NOUN
verschwimmen,verschwimmen,VERB
und,und,CCONJ
",",--,PUNCT
wieder,wieder,ADV
auftauchend,auftauchend,ADV
",",--,PUNCT
von,von,ADP
neuen,neu,ADJ
",",--,PUNCT
helleren,heller,ADJ
überklungen,überklungen,VERB
werden,werden,AUX
.,--,PUNCT
An,an,ADP
solchen,solcher,DET
wunderlichen,wunderlich,ADJ
Abenden,Abende,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
aus,aus,ADP
den,der,DET
Fenstern,Fenster,NOUN
schon,schon,ADV
die,der,DET
