Token,Lemma,POS
Henriette,Henriette,PROPN
Paalzow,Paalzow,PROPN
Thomas,Thomas,PROPN
Thyrnau,Thyrnau,PROPN
Erster,erst,ADJ
Theil,Theil,NOUN
In,in,ADP
einem,ein,DET
Thurmgemache,Thurmgemache,NOUN
der,der,DET
alten,alt,ADJ
Hofburg,Hofburg,NOUN
zu,zu,ADP
Wien,Wien,PROPN
",",--,PUNCT
welches,welcher,PRON
in,in,ADP
großartiger,großartig,PROPN
aber,aber,ADV
einfacher,einfach,ADJ
Ausstattung,Ausstattung,NOUN
sich,sich,PRON
der,der,DET
Bewohnerin,Bewohnerin,NOUN
würdig,würdig,ADV
zeigte,zeigen,VERB
",",--,PUNCT
saß,sitzen,VERB
um,um,ADP
das,der,DET
Jahr,Jahr,NOUN
1755,1755,NUM
in,in,ADP
einer,ein,DET
Fensternische,Fensternische,NOUN
die,der,DET
Kaiserin,Kaiserin,NOUN
Maria,Maria,PROPN
Theresia,Theresia,PROPN
und,und,CCONJ
las,lesen,VERB
mit,mit,ADP
Aufmerksamkeit,Aufmerksamkeit,NOUN
in,in,ADP
einem,ein,DET
mäßig,mäßig,ADV
starken,stark,ADJ
Aktenstücke,Aktenstücke,NOUN
",",--,PUNCT
welches,welcher,PRON
von,von,ADP
dem,der,DET
vor,vor,ADP
ihr,ihr,PRON
stehenden,stehend,ADJ
Arbeitstische,Arbeitstische,NOUN
genommen,nehmen,VERB
schien,scheinen,VERB
",",--,PUNCT
auf,auf,ADP
welchem,welcher,PRON
in,in,ADP
großer,groß,ADJ
Ordnung,Ordnung,NOUN
Papiere,Papier,NOUN
",",--,PUNCT
Bücher,Buch,NOUN
",",--,PUNCT
Karten,Karte,NOUN
und,und,CCONJ
Pergamentrollen,Pergamentrolle,NOUN
lagen,liegen,VERB
",",--,PUNCT
die,der,PRON
das,der,DET
Arbeitszimmer,Arbeitszimmer,NOUN
der,der,DET
hohen,hoch,ADJ
Frau,Frau,NOUN
erkennen,erkennen,VERB
ließen,lassen,VERB
.,--,PUNCT
Sie,sie,PRON
war,sein,AUX
in,in,ADP
der,der,DET
vollen,voll,ADJ
Reife,Reife,NOUN
des,der,DET
mittleren,mittlerer,ADJ
Frauenalters,Frauenalter,NOUN
und,und,CCONJ
die,der,DET
Schönheit,Schönheit,NOUN
",",--,PUNCT
die,der,PRON
sie,sie,PRON
auszeichnete,auszeichnen,VERB
",",--,PUNCT
trug,tragen,VERB
den,der,DET
besonders,besonders,ADV
festen,fest,ADJ
und,und,CCONJ
kräftigen,kräftig,ADJ
Ausdruck,Ausdruck,NOUN
eines,ein,DET
edlen,edlen,ADJ
",",--,PUNCT
gesicherten,sicherten,VERB
Selbstgefühls,Selbstgefühl,NOUN
",",--,PUNCT
welches,welcher,PRON
jedem,jeder,DET
Zuge,Zug,NOUN
eine,ein,DET
plastische,plastisch,ADJ
Ruhe,Ruhe,NOUN
und,und,CCONJ
eine,ein,PRON
Reinheit,Reinheit,NOUN
der,der,DET
Form,Form,NOUN
erhielt,erhalten,VERB
",",--,PUNCT
die,der,PRON
fast,fast,ADV
an,an,ADP
die,der,DET
Unvergänglichkeit,Unvergänglichkeit,NOUN
dieser,dieser,DET
Reize,Reiz,NOUN
glauben,glauben,VERB
ließ,lassen,VERB
.,--,PUNCT
Die,der,DET
Mode,Mode,NOUN
der,der,DET
damaligen,damalig,ADJ
Zeit,Zeit,NOUN
ließ,lassen,VERB
keines,keiner,PRON
der,der,DET
kleinen,klein,ADJ
anmuthigen,Anmuthig,NOUN
Mittel,Mittel,NOUN
zu,zu,ADP
",",--,PUNCT
womit,womit,SCONJ
die,der,DET
Mängel,Mangel,NOUN
der,der,DET
Form,Form,NOUN
hinter,hinter,ADP
Locken,Lock,NOUN
",",--,PUNCT
oder,oder,CCONJ
den,der,DET
Vortheilen,Vortheile,NOUN
verschiedenartiger,verschiedenartig,ADJ
Kopfbedeckungen,Kopfbedeckung,NOUN
sich,sich,PRON
zu,zu,PART
verbergen,verbergen,VERB
vermögen,vermögen,VERB
.,--,PUNCT
Die,der,DET
Kaiserin,Kaiserin,NOUN
",",--,PUNCT
wie,wie,ADP
alle,aller,DET
Damen,Dame,NOUN
jener,jener,DET
Zeit,Zeit,NOUN
",",--,PUNCT
gab,geben,VERB
ihr,ihr,DET
Gesicht,Gesicht,NOUN
von,von,ADP
allem,alle,PRON
Haar,Haar,NOUN
entblößt,entblößen,VERB
der,der,DET
Anschauung,Anschauung,NOUN
Preis,Preis,NOUN
",",--,PUNCT
