Token,Lemma,POS
Hermann,Hermann,PROPN
Heiberg,Heiberg,PROPN
Todsünden,Todsünden,NOUN
Vorwort,Vorwort,NOUN
Unter,unter,ADP
den,der,DET
großen,groß,ADJ
Verdiensten,Verdienst,NOUN
",",--,PUNCT
die,der,PRON
der,der,DET
Träger,Träger,NOUN
dieses,dieser,DET
vielgefeierten,vielgefeiert,ADJ
Namens,Name,NOUN
sich,sich,PRON
erworben,erwerben,VERB
",",--,PUNCT
steht,stehen,VERB
nicht,nicht,PART
in,in,ADP
letzter,letzter,ADJ
Linie,Linie,NOUN
das,der,PRON
:,--,PUNCT
in,in,ADP
jenen,jener,DET
drangvollen,drangvoll,ADJ
Zeiten,Zeit,NOUN
",",--,PUNCT
als,als,ADP
eine,ein,DET
kraftvolle,kraftvoll,ADJ
Gegenwartskunst,Gegenwartskunst,NOUN
mit,mit,ADP
einer,ein,DET
schwächlichen,schwächlich,ADJ
Nachklangskunst,Nachklangskunst,NOUN
zusammenprallte,zusammenpralln,VERB
",",--,PUNCT
der,der,DET
neuen,neu,ADJ
Dichtung,Dichtung,NOUN
in,in,ADP
den,der,DET
weiteren,weit,ADJ
Kreisen,Kreis,NOUN
des,der,DET
bis,bis,ADP
dahin,dahin,ADV
gleichgültig,gleichgültig,ADV
gebliebenen,geblieben,ADJ
Publikums,Publikum,NOUN
Bahn,Bahn,NOUN
gebrochen,brechen,VERB
zu,zu,PART
haben,haben,AUX
.,--,PUNCT
Es,es,PRON
geschah,geschehen,VERB
dies,dieser,PRON
durch,durch,ADP
seine,sein,DET
Bücher,Buch,NOUN
»,--,PUNCT
Plaudereien,Plaudere,NOUN
mit,mit,ADP
der,der,DET
Herzogin,Herzogin,NOUN
von,von,ADP
Seeland,Seeland,PROPN
«,--,PUNCT
und,und,CCONJ
»,--,PUNCT
Apotheker,Apotheker,NOUN
Heinrich,Heinrich,PROPN
.,--,PUNCT
«,--,PUNCT
Aber,aber,CCONJ
wie,wie,ADP
",",--,PUNCT
Heiberg,Heiberg,PROPN
ein,ein,DET
Bahnbrecher,Bahnbrecher,NOUN
?,--,PUNCT
Er,er,PRON
war,sein,AUX
allerdings,allerdings,ADV
sehr,sehr,ADV
viel,viel,ADV
weniger,weniger,ADV
ein,ein,DET
solcher,solcher,PRON
",",--,PUNCT
als,als,ADP
die,der,PRON
",",--,PUNCT
welche,welcher,PRON
das,der,DET
Wort,Wort,NOUN
Realismus,Realismus,NOUN
auf,auf,ADP
ihre,ihr,DET
Fahne,Fahne,NOUN
geschrieben,schreiben,VERB
hatten,haben,AUX
.,--,PUNCT
Er,er,PRON
–,--,PUNCT
so,so,ADV
wenig,wenig,PRON
wie,wie,ADP
Theodor,Theodor,PROPN
Fontane,Fontane,PROPN
–,--,PUNCT
brach,brechen,VERB
auch,auch,ADV
keineswegs,keineswegs,ADV
so,so,ADV
ganz,ganz,ADV
mit,mit,ADP
der,der,DET
Vergangenheit,Vergangenheit,NOUN
",",--,PUNCT
wie,wie,SCONJ
jene,jener,PRON
es,es,PRON
zu,zu,ADP
thun,thun,PROPN
meinten,meinen,VERB
;,--,PUNCT
er,er,PRON
–,--,PUNCT
so,so,ADV
wenig,wenig,PRON
wie,wie,ADP
Theodor,Theodor,PROPN
Fontane,Fontane,PROPN
–,--,PUNCT
stellte,stellen,VERB
keine,kein,DET
großartigen,großartig,NOUN
",",--,PUNCT
langatmigen,langatmigen,VERB
und,und,CCONJ
langweiligen,langweilig,ADJ
Programme,Programm,NOUN
auf,auf,ADP
;,--,PUNCT
er,er,PRON
–,--,PUNCT
so,so,ADV
wenig,wenig,PRON
wie,wie,ADP
Theodor,Theodor,PROPN
Fontane,Fontane,PROPN
–,--,PUNCT
spielte,spielen,VERB
sich,sich,PRON
als,als,ADP
Begründer,Begründer,NOUN
einer,ein,DET
ganz,ganz,ADV
neuen,neu,ADJ
",",--,PUNCT
noch,noch,ADV
nie,nie,ADV
dagewesenen,dagewesen,VERB
Poesie,Poesie,NOUN
auf,auf,ADP
.,--,PUNCT
Dafür,dafür,ADV
vollbrachten,vollbrachen,VERB
Theodor,Theodor,PROPN
Fontane,Fontane,PROPN
und,und,CCONJ
Hermann,Hermann,PROPN
Heiberg,Heiberg,PROPN
realistische,realistisch,ADJ
Thaten,Thate,NOUN
;,--,PUNCT
sie,sie,PRON
waren,sein,AUX
unter,unter,ADP
den,der,DET
ersten,erster,ADJ
in,in,ADP
Deutschland,Deutschland,PROPN
",",--,PUNCT
welche,welcher,PRON
die,der,DET
Wirklichkeitskunst,Wirklichkeitskunst,NOUN
begründeten,begründen,VERB
.,--,PUNCT
In,in,ADP
den,der,DET
siebziger,siebziger,ADJ
Jahren,Jahr,NOUN
erschien,erscheinen,VERB
ganz,ganz,ADV
im,in,ADP
Stillen,stille,NOUN
Fontanes,Fontan,PROPN
»,--,PUNCT
L'Adultera,L'Adultera,X
«,--,PUNCT
;,--,PUNCT
Heiberg,Heiberg,PROPN
schrieb,schreiben,VERB
81,81,NUM
seine,sein,DET
graziösen,Graziöse,NOUN
",",--,PUNCT
entzückenden,entzückend,VERB
Plaudereien,Plaudere,NOUN
und,und,CCONJ
zwar,zwar,ADV
nur,nur,ADV
",",--,PUNCT
»,--,PUNCT
um,um,SCONJ
seine,sein,DET
mißmutigen,mißmutig,ADJ
Gedanken,Gedanke,NOUN
zu,zu,PART
töten,töten,VERB
",",--,PUNCT
«,--,PUNCT
keineswegs,keineswegs,ADV
aber,aber,ADV
",",--,PUNCT
am,am,PART
allerwenigsten,allerwenigsten,PRON
",",--,PUNCT
um,um,SCONJ
Belegstücke,Belegstück,NOUN
zu,zu,PART
liefern,liefern,VERB
",",--,PUNCT
welche,welcher,PRON
die,der,DET
einzige,einzig,ADJ
Berechtigung,Berechtigung,NOUN
des,der,DET
neuen,neu,ADJ
Dogmas,Dogma,NOUN
darthun,darthun,ADV
sollten,sollen,AUX
.,--,PUNCT
Er,er,PRON
schrieb,schreiben,VERB
sie,sie,PRON
freilich,freilich,ADV
gerade,gerade,ADV
in,in,ADP
der,der,DET
Zeit,Zeit,NOUN
",",--,PUNCT
als,als,SCONJ
jener,jener,DET
heiße,heiß,ADJ
Kampf,Kampf,NOUN
