Token,Lemma,POS
Hermann,Hermann,PROPN
Kurz,kurz,PROPN
Gesammelte,Gesammelt,ADJ
kleinere,klein,ADJ
Erzählungen,Erzählung,NOUN
Dritter,dritter,ADJ
Teil,Teil,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Einleitung,Einleitung,NOUN
Das,der,DET
weiße,weiß,ADJ
Hemd,Hemd,NOUN
Die,der,DET
Zaubernacht,Zaubernacht,NOUN
Das,der,DET
Schattengericht,Schattengericht,NOUN
Die,der,DET
blasse,blaß,ADJ
Apollonia,Apollonia,NOUN
Wiederfinden,Wiederfinde,NOUN
Den,der,DET
Galgen,Galg,NOUN
!,--,PUNCT
sagt,sagen,VERB
der,der,DET
Eichele,Eichele,NOUN
Das,der,DET
Arkanum,Arkanum,NOUN
Sankt,Sankt,NOUN
Urbans,Urban,PROPN
Krug,Krug,NOUN
Der,der,DET
Feudalbauer,Feudalbauer,NOUN
Ein,ein,DET
Donnerwetter,Donnerwetter,NOUN
im,in,ADP
Hornung,Hornung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Einleitung,Einleitung,NOUN
.,--,PUNCT
Den,der,DET
vorliegenden,vorliegend,ADJ
Band,Band,NOUN
",",--,PUNCT
dessen,der,DET
einzelne,einzeln,ADJ
Novellen,Novellen,NOUN
",",--,PUNCT
wie,wie,ADP
schon,schon,ADV
ihre,ihr,DET
größere,groß,ADJ
Zahl,Zahl,NOUN
erwarten,erwarten,VERB
läßt,lassen,VERB
",",--,PUNCT
weniger,weniger,DET
Gemeinsames,gemeinsam,NOUN
haben,haben,VERB
als,als,ADP
die,der,PRON
des,der,DET
vorhergehenden,vorhergehend,ADJ
Bandes,Band,NOUN
",",--,PUNCT
eröffnen,eröffnen,VERB
drei,drei,NUM
Erzählungen,Erzählung,NOUN
aus,aus,ADP
älterer,ält,ADJ
deutscher,deutsch,ADJ
Vergangenheit,Vergangenheit,NOUN
.,--,PUNCT
»,--,PUNCT
Das,der,DET
weiße,weiß,ADJ
Hemd,Hemd,NOUN
«,--,PUNCT
führt,führen,VERB
