Token,Lemma,POS
Hermann,Hermann,PROPN
Kurz,kurz,PROPN
Gesammelte,Gesammelt,ADJ
kleinere,klein,ADJ
Erzählungen,Erzählung,NOUN
Vierter,Vierter,NOUN
Teil,Teil,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Einleitung,Einleitung,NOUN
.,--,PUNCT
Das,der,DET
Wirtshaus,Wirtshaus,NOUN
gegenüber,gegenüber,ADP
.,--,PUNCT
Die,der,DET
beiden,beide,DET
Tubus,Tubus,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Einleitung,Einleitung,NOUN
.,--,PUNCT
Dieser,dieser,DET
Band,Band,NOUN
enthält,enthalten,VERB
nur,nur,ADV
zwei,zwei,NUM
Erzählungen,Erzählung,NOUN
",",--,PUNCT
aber,aber,CCONJ
zwei,zwei,NUM
Meisterstücke,Meisterstücke,NOUN
",",--,PUNCT
unter,unter,ADP
den,der,PRON
kleinen,klein,ADJ
Sachen,Sache,NOUN
des,der,DET
Dichters,Dichter,NOUN
zweifellos,zweifellos,ADV
die,der,DET
vorzüglichsten,vorzüglichsen,VERB
.,--,PUNCT
Von,von,ADP
beiden,beide,PRON
läßt,lassen,VERB
sich,sich,PRON
rühmen,rühmen,VERB
",",--,PUNCT
was,wer,PRON
Heyse,Heyse,NOUN
von,von,ADP
der,der,DET
zweiten,zweiter,ADJ
gerühmt,rühmen,VERB
hat,haben,AUX
",",--,PUNCT
»,--,PUNCT
die,der,DET
glückliche,glücklich,ADJ
Steigerung,Steigerung,NOUN
des,der,DET
Charakteristischen,Charakteristischen,NOUN
",",--,PUNCT
die,der,PRON
es,es,PRON
um,um,ADP
eine,ein,DET
Haaresbreite,Haaresbreite,NOUN
über,über,ADP
die,der,DET
Wirklichkeit,Wirklichkeit,NOUN
erhebt,erheben,VERB
",",--,PUNCT
ohne,ohne,SCONJ
es,es,PRON
je,je,ADV
von,von,ADP
der,der,DET
typischen,typisch,ADJ
Wahrheit,Wahrheit,NOUN
zu,zu,PART
entfernen,entfernen,VERB
