Token,Lemma,POS
Hermann,Hermann,PROPN
Kurz,kurz,PROPN
Schillers,Schiller,PROPN
Heimatjahre,Heimatjahr,NOUN
[,[,NOUN
titel,Titel,NOUN
],],NOUN
Vorsatzblatt,Vorsatzblatt,ADV
[,[,PROPN
0003,0003,NUM
],],NOUN
–,--,PUNCT
Taceos,Taceo,PROPN
funesta,funesta,PROPN
Ducatus,Ducatus,PROPN
Vulnera,Vulnera,NOUN
Jos,Jos,PROPN
.,--,PUNCT
Gmelin,Gmelin,PROPN
.,--,PUNCT
Der,der,DET
Sonntag,Sonntag,NOUN
schien,scheinen,VERB
hell,hell,ADV
durch,durch,ADP
das,der,DET
einzige,einzig,ADJ
Fenster,Fenster,NOUN
des,der,DET
kleinen,klein,ADJ
Gaststübchens,Gaststübchen,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
der,der,DET
junge,jung,ADJ
Heinrich,Heinrich,PROPN
Koller,Koller,PROPN
noch,noch,ADV
in,in,ADP
tiefem,tief,ADJ
Schlafe,Schlafe,NOUN
lag,liegen,VERB
.,--,PUNCT
Er,er,PRON
mußte,müssen,AUX
etwas,etwas,PRON
Angenehmes,angenehme,PROPN
träumen,träumen,VERB
",",--,PUNCT
denn,denn,CCONJ
ein,ein,DET
leichtes,leicht,ADJ
Lächeln,lächeln,NOUN
belebte,beleben,VERB
seine,sein,DET
frischen,frisch,ADJ
Züge,Zug,NOUN
.,--,PUNCT
Endlich,endlich,ADV
aber,aber,ADV
störte,stören,VERB
ihn,ihn,PRON
das,der,DET
Sonnenlicht,Sonnenlicht,NOUN
",",--,PUNCT
das,der,PRON
ihm,ihm,PRON
gerade,gerade,ADV
ins,in,ADP
Antlitz,Antlitz,PROPN
fiel,fallen,VERB
.,--,PUNCT
Eben,eben,ADV
schlug,schlagen,VERB
die,der,DET
Glocke,Glocke,NOUN
auf,auf,ADP
dem,der,DET
nahen,nah,ADJ
Turm,Turm,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
Hähne,Hähne,NOUN
ließen,lassen,VERB
wetteifernd,wetteifernd,ADV
ihre,ihr,DET
ländlichen,ländlich,ADJ
Stimmen,Stimme,NOUN
ertönen,ertönen,VERB
.,--,PUNCT
»,--,PUNCT
Im,in,ADP
Haus,Haus,NOUN
ist,sein,AUX
noch,noch,ADV
alles,alle,PRON
still,still,ADV
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
Heinrich,Heinrich,PROPN
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
aus,aus,ADP
dem,der,DET
Bette,Bette,NOUN
sprang,springen,VERB
und,und,CCONJ
sich,sich,PRON
ankleidete,ankleiden,VERB
",",--,PUNCT
»,--,PUNCT
es,es,PRON
ist,sein,AUX
noch,noch,ADV
früh,früh,ADV
am,an,ADP
Tage,Tag,NOUN
",",--,PUNCT
und,und,CCONJ
doch,doch,ADV
schon,schon,ADV
so,so,ADV
hell,hell,ADV
zu,zu,ADP
dieser,dieser,DET
Jahreszeit,Jahreszeit,NOUN
.,--,PUNCT
Sei,Sei,AUX
mir,mir,PRON
gegrüßt,grüßen,VERB
",",--,PUNCT
o,o,X
Licht,Licht,NOUN
!,--,PUNCT
In,in,ADP
Tübingen,tübingen,PROPN
hast,haben,AUX
du,du,PRON
mich,mich,PRON
nie,nie,ADV
so,so,ADV
früh,früh,ADV
geweckt,wecken,VERB
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
doch,doch,ADV
etwas,etwas,DET
Herrliches,Herrliches,NOUN
ums,um,ADP
Landleben,Landlebe,NOUN
",",--,PUNCT
alles,alle,PRON
so,so,ADV
hell,hell,ADV
und,und,CCONJ
so,so,ADV
still,still,ADV
!,--,PUNCT
Jetzt,jetzt,ADV
kann,können,AUX
ich,ich,PRON
eben,eben,ADV
noch,noch,ADV
einen,ein,DET
Spaziergang,Spaziergang,NOUN
in,in,ADP
der,der,DET
schönen,schön,ADJ
Gegend,Gegend,NOUN
machen,machen,VERB
und,und,CCONJ
vielleicht,vielleicht,ADV
dem,der,DET
Liebchen,liebche,NOUN
ein,ein,ADV
Schneeglöcklein,Schneeglöcklein,NOUN
",",--,PUNCT
das,der,PRON
sich,sich,PRON
vorwitzig,vorwitzig,ADV
