Token,Lemma,POS
Der,der,DET
Schindelmacher,Schindelmacher,NOUN
Novelle,Novelle,NOUN
von,von,ADP
Herrmann,Herrmann,PROPN
Stehr,Stehr,PROPN
Berlin,Berlin,PROPN
S.,S.,NOUN
Fischer,Fischer,PROPN
",",--,PUNCT
Verlag,Verlag,NOUN
1899.,1899.,ADV
Buchumschlag,Buchumschlag,NOUN
[,[,PROPN
å,å,ADV
klingt,klingen,VERB
wie,wie,ADP
a,a,PROPN
mit,mit,ADP
einer,ein,DET
leichten,leicht,ADJ
Verdunklung,Verdunklung,NOUN
durch,durch,ADP
o.,o.,ADP
],],NOUN
I.,I.,NOUN
Die,der,DET
hölzerne,hölzern,ADJ
Wasserrinne,Wasserrinne,NOUN
stand,stehen,VERB
so,so,ADV
weit,weit,ADV
von,von,ADP
dem,der,DET
Schindeldache,Schindeldach,NOUN
der,der,DET
Scheuer,Scheuer,NOUN
ab,ab,ADP
",",--,PUNCT
daß,daß,SCONJ
von,von,ADP
der,der,DET
untergehenden,untergehend,ADJ
Frühjahrssonne,Frühjahrssonne,NOUN
nur,nur,ADV
ein,ein,DET
schmaler,schmal,ADJ
",",--,PUNCT
roter,rot,ADJ
Lichtstreifen,lichtstreifen,NOUN
auf,auf,ADP
die,der,DET
Tenne,Tenn,NOUN
geworfen,werfen,VERB
wurde,werden,AUX
.,--,PUNCT
Er,er,PRON
kam,kommen,VERB
etwa,etwa,ADV
in,in,ADP
der,der,DET
Mitte,Mitte,NOUN
des,der,DET
Raumes,Raum,NOUN
zu,zu,ADP
Boden,Boden,NOUN
und,und,CCONJ
verlor,verlieren,VERB
sich,sich,PRON
einen,ein,DET
Augenblick,Augenblick,NOUN
in,in,ADP
den,der,DET
krausen,Krause,ADJ
",",--,PUNCT
weißen,weiß,ADJ
Holzspähnen,Holzspähn,NOUN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
das,der,PRON
Schnittmesser,Schnittmesser,NOUN
des,der,DET
alten,alt,ADJ
Franz,Franz,PROPN
Tone,Tone,PROPN
quietschend,quietschend,ADV
hinwarf,hinwarf,VERB
.,--,PUNCT
Dann,dann,ADV
arbeitete,arbeiten,VERB
sich,sich,PRON
das,der,PRON
rote,rot,ADJ
Licht,Licht,NOUN
aus,aus,ADP
dem,der,DET
Wirrwarr,Wirrwarr,NOUN
heraus,heraus,ADV
",",--,PUNCT
holperte,holperen,VERB
zitternd,zitternd,ADV
über,über,ADP
die,der,DET
Spähne,Spähne,NOUN
und,und,CCONJ
kroch,kroch,ADV
wie,wie,SCONJ
erschöpft,erschöpfen,VERB
an,an,ADP
der,der,DET
Tennwand,Tennwand,NOUN
hinauf,hinauf,ADV
",",--,PUNCT
dem,der,DET
Bauer,Bauer,NOUN
",",--,PUNCT
der,der,PRON
breit,breit,ADV
und,und,CCONJ
träge,träge,ADV
dort,dort,ADV
lehnte,lehnen,VERB
",",--,PUNCT
über,über,ADP
die,der,DET
Lederhosen,Lederhose,NOUN
.,--,PUNCT
Das,der,PRON
mochte,mögen,VERB
dem,der,DET
kraftlosen,kraftlos,ADJ
Abendlichte,Abendlichte,NOUN
am,an,ADP
schwersten,schwer,ADJ
fallen,fallen,VERB
",",--,PUNCT
denn,denn,CCONJ
die,der,DET
Hosen,Hose,NOUN
des,der,DET
Bauern,Bauer,NOUN
waren,sein,AUX
spiegelblank,Spiegelblank,PROPN
gearbeitet,arbeiten,VERB
und,und,CCONJ
es,es,PRON
fand,finden,VERB
keinen,kein,DET
Halt,Halt,NOUN
.,--,PUNCT
Die,der,DET
paar,paar,PRON
Falten,Falte,NOUN
querüber,querüber,ADV
nutzten,nutzen,VERB
ihm,ihm,PRON
auch,auch,ADV
nicht,nicht,PART
viel,viel,PRON
;,--,PUNCT
denn,denn,CCONJ
wenn,wenn,SCONJ
es,es,PRON
sich,sich,PRON
irgendwo,irgendwo,ADV
festgesetzt,festsetzen,VERB
hatte,haben,AUX
und,und,CCONJ
Atem,Atem,NOUN
schöpfte,schöpfen,VERB
",",--,PUNCT
noch,noch,ADV
ein,ein,DET
wenig,wenig,PRON
höher,hoch,ADV
zu,zu,PART
rücken,rücken,VERB
",",--,PUNCT
fuhr,fahren,VERB
der,der,DET
Bauer,Bauer,NOUN
mit,mit,ADP
dem,der,DET
Beine,Bein,NOUN
jedesmal,jedesmal,ADV
auf,auf,ADP
die,der,DET
Seite,Seite,NOUN
",",--,PUNCT
daß,daß,SCONJ
das,der,DET
arme,arm,ADJ
Licht,Licht,NOUN
wieder,wieder,ADV
auf,auf,ADP
die,der,DET
Tennwand,Tennwand,NOUN
zurückfiel,rückfiel,VERB
.,--,PUNCT
Aber,aber,CCONJ
was,was,PRON
sich,sich,PRON
so,so,ADV
ein,ein,DET
Lichtstrahl,Lichtstrahl,NOUN
vornimmt,vornehmen,VERB
",",--,PUNCT
das,der,PRON
macht,machen,VERB
er,er,PRON
",",--,PUNCT
ob,ob,SCONJ
es,es,PRON
einem,ein,DET
Bauern,Bauer,NOUN
recht,recht,ADV
ist,sein,AUX
oder,oder,CCONJ
nicht,nicht,PART
",",--,PUNCT
besonders,besonders,ADV
wenn,wenn,SCONJ
ihn,ihn,PRON
das,der,DET
Frühjahr,Frühjahr,NOUN
schickt,schicken,VERB
.,--,PUNCT
So,so,ADV
ließ,lassen,VERB
auch,auch,ADV
der,der,DET
Lichtstreifen,Lichtstreifen,NOUN
in,in,ADP
der,der,DET
Scheune,Scheune,NOUN
nicht,nicht,PART
nach,nach,ADP
",",--,PUNCT
dem,der,DET
Bauern,Bauer,NOUN
am,an,ADP
Beine,Bein,NOUN
hinaufzurücken,hinaufzurücken,VERB
",",--,PUNCT
geraden,gerade,ADJ
Weges,Weg,NOUN
auf,auf,ADP
den,der,DET
blanken,Blank,NOUN
Uniformknopf,Uniformknopf,NOUN
zu,zu,ADP
",",--,PUNCT
an,an,ADP
dem,der,PRON
die,der,DET
eine,ein,DET
Seite,Seite,NOUN
des,der,DET
gelbgegriffenen,gelbgegriffen,ADJ
Bauchlatzes,Bauchlatz,NOUN
hing,hing,VERB
.,--,PUNCT
Und,und,CCONJ
einmal,einmal,ADV
vergaß,vergaß,VERB
sich,sich,PRON
der,der,DET
Bauer,Bauer,NOUN
",",--,PUNCT
weil,weil,SCONJ
das,der,DET
Schnittmesser,Schnittmesser,NOUN
des,der,DET
Schindelmachers,Schindelmacher,NOUN
an,an,ADP
einen,ein,DET
großen,groß,ADJ
Ast,Ast,NOUN
gekommen,kommen,VERB
war,sein,AUX
.,--,PUNCT
Da,da,ADV
rückte,rücken,VERB
der,der,DET
Lichtstrahl,Lichtstrahl,NOUN
gar,gar,ADV
ungestört,ungestört,ADV
weiter,weiter,ADV
und,und,CCONJ
saß,sitzen,VERB
bald,bald,ADV
mitten,mitten,ADV
auf,auf,ADP
dem,der,DET
blanken,blank,ADJ
Knopfe,Knopf,NOUN
",",--,PUNCT
balancierte,balancieren,VERB
darauf,darauf,ADV
hin,hin,ADV
und,und,CCONJ
her,her,ADV
",",--,PUNCT
sah,sehen,VERB
sich,sich,PRON
eine,ein,DET
Weile,Weile,NOUN
lustig,lustig,ADV
um,um,ADP
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
in,in,ADP
dem,der,DET
dämmerigen,dämmerig,ADJ
Räume,Raum,NOUN
blitzte,blitzen,VERB
und,und,CCONJ
hüpfte,hüpfte,NOUN
dann,dann,ADV
eilig,eilig,ADV
mit,mit,ADP
einem,ein,DET
langen,lang,ADJ
Satze,Satze,NOUN
hinaus,hinaus,ADP
",",--,PUNCT
der,der,DET
Sonne,Sonne,NOUN
nach,nach,ADP
…,--,PUNCT
zitternd,zitternd,ADV
.,--,PUNCT
Ihn,ihn,PRON
fror,frieren,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Sonne,Sonne,NOUN
blies,blies,VERB
gerade,gerade,ADV
ihre,ihr,DET
letzte,letzter,ADJ
glühende,glühend,ADJ
Wolke,Wolke,NOUN
in,in,ADP
die,der,DET
schwarzen,schwarz,ADJ
Wipfel,Wipfel,NOUN
des,der,DET
nahen,nah,ADJ
