Token,Lemma,POS
Hermann,Hermann,PROPN
Sudermann,Sudermann,PROPN
Jolanthes,Jolanth,NOUN
Hochzeit,Hochzeit,NOUN
I,I,NUM
–,--,PUNCT
So,so,ADV
am,an,ADP
offenen,offen,ADJ
Grabe,Grab,NOUN
eines,ein,DET
alten,alt,ADJ
Kumpans,Kumpan,NOUN
zu,zu,PART
stehen,stehen,VERB
–,--,PUNCT
schändlich,schändlich,ADV
",",--,PUNCT
sag,sag,PROPN
',--,PUNCT
ich,ich,PRON
Ihnen,ihnen,PRON
",",--,PUNCT
meine,mein,DET
Herren,Herr,NOUN
",",--,PUNCT
einfach,einfach,ADV
ekelhaft,ekelhaft,ADV
.,--,PUNCT
–,--,PUNCT
Man,man,PRON
pflanzt,pflanzen,VERB
die,der,DET
Beine,Bein,NOUN
in,in,ADP
das,der,DET
aufgeschaufelte,aufgeschaufelt,ADJ
Erdreich,Erdreich,NOUN
und,und,CCONJ
wickelt,wickeln,VERB
den,der,DET
Schnurrbart,Schnurrbart,NOUN
und,und,CCONJ
macht,machen,VERB
ein,ein,DET
dummes,dumm,ADJ
Gesicht,Gesicht,NOUN
und,und,CCONJ
möchte,möchten,AUX
',--,PUNCT
sich,sich,PRON
dabei,dabei,ADV
die,der,DET
Seele,Seele,NOUN
aus,aus,ADP
dem,der,DET
Leibe,Leib,NOUN
heulen,heulen,VERB
.,--,PUNCT
–,--,PUNCT
Also,also,ADV
er,er,PRON
war,sein,AUX
hin,hin,ADV
–,--,PUNCT
da,da,ADV
war,sein,AUX
nichts,nichts,PRON
mehr,mehr,ADV
zu,zu,PART
wollen,wollen,AUX
.,--,PUNCT
–,--,PUNCT
Mit,mit,ADP
ihm,ihm,PRON
hat,haben,AUX
das,der,DET
größte,groß,ADJ
Genie,Genie,NOUN
im,in,ADP
Ersinnen,Ersinn,NOUN
und,und,CCONJ
Mischen,Mische,NOUN
von,von,ADP
Punschs,Punsch,NOUN
",",--,PUNCT
Grogs,Grog,NOUN
",",--,PUNCT
Koblers,Kobler,PROPN
Kobler,Kobler,NOUN
–,--,PUNCT
Cocktail,Cocktail,PROPN
aus,aus,ADP
Likör,Likör,NOUN
",",--,PUNCT
Weißwein,Weißwein,PROPN
",",--,PUNCT
Fruchtsaft,Fruchtsaft,NOUN
",",--,PUNCT
Früchten,Frücht,NOUN
und,und,CCONJ
Zucker,Zucker,NOUN
.,--,PUNCT
und,und,CCONJ
kalten,kalten,VERB
wie,wie,CCONJ
warmen,warm,ADJ
Bowlen,Bowl,NOUN
das,der,DET
Zeitliche,Zeitliche,NOUN
gesegnet,segnen,VERB
.,--,PUNCT
...,--,PUNCT
Ich,ich,PRON
sag,sag,VERB
',--,PUNCT
Ihnen,ihnen,PRON
",",--,PUNCT
meine,meinen,DET
Herren,Herr,NOUN
",",--,PUNCT
ging,gehen,VERB
man,man,PRON
mal,mal,ADV
mit,mit,ADP
ihm,ihm,PRON
über,über,ADP
Feld,Feld,NOUN
",",--,PUNCT
und,und,CCONJ
er,er,PRON
fing,fing,VERB
an,an,ADP
",",--,PUNCT
die,der,DET
Luft,Luft,NOUN
so,so,ADV
eigentümlich,eigentümlich,ADV
durch,durch,ADP
die,der,DET
Nase,Nase,NOUN
einzuziehen,einzuziehen,VERB
",",--,PUNCT
so,so,ADV
könnt,können,VERB
',--,PUNCT
man,man,PRON
sicher,sicher,ADV
sein,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
ihm,ihm,PRON
in,in,ADP
diesem,dieser,DET
Augenblick,Augenblick,NOUN
die,der,DET
Idee,Idee,NOUN
zu,zu,ADP
einer,ein,DET
neuen,neu,ADJ
