Token,Lemma,POS
Hugo,Hugo,PROPN
von,von,PROPN
Hofmannsthal,Hofmannsthal,PROPN
Das,der,DET
Dorf,Dorf,NOUN
im,in,ADP
Gebirge,Gebirge,NOUN
I,I,NUM
Im,in,ADP
Juni,Juni,NOUN
sind,sein,AUX
die,der,DET
Leute,Leute,NOUN
aus,aus,ADP
der,der,DET
Stadt,Stadt,NOUN
gekommen,kommen,VERB
und,und,CCONJ
wohnen,wohnen,VERB
in,in,ADP
allen,aller,DET
großen,groß,ADJ
Stuben,Stube,NOUN
.,--,PUNCT
Die,der,DET
Bauern,Bauer,NOUN
und,und,CCONJ
ihre,ihr,DET
Weiber,Weiber,NOUN
schlafen,schlafen,VERB
in,in,ADP
den,der,DET
Dachkammern,Dachkammer,NOUN
",",--,PUNCT
die,der,PRON
voll,voll,ADV
alten,alt,ADJ
Pferdegeschirrs,Pferdegeschirr,PROPN
hängen,hängen,VERB
",",--,PUNCT
voll,voll,ADV
verstaubten,verstaubt,ADJ
Schlittengeschirrs,Schlittengeschirr,NOUN
mit,mit,ADP
raschelnden,raschelnd,ADJ
gelben,gelb,ADJ
Glöckchen,Glöckchen,NOUN
daran,daran,ADV
",",--,PUNCT
alter,alt,ADJ
Winterjoppen,Winterjoppe,NOUN
",",--,PUNCT
alter,alt,ADJ
Steinschloßgewehre,Steinschloßgewehr,NOUN
und,und,CCONJ
unförmlicher,unförmlich,ADJ
rostblinder,rostblind,ADJ
Sägen,Säge,NOUN
.,--,PUNCT
Sie,sie,PRON
haben,haben,AUX
aus,aus,ADP
den,der,DET
unteren,unterer,ADJ
Stuben,Stube,NOUN
alle,aller,PRON
ihre,ihr,DET
Sachen,Sache,NOUN
weggetragen,weggetragen,VERB
und,und,CCONJ
alle,aller,DET
Truhen,Truhen,NOUN
für,für,ADP
die,der,DET
Stadtleute,Stadtleute,NOUN
freigemacht,freimachen,VERB
",",--,PUNCT
und,und,CCONJ
nichts,nichts,PRON
ist,sein,AUX
in,in,ADP
den,der,DET
Stuben,Stube,NOUN
zurückgeblieben,zurückbleiben,VERB
als,als,ADP
der,der,DET
Geruch,Geruch,NOUN
von,von,ADP
Keller,Keller,PROPN
mit,mit,ADP
großen,groß,ADJ
Rahmeimern,Rahmeimer,NOUN
und,und,CCONJ
altem,alt,ADJ
Holz,Holz,NOUN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
aus,aus,ADP
dem,der,DET
Innern,innere,NOUN
des,der,DET
Hauses,Haus,NOUN
durch,durch,ADP
die,der,DET
kleinen,klein,ADJ
Fenster,Fenster,NOUN
zieht,ziehen,VERB
und,und,CCONJ
in,in,ADP
unsichtbaren,unsichtbar,ADJ
Säulen,Säule,NOUN
säuerlich,säuerlich,ADV
und,und,CCONJ
kühl,kühl,ADV
über,über,ADP
den,der,DET
Köpfen,Kopf,NOUN
der,der,DET
blaßroten,blaßrot,ADJ
Malven,Malve,NOUN
bis,bis,ADP
gegen,gegen,ADP
die,der,DET
großen,groß,ADJ
Apfelbäume,Apfelbaum,NOUN
hin,hin,ADV
schwebt,schweben,VERB
.,--,PUNCT
Nur,nur,ADV
den,der,DET
Schmuck,Schmuck,NOUN
der,der,DET
Wände,Wand,NOUN
hat,haben,AUX
man,man,PRON
zurückgelassen,zurückgelassen,VERB
:,--,PUNCT
die,der,DET
Geweihe,Geweihe,NOUN
und,und,CCONJ
die,der,DET
vielen,vieler,DET
kleinen,klein,ADJ
Bilder,Bild,NOUN
der,der,DET
Jungfrau,Jungfrau,NOUN
Maria,Maria,PROPN
und,und,CCONJ
der,der,DET
Heiligen,heilige,NOUN
in,in,ADP
geschnitzten,geschnitzt,ADJ
und,und,CCONJ
papierenen,papieren,ADJ
Rahmen,Rahmen,NOUN
",",--,PUNCT
zwischen,zwischen,ADP
denen,der,PRON
Rosenkränze,Rosenkränze,NOUN
aus,aus,ADP
unechten,unecht,ADJ
Korallen,Koralle,NOUN
oder,oder,CCONJ
winzigen,winzig,ADJ
Holzkugeln,Holzkugel,NOUN
hängen,hängen,VERB
.,--,PUNCT
Die,der,DET
Frauen,Frau,NOUN
aus,aus,ADP
der,der,DET
Stadt,Stadt,NOUN
hängen,hängen,VERB
ihre,ihr,DET
großen,groß,ADJ
Gartenhüte,Gartenhüte,NOUN
und,und,CCONJ
ihre,ihr,DET
bunten,bunt,ADJ
Sonnenschirme,Sonnenschirm,NOUN
an,an,ADP
die,der,DET
Geweihe,Geweihe,NOUN
;,--,PUNCT
in,in,ADP
der,der,DET
Schlinge,Schlinge,NOUN
eines,ein,DET
Rosenkranzes,Rosenkranzes,NOUN
befestigen,befestigen,VERB
sie,sie,PRON
das,der,DET
Bild,Bild,NOUN
einer,ein,DET
Schauspielerin,Schauspielerin,NOUN
",",--,PUNCT
deren,der,DET
königliche,Königliche,NOUN
Schultern,Schulter,NOUN
und,und,CCONJ
hochgezogene,hochgezogen,ADJ
Augenbrauen,Augenbraue,NOUN
unvergleichlich,unvergleichlich,ADV
schön,schön,ADV
einen,ein,DET
großen,groß,ADJ
Schmerz,Schmerz,NOUN
ausdrücken,ausdrücken,VERB
;,--,PUNCT
die,der,DET
Bilder,Bild,NOUN
