Token,Lemma,POS
Hugo,Hugo,PROPN
von,von,PROPN
Hofmannsthal,Hofmannsthal,PROPN
Gerechtigkeit,Gerechtigkeit,NOUN
Ich,ich,PRON
saß,sitzen,VERB
mitten,mitten,ADV
im,in,ADP
Garten,Garten,NOUN
.,--,PUNCT
Vor,vor,ADP
mir,mir,PRON
lief,laufen,VERB
der,der,DET
Kiesweg,Kiesweg,NOUN
zwischen,zwischen,ADP
zwei,zwei,NUM
blaßgrünen,Blaßgrün,NOUN
Wiesen,Wiese,NOUN
aufwärts,aufwärts,ADV
",",--,PUNCT
bis,bis,SCONJ
wo,wo,ADV
der,der,DET
Hügel,Hügel,NOUN
abbrach,abbrechen,VERB
und,und,CCONJ
sich,sich,PRON
der,der,DET
dunkelgrün,dunkelgrün,ADV
gestrichene,gestrichen,ADJ
Lattenzaun,Lattenzaun,PROPN
scharf,scharf,ADV
in,in,ADP
den,der,DET
hellen,hell,ADJ
Frühlingshimmel,Frühlingshimmel,NOUN
hineinzeichnete,hineinzeichnen,VERB
.,--,PUNCT
Wo,wo,SCONJ
der,der,DET
Weg,Weg,NOUN
aufhörte,aufhörn,VERB
",",--,PUNCT
hatte,haben,AUX
der,der,DET
Zaun,Zaun,NOUN
eine,ein,DET
kleine,klein,ADJ
Tür,Tür,NOUN
.,--,PUNCT
in,in,ADP
der,der,DET
dünnen,dünn,ADJ
durchsichtigen,durchsichtig,ADJ
Luft,Luft,NOUN
schwebten,schwebt,ADJ
Bienen,Bien,NOUN
zwischen,zwischen,ADP
den,der,DET
rosenroten,rosenroten,NOUN
über,über,ADP
und,und,CCONJ
über,über,ADP
blühenden,blühend,ADJ
Pfirsichbäumen,Pfirsichbäume,NOUN
hin,hin,ADV
und,und,CCONJ
her,her,ADV
.,--,PUNCT
Da,da,ADV
knarrte,knarrn,VERB
oben,oben,ADV
das,der,DET
Lattentürchen,Lattentürchen,NOUN
und,und,CCONJ
zuerst,zuerst,ADV
sprang,springen,VERB
ein,ein,DET
Hund,Hund,NOUN
in,in,ADP
den,der,DET
Garten,Garten,NOUN
",",--,PUNCT
ein,ein,DET
großes,groß,ADJ
hochbeiniges,hochbeinig,ADJ
zierliches,zierlich,ADJ
Windspiel,Windspiel,NOUN
.,--,PUNCT
Hinter,hinter,ADP
dem,der,DET
Hund,Hund,NOUN
trat,treten,VERB
",",--,PUNCT
das,der,DET
Türchen,Türchen,NOUN
hinter,hinter,ADP
sich,sich,PRON
zudrückend,zudrückend,ADV
",",--,PUNCT
ein,ein,DET
Engel,Engel,NOUN
ein,ein,ADV
",",--,PUNCT
ein,ein,DET
junger,jung,ADJ
blonder,Blonder,NOUN
schlanker,schlank,ADV
Engel,Engel,PROPN
",",--,PUNCT
einer,ein,DET
von,von,ADP
den,der,DET
schlanken,schlank,ADJ
Pagen,Pagen,NOUN
Gottes,Gott,NOUN
.,--,PUNCT
Er,er,PRON
trug,tragen,VERB
Schnabelschuhe,Schnabelschuhe,NOUN
",",--,PUNCT
an,an,ADP
der,der,PRON
Seite,Seite,NOUN
hing,hing,VERB
ihm,ihm,PRON
ein,ein,DET
langer,lang,ADJ
Stoßdegen,Stoßdeg,NOUN
und,und,CCONJ
im,in,ADP
Gürtel,Gürtel,NOUN
ein,ein,DET
Dolch,Dolch,NOUN
.,--,PUNCT
Brust,Brust,NOUN
und,und,CCONJ
Schultern,Schulter,NOUN
deckte,decken,VERB
ein,ein,DET
feiner,fein,ADJ
stahlblauer,Stahlblauer,ADJ
Panzer,Panzer,NOUN
",",--,PUNCT
auf,auf,ADP
dem,der,PRON
spielte,spielen,VERB
die,der,DET
Sonne,Sonne,NOUN
",",--,PUNCT
und,und,CCONJ
weise,weise,ADJ
Blüten,Blüte,NOUN
fielen,fallen,VERB
auf,auf,ADP
sein,sein,DET
dichtes,dicht,ADJ
langes,lang,ADJ
goldblondes,goldblond,ADJ
Haar,Haar,NOUN
.,--,PUNCT
So,so,ADV
ging,gehen,VERB
er,er,PRON
den,der,DET
Kiesweg,Kiesweg,NOUN
herunter,herunter,ADV
",",--,PUNCT
die,der,DET
feine,fein,ADJ
schmächtige,schmächtig,ADJ
Gestalt,Gestalt,NOUN
im,in,ADP
enganschließenden,enganschließenden,NOUN
smaragdgrünen,smaragdgrün,ADJ
Wams,Wam,NOUN
",",--,PUNCT
die,der,DET
Ärmel,Ärmel,NOUN
von,von,ADP
der,der,DET
Schulter,Schulter,NOUN
bis,bis,ADP
zum,zu,ADP
Ellbogen,Ellbogen,NOUN
gepufft,puffen,VERB
",",--,PUNCT
von,von,ADP
da,da,ADV
an,an,ADP
eng,eng,ADV
bis,bis,CCONJ
über,über,ADP
die,der,DET
Knöchel,Knöchel,NOUN
der,der,DET
hübschen,hübsch,ADJ
Hände,Hand,NOUN
.,--,PUNCT
Er,er,PRON
ging,gehen,VERB
langsam,langsam,ADV
",",--,PUNCT
zierlich,zierlich,ADV
",",--,PUNCT
die,der,PRON
linke,linker,ADJ
Hand,Hand,NOUN
spielte,spielen,VERB
mit,mit,ADP
dem,der,DET
Griff,Griff,NOUN
des,der,DET
Dolches,Dolch,NOUN
;,--,PUNCT
der,der,DET
Hund,Hund,NOUN
