Token,Lemma,POS
Ilse,Ilse,PROPN
Frapan,Frapan,PROPN
Die,der,DET
weiße,weiß,ADJ
Flamme,Flamm,NOUN
.,--,PUNCT
Und,und,CCONJ
so,so,ADV
hatte,haben,AUX
er,er,PRON
denn,denn,ADV
mitten,mitten,ADV
im,in,ADP
Semester,Semester,NOUN
den,der,DET
Wirthsleuten,Wirthsleut,NOUN
das,der,DET
Zimmer,Zimmer,NOUN
kündigen,kündigen,VERB
und,und,CCONJ
umziehen,umziehen,VERB
müssen,müssen,AUX
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ihm,ihm,PRON
zwar,zwar,ADV
fast,fast,ADV
aus,aus,ADP
Herz,Herz,NOUN
gewachsen,wachsen,VERB
",",--,PUNCT
das,der,DET
Stübchen,Stübchen,NOUN
mit,mit,ADP
dem,der,DET
weiten,weit,ADJ
Blick,Blick,NOUN
über,über,ADP
die,der,DET
Stadt,Stadt,NOUN
hinweg,hinweg,ADV
",",--,PUNCT
nach,nach,ADP
dem,der,DET
schönen,schön,ADJ
",",--,PUNCT
farbenwechselnden,farbenwechselnd,VERB
Ütliberg,Ütliberg,PROPN
drüben,drüben,VERB
",",--,PUNCT
aber,aber,CCONJ
im,in,ADP
Sommer,Sommer,NOUN
galt,gelten,VERB
es,es,PRON
ja,ja,ADV
ohnehin,ohnehin,ADV
die,der,DET
Läden,Laden,NOUN
zu,zu,PART
verschließen,verschließen,VERB
",",--,PUNCT
weil,weil,SCONJ
ihm,ihm,PRON
den,der,DET
ganzen,ganz,ADJ
Tag,Tag,NOUN
die,der,DET
Sonne,Sonne,NOUN
auf,auf,ADP
das,der,DET
einzige,einzig,ADJ
Fenster,Fenster,NOUN
brannte,brennen,VERB
.,--,PUNCT
Und,und,CCONJ
dazu,dazu,ADV
der,der,DET
ewige,ewig,ADJ
Streit,Streit,NOUN
zwischen,zwischen,ADP
den,der,DET
Eheleuten,Eheleute,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
mit,mit,ADP
jedem,jeder,DET
Monat,Monat,NOUN
schlechter,schlecht,ADV
vertrugen,vertruger,VERB
—,--,PUNCT
er,er,PRON
war,sein,AUX
froh,froh,ADV
",",--,PUNCT
als,als,SCONJ
er,er,PRON
seinen,sein,DET
Trieb,Trieb,NOUN
",",--,PUNCT
alles,alle,PRON
beim,bei,ADP
alten,alt,ADJ
zu,zu,PART
lassen,lassen,VERB
",",--,PUNCT
damit,damit,SCONJ
es,es,PRON
ginge,gehen,VERB
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
Gott,Gott,NOUN
gefiele,gefielen,VERB
",",--,PUNCT
endlich,endlich,ADV
überwunden,überwinden,VERB
und,und,CCONJ
die,der,DET
Änderung,Änderung,NOUN
getroffen,treffen,VERB
hatte,haben,AUX
.,--,PUNCT
Das,der,PRON
war,sein,AUX
nun,nun,ADV
freilich,freilich,ADV
ein,ein,DET
anderes,anderer,ADJ
Haus,Haus,NOUN
",",--,PUNCT
in,in,ADP
das,der,PRON
ihn,ihn,PRON
der,der,DET
Zufall,Zufall,NOUN
geführt,führen,VERB
.,--,PUNCT
Ein,ein,DET
altes,alt,ADJ
vornehmes,vornehm,ADJ
",",--,PUNCT
weitläufig,weitläufig,ADV
gebautes,gebaut,ADJ
Haus,Haus,NOUN
mit,mit,ADP
großen,groß,ADJ
getäfelten,getäfelt,ADJ
Stuben,Stube,NOUN
und,und,CCONJ
niedrigen,niedrig,ADJ
Balkendecken,Balkendecken,NOUN
",",--,PUNCT
mit,mit,ADP
steingepflastertem,steingepflastert,ADJ
hallendem,hallend,ADJ
Hausflur,Hausflur,PROPN
",",--,PUNCT
kühl,kühl,ADV
und,und,CCONJ
sonnenlos,sonnenlos,ADV
",",--,PUNCT
mit,mit,ADP
verräucherten,verräuchert,ADJ
Ölgemälden,Ölgemälde,NOUN
an,an,ADP
den,der,DET
Treppenaufgängen,Treppenaufgänge,NOUN
",",--,PUNCT
eingemauerten,eingemauerten,VERB
Wappenschildern,Wappenschilder,NOUN
und,und,CCONJ
glänzenden,glänzend,ADJ
Messingschlössern,Messingschlösser,NOUN
an,an,ADP
den,der,DET
Thüren,Thür,NOUN
.,--,PUNCT
Nicht,nicht,PART
ein,ein,DET
einziger,einzig,ADJ
Student,Student,NOUN
wohnte,wohnen,VERB
darin,darin,ADV
",",--,PUNCT
sondern,sondern,CCONJ
lauter,lauter,DET
solide,solide,ADV
",",--,PUNCT
wohlhäbige,wohlhäbig,ADJ
Vollbürger,Vollbürger,NOUN
",",--,PUNCT
die,der,DET
ihren,ihr,DET
guten,gut,ADJ
Wein,Wein,NOUN
im,in,ADP
Keller,Keller,NOUN
hatten,haben,VERB
und,und,CCONJ
um,um,ADP
zehn,zehn,NUM
Uhr,Uhr,NOUN
zu,zu,ADP
Bette,Bett,NOUN
gingen,gehen,VERB
;,--,PUNCT
Männer,Mann,NOUN
mir,mir,PRON
ehrfurchterweckenden,ehrfurchterweckend,ADJ
Uhrketten,Uhrkett,NOUN
auf,auf,ADP
Sammtwesten,Sammtwest,NOUN
und,und,CCONJ
Kotelettbärten,Kotelettbärt,NOUN
",",--,PUNCT
Leute,Leute,NOUN
",",--,PUNCT
die,der,DET
wenig,wenig,DET
Mägde,Mägde,NOUN
hielten,halten,VERB
",",--,PUNCT
weil,weil,SCONJ
ihre,ihr,DET
Frauen,Frau,NOUN
sonst,sonst,ADV
nichts,nichts,PRON
zu,zu,PART
thun,Thun,PROPN
gewußt,wissen,VERB
hätten,haben,AUX
—,--,PUNCT
ein,ein,DET
stilles,still,ADJ
",",--,PUNCT
reserviert,reservieren,VERB
blickendes,blickender,ADJ
Haus,Haus,NOUN
",",--,PUNCT
das,der,PRON
sich,sich,PRON
etwas,etwas,PRON
darauf,darauf,ADV
zu,zu,PART
gute,gut,ADJ
that,that,VERB
",",--,PUNCT
nicht,nicht,PART
modern,modern,ADV
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
weil,weil,SCONJ
modern,modern,ADV
ihm,ihm,PRON
soviel,soviel,PRON
wie,wie,ADP
leichtfertig,leichtfertig,ADV
und,und,CCONJ
armschluckerhaft,Armschluckerhaft,ADV
bedeutete,bedeuten,VERB
.,--,PUNCT
Und,und,CCONJ
in,in,ADP
diese,dieser,DET
Umgebung,Umgebung,NOUN
er,er,PRON
hinein,hinein,ADV
mit,mit,ADP
seinen,sein,DET
zweiundzwanzig,zweiundzwanzig,NUM
Jahren,Jahr,NOUN
",",--,PUNCT
seinem,sein,DET
Widerwillen,Widerwille,NOUN
gegen,gegen,ADP
das,der,DET
Hergebrachte,Hergebrachte,NOUN
",",--,PUNCT
das,der,PRON
ehrwürdig,ehrwürdig,ADV
genannt,nennen,VERB
sein,sein,AUX
wollte,wollen,AUX
",",--,PUNCT
nur,nur,ADV
weil,weil,SCONJ
es,es,PRON
alt,alt,ADV
war,sein,AUX
—,--,PUNCT
mit,mit,ADP
seinem,sein,DET
Spürsinn,Spürsinn,NOUN
für,für,ADP
faule,faul,ADJ
Flecke,Flecke,NOUN
und,und,CCONJ
unklare,unklar,ADJ
Verhältnisse,Verhältnis,NOUN
",",--,PUNCT
mit,mit,ADP
seiner,sein,DET
Anbetung,Anbetung,NOUN
der,der,DET
socialistischen,socialistisch,ADJ
Idee,Idee,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
idealisierte,idealisieren,VERB
",",--,PUNCT
zum,zu,ADP
Evangelium,Evangelium,NOUN
der,der,DET
Zukunft,Zukunft,NOUN
machte,machen,VERB
",",--,PUNCT
mit,mit,ADP
seinem,sein,DET
jungen,jung,ADJ
Weltverbesserermuth,Weltverbesserermuth,NOUN
und,und,CCONJ
seinem,sein,DET
täglichen,täglich,NOUN
",",--,PUNCT
stündlichen,stündlich,ADJ
Verzweifeln,Verzweifel,NOUN
an,an,ADP
sich,sich,PRON
selbst,selbst,ADV
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ihm,ihm,PRON
auch,auch,ADV
selber,selber,ADV
jedesmal,jedesmal,ADV
ein,ein,DET
wunderliches,wunderlicher,ADJ
Gefühl,Gefühl,NOUN
",",--,PUNCT
die,der,PRON
glatt,glatt,ADV
und,und,CCONJ
glänzend,glänzend,ADV
braun,braun,ADV
gewichsten,gewichst,ADJ
Treppen,Treppe,NOUN
hinan,hinan,ADV
zu,zu,ADP
stürmen,stürmen,VERB
",",--,PUNCT
und,und,CCONJ
in,in,ADP
den,der,DET
ersten,erster,ADJ
Tagen,Tag,NOUN
war,sein,AUX
es,es,PRON
ihm,ihm,PRON
sogar,sogar,ADV
passiert,passieren,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
den,der,DET
Schritt,Schritt,NOUN
unwillkürlich,unwillkürlich,ADV
dämpfte,dämpfen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
weiter,weiter,ADV
oben,oben,ADV
oder,oder,CCONJ
unten,unten,ADV
eine,ein,DET
Thür,Thür,NOUN
geöffnet,öffnen,VERB
wurde,werden,AUX
;,--,PUNCT
nicht,nicht,PART
etwa,etwa,ADV
aus,aus,ADP
Befangenheit,Befangenheit,NOUN
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
entschuldigend,entschuldigend,ADV
zu,zu,ADP
sich,sich,PRON
selber,selber,ADV
sagte,sagen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
aus,aus,ADP
einem,ein,DET
stark,stark,ADV
entwickeltem,entwickelt,ADJ
Gefühl,Gefühl,NOUN
für,für,ADP
das,der,DET
Stylvolle,Stylvolle,NOUN
.,--,PUNCT
Es,es,PRON
wäre,sein,AUX
nicht,nicht,PART
im,in,ADP
Character,Character,NOUN
des,der,DET
Hauses,Haus,NOUN
gewesen,sein,AUX
