Token,Lemma,POS
Isabella,Isabella,PROPN
Braun,Braun,PROPN
Gesammelte,Gesammelte,ADJ
Erzählungen,Erzählung,NOUN
Zweiter,zweiter,ADJ
Band,Band,NOUN
Guten,gut,ADJ
Abend,Abend,NOUN
!,--,PUNCT
Vier,vier,NUM
Erzählungen,Erzählung,NOUN
für,für,ADP
die,der,DET
Jugend,Jugend,NOUN
Die,der,DET
blinde,blind,ADJ
Großmutter,Großmutter,NOUN
sieht's,sieht'sn,VERB
ja,ja,ADV
nicht,nicht,PART
!,--,PUNCT
I.,I.,NOUN
Was,was,PRON
Valentin,Valentin,NOUN
der,der,DET
Großmutter,Großmutter,NOUN
versprechen,versprechen,VERB
mußte,müssen,AUX
Wie,wie,ADV
ruhig,ruhig,ADV
und,und,CCONJ
klar,klar,ADV
der,der,DET
Starnberger,Starnberger,ADJ
See,See,NOUN
daliegt,daliegen,VERB
!,--,PUNCT
Alles,alle,PRON
",",--,PUNCT
was,wer,PRON
er,er,PRON
widerspiegelt,widerspiegeln,VERB
",",--,PUNCT
gewährt,gewähren,VERB
ein,ein,DET
freundliches,freundlich,ADJ
Bild,Bild,NOUN
:,--,PUNCT
die,der,DET
herrlichen,herrlich,ADJ
Bäume,Baum,NOUN
",",--,PUNCT
die,der,DET
zierlichen,zierlich,ADJ
Villen,Villa,NOUN
",",--,PUNCT
die,der,PRON
Boote,Boot,NOUN
",",--,PUNCT
Segelschiffe,Segelschiff,X
",",--,PUNCT
Badehäuschen,Badehäusche,NOUN
und,und,CCONJ
die,der,DET
Roseninsel,Roseninsel,PROPN
",",--,PUNCT
von,von,ADP
der,der,PRON
zu,zu,ADP
beiden,beide,DET
Seiten,Seite,NOUN
ein,ein,DET
smaragdgrüner,smaragdgrün,ADJ
Streifen,Streifen,NOUN
sich,sich,PRON
ins,in,ADP
Gewässer,Gewässer,NOUN
hineinzieht,hineinziehen,VERB
.,--,PUNCT
Doch,doch,CCONJ
so,so,ADV
ist's,ist's,VERB
eben,eben,ADV
heute,heute,ADV
beim,bei,ADP
Sonnenschein,Sonnenschein,NOUN
",",--,PUNCT
der,der,PRON
in,in,ADP
Millionen,Million,NOUN
Fünkchen,Fünkchen,NOUN
auf,auf,ADP
dem,der,DET
See,See,NOUN
tanzt,tanzen,VERB
und,und,CCONJ
den,der,DET
Schnee,Schnee,NOUN
der,der,DET
Bergeshäupter,Bergeshäupter,NOUN
wie,wie,ADP
Silber,Silber,NOUN
glänzen,glänzen,VERB
läßt,lassen,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
aber,aber,ADV
die,der,DET
schwarzen,schwarz,ADJ
Wolken,Wolke,NOUN
am,an,ADP
Himmel,Himmel,NOUN
jagen,jagen,VERB
",",--,PUNCT
der,der,DET
Sturmwind,Sturmwind,NOUN
heult,heulen,VERB
und,und,CCONJ
der,der,DET
Donner,Donner,NOUN
kracht,krachen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
Blitze,Blitz,NOUN
herabfahren,herabfahren,VERB
",",--,PUNCT
als,als,SCONJ
ob,ob,SCONJ
sie,sie,PRON
alles,alle,PRON
in,in,ADP
den,der,DET
Grund,Grund,NOUN
bohren,bohren,VERB
wollten,wollen,AUX
:,--,PUNCT
dann,dann,ADV
gerät,geraten,VERB
auch,auch,ADV
der,der,DET
See,See,NOUN
in,in,ADP
wilden,wild,ADJ
Aufruhr,Aufruhr,NOUN
",",--,PUNCT
die,der,DET
Wogen,Woge,NOUN
bäumen,bäumen,VERB
sich,sich,PRON
und,und,CCONJ
werfen,werfen,VERB
die,der,DET
Boote,Boot,NOUN
gleich,gleich,ADV
einem,ein,DET
Spielballe,Spielballe,NOUN
umher,umher,ADV
.,--,PUNCT
Jetzt,jetzt,ADV
beginnt,beginnen,VERB
ein,ein,DET
gewaltiger,gewaltig,ADJ
Kampf,Kampf,NOUN
zwischen,zwischen,ADP
der,der,DET
Natur-,Natur,X
und,und,CCONJ
Menschenkraft,Menschenkraft,NOUN
.,--,PUNCT
Braune,Braune,PROPN
",",--,PUNCT
sehnige,sehnig,ADJ
Arme,Arm,NOUN
schwingen,schwingen,VERB
das,der,PRON
Ruder,Rud,NOUN
und,und,CCONJ
bahnen,Bahn,VERB
sich,sich,PRON
den,der,DET
Weg,Weg,NOUN
.,--,PUNCT
Aber,aber,CCONJ
bisweilen,bisweilen,ADV
gelingt's,gelingt's,ADV
nicht,nicht,PART
.,--,PUNCT
Der,der,DET
See,See,NOUN
ist,sein,AUX
