Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Der,der,DET
Besenbinder,Besenbind,NOUN
von,von,ADP
Rychiswyl,Rychiswyl,PROPN
Erzählung,Erzählung,NOUN
(,--,PUNCT
1852,1852,NUM
),--,PUNCT
Glücklich,glücklich,ADV
möchten,möchten,AUX
alle,aller,DET
Menschen,Mensch,NOUN
werden,werden,AUX
.,--,PUNCT
Wenn,wenn,SCONJ
sie,sie,PRON
reich,reich,ADV
wären,sein,AUX
",",--,PUNCT
würden,werden,AUX
sie,sie,PRON
auch,auch,ADV
glücklich,glücklich,ADV
sein,sein,AUX
",",--,PUNCT
meinen,meinen,VERB
die,der,DET
meisten,meister,PRON
",",--,PUNCT
meinen,meinen,VERB
",",--,PUNCT
Glück,Glück,NOUN
und,und,CCONJ
Geld,Geld,NOUN
verhielten,verhielen,VERB
sich,sich,PRON
zusammen,zusammen,ADV
wie,wie,ADP
die,der,DET
Kartoffel,Kartoffel,NOUN
zur,zu,ADP
Kartoffelstaude,Kartoffelstaude,NOUN
",",--,PUNCT
die,der,DET
Wurzel,Wurzel,NOUN
zur,zu,ADP
Pflanze,Pflanze,NOUN
.,--,PUNCT
Wie,wie,ADV
irren,irren,VERB
sie,sie,PRON
sich,sich,PRON
doch,doch,ADV
gröblich,gröblich,ADV
",",--,PUNCT
wie,wie,ADV
wenig,wenig,PRON
verstehen,verstehen,VERB
sie,sie,PRON
sich,sich,PRON
auf,auf,ADP
das,der,DET
Wesen,Wesen,NOUN
der,der,DET
Menschen,Mensch,NOUN
und,und,CCONJ
haben,haben,AUX
es,es,PRON
doch,doch,ADV
täglich,täglich,ADV
vor,vor,ADP
Augen,Auge,NOUN
!,--,PUNCT
Die,der,DET
Heilige,heilig,ADJ
Schrift,Schrift,NOUN
sagt,sagen,VERB
",",--,PUNCT
denen,der,PRON
",",--,PUNCT
die,der,PRON
Gott,Gott,NOUN
lieben,lieben,VERB
",",--,PUNCT
täten,tun,VERB
alle,aller,DET
Dinge,Ding,NOUN
zum,zu,ADP
Besten,beste,NOUN
dienen,dienen,VERB
",",--,PUNCT
und,und,CCONJ
so,so,ADV
ist,sein,AUX
es,es,PRON
auch,auch,ADV
.,--,PUNCT
Geld,Geld,NOUN
ist,sein,AUX
und,und,CCONJ
bleibt,bleiben,VERB
Geld,Geld,NOUN
",",--,PUNCT
aber,aber,CCONJ
die,der,DET
Herzen,Herz,NOUN
",",--,PUNCT
mit,mit,ADP
denen,der,PRON
es,es,PRON
zusammenkommt,zusammenkommen,VERB
",",--,PUNCT
sind,sein,AUX
so,so,ADV
gar,gar,ADV
verschieden,verschieden,ADV
;,--,PUNCT
daher,daher,ADV
erwächst,erwächst,VERB
aus,aus,ADP
den,der,DET
verschiedenen,verschieden,ADJ
Ehen,Ehe,NOUN
von,von,ADP
Herz,Herz,NOUN
und,und,CCONJ
Geld,Geld,NOUN
ein,ein,DET
so,so,ADV
verschiedenes,verschieden,ADJ
Leben,Leben,NOUN
",",--,PUNCT
und,und,CCONJ
je,je,ADV
nach,nach,ADP
diesem,dieser,DET
Leben,Leben,NOUN
bringt,bringen,VERB
das,der,DET
Geld,Geld,NOUN
Glück,Glück,NOUN
oder,oder,CCONJ
Unglück,Unglück,NOUN
.,--,PUNCT
Aufs,auf,ADP
Herz,Herz,NOUN
kommt,kommen,VERB
es,es,PRON
an,an,ADP
",",--,PUNCT
ob,ob,SCONJ
man,man,PRON
durch,durch,ADP
Geld,Geld,NOUN
glücklich,glücklich,ADV
oder,oder,CCONJ
unglücklich,unglücklich,ADV
werde,werden,AUX
.,--,PUNCT
Klar,klar,ADV
hat,haben,AUX
Gott,Gott,NOUN
eigentlich,eigentlich,ADV
dies,dieser,PRON
an,an,ADP
die,der,DET
Sonne,Sonne,NOUN
gelegt,legen,VERB
",",--,PUNCT
aber,aber,CCONJ
leider,leider,ADV
sehen,sehen,VERB
die,der,DET
Menschen,Mensch,NOUN
gar,gar,ADV
selten,selten,ADV
klar,klar,ADV
die,der,DET
klarsten,klarst,NOUN
Dinge,Ding,NOUN
",",--,PUNCT
machen,machen,VERB
sie,sie,PRON
vielmehr,vielmehr,ADV
dunkel,dunkel,ADV
mit,mit,ADP
ihrer,ihr,DET
selbstgemachten,selbstgemacht,ADJ
Weisheit,Weisheit,NOUN
.,--,PUNCT
Am,an,ADP
Besenbinder,Besenbind,NOUN
von,von,ADP
Rychiswyl,Rychiswyl,NOUN
greifen,greifen,VERB
wir,wir,PRON
aus,aus,ADP
den,der,DET
hundert,hundert,NUM
Exempeln,Exempel,NOUN
",",--,PUNCT
an,an,ADP
welchen,welcher,PRON
wir,wir,PRON
die,der,DET
obige,obig,ADJ
Wahrheit,Wahrheit,NOUN
angeschaut,anschauen,VERB
",",--,PUNCT
eins,einer,NUM
heraus,heraus,ADV
",",--,PUNCT
welches,welcher,PRON
ein,ein,DET
Herz,Herz,NOUN
zeigen,zeigen,VERB
soll,sollen,AUX
",",--,PUNCT
dem,der,PRON
Geld,Geld,NOUN
Glück,Glück,NOUN
brachte,bringen,VERB
.,--,PUNCT
Besen,Besen,NOUN
sind,sein,AUX
bekanntlich,bekanntlich,ADV
ein,ein,DET
schreiendes,schreiend,ADJ
Bedürfnis,Bedürfnis,NOUN
der,der,DET
Zeit,Zeit,NOUN
und,und,CCONJ
waren,sein,AUX
das,der,PRON
freilich,freilich,ADV
schon,schon,ADV
seit,seit,ADP
langen,lang,ADJ
Zeiten,Zeit,NOUN
.,--,PUNCT
Derartige,derartig,ADJ
Bedürfnisse,Bedürfnis,NOUN
