Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Der,der,DET
Geltstag,Geltstag,NOUN
oder,oder,CCONJ
Die,der,DET
Wirtschaft,Wirtschaft,NOUN
nach,nach,ADP
der,der,DET
neuen,neu,ADJ
Mode,Mode,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Gräbt,Gräbt,NOUN
Kläglich,Kläglich,PROPN
wimmerte,wimmeren,VERB
das,der,DET
Glöcklein,Glöcklein,NOUN
aus,aus,ADP
dem,der,DET
niedern,niedern,ADJ
Türmchen,Türmch,NOUN
der,der,DET
Kirche,Kirche,NOUN
zu,zu,ADP
Uefligen,Ueflig,NOUN
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Kirchhofe,Kirchhofe,NOUN
stand,stehen,VERB
ein,ein,DET
Mann,Mann,NOUN
und,und,CCONJ
legte,legen,VERB
Stricke,Strick,NOUN
über,über,ADP
ein,ein,DET
offenes,offen,ADJ
Grab,Grab,NOUN
;,--,PUNCT
um,um,ADP
den,der,DET
Kirchhof,Kirchhof,NOUN
herum,herum,CCONJ
schwärmte,schwärmen,VERB
die,der,DET
der,der,DET
Schule,Schule,NOUN
entlassene,entlassen,ADJ
Jugend,Jugend,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
gerne,gerne,ADV
heimgeht,heimgehen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
was,was,PRON
zu,zu,PART
sehen,sehen,VERB
ist,sein,AUX
im,in,ADP
Dorfe,Dorfen,NOUN
",",--,PUNCT
sei,sein,AUX
es,es,PRON
eine,ein,DET
Hochzeit,Hochzeit,NOUN
",",--,PUNCT
sei,sein,AUX
es,es,PRON
ein,ein,DET
Leichenzug,Leichenzug,NOUN
.,--,PUNCT
Der,der,DET
Neugierde,Neugierde,NOUN
ist,sein,AUX
alles,alle,PRON
eins,einer,PRON
.,--,PUNCT
«,--,PUNCT
Du,du,PRON
",",--,PUNCT
wen,wen,PRON
begraben,begraben,VERB
sie,sie,PRON
heute,heute,ADV
?,--,PUNCT
»,--,PUNCT
fragte,fragen,VERB
eine,ein,DET
vorübergehende,vorübergehend,ADJ
Frau,Frau,NOUN
eine,ein,DET
andere,anderer,ADJ
",",--,PUNCT
welche,welcher,PRON
mit,mit,ADP
den,der,DET
Händen,Hand,NOUN
unter,unter,ADP
dem,der,DET
Fürtuche,Fürtuch,NOUN
schlotterend,schlotterend,ADV
dastand,Dastand,PRON
.,--,PUNCT
Es,es,PRON
schien,scheinen,VERB
eine,ein,DET
kränkliche,kränklich,ADJ
Frau,Frau,NOUN
",",--,PUNCT
um,um,SCONJ
guten,gut,ADJ
Lohn,Lohn,NOUN
wäre,sein,AUX
sie,sie,PRON
nicht,nicht,PART
im,in,ADP
kalten,kalt,ADJ
Winde,Wind,NOUN
gestanden,gestehen,VERB
.,--,PUNCT
Sie,sie,PRON
möchte,möchten,AUX
es,es,PRON
nicht,nicht,PART
erleiden,erleiden,VERB
",",--,PUNCT
hätte,haben,AUX
sie,sie,PRON
gesagt,sagen,VERB
",",--,PUNCT
sie,sie,PRON
sei,sein,AUX
gar,gar,ADV
gliedersüchtig,gliedersüchtig,ADV
und,und,CCONJ
es,es,PRON
fehle,fehlen,VERB
ihr,ihr,PRON
sonst,sonst,ADV
noch,noch,ADV
viel,viel,PRON
.,--,PUNCT
Aber,aber,CCONJ
wenn,wenn,SCONJ
der,der,DET
Gwunder,Gwunder,NOUN
ins,in,ADP
Spiel,Spiel,NOUN
kam,kommen,VERB
",",--,PUNCT
da,da,ADV
achtete,achten,VERB
sie,sie,PRON
alles,alle,PRON
nicht,nicht,PART
",",--,PUNCT
und,und,CCONJ
Keine,Kein,PRON
mochte,mögen,VERB
mehr,mehr,DET
Kälte,Kälte,NOUN
und,und,CCONJ
Wind,Wind,NOUN
",",--,PUNCT
Hitze,Hitze,NOUN
und,und,CCONJ
Staub,Staub,NOUN
erleiden,erleiden,VERB
wie,wie,ADP
sie,sie,PRON
.,--,PUNCT
«,--,PUNCT
E,E,NOUN
»,--,PUNCT
",",--,PUNCT
antwortete,antworten,VERB
die,der,DET
Angeredete,Angeredet,NOUN
",",--,PUNCT
«,--,PUNCT
weißt,weißen,VERB
du,du,PRON
das,der,PRON
nicht,nicht,PART
",",--,PUNCT
und,und,CCONJ
reden,reden,VERB
doch,doch,ADV
alle,aller,PRON
Leute,Leute,NOUN
davon,davon,ADV
?,--,PUNCT
Habe,Haben,AUX
gemeint,meinen,VERB
",",--,PUNCT
es,es,PRON
sei,sein,AUX
niemere,niemere,ADJ
auf,auf,ADP
der,der,DET
Welt,Welt,NOUN
",",--,PUNCT
der,der,PRON
das,der,PRON
nicht,nicht,PART
schon,schon,ADV
wisse,wissen,VERB
.,--,PUNCT
»,--,PUNCT
«,--,PUNCT
Kein,kein,DET
Sterbeswörtli,Sterbeswörtli,NOUN
habe,haben,AUX
ich,ich,PRON
gehört,gehören,VERB
»,--,PUNCT
",",--,PUNCT
entgegnete,entgegnen,VERB
die,der,DET
Erste,erster,NOUN
.,--,PUNCT
«,--,PUNCT
Weißt,weißen,X
de,de,PROPN
nit,nit,DET
",",--,PUNCT
dr,--,X
Wirt,Wirt,NOUN
uf,uf,X
dr,dr,X
Gnepfi,Gnepfi,PROPN
ist,sein,AUX
gstorbe,gstorbe,ADV
",",--,PUNCT
u,u,X
mi,mi,X
bigrabt,bigrabt,VERB
ne,ne,X
hüt,hüt,PROPN
.,--,PUNCT
»,--,PUNCT
«,--,PUNCT
Nit,Nit,NOUN
