Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Die,der,DET
Wassernot,Wassernot,NOUN
im,in,ADP
Emmental,Emmental,PROPN
am,an,ADP
13.,13.,ADJ
August,August,NOUN
1837,1837,NUM
Erzählung,Erzählung,NOUN
(,--,PUNCT
Geschrieben,Geschriebe,NOUN
ab,ab,ADP
1838,1838,NUM
",",--,PUNCT
Erstdruck,Erstdruck,NOUN
1852,1852,NUM
),--,PUNCT
Vorwort,Vorwort,NOUN
Es,es,PRON
gab,geben,VERB
eine,ein,DET
Zeit,Zeit,NOUN
",",--,PUNCT
wo,wo,SCONJ
man,man,PRON
ob,ob,ADP
den,der,DET
Werken,Werk,NOUN
Gottes,Gott,NOUN
Gott,Gott,NOUN
vergaß,vergessen,VERB
",",--,PUNCT
wo,wo,SCONJ
die,der,PRON
dem,der,PRON
menschlichen,menschlich,ADJ
Verstande,Verstande,NOUN
sich,sich,PRON
erschließende,erschließend,ADJ
Herrlichkeit,Herrlichkeit,NOUN
der,der,DET
Natur,Natur,NOUN
die,der,DET
Majestät,Majestät,NOUN
des,der,DET
Schöpfers,Schöpfer,NOUN
verdunkelte,verdunkelen,VERB
.,--,PUNCT
Diese,dieser,DET
Zeit,Zeit,NOUN
geht,gehen,VERB
vorbei,vorbei,ADV
.,--,PUNCT
Aber,aber,CCONJ
noch,noch,ADV
weilt,weilen,VERB
bei,bei,ADP
vielen,vieler,DET
der,der,DET
Glaube,Glaube,NOUN
",",--,PUNCT
das,der,DET
Anschauen,anschauen,NOUN
der,der,DET
Natur,Natur,NOUN
führe,führen,VERB
von,von,ADP
Gott,Gott,NOUN
ab,ab,ADP
",",--,PUNCT
Gott,Gott,NOUN
rede,reden,VERB
nur,nur,ADV
in,in,ADP
seinem,sein,DET
geschriebenen,geschrieben,ADJ
Worte,Wort,NOUN
zu,zu,ADP
uns,uns,PRON
.,--,PUNCT
Für,für,ADP
seine,sein,DET
Stimme,Stimme,NOUN
",",--,PUNCT
die,der,PRON
tagtäglich,tagtäglich,ADV
durch,durch,ADP
die,der,DET
Welten,Welt,NOUN
zu,zu,ADP
uns,uns,PRON
spricht,sprechen,VERB
",",--,PUNCT
haben,haben,VERB
diese,dieser,PRON
keine,kein,DET
Ohren,Ohr,NOUN
;,--,PUNCT
daß,daß,SCONJ
Gott,Gott,NOUN
zu,zu,ADP
seinen,sein,DET
Kindern,Kind,NOUN
rede,reden,VERB
in,in,ADP
Sonnenschein,Sonnenschein,NOUN
und,und,CCONJ
Sturm,Sturm,NOUN
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
im,in,ADP
Sichtbaren,Sichtbaren,NOUN
darstelle,darstellen,VERB
das,der,DET
Unsichtbare,unsichtbare,NOUN
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
ganze,ganz,ADJ
Natur,Natur,NOUN
uns,uns,PRON
eine,ein,DET
Gleichnisrede,Gleichnisrede,NOUN
sei,sein,AUX
",",--,PUNCT
die,der,PRON
der,der,DET
Christ,Christ,NOUN
zu,zu,PART
deuten,deuten,VERB
habe,haben,AUX
",",--,PUNCT
täte,täte,VERB
jedem,jeder,DET
not,not,NOUN
zu,zu,PART
erkennen,erkennen,VERB
.,--,PUNCT
Zu,zu,ADP
Förderung,Förderung,NOUN
dieser,dieser,DET
Kenntnis,Kenntnis,NOUN
ein,ein,DET
Scherflein,Scherflein,NOUN
beizutragen,beitragen,VERB
",",--,PUNCT
versuchte,versuchen,VERB
die,der,DET
nachstehende,nachstehend,ADJ
Darstellung,Darstellung,NOUN
der,der,DET
Unterschriebene,Unterschriebene,NOUN
.,--,PUNCT
Wer,wer,PRON
zu,zu,PART
deuten,deuten,VERB
weiß,wissen,VERB
",",--,PUNCT
was,was,PRON
der,der,DET
Herr,Herr,NOUN
ihm,ihm,PRON
schickt,schicken,VERB
",",--,PUNCT
verliert,verlieren,VERB
nimmer,nimmer,ADV
das,der,DET
Vertrauen,vertrauen,NOUN
",",--,PUNCT
und,und,CCONJ
alle,aller,DET
Dinge,Ding,NOUN
müssen,müssen,AUX
zur,zu,ADP
Seligkeit,Seligkeit,NOUN
ihm,ihm,PRON
dienen,dienen,VERB
.,--,PUNCT
Fände,Fände,NOUN
in,in,ADP
dieser,dieser,DET
Wahrheit,Wahrheit,NOUN
Trost,Trost,NOUN
ein,ein,DET
Unglücklicher,Unglücklicher,NOUN
",",--,PUNCT
würde,werden,AUX
sie,sie,PRON
den,der,DET
rechten,rechter,ADJ
Weg,Weg,NOUN
einem,ein,DET
Irrenden,Irrenden,NOUN
erleuchten,erleuchn,VERB
",",--,PUNCT
offenbar,offenbar,ADV
machen,machen,VERB
einem,einer,PRON
Murrenden,Murrende,NOUN
die,der,DET
Liebe,Liebe,NOUN
des,der,DET
Vaters,Vater,NOUN
",",--,PUNCT
zur,zu,ADP
Anschauung,Anschauung,NOUN
des,der,DET
Unsichtbaren,Unsichtbar,NOUN
einen,ein,DET
Menschen,Mensch,NOUN
führen,führen,VERB
",",--,PUNCT
dessen,der,DET
fünf,fünf,NUM
Sinne,Sinn,NOUN
seine,sein,DET
einzigen,einzig,ADJ
Wahrnehmungsquellen,Wahrnehmungsquelle,NOUN
waren,sein,AUX
",",--,PUNCT
dann,dann,ADV
hätte,haben,VERB
der,der,DET
Verfasser,Verfasser,NOUN
seinen,sein,DET
Zweck,Zweck,NOUN
erreicht,erreichen,VERB
;,--,PUNCT
andere,anderer,ADJ
Ansprüche,Anspruch,NOUN
macht,machen,VERB
er,er,PRON
nicht,nicht,PART
.,--,PUNCT
