Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Eine,ein,DET
alte,alt,ADJ
Geschichte,Geschichte,NOUN
zu,zu,ADP
neuer,neu,ADJ
Erbauung,Erbauung,NOUN
Erzählung,Erzählung,NOUN
(,--,PUNCT
1849,1849,NUM
),--,PUNCT
Es,es,PRON
wechselt,wechseln,VERB
die,der,DET
Gestalt,Gestalt,NOUN
des,der,DET
Himmels,Himmel,NOUN
.,--,PUNCT
Heute,heute,ADV
scheint,scheinen,VERB
aus,aus,ADP
tiefblauem,tiefblau,ADJ
Grunde,Grund,NOUN
die,der,DET
goldene,golden,ADJ
Sonne,Sonne,NOUN
",",--,PUNCT
auf,auf,ADP
milder,mild,ADJ
Winde,Winde,NOUN
leisem,leiser,DET
Hauche,Hauche,NOUN
wiegen,wiegen,VERB
sich,sich,PRON
und,und,CCONJ
schwimmen,schwimm,ADJ
Ströme,Strom,NOUN
ihres,ihr,DET
freundlichen,freundlich,ADJ
Lichtes,Licht,NOUN
auf,auf,ADP
die,der,DET
errötende,errötend,ADJ
Erde,Erde,NOUN
nieder,nieder,ADV
;,--,PUNCT
morgen,morgen,ADV
ist,sein,AUX
der,der,DET
blaue,blau,ADJ
Grund,Grund,NOUN
ein,ein,DET
ungeheurer,ungeheur,ADJ
Schoß,Schoß,NOUN
schwarzer,schwarz,ADJ
Wolken,Wolke,NOUN
geworden,werden,AUX
",",--,PUNCT
Hagel,Hagel,PROPN
",",--,PUNCT
Schnee,Schnee,NOUN
und,und,CCONJ
Regenfluten,Regenflut,NOUN
brechen,brechen,VERB
aus,aus,ADP
den,der,DET
unergründlichen,unergründlich,ADJ
Schlünden,Schlünd,NOUN
",",--,PUNCT
und,und,CCONJ
wilde,wild,ADJ
Stürme,Stürme,NOUN
peitschen,peitschen,VERB
sie,sie,PRON
nieder,nieder,ADV
auf,auf,ADP
die,der,DET
trübselige,trübselig,ADJ
Erde,Erde,NOUN
.,--,PUNCT
Wenn,wenn,SCONJ
am,an,ADP
blauen,blau,ADJ
Himmel,Himmel,NOUN
keine,kein,DET
Wolke,Wolke,NOUN
geht,gehen,VERB
",",--,PUNCT
in,in,ADP
der,der,DET
Sonne,Sonne,NOUN
Gold,Gold,PROPN
die,der,DET
bräutliche,bräutlich,ADJ
Erde,Erde,NOUN
glänzt,glänzt,VERB
",",--,PUNCT
jeder,jeder,DET
Baumzweig,Baumzweig,NOUN
von,von,ADP
blühenden,blühend,ADJ
Hoffnungen,Hoffnung,NOUN
schwellt,schwellen,VERB
",",--,PUNCT
und,und,CCONJ
das,der,DET
Auge,Auge,NOUN
des,der,DET
Menschen,Mensch,NOUN
würde,werden,AUX
wonnetrunken,wonnetrunken,VERB
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
Seele,Seele,NOUN
würde,werden,AUX
loben,loben,VERB
den,der,DET
Herrn,Herr,NOUN
",",--,PUNCT
weil,weil,SCONJ
seine,sein,DET
Hand,Hand,NOUN
die,der,DET
wüsten,wüst,ADJ
Wolken,Wolke,NOUN
verzehrt,verzehren,VERB
",",--,PUNCT
die,der,DET
Erde,Erde,NOUN
mit,mit,ADP
Pracht,Pracht,NOUN
geschmückt,schmücken,VERB
",",--,PUNCT
mit,mit,ADP
Hoffnungen,Hoffnung,NOUN
gesegnet,segnen,VERB
",",--,PUNCT
weil,weil,SCONJ
sein,sein,DET
Ratschluß,Ratschluß,NOUN
endlich,endlich,ADV
Sturm,Sturm,NOUN
und,und,CCONJ
Wechsel,Wechsel,NOUN
aufgehoben,aufheben,VERB
und,und,CCONJ
das,der,DET
Schöne,schön,NOUN
bleibend,bleibend,ADV
gemacht,machen,VERB
unter,unter,ADP
dem,der,DET
Himmel,Himmel,NOUN
:,--,PUNCT
so,so,ADV
würde,werden,AUX
der,der,DET
Herr,Herr,NOUN
",",--,PUNCT
der,der,PRON
die,der,DET
Sonne,Sonne,NOUN
hinausführt,hinausführt,VERB
aus,aus,ADP
der,der,DET
Morgenröte,Morgenrot,NOUN
gleich,gleich,ADV
einem,ein,DET
Bräutigam,Bräutigam,NOUN
aus,aus,ADP
seinem,sein,DET
Gezelte,Gezelte,NOUN
",",--,PUNCT
der,der,PRON
verschlossen,verschlossen,VERB
hält,halten,VERB
die,der,DET
Winde,Winde,NOUN
in,in,ADP
ihren,ihr,DET
Kammern,Kammer,NOUN
",",--,PUNCT
und,und,CCONJ
dessen,der,DET
Hand,Hand,NOUN
die,der,DET
Wolken,Wolke,NOUN
ballt,ballen,VERB
",",--,PUNCT
dem,der,DET
Wechsel,Wechsel,NOUN
rufen,rufen,VERB
",",--,PUNCT
dem,der,DET
törichten,töricht,ADJ
Menschenkinde,Menschenkind,NOUN
das,der,DET
Eitle,Eitle,NOUN
seines,sein,DET
Lobes,Lob,NOUN
zeigen,zeigen,VERB
und,und,CCONJ
ihm,ihm,PRON
predigen,predigen,VERB
im,in,ADP
Sturmwinde,Sturmwinde,ADV
",",--,PUNCT
daß,daß,SCONJ
das,der,DET
Bleibende,Bleibende,NOUN
nicht,nicht,PART
hienieden,hienieden,VERB
zu,zu,PART
suchen,suchen,VERB
sei,sein,AUX
",",--,PUNCT
und,und,CCONJ
daß,daß,SCONJ
der,der,PRON
",",--,PUNCT
der,der,PRON
die,der,DET
Natur,Natur,NOUN
geschaffen,schaffen,VERB
",",--,PUNCT
die,der,DET
Natur,Natur,NOUN
nicht,nicht,PART
ändere,ändern,VERB
",",--,PUNCT
denn,denn,CCONJ
was,wer,PRON
er,er,PRON
getan,tun,VERB
",",--,PUNCT
ist,sein,AUX
