Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Jakobs,Jakob,NOUN
des,der,DET
Handwerksgesellen,Handwerksgeselle,NOUN
Wanderungen,Wanderung,NOUN
durch,durch,ADP
die,der,DET
Schweiz,Schweiz,PROPN
Vorwort,Vorwort,NOUN
Für,für,ADP
den,der,DET
Lesekreis,Lesekreis,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
der,der,DET
Verfasser,Verfasser,NOUN
bekannt,bekannt,ADV
ist,sein,AUX
",",--,PUNCT
bedürfte,bedürfen,VERB
diese,dieser,DET
Schrift,Schrift,NOUN
kein,kein,DET
Vorwort,Vorwort,NOUN
.,--,PUNCT
Was,was,PRON
sie,sie,PRON
will,wollen,VERB
",",--,PUNCT
sagt,sagen,VERB
sie,sie,PRON
klar,klar,ADV
",",--,PUNCT
und,und,CCONJ
was,was,PRON
der,der,DET
Verfasser,Verfasser,NOUN
will,wollen,VERB
",",--,PUNCT
wissen,wissen,VERB
seit,seit,ADP
zehn,zehn,NUM
Jahren,Jahr,NOUN
seine,sein,DET
treuen,treu,ADJ
Leser,Leser,NOUN
.,--,PUNCT
Da,da,SCONJ
dieses,dieser,DET
Büchlein,Büchlein,NOUN
aber,aber,ADV
möglicherweise,möglicherweise,ADV
in,in,ADP
Kreise,Kreis,NOUN
kömmt,kömmen,VERB
",",--,PUNCT
wo,wo,SCONJ
weder,weder,CCONJ
der,der,DET
Verfasser,Verfasser,NOUN
noch,noch,CCONJ
seine,sein,DET
früheren,früh,ADJ
Schriften,Schrift,NOUN
bekannt,bekannt,ADV
sind,sein,AUX
",",--,PUNCT
so,so,ADV
glaubt,glauben,VERB
er,er,PRON
bemerken,bemerken,VERB
zu,zu,PART
sollen,sollen,AUX
",",--,PUNCT
er,er,PRON
sei,sein,AUX
ein,ein,DET
Republikaner,Republikaner,NOUN
",",--,PUNCT
liebe,lieben,VERB
das,der,DET
ganze,ganz,ADJ
Volk,Volk,NOUN
",",--,PUNCT
nicht,nicht,PART
bloß,bloß,ADV
einige,einiger,DET
Glieder,Glied,NOUN
desselben,derselbe,PRON
",",--,PUNCT
und,und,CCONJ
diese,dieser,DET
Liebe,Liebe,NOUN
sei,sein,AUX
die,der,DET
Quelle,Quelle,NOUN
seiner,sein,DET
Schriften,Schrift,NOUN
.,--,PUNCT
In,in,ADP
gleichem,gleich,ADJ
Maße,Maß,NOUN
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
das,der,DET
gesamte,gesamt,ADJ
Volk,Volk,NOUN
",",--,PUNCT
also,also,ADV
vom,von,ADP
höchsten,hoch,ADJ
Haupte,Haupt,NOUN
bis,bis,ADP
zum,zu,ADP
niedrigsten,niedrig,ADJ
",",--,PUNCT
liebt,lieben,VERB
",",--,PUNCT
haßt,hassen,VERB
er,er,PRON
die,der,DET
falschen,falsch,ADJ
Freunde,Freund,NOUN
des,der,DET
Volkes,Volk,NOUN
",",--,PUNCT
welche,welcher,PRON
unter,unter,ADP
der,der,DET
Larve,Larve,NOUN
des,der,DET
Wohlwollens,Wohlwollen,NOUN
den,der,DET
Teufel,Teufel,NOUN
wecken,wecken,VERB
in,in,ADP
des,der,DET
Volkes,Volk,NOUN
Brust,Brust,NOUN
und,und,CCONJ
vom,von,ADP
Schweiß,Schweiß,NOUN
und,und,CCONJ
Blut,Blut,NOUN
des,der,DET
armen,arm,ADJ
Volkes,Volk,NOUN
sich,sich,PRON
gieriger,gierig,ADV
mästen,mästen,VERB
als,als,ADP
kaum,kaum,ADV
je,je,ADV
ein,ein,DET
Tyrann,Tyrann,PROPN
kleinerer,klein,ADJ
oder,oder,CCONJ
größerer,groß,ADJ
Sorte,Sort,NOUN
sich,sich,PRON
gemästet,mästen,VERB
hat,haben,AUX
.,--,PUNCT
Vor,vor,ADP
solchen,solcher,DET
entlarvten,entlarvt,ADJ
Blutigeln,Blutigeln,NOUN
gutmütige,gutmütig,ADJ
deutsche,deutsch,ADJ
Handwerksbursche,Handwerksbursche,NOUN
",",--,PUNCT
deren,die,DET
schon,schon,ADV
so,so,ADV
viele,viele,PRON
durch,durch,ADP
die,der,DET
verlarvten,verlarvt,ADJ
Freunde,Freund,NOUN
zugrunde,zugrunde,ADV
gegangen,gehen,VERB
sind,sein,AUX
",",--,PUNCT
zu,zu,PART
warnen,warnen,VERB
",",--,PUNCT
ist,sein,AUX
Zweck,Zweck,NOUN
dieses,dieser,DET
Buches,Buch,NOUN
.,--,PUNCT
Der,der,DET
Verfasser,Verfasser,NOUN
bezeichnet,bezeichnen,VERB
einstweilen,einstweilen,ADV
bloß,bloß,ADV
die,der,DET
Larven,Larve,NOUN
",",--,PUNCT
nicht,nicht,PART
die,der,DET
Gesichter,Gesicht,NOUN
;,--,PUNCT
wer,wer,PRON
noch,noch,ADV
für,für,ADP
guten,gut,ADJ
Rat,Rat,NOUN
empfänglich,empfänglich,ADV
ist,sein,AUX
",",--,PUNCT
wird,werden,AUX
die,der,DET
Gesichter,Gesicht,NOUN
bald,bald,ADV
erkennen,erkennen,VERB
und,und,CCONJ
sich,sich,PRON
vor,vor,ADP
ihnen,ihnen,PRON
zu,zu,PART
hüten,hüten,VERB
wissen,wissen,VERB
.,--,PUNCT
Schließlich,schließlich,ADV
bemerkt,bemerken,VERB
der,der,DET
Verfasser,Verfasser,NOUN
noch,noch,ADV
vorzüglich,vorzüglich,ADV
zuhanden,zuhand,ADJ
allfällig,allfällig,ADV
neuer,neu,ADJ
Leser,Leser,NOUN
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
