Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
(,--,PUNCT
Albert,Albert,PROPN
Bitzius,Bitzius,PROPN
),--,PUNCT
Leiden,leiden,NOUN
und,und,CCONJ
Freuden,Freude,NOUN
eines,ein,DET
Schulmeisters,Schulmeister,NOUN
Vorsatzblatt,Vorsatzblatt,ADV
Erster,erst,ADJ
Teil,Teil,NOUN
1898,1898,NUM
Vorbemerkung,Vorbemerkung,NOUN
des,der,DET
Herausgebers,Herausgeber,NOUN
von,von,ADP
Band,Band,NOUN
II,II,NUM
und,und,CCONJ
III.,III.,PROPN
Nachdem,nachdem,SCONJ
im,in,ADP
Januar,Januar,NOUN
1837,1837,NUM
zu,zu,ADP
Burgdorf,Burgdorf,PROPN
der,der,DET
»,--,PUNCT
Bauernspiegel,Bauernspiegel,NOUN
«,--,PUNCT
als,als,ADP
Lebensgeschichte,Lebensgeschichte,NOUN
des,der,DET
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
und,und,CCONJ
1838,1838,NUM
ebenda,ebenda,ADV
unter,unter,ADP
demselben,derselbe,DET
Namen,Name,NOUN
die,der,DET
Beschreibung,Beschreibung,NOUN
der,der,DET
Wassernot,Wassernot,NOUN
im,in,ADP
Emmenthal,Emmenthal,NOUN
vom,von,ADP
August,August,NOUN
1837,1837,NUM
herausgekommen,herausgekommen,VERB
",",--,PUNCT
suchte,suchen,VERB
der,der,DET
Pfarrer,Pfarrer,NOUN
von,von,ADP
Lützelflüh,Lützelflüh,NOUN
bereits,bereits,ADV
wieder,wieder,ADV
einen,ein,DET
Verleger,Verleger,NOUN
",",--,PUNCT
diesmal,diesmal,ADV
für,für,ADP
einen,ein,DET
»,--,PUNCT
Gevatterbrief,Gevatterbrief,NOUN
an,an,ADP
das,der,DET
Publikum,Publikum,NOUN
«,--,PUNCT
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
",",--,PUNCT
der,der,PRON
selbst,selbst,ADV
im,in,ADP
Jahr,Jahr,NOUN
1837,1837,NUM
zum,zu,ADP
drittenmal,drittenmal,ADV
Vater,Vater,NOUN
geworden,werden,AUX
",",--,PUNCT
die,der,DET
angeblich,angeblich,ADV
von,von,ADP
dem,der,DET
Lehrer,Lehrer,NOUN
Peter,Peter,PROPN
Käser,Käser,PROPN
zu,zu,ADP
Gytiwyl,Gytiwyl,NOUN
geschriebenen,geschrieben,ADJ
»,--,PUNCT
Leiden,leiden,NOUN
und,und,CCONJ
Freuden,Freude,NOUN
eines,ein,DET
Schulmeisters,Schulmeister,NOUN
«,--,PUNCT
anfänglich,anfänglich,ADV
zubenannt,zubenannen,VERB
hatte,haben,AUX
.,--,PUNCT
»,--,PUNCT
Lange,lange,ADV
«,--,PUNCT
",",--,PUNCT
so,so,ADV
erzählt,erzählen,VERB
uns,uns,PRON
die,der,DET
ältere,alt,ADJ
1834,1834,NUM
geborne,geborn,ADJ
Tochter,Tochter,NOUN
",",--,PUNCT
»,--,PUNCT
wanderte,wanderen,AUX
das,der,DET
Manuskript,Manuskript,NOUN
von,von,ADP
einem,ein,DET
schweizerischen,schweizerisch,ADJ
Verleger,Verleger,NOUN
zum,zu,ADP
andern,anderer,PRON
",",--,PUNCT
da,da,SCONJ
keiner,keiner,PRON
es,es,PRON
zu,zu,PART
drucken,drucken,VERB
wagte,wagen,VERB
",",--,PUNCT
der,der,PRON
beißenden,beißend,ADJ
Bemerkungen,Bemerkung,NOUN
wegen,wegen,ADP
",",--,PUNCT
die,der,DET
Bitzius,Bitzius,NOUN
sich,sich,PRON
darin,darin,ADV
gegen,gegen,ADP
Autoritäten,Autorität,NOUN
erlaubt,erlauben,VERB
hatte,haben,AUX
.,--,PUNCT
Der,der,DET
Umschlag,Umschlag,NOUN
zerfiel,zerfiel,ADV
in,in,ADP
Fetzen,Fetzen,NOUN
und,und,CCONJ
man,man,PRON
mußte,müssen,AUX
eine,ein,DET
eigene,eigen,ADJ
Schachtel,Schachtel,NOUN
dafür,dafür,ADV
machen,machen,VERB
lassen,lassen,VERB
",",--,PUNCT
um,um,SCONJ
die,der,DET
einzelnen,einzeln,ADJ
Bogen,Bogen,NOUN
nicht,nicht,PART
zu,zu,ADP
verlieren.«Lebensabriß,verlieren.«Lebensabriß,PROPN
Gotthelfs,Gotthelf,PROPN
in,in,ADP
:,--,PUNCT
Anhang,Anhang,NOUN
der,der,DET
»,--,PUNCT
Neuen,neu,ADJ
wohlfeilen,wohlfeil,ADJ
Ausgabe,Ausgabe,NOUN
«,--,PUNCT
des,der,DET
»,--,PUNCT
Schulmeisters,Schulmeister,NOUN
«,--,PUNCT
;,--,PUNCT
Berlin,Berlin,PROPN
",",--,PUNCT
Springer,Springer,PROPN
1877,1877,NUM
",",--,PUNCT
S.,S.,NOUN
20.,20.,ADJ
Aus,aus,ADP
dieser,dieser,DET
Pappschachtel,Pappschachtel,NOUN
",",--,PUNCT
die,der,PRON
von,von,ADP
der,der,DET
andern,anderer,ADJ
Tochter,Tochter,NOUN
sorglich,sorglich,ADV
gehütet,hüten,VERB
wird,werden,AUX
",",--,PUNCT
tritt,treten,VERB
nach,nach,ADP
60,60,NUM
Jahren,Jahr,NOUN
zum,zu,ADP
erstenmal,erstenmal,NOUN
der,der,DET
ganze,ganz,ADJ
»,--,PUNCT
Schulmeister,Schulmeister,NOUN
«,--,PUNCT
ans,an,ADP
Licht,Licht,NOUN
.,--,PUNCT
Denn,denn,CCONJ
als,als,ADP
sich,sich,PRON
endlich,endlich,ADV
ein,ein,DET
politisch,politisch,ADV
