Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Michels,Michel,PROPN
Brautschau,Brautschau,NOUN
E.,E.,PROPN
A.,A.,PROPN
Hofmann,Hofmann,PROPN
Verlag,Verlag,NOUN
Zürich-Zollikon,Zürich-Zollikon,PROPN
1942,1942,NUM
Printed,Printed,NOUN
in,in,ADP
Switzerland,Switzerland,PROPN
Titelblatt,Titelblatt,NOUN
Ein,ein,DET
klarer,klar,ADJ
Himmel,Himmel,NOUN
lag,liegen,VERB
über,über,ADP
der,der,DET
Erde,Erde,NOUN
",",--,PUNCT
und,und,CCONJ
über,über,ADP
dieselbe,derselbe,DET
strich,Strich,NOUN
von,von,ADP
Osten,Osten,NOUN
her,her,ADV
ein,ein,DET
frischer,frisch,ADJ
Wind,Wind,NOUN
.,--,PUNCT
Der,der,DET
Ostertag,Ostertag,NOUN
war,sein,AUX
da,da,ADV
",",--,PUNCT
der,der,DET
schöne,schön,ADJ
und,und,CCONJ
hehre,Hehr,NOUN
",",--,PUNCT
der,der,PRON
alle,aller,DET
Jahre,Jahr,NOUN
uns,uns,PRON
das,der,DET
Zeugnis,Zeugnis,NOUN
bringt,bringen,VERB
",",--,PUNCT
dass,dass,SCONJ
aufersteht,auferstehen,VERB
",",--,PUNCT
was,wer,PRON
begraben,begraben,VERB
worden,werden,AUX
",",--,PUNCT
dass,daß,SCONJ
an,an,ADP
die,der,DET
Sonne,Sonne,NOUN
soll,sollen,AUX
",",--,PUNCT
was,wer,PRON
im,in,ADP
Verborgenen,verborgene,NOUN
liegt,liegen,VERB
.,--,PUNCT
Er,er,PRON
bringt,bringen,VERB
als,als,ADP
Frühlingsengel,Frühlingsengel,NOUN
Freude,Freude,NOUN
allen,alle,PRON
Kreaturen,Kreatur,NOUN
",",--,PUNCT
auch,auch,ADV
denen,der,PRON
",",--,PUNCT
welche,welcher,PRON
weder,weder,CCONJ
Jahre,Jahr,NOUN
noch,noch,ADV
Tage,Tag,NOUN
zählen,zählen,VERB
können,können,AUX
",",--,PUNCT
welche,welcher,PRON
keine,kein,DET
Ahnung,Ahnung,NOUN
haben,haben,AUX
von,von,ADP
des,der,DET
Tages,Tag,NOUN
hoher,hoch,ADJ
Bedeutung,Bedeutung,NOUN
als,als,ADP
des,der,DET
immer,immer,ADV
wiederkehrenden,wiederkehrend,ADJ
Boten,Bot,NOUN
",",--,PUNCT
der,der,PRON
das,der,DET
Dasein,Dasein,NOUN
einer,ein,DET
andern,andern,ADJ
Welt,Welt,NOUN
verkündet,verkünden,VERB
.,--,PUNCT
Die,der,DET
Amseln,Amsel,NOUN
schlagen,schlagen,VERB
im,in,ADP
Busche,Busche,NOUN
",",--,PUNCT
vielleicht,vielleicht,ADV
dass,dass,SCONJ
bereits,bereits,ADV
ein,ein,DET
früherwachter,früherwacht,ADJ
Kuckuck,Kuckuck,NOUN
ruft,rufen,VERB
;,--,PUNCT
munter,Munter,NOUN
gackeln,gackeln,VERB
die,der,DET
Hühner,Hühner,NOUN
",",--,PUNCT
verkünden,verkünden,VERB
es,es,PRON
der,der,DET
Welt,Welt,NOUN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
ein,ein,DET
Ei,Ei,NOUN
gelegt,legen,VERB
",",--,PUNCT
aus,aus,ADP
dem,der,PRON
was,was,PRON
werden,werden,AUX
kann,können,AUX
",",--,PUNCT
was,was,PRON
noch,noch,ADV
im,in,ADP
verborgenen,verborgen,ADJ
liegt,liegen,VERB
",",--,PUNCT
ein,ein,DET
verschlossenes,verschlossen,ADJ
Grab,Grab,NOUN
",",--,PUNCT
in,in,ADP
welches,welcher,PRON
ein,ein,DET
Leben,Leben,NOUN
geschlossen,schließen,VERB
sei,sein,AUX
.,--,PUNCT
Darum,darum,ADV
haben,haben,AUX
die,der,DET
Eier,Ei,NOUN
am,an,ADP
Ostertage,Ostertage,NOUN
ihre,ihr,DET
wahre,wahr,ADJ
",",--,PUNCT
hohe,hoch,ADJ
Bedeutung,Bedeutung,NOUN
",",--,PUNCT
sie,sie,PRON
sind,sein,AUX
gleichsam,gleichsam,ADV
Wappen,Wappe,NOUN
und,und,CCONJ
Sinnbild,Sinnbild,NOUN
dieses,dieser,DET
Tages,Tag,NOUN
.,--,PUNCT
Man,man,PRON
hat,haben,AUX
viel,viel,PRON
über,über,ADP
der,der,DET
Ostereier,Ostereier,NOUN
Ursprung,Ursprung,NOUN
und,und,CCONJ
Bedeutung,Bedeutung,NOUN
gedacht,denken,VERB
",",--,PUNCT
wenigstens,wenigstens,ADV
geschrieben,schreiben,VERB
",",--,PUNCT
und,und,CCONJ
ist,sein,AUX
die,der,DET
Sache,Sache,NOUN
doch,doch,ADV
so,so,ADV
einfach,einfach,ADV
.,--,PUNCT
Das,der,DET
Ei,Ei,NOUN
ist,sein,AUX
eine,ein,DET
geheimnisvolle,geheimnisvoll,ADJ
Kapsel,Kapsel,NOUN
",",--,PUNCT
welche,welcher,PRON
ein,ein,ADV
Werdendes,Werdend,NOUN
birgt,bergen,VERB
",",--,PUNCT
ein,ein,DET
rauhes,rauh,ADJ
Grab,Grab,NOUN
",",--,PUNCT
aus,aus,ADP
welchem,welcher,PRON
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
Schale,Schale,NOUN
bricht,brechen,VERB
",",--,PUNCT
ein,ein,DET
neues,neu,ADJ
",",--,PUNCT
feineres,feiner,ADJ
Leben,Leben,NOUN
zutage,zutage,ADV
tritt,treten,VERB
.,--,PUNCT
Darum,darum,ADV
freut,freuen,VERB
sich,sich,PRON
der,der,DET
