Token,Lemma,POS
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Wie,wie,ADV
fünf,fünf,NUM
Mädchen,Mädchen,NOUN
im,in,ADP
Branntwein,Branntwein,NOUN
jämmerlich,jämmerlich,ADV
umkommen,umkommen,VERB
Eine,ein,DET
merkwürdige,merkwürdig,ADJ
Geschichte,Geschichte,NOUN
Vorwort,Vorwort,NOUN
Der,der,DET
Verfasser,Verfasser,NOUN
hatte,haben,AUX
über,über,ADP
das,der,DET
Branntweintrinken,Branntweintrinke,NOUN
ein,ein,DET
Lustspiel,Lustspiel,NOUN
gelesen,lesen,VERB
",",--,PUNCT
welches,welcher,PRON
mit,mit,ADP
einer,ein,DET
Heirat,Heirat,NOUN
und,und,CCONJ
einem,ein,DET
frohen,froh,ADJ
Mahle,Mahle,NOUN
schließt,schließen,VERB
.,--,PUNCT
Er,er,PRON
versucht,versuchen,VERB
nun,nun,ADV
über,über,ADP
denselben,derselbe,DET
Gegenstand,Gegenstand,NOUN
ein,ein,DET
Trauerspiel,Trauerspiel,NOUN
",",--,PUNCT
und,und,CCONJ
zwar,zwar,ADV
erfand,erfinden,VERB
er,er,PRON
dasselbe,dasselbe,PRON
nicht,nicht,PART
",",--,PUNCT
er,er,PRON
ordnete,ordnen,VERB
nur,nur,ADV
zum,zu,ADP
Druck,Druck,NOUN
die,der,DET
Erzählung,Erzählung,NOUN
wirklicher,wirklich,ADJ
Begebenheiten,Begebenheit,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
einem,einer,PRON
Freunde,Freund,NOUN
verdankt,verdanken,VERB
.,--,PUNCT
Jeremias,Jeremia,PROPN
Gotthelf,Gotthelf,PROPN
Es,es,PRON
ist,sein,AUX
schon,schon,ADV
einige,einiger,DET
Jahre,Jahr,NOUN
her,her,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
an,an,ADP
eines,ein,DET
Samstags,Samstag,NOUN
heißem,heiß,ADJ
Nachmittage,Nachmittag,NOUN
über,über,ADP
einen,ein,DET
ziemlich,ziemlich,ADV
öden,öd,ADJ
Berg,Berg,NOUN
wanderte,wanderen,VERB
.,--,PUNCT
Ich,ich,PRON
kam,kommen,VERB
von,von,ADP
einem,ein,DET
Orte,Ort,NOUN
her,her,ADV
",",--,PUNCT
wo,wo,SCONJ
viel,viel,PRON
Reichtum,Reichtum,NOUN
ist,sein,AUX
",",--,PUNCT
aber,aber,CCONJ
noch,noch,ADV
mehr,mehr,DET
Armut,Armut,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Reichen,reiche,NOUN
das,der,DET
Saufen,saufen,NOUN
vormachten,vormachen,VERB
",",--,PUNCT
die,der,PRON
Armen,arme,NOUN
es,es,PRON
nachmachten,nachmachten,VERB
:,--,PUNCT
die,der,DET
erstern,erstern,NOUN
",",--,PUNCT
solange,solange,SCONJ
sie,sie,PRON
es,es,PRON
vermögen,vermögen,VERB
",",--,PUNCT
den,der,DET
Durst,Durst,NOUN
löschend,löschend,ADV
mit,mit,ADP
Wein,Wein,NOUN
",",--,PUNCT
die,der,DET
andern,anderer,PRON
aus,aus,ADP
Mangel,Mangel,NOUN
an,an,ADP
Geld,Geld,NOUN
mit,mit,ADP
Branntwein,Branntwein,PROPN
.,--,PUNCT
Von,von,ADP
den,der,DET
Reichen,reiche,NOUN
kamen,kommen,VERB
die,der,DET
einen,einer,PRON
dabei,dabei,ADV
ums,um,ADP
Leben,Leben,NOUN
",",--,PUNCT
andere,anderer,PRON
ums,um,ADP
Vermögen,Vermögen,NOUN
",",--,PUNCT
die,der,DET
Armen,arme,NOUN
in,in,ADP
tiefes,tief,ADJ
Elend,Elend,NOUN
hinein,hinein,ADV
.,--,PUNCT
Ich,ich,PRON
stieg,steigen,VERB
schweren,schwer,ADJ
Gemütes,Gemüt,NOUN
den,der,DET
Berg,Berg,NOUN
auf,auf,ADP
und,und,CCONJ
überdachte,überdachen,VERB
mir,mir,PRON
das,der,DET
Unglück,Unglück,NOUN
und,und,CCONJ
die,der,PRON
unbeschreiblichen,unbeschreiblich,ADJ
Folgen,Folge,NOUN
",",--,PUNCT
die,der,PRON
es,es,PRON
hat,haben,VERB
",",--,PUNCT
wenn,wenn,SCONJ
an,an,ADP
einem,ein,DET
Orte,Ort,NOUN
von,von,ADP
oben,oben,ADV
herab,herab,ADV
ein,ein,DET
schlechtes,schlecht,ADJ
Beispiel,Beispiel,NOUN
gegeben,geben,VERB
wird,werden,AUX
",",--,PUNCT
wie,wie,ADP
schlechte,schlecht,ADJ
",",--,PUNCT
liederliche,liederlich,ADJ
Vorgesetzte,vorgesetzter,NOUN
ganze,ganz,ADJ
Dorfschaften,dorfschafter,NOUN
anstecken,anstecken,VERB
und,und,CCONJ
mit,mit,ADP
sich,sich,PRON
in,in,ADP
Sünde,Sünde,NOUN
und,und,CCONJ
Elend,Elend,NOUN
ziehen,ziehen,VERB
können,können,AUX
wie,wie,ADP
in,in,ADP
einen,ein,DET
Wirbel,Wirbel,NOUN
hinein,hinein,ADV
.,--,PUNCT
Ich,ich,PRON
zählte,zählen,VERB
in,in,ADP
Gedanken,Gedanke,NOUN
mir,mir,PRON
die,der,DET
Dörfer,Dorf,NOUN
und,und,CCONJ
Gemeinden,Gemeinde,NOUN
auf,auf,ADP
",",--,PUNCT
die,der,DET
ich,ich,PRON
durch,durch,ADP
die,der,DET
Ersten,erster,NOUN
des,der,DET
Orts,Ort,NOUN
und,und,CCONJ
die,der,DET
Vorgesetzten,vorgesetzter,NOUN
verunglückt,verunglücken,ADV
