Token,Lemma,POS
Joachim,Joachim,PROPN
Nettelbeck,Nettelbeck,PROPN
Des,der,DET
Seefahrers,Seefahrer,NOUN
Joachim,Joachim,PROPN
Nettelbeck,Nettelbeck,PROPN
höchst,höchst,ADV
erstaunliche,erstaunlich,ADJ
Lebensgeschichte,Lebensgeschichte,NOUN
von,von,ADP
ihm,ihm,PRON
selbst,selbst,ADV
erzählt,erzählen,VERB
Am,an,ADP
20.,20.,ADJ
September,September,NOUN
1738,1738,NUM
ward,werden,VERB
ich,ich,PRON
zu,zu,ADP
Kolberg,Kolberg,PROPN
geboren,gebären,VERB
und,und,CCONJ
bekam,bekommen,VERB
den,der,DET
Taufnamen,Taufname,NOUN
Joachim,Joachim,PROPN
.,--,PUNCT
Sobald,sobald,SCONJ
ich,ich,PRON
habe,haben,AUX
lallen,lallen,VERB
können,können,AUX
",",--,PUNCT
stand,stehen,VERB
mein,mein,DET
Sinn,Sinn,NOUN
darauf,darauf,ADV
",",--,PUNCT
ein,ein,DET
Schiffer,Schiffer,NOUN
zu,zu,ADP
werden,werden,AUX
.,--,PUNCT
Aus,aus,ADP
jedem,jeder,DET
Holzspan,Holzspan,PROPN
",",--,PUNCT
aus,aus,ADP
jedem,jeder,DET
Stückchen,Stückchen,NOUN
Baumrinde,Baumrinde,NOUN
",",--,PUNCT
das,der,PRON
mir,mir,PRON
in,in,ADP
die,der,DET
Hand,Hand,NOUN
fiel,fallen,VERB
",",--,PUNCT
schnitzte,schnitzen,VERB
ich,ich,PRON
kleine,klein,ADJ
Schiffchen,Schiffchen,NOUN
",",--,PUNCT
rüstete,rüsten,VERB
sie,sie,PRON
mit,mit,ADP
Segeln,Segel,NOUN
von,von,ADP
Federn,Feder,NOUN
oder,oder,CCONJ
Papier,Papier,NOUN
aus,aus,ADP
und,und,CCONJ
ließ,lassen,VERB
sie,sie,PRON
in,in,ADP
Rinnsteinen,Rinnstein,NOUN
",",--,PUNCT
auf,auf,ADP
Teichen,Teichen,NOUN
oder,oder,CCONJ
gar,gar,ADV
auf,auf,ADP
der,der,DET
Persante,Persante,NOUN
schwimmen,schwimmen,VERB
.,--,PUNCT
Meines,Mein,DET
Vaters,Vater,NOUN
Bruder,Bruder,NOUN
war,sein,AUX
Schiffer,Schiffer,NOUN
.,--,PUNCT
Meine,mein,DET
größte,groß,ADJ
Freude,Freude,NOUN
hatte,haben,VERB
ich,ich,PRON
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
mit,mit,ADP
seinem,sein,DET
Schiffe,Schiff,NOUN
hier,hier,ADV
im,in,ADP
Hafen,Hafen,NOUN
lag,liegen,VERB
.,--,PUNCT
Dann,dann,ADV
hatte,haben,AUX
ich,ich,PRON
zu,zu,ADP
Hause,Haus,NOUN
keine,kein,DET
Ruhe,Ruhe,NOUN
",",--,PUNCT
man,man,PRON
mußte,müssen,AUX
mich,mich,PRON
zur,zu,ADP
Münde,Münde,NOUN
lassen,lassen,VERB
.,--,PUNCT
O,O,INTJ
",",--,PUNCT
welch,welcher,DET
ein,ein,DET
